Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Αὐτοὶ,αὐτός,—,—,—,third person,masculine,nominative,plural,pronoun,Acts 13:4,—,"μὲν οὖν ἐκπεμφθέντες ὑπὸ τοῦ ἁγίου πνεύματος κατῆλθον εἰς Σελεύκειαν, ἐκεῖθέν τε ἀπέπλευσαν εἰς Κύπρον"
Αὐτοὶ,αὐτός,—,—,—,third person,masculine,nominative,plural,pronoun,Acts 13:14,—,"δὲ διελθόντες ἀπὸ τῆς Πέργης παρεγένοντο εἰς Ἀντιόχειαν τὴν Πισιδίαν, καὶ εἰσελθόντες εἰς"
Αὐτοὶ,αὐτός,—,—,—,third person,masculine,nominative,plural,pronoun,1 Thessalonians 2:1,—,"γὰρ οἴδατε, ἀδελφοί, τὴν εἴσοδον ἡμῶν τὴν πρὸς ὑμᾶς ὅτι οὐ κενὴ γέγονεν,"
Αὐτοὶ,αὐτός,—,—,—,third person,masculine,nominative,plural,pronoun,2 Thessalonians 3:7,—,"γὰρ οἴδατε πῶς δεῖ μιμεῖσθαι ἡμᾶς, ὅτι οὐκ ἠτακτήσαμεν ἐν ὑμῖν"
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,Mark 6:17,—,γὰρ ὁ Ἡρῴδης ἀποστείλας ἐκράτησεν τὸν Ἰωάννην καὶ ἔδησεν αὐτὸν ἐν φυλακῇ διὰ
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,2 Corinthians 10:1,—,"δὲ ἐγὼ Παῦλος παρακαλῶ ὑμᾶς διὰ τῆς πραΰτητος καὶ ἐπιεικείας τοῦ Χριστοῦ, ὃς"
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,Ephesians 2:14,—,"γάρ ἐστιν ἡ εἰρήνη ἡμῶν, ὁ ποιήσας τὰ ἀμφότερα ἓν καὶ τὸ μεσότοιχον"
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,1 Thessalonians 3:11,—,δὲ ὁ θεὸς καὶ πατὴρ ἡμῶν καὶ ὁ κύριος ἡμῶν Ἰησοῦς κατευθύναι τὴν ὁδὸν ἡμῶν πρὸς ὑμᾶς·
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,1 Thessalonians 5:23,—,"δὲ ὁ θεὸς τῆς εἰρήνης ἁγιάσαι ὑμᾶς ὁλοτελεῖς, καὶ ὁλόκληρον ὑμῶν τὸ πνεῦμα"
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,2 Thessalonians 2:16,—,δὲ ὁ κύριος ἡμῶν Ἰησοῦς Χριστὸς καὶ [ὁ] θεὸς ὁ πατὴρ ἡμῶν ὁ
Αὐτὸς,αὐτός,—,—,—,third person,masculine,nominative,singular,pronoun,2 Thessalonians 3:16,—,δὲ ὁ κύριος τῆς εἰρήνης δῴη ὑμῖν τὴν εἰρήνην διὰ παντὸς ἐν παντὶ
Αὐτῶν,αὐτός,—,—,—,third person,masculine,genitive,plural,pronoun,Matthew 9:32,—,δὲ ἐξερχομένων ἰδοὺ προσήνεγκαν αὐτῷ ἄνθρωπον κωφὸν δαιμονιζόμενον.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Matthew 6:26,"θερίζουσιν οὐδὲ συνάγουσιν εἰς  ἀποθήκας, καὶ ὁ πατὴρ ὑμῶν ὁ οὐράνιος τρέφει",· οὐχ ὑμεῖς μᾶλλον διαφέρετε αὐτῶν;
αὐτά,αὐτός,—,—,—,—,neuter,accusative,plural,pronoun,Matthew 13:4,"καὶ ἐν τῷ σπείρειν αὐτὸν ἃ μὲν ἔπεσεν παρὰ τὴν ὁδόν, καὶ ἐλθόντα τὰ πετεινὰ   κατέφαγεν",.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Matthew 13:7,"ἄλλα δὲ ἔπεσεν ἐπὶ τὰς ἀκάνθας, καὶ ἀνέβησαν αἱ ἄκανθαι καὶ ἔπνιξαν",.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Matthew 13:28,ὁ δὲ ἔφη αὐτοῖς· ἐχθρὸς ἄνθρωπος τοῦτο ἐποίησεν. οἱ δὲ δοῦλοι λέγουσιν αὐτῷ· θέλεις οὖν ἀπελθόντες συλλέξωμεν,;
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Matthew 13:30,συλλέξατε πρῶτον τὰ ζιζάνια καὶ δήσατε αὐτὰ εἰς δέσμας πρὸς τὸ κατακαῦσαι,", τὸν δὲ σῖτον συναγάγετε εἰς τὴν ἀποθήκην μου."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Matthew 13:39,ὁ δὲ ἐχθρὸς ὁ σπείρας,"ἐστιν ὁ διάβολος, ὁ δὲ θερισμὸς συντέλεια  αἰῶνός ἐστιν, οἱ δὲ θερισταὶ ἄγγελοί εἰσιν."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Matthew 23:4,"τοὺς ὤμους τῶν ἀνθρώπων, αὐτοὶ δὲ τῷ δακτύλῳ αὐτῶν οὐ θέλουσιν κινῆσαι",.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Mark 10:14,"ἰδὼν δὲ ὁ Ἰησοῦς ἠγανάκτησεν καὶ  εἶπεν αὐτοῖς· ἄφετε τὰ παιδία ἔρχεσθαι πρός με, μὴ κωλύετε",", τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Mark 10:16,καὶ ἐναγκαλισάμενος αὐτὰ κατευλόγει τιθεὶς τὰς χεῖρας ἐπʼ,.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Luke 5:7,ἐλθόντας συλλαβέσθαι αὐτοῖς· καὶ ἦλθον καὶ ἔπλησαν ἀμφότερα τὰ πλοῖα ὥστε  βυθίζεσθαι,.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Luke 14:19,καὶ ἕτερος εἶπεν· ζεύγη βοῶν ἠγόρασα πέντε καὶ πορεύομαι δοκιμάσαι,"· ἐρωτῶ σε, ἔχε με παρῃτημένον."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Luke 17:31,"τοῦ δώματος καὶ τὰ σκεύη αὐτοῦ ἐν τῇ οἰκίᾳ, μὴ καταβάτω ἆραι",", καὶ ὁ ἐν ἀγρῷ ὁμοίως μὴ ἐπιστρεψάτω εἰς τὰ ὀπίσω."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Luke 18:16,ὁ δὲ Ἰησοῦς προσεκαλέσατο αὐτὰ λέγων· ἄφετε τὰ παιδία ἔρχεσθαι πρός με καὶ μὴ κωλύετε,", τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,John 5:36,Ἐγὼ δὲ ἔχω τὴν μαρτυρίαν μείζω τοῦ Ἰωάννου· τὰ γὰρ ἔργα ἃ δέδωκέν μοι ὁ πατὴρ ἵνα τελειώσω,", αὐτὰ τὰ ἔργα ἃ ποιῶ μαρτυρεῖ περὶ ἐμοῦ ὅτι ὁ πατήρ με ἀπέσταλκεν."
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,John 10:3,φωνῆς αὐτοῦ ἀκούει καὶ τὰ ἴδια πρόβατα φωνεῖ κατʼ ὄνομα καὶ ἐξάγει,.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,John 13:17,"εἰ ταῦτα οἴδατε, μακάριοί ἐστε ἐὰν ποιῆτε",.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Romans 2:3,"λογίζῃ δὲ τοῦτο, ὦ ἄνθρωπε ὁ κρίνων τοὺς τὰ τοιαῦτα πράσσοντας καὶ ποιῶν",", ὅτι σὺ ἐκφεύξῃ τὸ κρίμα τοῦ θεοῦ;"
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Galatians 3:10,οὐκ ἐμμένει  πᾶσιν τοῖς γεγραμμένοις ἐν τῷ βιβλίῳ τοῦ νόμου τοῦ ποιῆσαι,.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,pronoun,Revelation 22:18,Μαρτυρῶ ἐγὼ παντὶ τῷ ἀκούοντι τοὺς λόγους τῆς προφητείας τοῦ βιβλίου τούτου· ἐάν τις ἐπιθῇ ἐπʼ,", ἐπιθήσει ὁ θεὸς ἐπʼ αὐτὸν τὰς  πληγὰς τὰς γεγραμμένας ἐν τῷ βιβλίῳ τούτῳ,"
αὐτάς,αὐτός,—,—,—,third person,feminine,accusative,plural,pronoun,Luke 24:5,ἐμφόβων δὲ γενομένων αὐτῶν καὶ κλινουσῶν τὰ πρόσωπα εἰς τὴν γῆν εἶπαν πρὸς,· τί ζητεῖτε τὸν ζῶντα μετὰ τῶν νεκρῶν;
αὐτάς,αὐτός,—,—,—,third person,feminine,accusative,plural,pronoun,Colossians 3:19,"Οἱ ἄνδρες, ἀγαπᾶτε τὰς γυναῖκας  καὶ μὴ πικραίνεσθε πρὸς",.
αὐτά,αὐτός,—,—,—,third person,neuter,accusative,plural,"pronoun, adjective",Acts 15:27,ἀπεστάλκαμεν οὖν Ἰούδαν καὶ Σιλᾶν καὶ αὐτοὺς διὰ λόγου ἀπαγγέλλοντας τὰ,.
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 1:19,"Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι",.
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 7:14,τί στενὴ ἡ πύλη καὶ τεθλιμμένη ἡ ὁδὸς ἡ ἀπάγουσα εἰς τὴν ζωὴν καὶ ὀλίγοι εἰσὶν οἱ εὑρίσκοντες,.
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 9:18,ἡ θυγάτηρ μου ἄρτι ἐτελεύτησεν· ἀλλʼ ἐλθὼν ἐπίθες τὴν χεῖρά σου ἐπʼ,", καὶ ζήσεται."
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 10:12,εἰσερχόμενοι δὲ εἰς τὴν οἰκίαν ἀσπάσασθε,·
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 10:13,"καὶ ἐὰν μὲν ᾖ ἡ οἰκία ἀξία, ἐλθάτω ἡ εἰρήνη ὑμῶν ἐπʼ",", ἐὰν δὲ μὴ ᾖ ἀξία, ἡ εἰρήνη ὑμῶν πρὸς ὑμᾶς ἐπιστραφήτω."
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 10:39,ὁ εὑρὼν τὴν ψυχὴν αὐτοῦ ἀπολέσει,", καὶ ὁ ἀπολέσας τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν."
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 10:39,"ὁ εὑρὼν τὴν ψυχὴν αὐτοῦ ἀπολέσει αὐτήν, καὶ ὁ ἀπολέσας τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει",.
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 11:12,ἀπὸ δὲ τῶν ἡμερῶν Ἰωάννου τοῦ βαπτιστοῦ ἕως ἄρτι ἡ βασιλεία τῶν οὐρανῶν βιάζεται καὶ βιασταὶ ἁρπάζουσιν,.
αὐτήν,αὐτός,—,—,—,third person,feminine,accusative,singular,pronoun,Matthew 12:41,Ἄνδρες Νινευῖται ἀναστήσονται ἐν τῇ κρίσει μετὰ τῆς γενεᾶς ταύτης καὶ κατακρινοῦσιν,", ὅτι μετενόησαν εἰς τὸ κήρυγμα Ἰωνᾶ, καὶ ἰδοὺ πλεῖον Ἰωνᾶ ὧδε."
