Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Βασιλεὺς,βασιλεύς,—,—,—,—,masculine,nominative,singular,noun,Revelation 19:16,καὶ ἔχει ἐπὶ τὸ ἱμάτιον καὶ ἐπὶ τὸν μηρὸν αὐτοῦ ὄνομα γεγραμμένον·,βασιλέων καὶ κύριος κυρίων.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Matthew 1:6,Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν,".  Δαυὶδ δὲ  ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,"
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Mark 6:25,καὶ εἰσελθοῦσα εὐθὺς μετὰ σπουδῆς πρὸς τὸν,ᾐτήσατο λέγουσα· θέλω ἵνα ἐξαυτῆς δῷς μοι ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Mark 15:9,ὁ δὲ Πιλᾶτος ἀπεκρίθη αὐτοῖς λέγων· θέλετε ἀπολύσω ὑμῖν τὸν,τῶν Ἰουδαίων;
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Mark 15:12,ὁ δὲ Πιλᾶτος πάλιν ἀποκριθεὶς ἔλεγεν αὐτοῖς· τί οὖν [θέλετε] ποιήσω [ὃν λέγετε] τὸν,τῶν Ἰουδαίων;
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Luke 23:2,τὸ ἔθνος ἡμῶν  καὶ κωλύοντα φόρους Καίσαρι διδόναι  καὶ λέγοντα ἑαυτὸν χριστὸν,εἶναι.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,John 6:15,Ἰησοῦς οὖν γνοὺς ὅτι μέλλουσιν ἔρχεσθαι καὶ ἁρπάζειν αὐτὸν ἵνα ποιήσωσιν,",  ἀνεχώρησεν πάλιν εἰς τὸ ὄρος αὐτὸς μόνος."
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,John 18:39,ἔστιν δὲ συνήθεια ὑμῖν ἵνα ἕνα ἀπολύσω ὑμῖν ἐν τῷ πάσχα· βούλεσθε οὖν ἀπολύσω ὑμῖν τὸν,τῶν Ἰουδαίων;
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,John 19:12,"ἐκραύγασαν λέγοντες· ἐὰν τοῦτον ἀπολύσῃς, οὐκ εἶ φίλος τοῦ Καίσαρος· πᾶς ὁ",ἑαυτὸν ποιῶν ἀντιλέγει τῷ Καίσαρι.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,John 19:15,"ἐκραύγασαν οὖν ἐκεῖνοι· ἆρον ἆρον, σταύρωσον αὐτόν.  λέγει αὐτοῖς ὁ Πιλᾶτος· τὸν",ὑμῶν σταυρώσω; ἀπεκρίθησαν οἱ ἀρχιερεῖς· οὐκ ἔχομεν βασιλέα εἰ μὴ Καίσαρα.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,John 19:15,αὐτοῖς ὁ Πιλᾶτος· τὸν βασιλέα ὑμῶν σταυρώσω; ἀπεκρίθησαν οἱ ἀρχιερεῖς· οὐκ ἔχομεν,εἰ μὴ Καίσαρα.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Acts 13:21,κἀκεῖθεν ᾐτήσαντο,"καὶ ἔδωκεν αὐτοῖς ὁ θεὸς τὸν Σαοὺλ υἱὸν Κίς, ἄνδρα ἐκ φυλῆς Βενιαμίν, ἔτη τεσσεράκοντα,"
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Acts 13:22,καὶ μεταστήσας αὐτὸν ἤγειρεν τὸν Δαυὶδ αὐτοῖς εἰς,"ᾧ καὶ εἶπεν μαρτυρήσας· εὗρον Δαυὶδ τὸν τοῦ Ἰεσσαί, ἄνδρα κατὰ τὴν καρδίαν"
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Acts 17:7,οὓς ὑποδέδεκται  Ἰάσων· καὶ οὗτοι πάντες ἀπέναντι τῶν δογμάτων Καίσαρος πράσσουσιν,ἕτερον λέγοντες εἶναι Ἰησοῦν.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,1 Peter 2:17,"πάντας τιμήσατε, τὴν ἀδελφότητα ἀγαπᾶτε, τὸν  θεὸν φοβεῖσθε, τὸν",τιμᾶτε.
βασιλέα,βασιλεύς,—,—,—,—,masculine,accusative,singular,noun,Revelation 9:11,ἔχουσιν ἐπʼ αὐτῶν,"τὸν ἄγγελον τῆς ἀβύσσου, ὄνομα αὐτῷ Ἑβραϊστὶ Ἀβαδδών, καὶ ἐν τῇ Ἑλληνικῇ ὄνομα ἔχει Ἀπολλύων."
βασιλέων,βασιλεύς,—,—,—,—,masculine,genitive,plural,noun,Matthew 11:8,ἀλλὰ τί ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς  ἠμφιεσμένον; ἰδοὺ οἱ τὰ μαλακὰ φοροῦντες ἐν τοῖς οἴκοις τῶν,εἰσίν.
