Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Γινώσκειν,γινώσκω,present,active,infinitive,—,—,—,—,verb,Philippians 1:12,—,"δὲ ὑμᾶς βούλομαι, ἀδελφοί, ὅτι τὰ κατʼ ἐμὲ μᾶλλον εἰς προκοπὴν τοῦ εὐαγγελίου ἐλήλυθεν,"
Γινώσκετε,γινώσκω,present,active,"indicative, imperative",second person,—,—,plural,verb,Hebrews 13:23,—,"τὸν ἀδελφὸν ἡμῶν Τιμόθεον ἀπολελυμένον, μεθʼ οὗ ἐὰν τάχιον ἔρχηται ὄψομαι ὑμᾶς."
Γνοὺς,γινώσκω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 26:10,—,δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· τί κόπους παρέχετε τῇ γυναικί; ἔργον γὰρ καλὸν ἠργάσατο εἰς ἐμέ·
Γνοὺς,γινώσκω,aorist,active,participle,—,masculine,nominative,singular,verb,Acts 23:6,—,δὲ ὁ Παῦλος ὅτι τὸ ἓν μέρος ἐστὶν Σαδδουκαίων τὸ δὲ ἕτερον Φαρισαίων
γίνωσκε,γινώσκω,present,active,imperative,second person,—,—,singular,verb,2 Timothy 3:1,Τοῦτο δὲ,", ὅτι ἐν ἐσχάταις ἡμέραις ἐνστήσονται καιροὶ χαλεποί·"
γινωσκέτω,γινώσκω,present,active,imperative,third person,—,—,singular,verb,Matthew 9:30,καὶ ἠνεῴχθησαν αὐτῶν οἱ ὀφθαλμοί. καὶ ἐνεβριμήθη αὐτοῖς ὁ Ἰησοῦς λέγων· ὁρᾶτε μηδεὶς,.
γινωσκέτω,γινώσκω,present,active,imperative,third person,—,—,singular,verb,Acts 2:36,ἀσφαλῶς οὖν,"πᾶς οἶκος Ἰσραὴλ ὅτι καὶ κύριον αὐτὸν καὶ χριστὸν ἐποίησεν ὁ θεός, τοῦτον"
γινωσκέτω,γινώσκω,present,active,imperative,third person,—,—,singular,verb,James 5:20,—,ὅτι ὁ ἐπιστρέψας ἁμαρτωλὸν ἐκ πλάνης ὁδοῦ αὐτοῦ σώσει  ψυχὴν αὐτοῦ ἐκ θανάτου καὶ καλύψει πλῆθος ἁμαρτιῶν.
γινωσκομένη,γινώσκω,present,passive,participle,—,feminine,nominative,singular,verb,2 Corinthians 3:2,"ἡ ἐπιστολὴ ἡμῶν ὑμεῖς ἐστε, ἐγγεγραμμένη ἐν ταῖς καρδίαις ἡμῶν,","καὶ ἀναγινωσκομένη ὑπὸ πάντων ἀνθρώπων,"
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,Matthew 24:50,ἥξει ὁ κύριος τοῦ δούλου ἐκείνου ἐν ἡμέρᾳ ᾗ οὐ προσδοκᾷ καὶ ἐν ὥρᾳ ᾗ οὐ,","
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,Luke 10:22,"πάντα μοι παρεδόθη ὑπὸ τοῦ πατρός μου, καὶ οὐδεὶς","τίς ἐστιν ὁ υἱὸς εἰ μὴ ὁ πατήρ, καὶ τίς ἐστιν ὁ πατὴρ"
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,Luke 12:46,ἥξει ὁ κύριος τοῦ δούλου ἐκείνου ἐν ἡμέρᾳ ᾗ οὐ προσδοκᾷ καὶ ἐν ὥρᾳ ᾗ οὐ,", καὶ διχοτομήσει αὐτὸν καὶ τὸ μέρος αὐτοῦ μετὰ τῶν ἀπίστων θήσει."
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,Luke 16:15,"καὶ εἶπεν αὐτοῖς· ὑμεῖς ἐστε οἱ δικαιοῦντες ἑαυτοὺς ἐνώπιον τῶν ἀνθρώπων, ὁ δὲ θεὸς",τὰς καρδίας ὑμῶν· ὅτι τὸ ἐν ἀνθρώποις ὑψηλὸν βδέλυγμα ἐνώπιον τοῦ θεοῦ.
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,John 7:27,ἀλλὰ τοῦτον οἴδαμεν πόθεν ἐστίν· ὁ δὲ χριστὸς ὅταν ἔρχηται οὐδεὶς,πόθεν ἐστίν.
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,John 10:15,καθὼς,"με ὁ πατὴρ κἀγὼ γινώσκω τὸν πατέρα,  καὶ τὴν ψυχήν μου τίθημι ὑπὲρ τῶν προβάτων."
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,John 14:17,"τὸ πνεῦμα τῆς ἀληθείας, ὃ ὁ κόσμος οὐ δύναται λαβεῖν, ὅτι οὐ θεωρεῖ αὐτὸ οὐδὲ","· ὑμεῖς  γινώσκετε αὐτό, ὅτι παρʼ ὑμῖν μένει καὶ ἐν ὑμῖν ἔσται."
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,Acts 19:35,"Καταστείλας δὲ ὁ γραμματεὺς τὸν ὄχλον φησίν· ἄνδρες Ἐφέσιοι, τίς γάρ ἐστιν ἀνθρώπων ὃς οὐ",τὴν Ἐφεσίων πόλιν νεωκόρον οὖσαν τῆς μεγάλης Ἀρτέμιδος καὶ τοῦ διοπετοῦς;
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,1 Corinthians 3:20,καὶ πάλιν· κύριος,τοὺς διαλογισμοὺς τῶν σοφῶν ὅτι εἰσὶν μάταιοι.
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,1 John 3:1,"Ἴδετε ποταπὴν ἀγάπην δέδωκεν ἡμῖν ὁ πατήρ, ἵνα τέκνα θεοῦ κληθῶμεν, καὶ ἐσμέν. διὰ τοῦτο ὁ κόσμος οὐ","ἡμᾶς, ὅτι οὐκ ἔγνω αὐτόν."
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,1 John 3:20,"ὅτι ἐὰν  καταγινώσκῃ ἡμῶν ἡ καρδία, ὅτι μείζων ἐστὶν ὁ θεὸς τῆς καρδίας ἡμῶν καὶ",πάντα.
γινώσκει,γινώσκω,present,active,indicative,third person,—,—,singular,verb,1 John 4:7,"τοῦ θεοῦ ἐστιν,      καὶ πᾶς ὁ ἀγαπῶν  ἐκ τοῦ θεοῦ γεγέννηται        καὶ",τὸν θεόν.
γινώσκειν,γινώσκω,present,active,infinitive,—,—,—,—,verb,John 2:24,αὐτὸς δὲ Ἰησοῦς οὐκ ἐπίστευεν αὐτὸν αὐτοῖς διὰ τὸ αὐτὸν,πάντας
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,John 1:48,λέγει αὐτῷ Ναθαναήλ· πόθεν με,; ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ· πρὸ τοῦ σε Φίλιππον φωνῆσαι ὄντα ὑπὸ τὴν συκῆν εἶδόν σε.
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,John 3:10,ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ· σὺ εἶ ὁ διδάσκαλος τοῦ Ἰσραὴλ καὶ ταῦτα οὐ,;
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,John 21:17,"τὸ τρίτον· φιλεῖς με; καὶ λέγει αὐτῷ· κύριε, πάντα σὺ οἶδας, σὺ",ὅτι φιλῶ σε.  λέγει αὐτῷ [ὁ Ἰησοῦς]· βόσκε τὰ πρόβατά μου.
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,Acts 8:30,προσδραμὼν δὲ ὁ Φίλιππος ἤκουσεν αὐτοῦ ἀναγινώσκοντος Ἠσαΐαν τὸν προφήτην καὶ εἶπεν· ἆρά γε,ἃ ἀναγινώσκεις;
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,Acts 21:37,χιλιάρχῳ· εἰ ἔξεστίν μοι εἰπεῖν τι πρὸς σέ; ὁ δὲ ἔφη· Ἑλληνιστὶ,;
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,Romans 2:18,καὶ,"τὸ θέλημα καὶ δοκιμάζεις τὰ διαφέροντα κατηχούμενος ἐκ τοῦ νόμου,"
γινώσκεις,γινώσκω,present,active,indicative,second person,—,—,singular,verb,2 Timothy 1:18,"κυρίου ἐν ἐκείνῃ τῇ ἡμέρᾳ. καὶ ὅσα ἐν Ἐφέσῳ διηκόνησεν, βέλτιον σὺ",.
γινώσκεται,γινώσκω,present,passive,indicative,third person,—,—,singular,verb,Matthew 12:33,σαπρὸν καὶ τὸν καρπὸν αὐτοῦ σαπρόν· ἐκ γὰρ τοῦ καρποῦ τὸ δένδρον,.
γινώσκεται,γινώσκω,present,passive,indicative,third person,—,—,singular,verb,Luke 6:44,ἕκαστον γὰρ δένδρον ἐκ τοῦ ἰδίου καρποῦ,· οὐ γὰρ ἐξ ἀκανθῶν συλλέγουσιν σῦκα οὐδὲ ἐκ βάτου σταφυλὴν τρυγῶσιν.
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,Matthew 16:3,"καὶ πρωΐ· σήμερον χειμών, πυρράζει γὰρ στυγνάζων ὁ οὐρανός. τὸ μὲν πρόσωπον τοῦ οὐρανοῦ","διακρίνειν, τὰ δὲ σημεῖα τῶν καιρῶν οὐ δύνασθε]"
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,Matthew 24:32,"Ἀπὸ δὲ τῆς συκῆς μάθετε τὴν παραβολήν· ὅταν ἤδη ὁ κλάδος αὐτῆς γένηται ἁπαλὸς καὶ τὰ φύλλα ἐκφύῃ,",ὅτι ἐγγὺς τὸ θέρος·
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,Mark 13:28,"Ἀπὸ δὲ τῆς συκῆς μάθετε τὴν παραβολήν· ὅταν ἤδη ὁ κλάδος αὐτῆς ἁπαλὸς γένηται καὶ ἐκφύῃ τὰ φύλλα,",ὅτι ἐγγὺς τὸ θέρος ἐστίν·
γινώσκετε,γινώσκω,present,active,imperative,second person,—,—,plural,verb,Mark 13:29,"οὕτως καὶ ὑμεῖς, ὅταν ἴδητε ταῦτα γινόμενα,",ὅτι ἐγγύς ἐστιν ἐπὶ θύραις.
γινώσκετε,γινώσκω,present,active,imperative,second person,—,—,plural,verb,Luke 10:11,καὶ τὸν κονιορτὸν τὸν κολληθέντα ἡμῖν ἐκ τῆς πόλεως ὑμῶν εἰς τοὺς πόδας ἀπομασσόμεθα ὑμῖν· πλὴν τοῦτο,ὅτι ἤγγικεν  ἡ βασιλεία τοῦ θεοῦ.
γινώσκετε,γινώσκω,present,active,imperative,second person,—,—,plural,verb,Luke 12:39,τοῦτο δὲ,"ὅτι εἰ ᾔδει ὁ οἰκοδεσπότης ποίᾳ ὥρᾳ ὁ κλέπτης ἔρχεται, οὐκ ἂν ἀφῆκεν διορυχθῆναι τὸν οἶκον αὐτοῦ."
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,Luke 21:30,"ὅταν προβάλωσιν ἤδη, βλέποντες ἀφʼ ἑαυτῶν",ὅτι ἤδη ἐγγὺς τὸ θέρος ἐστίν·
γινώσκετε,γινώσκω,present,active,imperative,second person,—,—,plural,verb,Luke 21:31,"οὕτως καὶ ὑμεῖς, ὅταν ἴδητε ταῦτα γινόμενα,",ὅτι ἐγγύς ἐστιν ἡ βασιλεία τοῦ θεοῦ.
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,John 8:43,διὰ τί τὴν λαλιὰν τὴν ἐμὴν οὐ,; ὅτι οὐ δύνασθε ἀκούειν τὸν λόγον τὸν ἐμόν.
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,John 14:7,"εἰ ἐγνώκατέ με, καὶ τὸν πατέρα μου γνώσεσθε. καὶ ἀπʼ ἄρτι",αὐτὸν καὶ ἑωράκατε αὐτόν.
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,John 14:17,"τὸ πνεῦμα τῆς ἀληθείας, ὃ ὁ κόσμος οὐ δύναται λαβεῖν, ὅτι οὐ θεωρεῖ αὐτὸ οὐδὲ γινώσκει· ὑμεῖς","αὐτό, ὅτι παρʼ ὑμῖν μένει καὶ ἐν ὑμῖν ἔσται."
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,Acts 20:34,αὐτοὶ,ὅτι ταῖς χρείαις μου καὶ τοῖς οὖσιν μετʼ ἐμοῦ ὑπηρέτησαν αἱ χεῖρες αὗται.
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,2 Corinthians 8:9,—,"γὰρ τὴν χάριν τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὅτι διʼ ὑμᾶς ἐπτώχευσεν πλούσιος"
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,Philippians 2:22,τὴν δὲ δοκιμὴν αὐτοῦ,", ὅτι ὡς πατρὶ τέκνον σὺν ἐμοὶ ἐδούλευσεν εἰς τὸ εὐαγγέλιον."
γινώσκετε,γινώσκω,present,active,indicative,second person,—,—,plural,verb,1 John 2:29,"ἐὰν εἰδῆτε ὅτι δίκαιός ἐστιν,",ὅτι καὶ πᾶς ὁ ποιῶν τὴν δικαιοσύνην ἐξ αὐτοῦ γεγέννηται.
γινώσκετε,γινώσκω,present,active,"indicative, imperative",second person,—,—,plural,verb,Matthew 24:33,"οὕτως καὶ ὑμεῖς, ὅταν ἴδητε πάντα ταῦτα,",ὅτι ἐγγύς ἐστιν ἐπὶ θύραις.
