Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Γυναῖκας,γυνή,—,—,—,—,feminine,accusative,plural,noun,1 Timothy 3:11,—,"ὡσαύτως σεμνάς, μὴ διαβόλους, νηφαλίους, πιστὰς ἐν πᾶσιν."
Γυνὴ,γυνή,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 7:39,—,δέδεται  ἐφʼ ὅσον χρόνον ζῇ ὁ ἀνὴρ αὐτῆς· ἐὰν δὲ  κοιμηθῇ ὁ ἀνήρ
Γυνὴ,γυνή,—,—,—,—,feminine,nominative,singular,noun,1 Timothy 2:11,—,ἐν ἡσυχίᾳ μανθανέτω ἐν πάσῃ ὑποταγῇ·
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,Matthew 22:27,ὕστερον δὲ πάντων ἀπέθανεν  ἡ,.
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,Matthew 22:28,ἐν τῇ ἀναστάσει οὖν τίνος τῶν ἑπτὰ ἔσται,; πάντες γὰρ ἔσχον αὐτήν·
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,Mark 12:23,ἐν τῇ ἀναστάσει [ὅταν ἀναστῶσιν] τίνος αὐτῶν ἔσται,; οἱ γὰρ ἑπτὰ ἔσχον αὐτὴν γυναῖκα.
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,Luke 1:13,"εἶπεν δὲ πρὸς αὐτὸν ὁ ἄγγελος·        μὴ φοβοῦ, Ζαχαρία,        διότι εἰσηκούσθη ἡ δέησίς σου,        καὶ ἡ",σου Ἐλισάβετ γεννήσει υἱόν σοι        καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰωάννην.
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,Luke 1:18,καὶ εἶπεν Ζαχαρίας πρὸς τὸν ἄγγελον· κατὰ τί γνώσομαι τοῦτο; ἐγὼ γάρ εἰμι πρεσβύτης καὶ ἡ,μου προβεβηκυῖα ἐν ταῖς ἡμέραις αὐτῆς.
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,Luke 20:33,ἡ γυνὴ οὖν ἐν τῇ ἀναστάσει τίνος αὐτῶν γίνεται,; οἱ γὰρ ἑπτὰ ἔσχον αὐτὴν γυναῖκα.
γυνή,γυνή,—,—,—,—,feminine,nominative,singular,noun,John 4:11,Λέγει αὐτῷ [ἡ,"]· κύριε, οὔτε ἄντλημα ἔχεις καὶ τὸ φρέαρ ἐστὶν βαθύ· πόθεν οὖν ἔχεις τὸ ὕδωρ τὸ ζῶν;"
