Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
γῆ,γῆ,—,—,—,—,feminine,vocative,singular,noun,Matthew 2:6,"καὶ σὺ Βηθλέεμ,","Ἰούδα,           οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα        ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος"
γῆ,γῆ,—,—,—,—,feminine,vocative,singular,noun,Matthew 4:15,—,"Ζαβουλὼν καὶ γῆ Νεφθαλίμ,        ὁδὸν θαλάσσης, πέραν τοῦ Ἰορδάνου,           Γαλιλαία τῶν ἐθνῶν,"
γῆ,γῆ,—,—,—,—,feminine,vocative,singular,noun,Matthew 4:15,γῆ Ζαβουλὼν καὶ,"Νεφθαλίμ,        ὁδὸν θαλάσσης, πέραν τοῦ Ἰορδάνου,           Γαλιλαία τῶν ἐθνῶν,"
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,Matthew 27:51,Καὶ ἰδοὺ τὸ καταπέτασμα τοῦ ναοῦ ἐσχίσθη ἀπʼ ἄνωθεν ἕως κάτω εἰς δύο καὶ ἡ,"ἐσείσθη καὶ αἱ πέτραι ἐσχίσθησαν,"
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,Mark 4:28,αὐτομάτη ἡ,"καρποφορεῖ, πρῶτον χόρτον εἶτα στάχυν εἶτα πλήρης σῖτον ἐν τῷ στάχυϊ."
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,Acts 7:33,"εἶπεν δὲ αὐτῷ ὁ κύριος· λῦσον τὸ ὑπόδημα τῶν ποδῶν σου, ὁ γὰρ τόπος ἐφʼ ᾧ ἕστηκας",ἁγία ἐστίν.
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,Acts 7:49,"ὁ οὐρανός μοι θρόνος,           ἡ δὲ","ὑποπόδιον τῶν ποδῶν μου        ποῖον οἶκον οἰκοδομήσετέ μοι, λέγει κύριος,           ἢ τίς τόπος τῆς καταπαύσεώς μου;"
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 10:26,τοῦ κυρίου γὰρ ἡ,καὶ τὸ πλήρωμα αὐτῆς.
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,Hebrews 6:7,—,γὰρ ἡ πιοῦσα τὸν ἐπʼ αὐτῆς ἐρχόμενον πολλάκις ὑετὸν καὶ τίκτουσα βοτάνην εὔθετον
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,James 5:18,"καὶ πάλιν προσηύξατο, καὶ ὁ οὐρανὸς ὑετὸν ἔδωκεν καὶ ἡ",ἐβλάστησεν τὸν καρπὸν αὐτῆς.
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,2 Peter 3:5,λανθάνει γὰρ αὐτοὺς τοῦτο θέλοντας ὅτι οὐρανοὶ ἦσαν ἔκπαλαι καὶ,ἐξ ὕδατος καὶ διʼ ὕδατος συνεστῶσα τῷ τοῦ θεοῦ λόγῳ
γῆ,γῆ,—,—,—,—,feminine,nominative,singular,noun,2 Peter 3:10,"Ἥξει δὲ ἡμέρα κυρίου ὡς κλέπτης  ἐν ᾗ οἱ οὐρανοὶ ῥοιζηδὸν παρελεύσονται, στοιχεῖα δὲ καυσούμενα λυθήσεται, καὶ",καὶ τὰ ἐν αὐτῇ ἔργα οὐχ εὑρεθήσεται.
