Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 1:2,"Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ",δὲ,"ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:2,"Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ",δὲ,"ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:3,Ἰούδας,δὲ,"ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φάρες δὲ ἐγέννησεν τὸν",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:3,"Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φάρες",δὲ,"ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:3,"Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φάρες δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ",δὲ,"ἐγέννησεν τὸν Ἀράμ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:4,Ἀρὰμ,δὲ,"ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:4,"Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ",δὲ,"ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:4,"Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν",δὲ,"ἐγέννησεν τὸν Σαλμών,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:5,Σαλμὼν,δὲ,"ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:5,"Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες",δὲ,"ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,",δέ,Louw Nida 89.87,δε,conjunction,—
