Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Διʼ,διά,—,—,—,—,—,—,—,preposition,2 Timothy 1:6,—,"ἣν αἰτίαν ἀναμιμνῄσκω σε ἀναζωπυρεῖν τὸ χάρισμα τοῦ θεοῦ, ὅ ἐστιν ἐν σοὶ"
Διʼ,διά,—,—,—,—,—,—,—,preposition,Hebrews 13:15,—,"αὐτοῦ [οὖν] ἀναφέρωμεν θυσίαν αἰνέσεως διὰ παντὸς τῷ θεῷ, τοῦτʼ ἔστιν καρπὸν χειλέων ὁμολογούντων τῷ ὀνόματι αὐτοῦ."
Διὰ,διά,—,—,—,—,—,—,—,preposition,Matthew 6:25,—,τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν τί φάγητε [ἢ τί πίητε
Διὰ,διά,—,—,—,—,—,—,—,preposition,Matthew 12:31,—,"τοῦτο λέγω ὑμῖν, πᾶσα ἁμαρτία καὶ βλασφημία ἀφεθήσεται  τοῖς ἀνθρώποις, ἡ δὲ τοῦ πνεύματος βλασφημία οὐκ ἀφεθήσεται ."
Διὰ,διά,—,—,—,—,—,—,—,preposition,Matthew 18:23,—,"τοῦτο ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ βασιλεῖ, ὃς ἠθέλησεν συνᾶραι λόγον μετὰ τῶν δούλων αὐτοῦ."
Διὰ,διά,—,—,—,—,—,—,—,preposition,Matthew 23:34,—,τοῦτο ἰδοὺ ἐγὼ ἀποστέλλω πρὸς ὑμᾶς προφήτας καὶ σοφοὺς καὶ γραμματεῖς·  ἐξ αὐτῶν
Διὰ,διά,—,—,—,—,—,—,—,preposition,John 10:17,—,"τοῦτό με ὁ πατὴρ ἀγαπᾷ ὅτι ἐγὼ τίθημι τὴν ψυχήν μου, ἵνα πάλιν λάβω αὐτήν."
Διὰ,διά,—,—,—,—,—,—,—,preposition,Acts 5:12,—,δὲ τῶν χειρῶν τῶν ἀποστόλων ἐγίνετο σημεῖα καὶ τέρατα πολλὰ ἐν τῷ λαῷ
Διὰ,διά,—,—,—,—,—,—,—,preposition,Romans 1:26,—,"τοῦτο παρέδωκεν αὐτοὺς ὁ θεὸς εἰς πάθη ἀτιμίας, αἵ τε γὰρ θήλειαι αὐτῶν"
Διὰ,διά,—,—,—,—,—,—,—,preposition,Romans 4:16,—,"τοῦτο ἐκ πίστεως, ἵνα  κατὰ χάριν, εἰς τὸ εἶναι βεβαίαν τὴν ἐπαγγελίαν παντὶ"
Διὰ,διά,—,—,—,—,—,—,—,preposition,Romans 5:12,—,τοῦτο ὥσπερ διʼ ἑνὸς ἀνθρώπου ἡ ἁμαρτία εἰς τὸν κόσμον εἰσῆλθεν καὶ διὰ
Διὰ,διά,—,—,—,—,—,—,—,preposition,1 Corinthians 4:17,—,"τοῦτο  ἔπεμψα ὑμῖν Τιμόθεον, ὅς ἐστίν μου τέκνον ἀγαπητὸν καὶ πιστὸν ἐν κυρίῳ"
Διὰ,διά,—,—,—,—,—,—,—,preposition,2 Corinthians 4:1,—,"τοῦτο, ἔχοντες τὴν διακονίαν ταύτην καθὼς ἠλεήθημεν, οὐκ ἐγκακοῦμεν"
Διὰ,διά,—,—,—,—,—,—,—,preposition,2 Corinthians 13:10,—,"τοῦτο ταῦτα ἀπὼν γράφω, ἵνα παρὼν μὴ ἀποτόμως χρήσωμαι κατὰ τὴν ἐξουσίαν ἣν"
Διὰ,διά,—,—,—,—,—,—,—,preposition,Ephesians 1:15,—,τοῦτο κἀγὼ ἀκούσας τὴν καθʼ ὑμᾶς πίστιν ἐν τῷ κυρίῳ Ἰησοῦ καὶ τὴν
Διὰ,διά,—,—,—,—,—,—,—,preposition,Ephesians 6:18,—,"πάσης προσευχῆς καὶ δεήσεως προσευχόμενοι ἐν παντὶ καιρῷ ἐν πνεύματι, καὶ εἰς αὐτὸ"
Διὰ,διά,—,—,—,—,—,—,—,preposition,Colossians 1:9,—,"τοῦτο καὶ ἡμεῖς, ἀφʼ ἧς ἡμέρας ἠκούσαμεν, οὐ παυόμεθα ὑπὲρ ὑμῶν προσευχόμενοι καὶ"
Διὰ,διά,—,—,—,—,—,—,—,preposition,Hebrews 2:1,—,"τοῦτο δεῖ περισσοτέρως προσέχειν ἡμᾶς τοῖς ἀκουσθεῖσιν, μήποτε παραρυῶμεν."
Διὰ,διά,—,—,—,—,—,—,—,preposition,1 Peter 5:12,—,"Σιλουανοῦ ὑμῖν τοῦ πιστοῦ ἀδελφοῦ, ὡς λογίζομαι, διʼ ὀλίγων ἔγραψα παρακαλῶν καὶ ἐπιμαρτυρῶν"
διʼ,διά,—,—,—,—,—,—,—,preposition,Matthew 2:12,"Καὶ χρηματισθέντες κατʼ ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην,",ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν.
διʼ,διά,—,—,—,—,—,—,—,preposition,Matthew 7:13,ἡ ὁδὸς ἡ ἀπάγουσα εἰς τὴν ἀπώλειαν καὶ πολλοί εἰσιν οἱ εἰσερχόμενοι,αὐτῆς·
διʼ,διά,—,—,—,—,—,—,—,preposition,Matthew 12:43,"Ὅταν δὲ τὸ ἀκάθαρτον πνεῦμα ἐξέλθῃ ἀπὸ τοῦ ἀνθρώπου, διέρχεται",ἀνύδρων τόπων ζητοῦν ἀνάπαυσιν καὶ οὐχ εὑρίσκει.
διʼ,διά,—,—,—,—,—,—,—,preposition,Matthew 18:7,"Οὐαὶ τῷ κόσμῳ ἀπὸ τῶν σκανδάλων· ἀνάγκη γὰρ  ἐλθεῖν τὰ σκάνδαλα, πλὴν οὐαὶ τῷ ἀνθρώπῳ",οὗ τὸ σκάνδαλον ἔρχεται.
διʼ,διά,—,—,—,—,—,—,—,preposition,Matthew 26:24,"ὁ μὲν υἱὸς τοῦ ἀνθρώπου ὑπάγει καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ",οὗ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται· καλὸν ἦν αὐτῷ εἰ οὐκ ἐγεννήθη ὁ ἄνθρωπος ἐκεῖνος.
διʼ,διά,—,—,—,—,—,—,—,preposition,Matthew 27:19,μηδὲν σοὶ καὶ τῷ δικαίῳ ἐκείνῳ· πολλὰ γὰρ ἔπαθον σήμερον κατʼ ὄναρ,αὐτόν.
διʼ,διά,—,—,—,—,—,—,—,preposition,Mark 2:1,Καὶ εἰσελθὼν πάλιν εἰς Καφαρναοὺμ,ἡμερῶν ἠκούσθη ὅτι ἐν οἴκῳ ἐστίν.
διʼ,διά,—,—,—,—,—,—,—,preposition,Mark 14:21,"ὅτι ὁ μὲν υἱὸς τοῦ ἀνθρώπου ὑπάγει καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ",οὗ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται· καλὸν  αὐτῷ εἰ οὐκ ἐγεννήθη ὁ ἄνθρωπος ἐκεῖνος.
