Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Matthew 3:15,"ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· ἄφες ἄρτι, οὕτως γὰρ πρέπον ἐστὶν ἡμῖν πληρῶσαι πᾶσαν",. τότε ἀφίησιν αὐτόν.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Matthew 5:6,μακάριοι οἱ πεινῶντες καὶ διψῶντες τὴν,",        ὅτι αὐτοὶ χορτασθήσονται."
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Matthew 5:10,μακάριοι οἱ δεδιωγμένοι ἕνεκεν,",        ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν."
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,Matthew 5:20,Λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ὑμῶν ἡ,"πλεῖον τῶν γραμματέων καὶ Φαρισαίων, οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν."
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Matthew 6:1,Προσέχετε [δὲ] τὴν,ὑμῶν μὴ ποιεῖν ἔμπροσθεν τῶν ἀνθρώπων πρὸς τὸ θεαθῆναι αὐτοῖς· εἰ δὲ μή
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Matthew 6:33,ζητεῖτε δὲ πρῶτον τὴν βασιλείαν [τοῦ θεοῦ] καὶ τὴν,"αὐτοῦ, καὶ ταῦτα πάντα προστεθήσεται ὑμῖν."
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Matthew 21:32,ἦλθεν γὰρ Ἰωάννης πρὸς ὑμᾶς ἐν ὁδῷ,", καὶ οὐκ ἐπιστεύσατε αὐτῷ, οἱ δὲ τελῶναι καὶ αἱ πόρναι ἐπίστευσαν αὐτῷ· ὑμεῖς"
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,Luke 1:75,ἐν ὁσιότητι καὶ,ἐνώπιον αὐτοῦ πάσαις ταῖς ἡμέραις ἡμῶν.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,John 16:8,Καὶ ἐλθὼν ἐκεῖνος ἐλέγξει τὸν κόσμον περὶ ἁμαρτίας καὶ περὶ,καὶ περὶ κρίσεως·
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,John 16:10,περὶ,"δέ, ὅτι πρὸς τὸν πατέρα  ὑπάγω καὶ οὐκέτι θεωρεῖτέ με·"
