Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 9:20,Καὶ ἰδοὺ γυνὴ αἱμορροοῦσα,ἔτη  προσελθοῦσα ὄπισθεν ἥψατο τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ·
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 10:1,Καὶ προσκαλεσάμενος τοὺς,μαθητὰς αὐτοῦ ἔδωκεν αὐτοῖς ἐξουσίαν  πνευμάτων ἀκαθάρτων ὥστε ἐκβάλλειν αὐτὰ καὶ θεραπεύειν πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 10:2,Τῶν δὲ,ἀποστόλων τὰ ὀνόματά ἐστιν ταῦτα· πρῶτος Σίμων ὁ λεγόμενος Πέτρος καὶ Ἀνδρέας ὁ
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 10:5,Τούτους τοὺς,ἀπέστειλεν ὁ Ἰησοῦς παραγγείλας αὐτοῖς λέγων· εἰς ὁδὸν ἐθνῶν μὴ ἀπέλθητε καὶ εἰς πόλιν Σαμαριτῶν μὴ εἰσέλθητε·
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 11:1,Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς διατάσσων τοῖς,"μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ διδάσκειν καὶ κηρύσσειν ἐν ταῖς πόλεσιν αὐτῶν."
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 14:20,"καὶ ἔφαγον πάντες καὶ ἐχορτάσθησαν, καὶ ἦραν τὸ περισσεῦον τῶν κλασμάτων",κοφίνους πλήρεις.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 19:28,"ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ θρόνου δόξης αὐτοῦ, καθήσεσθε καὶ ὑμεῖς ἐπὶ",θρόνους κρίνοντες τὰς δώδεκα φυλὰς τοῦ Ἰσραήλ.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 19:28,"ἐπὶ θρόνου δόξης αὐτοῦ, καθήσεσθε καὶ ὑμεῖς ἐπὶ δώδεκα θρόνους κρίνοντες τὰς",φυλὰς τοῦ Ἰσραήλ.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 20:17,Καὶ ἀναβαίνων ὁ Ἰησοῦς εἰς Ἱεροσόλυμα παρέλαβεν τοὺς,[μαθητὰς] κατʼ ἰδίαν καὶ ἐν τῇ ὁδῷ εἶπεν αὐτοῖς·
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 26:14,Τότε πορευθεὶς εἷς τῶν,", ὁ λεγόμενος Ἰούδας Ἰσκαριώτης, πρὸς τοὺς ἀρχιερεῖς"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 26:20,Ὀψίας δὲ γενομένης ἀνέκειτο μετὰ τῶν,.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 26:47,Καὶ ἔτι αὐτοῦ λαλοῦντος ἰδοὺ Ἰούδας εἷς τῶν,ἦλθεν καὶ μετʼ αὐτοῦ ὄχλος πολὺς μετὰ μαχαιρῶν καὶ ξύλων ἀπὸ τῶν ἀρχιερέων καὶ πρεσβυτέρων τοῦ λαοῦ.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Matthew 26:53,"ἢ δοκεῖς ὅτι οὐ δύναμαι παρακαλέσαι τὸν πατέρα μου, καὶ παραστήσει μοι  ἄρτι πλείω",λεγιῶνας ἀγγέλων;
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 3:14,Καὶ ἐποίησεν,[οὓς καὶ ἀποστόλους ὠνόμασεν] ἵνα ὦσιν μετʼ αὐτοῦ καὶ ἵνα ἀποστέλλῃ αὐτοὺς κηρύσσειν
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 3:16,[Καὶ ἐποίησεν τοὺς,"] καὶ ἐπέθηκεν ὄνομα τῷ Σίμωνι Πέτρον,"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 4:10,"Καὶ ὅτε ἐγένετο κατὰ μόνας, ἠρώτων αὐτὸν οἱ περὶ αὐτὸν σὺν τοῖς",τὰς παραβολάς.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 5:25,Καὶ γυνὴ  οὖσα ἐν ῥύσει αἵματος,ἔτη
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 5:42,καὶ εὐθὺς ἀνέστη τὸ κοράσιον καὶ περιεπάτει· ἦν γὰρ ἐτῶν,. καὶ ἐξέστησαν [εὐθὺς] ἐκστάσει μεγάλῃ.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 6:7,Καὶ προσκαλεῖται τοὺς,"καὶ ἤρξατο αὐτοὺς ἀποστέλλειν δύο δύο καὶ ἐδίδου αὐτοῖς ἐξουσίαν τῶν πνευμάτων τῶν ἀκαθάρτων,"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 6:43,καὶ ἦραν κλάσματα,κοφίνων πληρώματα καὶ ἀπὸ τῶν ἰχθύων.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 8:19,"ὅτε τοὺς πέντε ἄρτους ἔκλασα εἰς τοὺς πεντακισχιλίους , πόσους κοφίνους κλασμάτων πλήρεις ἤρατε; λέγουσιν αὐτῷ·",.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 9:35,καὶ καθίσας ἐφώνησεν τοὺς,"καὶ λέγει αὐτοῖς· εἴ τις θέλει πρῶτος εἶναι, ἔσται πάντων ἔσχατος καὶ πάντων διάκονος."
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 10:32,"ὁ Ἰησοῦς, καὶ ἐθαμβοῦντο, οἱ δὲ ἀκολουθοῦντες ἐφοβοῦντο. καὶ παραλαβὼν πάλιν τοὺς",ἤρξατο αὐτοῖς λέγειν τὰ μέλλοντα αὐτῷ συμβαίνειν
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 11:11,"περιβλεψάμενος πάντα, ὀψίας ἤδη οὔσης τῆς ὥρας, ἐξῆλθεν εἰς Βηθανίαν μετὰ τῶν",.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 14:10,Καὶ  Ἰούδας Ἰσκαριὼθ ὁ εἷς τῶν,ἀπῆλθεν πρὸς τοὺς ἀρχιερεῖς ἵνα αὐτὸν παραδοῖ αὐτοῖς.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 14:17,Καὶ ὀψίας γενομένης ἔρχεται μετὰ τῶν,.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 14:20,ὁ δὲ εἶπεν αὐτοῖς· εἷς  τῶν,", ὁ ἐμβαπτόμενος μετʼ ἐμοῦ εἰς τὸ  τρύβλιον."
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Mark 14:43,Καὶ εὐθὺς ἔτι αὐτοῦ λαλοῦντος παραγίνεται  Ἰούδας  εἷς τῶν,καὶ μετʼ αὐτοῦ ὄχλος μετὰ μαχαιρῶν καὶ ξύλων παρὰ τῶν ἀρχιερέων καὶ τῶν γραμματέων καὶ τῶν πρεσβυτέρων.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 2:42,Καὶ ὅτε ἐγένετο ἐτῶν,", ἀναβαινόντων αὐτῶν κατὰ τὸ ἔθος τῆς ἑορτῆς"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 6:13,"Καὶ ὅτε ἐγένετο ἡμέρα, προσεφώνησεν τοὺς μαθητὰς αὐτοῦ, καὶ ἐκλεξάμενος ἀπʼ αὐτῶν",", οὓς καὶ ἀποστόλους ὠνόμασεν·"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 8:1,πόλιν καὶ κώμην κηρύσσων καὶ εὐαγγελιζόμενος τὴν βασιλείαν τοῦ θεοῦ καὶ οἱ,"σὺν αὐτῷ,"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 8:42,ὅτι θυγάτηρ μονογενὴς ἦν αὐτῷ ὡς ἐτῶν,καὶ αὐτὴ ἀπέθνῃσκεν. Ἐν δὲ τῷ ὑπάγειν αὐτὸν οἱ ὄχλοι συνέπνιγον αὐτόν.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 8:43,Καὶ γυνὴ οὖσα ἐν ῥύσει αἵματος ἀπὸ ἐτῶν,", ἥτις [ἰατροῖς προσαναλώσασα ὅλον τὸν βίον] οὐκ ἴσχυσεν ἀπʼ οὐδενὸς θεραπευθῆναι,"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 9:1,Συγκαλεσάμενος δὲ τοὺς,ἔδωκεν αὐτοῖς δύναμιν καὶ ἐξουσίαν ἐπὶ πάντα τὰ δαιμόνια καὶ νόσους θεραπεύειν
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 9:12,Ἡ δὲ ἡμέρα ἤρξατο κλίνειν· προσελθόντες δὲ οἱ,"εἶπαν αὐτῷ· ἀπόλυσον τὸν ὄχλον, ἵνα πορευθέντες εἰς τὰς κύκλῳ κώμας καὶ  ἀγροὺς"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 9:17,"καὶ ἔφαγον καὶ ἐχορτάσθησαν πάντες, καὶ ἤρθη τὸ περισσεῦσαν αὐτοῖς κλασμάτων κόφινοι",.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 18:31,Παραλαβὼν δὲ τοὺς,"εἶπεν πρὸς αὐτούς· ἰδοὺ ἀναβαίνομεν εἰς Ἰερουσαλήμ, καὶ τελεσθήσεται πάντα τὰ γεγραμμένα διὰ"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 22:3,"Εἰσῆλθεν δὲ σατανᾶς εἰς Ἰούδαν τὸν καλούμενον Ἰσκαριώτην, ὄντα ἐκ τοῦ ἀριθμοῦ τῶν",·
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 22:30,"ἵνα ἔσθητε καὶ πίνητε ἐπὶ τῆς τραπέζης μου ἐν τῇ βασιλείᾳ μου,  καὶ καθήσεσθε ἐπὶ  θρόνων τὰς",φυλὰς κρίνοντες τοῦ Ἰσραήλ.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Luke 22:47,"Ἔτι  αὐτοῦ λαλοῦντος ἰδοὺ ὄχλος , καὶ ὁ λεγόμενος Ἰούδας εἷς τῶν",προήρχετο αὐτοὺς  καὶ ἤγγισεν τῷ Ἰησοῦ φιλῆσαι αὐτόν.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",John 6:13,συνήγαγον οὖν καὶ ἐγέμισαν,κοφίνους κλασμάτων ἐκ τῶν πέντε ἄρτων τῶν κριθίνων ἃ ἐπερίσσευσαν τοῖς βεβρωκόσιν.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",John 6:67,εἶπεν οὖν ὁ Ἰησοῦς τοῖς,· μὴ καὶ ὑμεῖς θέλετε ὑπάγειν;
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",John 6:70,ἀπεκρίθη αὐτοῖς ὁ Ἰησοῦς· οὐκ ἐγὼ ὑμᾶς τοὺς,ἐξελεξάμην; καὶ ἐξ ὑμῶν εἷς διάβολός ἐστιν.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",John 6:71,"ἔλεγεν δὲ τὸν Ἰούδαν Σίμωνος Ἰσκαριώτου· οὗτος γὰρ ἔμελλεν παραδιδόναι αὐτόν, εἷς  ἐκ τῶν",.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",John 11:9,ἀπεκρίθη  Ἰησοῦς· οὐχὶ,"ὧραί εἰσιν τῆς ἡμέρας; ἐάν τις περιπατῇ ἐν τῇ ἡμέρᾳ, οὐ προσκόπτει, ὅτι"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",John 20:24,Θωμᾶς δὲ εἷς ἐκ τῶν,", ὁ λεγόμενος Δίδυμος, οὐκ ἦν μετʼ αὐτῶν ὅτε ἦλθεν  Ἰησοῦς."
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 6:2,προσκαλεσάμενοι δὲ οἱ,τὸ πλῆθος τῶν μαθητῶν εἶπαν· οὐκ ἀρεστόν ἐστιν ἡμᾶς καταλείψαντας τὸν λόγον τοῦ θεοῦ διακονεῖν τραπέζαις.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 7:8,"αὐτὸν τῇ ἡμέρᾳ τῇ ὀγδόῃ, καὶ Ἰσαὰκ τὸν Ἰακώβ, καὶ Ἰακὼβ τοὺς",πατριάρχας.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 19:7,ἦσαν δὲ οἱ πάντες ἄνδρες ὡσεὶ,.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Acts 24:11,δυναμένου σου ἐπιγνῶναι ὅτι οὐ πλείους εἰσίν μοι ἡμέραι,ἀφʼ ἧς ἀνέβην προσκυνήσων εἰς Ἰερουσαλήμ.
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",1 Corinthians 15:5,καὶ ὅτι ὤφθη Κηφᾷ εἶτα τοῖς,·
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 7:5,ἐκ φυλῆς Ἰούδα,"χιλιάδες ἐσφραγισμένοι,           ἐκ φυλῆς Ῥουβὴν δώδεκα χιλιάδες,           ἐκ φυλῆς Γὰδ δώδεκα χιλιάδες,"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 7:5,"ἐκ φυλῆς Ἰούδα δώδεκα χιλιάδες ἐσφραγισμένοι,           ἐκ φυλῆς Ῥουβὴν","χιλιάδες,           ἐκ φυλῆς Γὰδ δώδεκα χιλιάδες,"
δώδεκα,δώδεκα,—,—,—,—,—,—,—,"indeclinable, adjective",Revelation 7:5,"ἐκ φυλῆς Ἰούδα δώδεκα χιλιάδες ἐσφραγισμένοι,           ἐκ φυλῆς Ῥουβὴν δώδεκα χιλιάδες,           ἐκ φυλῆς Γὰδ","χιλιάδες,"
