Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 4:3,καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ·,εἰ,"υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Matthew 4:6,καὶ λέγει αὐτῷ·,εἰ,"υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν  κάτω· γέγραπται γὰρ ὅτι        τοῖς ἀγγέλοις αὐτοῦ",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Matthew 5:13,"Ὑμεῖς ἐστε τὸ ἅλας τῆς γῆς· ἐὰν δὲ τὸ ἅλας μωρανθῇ, ἐν τίνι ἁλισθήσεται; εἰς οὐδὲν ἰσχύει ἔτι",εἰ,μὴ βληθὲν ἔξω καταπατεῖσθαι ὑπὸ τῶν ἀνθρώπων.,εἰ,Louw Nida 89.131,ει,conjunction,—
NA28,Matthew 5:29,—,Εἰ,"δὲ ὁ ὀφθαλμός σου ὁ δεξιὸς σκανδαλίζει σε, ἔξελε αὐτὸν καὶ βάλε ἀπὸ",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Matthew 5:30,καὶ,εἰ,"ἡ δεξιά σου χεὶρ σκανδαλίζει σε, ἔκκοψον αὐτὴν καὶ βάλε ἀπὸ σοῦ· συμφέρει",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Matthew 6:1,Προσέχετε [δὲ] τὴν δικαιοσύνην ὑμῶν μὴ ποιεῖν ἔμπροσθεν τῶν ἀνθρώπων πρὸς τὸ θεαθῆναι αὐτοῖς·,εἰ,"δὲ μή γε, μισθὸν οὐκ ἔχετε παρὰ τῷ πατρὶ ὑμῶν τῷ ἐν τοῖς οὐρανοῖς.",εἰ,Louw Nida 89.131,ει,conjunction,—
NA28,Matthew 6:23,"ἐὰν δὲ ὁ ὀφθαλμός σου πονηρὸς ᾖ, ὅλον τὸ σῶμά σου σκοτεινὸν ἔσται.",εἰ,"οὖν τὸ φῶς τὸ ἐν σοὶ σκότος ἐστίν, τὸ σκότος πόσον.",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Matthew 6:30,—,εἰ,δὲ τὸν χόρτον τοῦ ἀγροῦ σήμερον ὄντα καὶ αὔριον εἰς κλίβανον βαλλόμενον ὁ,εἰ,Louw Nida 89.30,ει,conjunction,—
NA28,Matthew 7:11,—,εἰ,"οὖν ὑμεῖς πονηροὶ ὄντες οἴδατε δόματα ἀγαθὰ διδόναι τοῖς τέκνοις ὑμῶν, πόσῳ μᾶλλον",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Matthew 8:31,οἱ δὲ δαίμονες παρεκάλουν αὐτὸν λέγοντες·,εἰ,"ἐκβάλλεις ἡμᾶς, ἀπόστειλον ἡμᾶς εἰς τὴν ἀγέλην τῶν χοίρων.",εἰ,Louw Nida 89.65,ει,conjunction,—
