Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Εἰσὶν,εἰμί,present,active,indicative,third person,—,—,plural,verb,Titus 1:10,—,"γὰρ πολλοὶ [καὶ] ἀνυπότακτοι, ματαιολόγοι καὶ φρεναπάται, μάλιστα οἱ ἐκ τῆς περιτομῆς,"
Οὔσης,εἰμί,present,active,participle,—,feminine,genitive,singular,verb,John 20:19,—,οὖν ὀψίας τῇ ἡμέρᾳ ἐκείνῃ τῇ μιᾷ σαββάτων καὶ τῶν θυρῶν κεκλεισμένων ὅπου
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,Luke 22:58,"καὶ μετὰ βραχὺ ἕτερος ἰδὼν αὐτὸν ἔφη· καὶ σὺ ἐξ αὐτῶν εἶ. ὁ δὲ Πέτρος ἔφη· ἄνθρωπε, οὐκ",.
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 1:21,καὶ ἠρώτησαν αὐτόν· τί οὖν; σὺ Ἠλίας εἶ; καὶ λέγει· οὐκ,. ὁ προφήτης εἶ σύ; καὶ ἀπεκρίθη· οὔ.
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 7:28,ἔκραξεν οὖν ἐν τῷ ἱερῷ διδάσκων ὁ Ἰησοῦς καὶ λέγων· κἀμὲ οἴδατε καὶ οἴδατε πόθεν,"· καὶ ἀπʼ ἐμαυτοῦ οὐκ ἐλήλυθα, ἀλλʼ ἔστιν ἀληθινὸς ὁ πέμψας με, ὃν ὑμεῖς οὐκ οἴδατε·"
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 8:16,"καὶ ἐὰν κρίνω δὲ ἐγώ, ἡ κρίσις ἡ ἐμὴ ἀληθινή ἐστιν, ὅτι μόνος οὐκ",", ἀλλʼ ἐγὼ καὶ ὁ πέμψας με πατήρ."
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 8:23,"καὶ ἔλεγεν αὐτοῖς· ὑμεῖς ἐκ τῶν κάτω ἐστέ, ἐγὼ ἐκ τῶν ἄνω","· ὑμεῖς ἐκ τούτου τοῦ κόσμου ἐστέ, ἐγὼ οὐκ εἰμὶ ἐκ τοῦ κόσμου τούτου."
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 8:58,"εἶπεν αὐτοῖς  Ἰησοῦς· ἀμὴν ἀμὴν λέγω ὑμῖν, πρὶν Ἀβραὰμ γενέσθαι ἐγὼ",.
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 18:17,καὶ σὺ ἐκ τῶν μαθητῶν εἶ τοῦ ἀνθρώπου τούτου; λέγει ἐκεῖνος· οὐκ,.
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,John 18:25,καὶ σὺ ἐκ τῶν μαθητῶν αὐτοῦ εἶ; ἠρνήσατο ἐκεῖνος καὶ εἶπεν· οὐκ,.
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,Romans 1:14,"Ἕλλησίν τε καὶ βαρβάροις, σοφοῖς τε καὶ ἀνοήτοις ὀφειλέτης",","
εἰμί,εἰμί,present,active,indicative,first person,—,—,singular,verb,Romans 11:1,"Λέγω οὖν, μὴ ἀπώσατο ὁ θεὸς τὸν λαὸν αὐτοῦ; μὴ γένοιτο· καὶ γὰρ ἐγὼ Ἰσραηλίτης",", ἐκ σπέρματος Ἀβραάμ, φυλῆς Βενιαμίν."
εἰμι,εἰμί,present,active,indicative,first person,—,—,singular,verb,Matthew 8:9,καὶ γὰρ ἐγὼ ἄνθρωπός,"ὑπὸ ἐξουσίαν , ἔχων ὑπʼ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· πορεύθητι, καὶ πορεύεται, καὶ"
εἰμι,εἰμί,present,active,indicative,first person,—,—,singular,verb,Matthew 11:29,"ἄρατε τὸν ζυγόν μου ἐφʼ ὑμᾶς καὶ μάθετε ἀπʼ ἐμοῦ, ὅτι πραΰς","καὶ ταπεινὸς τῇ καρδίᾳ, καὶ εὑρήσετε ἀνάπαυσιν ταῖς ψυχαῖς ὑμῶν·"
