Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Εἰσέλθατε,εἰσέρχομαι,aorist,active,imperative,second person,—,—,plural,verb,Matthew 7:13,—,διὰ τῆς στενῆς πύλης· ὅτι πλατεῖα ἡ πύλη καὶ εὐρύχωρος ἡ ὁδὸς ἡ
Εἰσελθόντος,εἰσέρχομαι,aorist,active,participle,—,masculine,genitive,singular,verb,Matthew 8:5,—,δὲ αὐτοῦ εἰς Καφαρναοὺμ προσῆλθεν αὐτῷ ἑκατόνταρχος παρακαλῶν αὐτὸν
Εἰσελθὼν,εἰσέρχομαι,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 22:11,—,"δὲ ὁ βασιλεὺς θεάσασθαι τοὺς ἀνακειμένους εἶδεν ἐκεῖ ἄνθρωπον οὐκ ἐνδεδυμένον ἔνδυμα γάμου,"
Εἰσελθὼν,εἰσέρχομαι,aorist,active,participle,—,masculine,nominative,singular,verb,Acts 19:8,—,δὲ εἰς τὴν συναγωγὴν  ἐπαρρησιάζετο ἐπὶ μῆνας τρεῖς διαλεγόμενος καὶ πείθων [τὰ] περὶ τῆς βασιλείας τοῦ θεοῦ.
Εἰσερχόμεθα,εἰσέρχομαι,present,either middle or passive,indicative,first person,—,—,plural,verb,Hebrews 4:3,—,"γὰρ εἰς [τὴν] κατάπαυσιν οἱ πιστεύσαντες, καθὼς εἴρηκεν·      ὡς ὤμοσα ἐν τῇ ὀργῇ"
Εἰσῆλθεν,εἰσέρχομαι,aorist,active,indicative,third person,—,—,singular,verb,Luke 9:46,—,"δὲ διαλογισμὸς ἐν αὐτοῖς, τὸ τίς ἂν εἴη μείζων αὐτῶν."
Εἰσῆλθεν,εἰσέρχομαι,aorist,active,indicative,third person,—,—,singular,verb,Luke 22:3,—,"δὲ σατανᾶς εἰς Ἰούδαν τὸν καλούμενον Ἰσκαριώτην, ὄντα ἐκ τοῦ ἀριθμοῦ τῶν δώδεκα·"
Εἰσῆλθεν,εἰσέρχομαι,aorist,active,indicative,third person,—,—,singular,verb,John 18:33,—,οὖν πάλιν εἰς τὸ πραιτώριον ὁ Πιλᾶτος καὶ ἐφώνησεν τὸν Ἰησοῦν καὶ εἶπεν
εἰσέλθητε,εἰσέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 5:20,"Λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ὑμῶν ἡ δικαιοσύνη πλεῖον τῶν γραμματέων καὶ Φαρισαίων, οὐ μὴ",εἰς τὴν βασιλείαν τῶν οὐρανῶν.
εἰσέλθητε,εἰσέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 10:5,αὐτοῖς λέγων· εἰς ὁδὸν ἐθνῶν μὴ ἀπέλθητε καὶ εἰς πόλιν Σαμαριτῶν μὴ,·
εἰσέλθητε,εἰσέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 10:11,Εἰς ἣν δʼ ἂν πόλιν ἢ κώμην,", ἐξετάσατε τίς ἐν αὐτῇ ἄξιός ἐστιν· κἀκεῖ μείνατε ἕως ἂν ἐξέλθητε."
εἰσέλθητε,εἰσέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 18:3,"καὶ εἶπεν· ἀμὴν λέγω ὑμῖν, ἐὰν μὴ στραφῆτε καὶ γένησθε ὡς τὰ παιδία, οὐ μὴ",εἰς τὴν βασιλείαν τῶν οὐρανῶν.
εἰσέλθητε,εἰσέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 26:41,"γρηγορεῖτε καὶ προσεύχεσθε, ἵνα μὴ",εἰς πειρασμόν· τὸ μὲν πνεῦμα πρόθυμον ἡ δὲ σὰρξ ἀσθενής.
