Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Romans 12:6,"ἔχοντες δὲ χαρίσματα κατὰ τὴν χάριν τὴν δοθεῖσαν ἡμῖν διάφορα,",εἴτε,"προφητείαν κατὰ τὴν ἀναλογίαν τῆς πίστεως,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,Romans 12:7,—,εἴτε,"διακονίαν ἐν τῇ διακονίᾳ, εἴτε ὁ διδάσκων ἐν τῇ διδασκαλίᾳ,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,Romans 12:7,"εἴτε διακονίαν ἐν τῇ διακονίᾳ,",εἴτε,"ὁ διδάσκων ἐν τῇ διδασκαλίᾳ,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,Romans 12:8,—,εἴτε,"ὁ παρακαλῶν ἐν τῇ παρακλήσει· ὁ μεταδιδοὺς ἐν ἁπλότητι, ὁ προϊστάμενος ἐν σπουδῇ, ὁ ἐλεῶν ἐν ἱλαρότητι.",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,—,εἴτε,"Παῦλος εἴτε Ἀπολλῶς εἴτε Κηφᾶς, εἴτε κόσμος εἴτε ζωὴ εἴτε θάνατος, εἴτε ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,εἴτε Παῦλος,εἴτε,"Ἀπολλῶς εἴτε Κηφᾶς, εἴτε κόσμος εἴτε ζωὴ εἴτε θάνατος, εἴτε ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,εἴτε Παῦλος εἴτε Ἀπολλῶς,εἴτε,"Κηφᾶς, εἴτε κόσμος εἴτε ζωὴ εἴτε θάνατος, εἴτε ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,"εἴτε Παῦλος εἴτε Ἀπολλῶς εἴτε Κηφᾶς,",εἴτε,"κόσμος εἴτε ζωὴ εἴτε θάνατος, εἴτε ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,"εἴτε Παῦλος εἴτε Ἀπολλῶς εἴτε Κηφᾶς, εἴτε κόσμος",εἴτε,"ζωὴ εἴτε θάνατος, εἴτε ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,"εἴτε Παῦλος εἴτε Ἀπολλῶς εἴτε Κηφᾶς, εἴτε κόσμος εἴτε ζωὴ",εἴτε,"θάνατος, εἴτε ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,"εἴτε Παῦλος εἴτε Ἀπολλῶς εἴτε Κηφᾶς, εἴτε κόσμος εἴτε ζωὴ εἴτε θάνατος,",εἴτε,"ἐνεστῶτα εἴτε μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
NA28,1 Corinthians 3:22,"εἴτε Παῦλος εἴτε Ἀπολλῶς εἴτε Κηφᾶς, εἴτε κόσμος εἴτε ζωὴ εἴτε θάνατος, εἴτε ἐνεστῶτα",εἴτε,"μέλλοντα· πάντα ὑμῶν,",εἴτε,Louw Nida 89.69,ειτε,conjunction,—
