Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Εὐθεῖαν,εὐθύς,—,—,—,—,feminine,accusative,singular,adjective,Acts 9:11,ὁ δὲ κύριος πρὸς αὐτόν· ἀναστὰς πορεύθητι ἐπὶ τὴν ῥύμην τὴν καλουμένην,καὶ ζήτησον ἐν οἰκίᾳ Ἰούδα Σαῦλον ὀνόματι Ταρσέα· ἰδοὺ γὰρ προσεύχεται
εὐθείας,εὐθύς,—,—,—,—,feminine,accusative,plural,adjective,Matthew 3:3,"τοῦ προφήτου λέγοντος·        φωνὴ βοῶντος ἐν τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,",ποιεῖτε τὰς τρίβους αὐτοῦ.
εὐθείας,εὐθύς,—,—,—,—,feminine,accusative,plural,adjective,Mark 1:3,"φωνὴ βοῶντος ἐν τῇ ἐρήμῳ·      ἑτοιμάσατε τὴν ὁδὸν κυρίου,","ποιεῖτε τὰς τρίβους αὐτοῦ,"
εὐθείας,εὐθύς,—,—,—,—,feminine,accusative,plural,adjective,Luke 3:4,"ὡς γέγραπται ἐν βίβλῳ λόγων Ἠσαΐου τοῦ προφήτου·           φωνὴ βοῶντος ἐν τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,",ποιεῖτε τὰς τρίβους αὐτοῦ·
εὐθείας,εὐθύς,—,—,—,—,feminine,accusative,plural,adjective,Acts 13:10,"διαβόλου, ἐχθρὲ πάσης δικαιοσύνης, οὐ παύσῃ διαστρέφων τὰς ὁδοὺς [τοῦ] κυρίου τὰς",;
εὐθεῖα,εὐθύς,—,—,—,—,feminine,nominative,singular,adjective,Acts 8:21,"οὐκ ἔστιν σοι μερὶς οὐδὲ κλῆρος ἐν τῷ λόγῳ τούτῳ, ἡ γὰρ καρδία σου οὐκ ἔστιν",ἔναντι τοῦ θεοῦ.
εὐθεῖαν,εὐθύς,—,—,—,—,feminine,accusative,singular,adjective,Luke 3:5,"πᾶσα φάραγξ πληρωθήσεται           καὶ πᾶν ὄρος καὶ βουνὸς ταπεινωθήσεται,        καὶ ἔσται τὰ σκολιὰ εἰς",καὶ αἱ τραχεῖαι εἰς ὁδοὺς λείας·
εὐθεῖαν,εὐθύς,—,—,—,—,feminine,accusative,singular,adjective,2 Peter 2:15,καταλιπόντες,"ὁδὸν ἐπλανήθησαν ἐξακολουθήσαντες τῇ ὁδῷ τοῦ Βαλαὰμ τοῦ Βοσὸρ ὃς μισθὸν ἀδικίας ἠγάπησεν,"
εὐθύς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",John 13:30,λαβὼν οὖν τὸ ψωμίον ἐκεῖνος ἐξῆλθεν,. ἦν δὲ νύξ.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Matthew 3:16,βαπτισθεὶς δὲ ὁ Ἰησοῦς,"ἀνέβη ἀπὸ τοῦ ὕδατος· καὶ ἰδοὺ ἠνεῴχθησαν [αὐτῷ] οἱ οὐρανοί, καὶ εἶδεν [τὸ"
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Matthew 13:20,"ὁ δὲ ἐπὶ τὰ πετρώδη σπαρείς, οὗτός ἐστιν ὁ τὸν λόγον ἀκούων καὶ","μετὰ χαρᾶς λαμβάνων αὐτόν,"
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Matthew 13:21,"οὐκ ἔχει δὲ ῥίζαν ἐν ἑαυτῷ ἀλλὰ πρόσκαιρός ἐστιν, γενομένης δὲ θλίψεως ἢ διωγμοῦ διὰ τὸν λόγον",σκανδαλίζεται.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Matthew 14:27,—,"δὲ ἐλάλησεν [ὁ Ἰησοῦς] αὐτοῖς λέγων· θαρσεῖτε, ἐγώ εἰμι· μὴ φοβεῖσθε."
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Matthew 21:3,"καὶ ἐάν τις ὑμῖν εἴπῃ τι, ἐρεῖτε ὅτι ὁ κύριος αὐτῶν χρείαν ἔχει·",δὲ ἀποστελεῖ αὐτούς.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:10,καὶ,ἀναβαίνων ἐκ τοῦ ὕδατος εἶδεν σχιζομένους τοὺς οὐρανοὺς καὶ τὸ πνεῦμα ὡς περιστερὰν καταβαῖνον  εἰς αὐτόν·
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:12,Καὶ,τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:18,καὶ,ἀφέντες τὰ δίκτυα ἠκολούθησαν αὐτῷ.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:20,καὶ,ἐκάλεσεν αὐτούς. καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:21,Καὶ εἰσπορεύονται εἰς Καφαρναούμ· καὶ,τοῖς σάββασιν εἰσελθὼν εἰς τὴν συναγωγὴν ἐδίδασκεν.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:23,Καὶ,ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ καὶ ἀνέκραξεν
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:28,καὶ ἐξῆλθεν ἡ ἀκοὴ αὐτοῦ,πανταχοῦ εἰς ὅλην τὴν περίχωρον τῆς Γαλιλαίας.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:29,Καὶ,ἐκ τῆς συναγωγῆς ἐξελθόντες ἦλθον εἰς τὴν οἰκίαν Σίμωνος καὶ Ἀνδρέου μετὰ Ἰακώβου καὶ Ἰωάννου.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:30,"ἡ δὲ πενθερὰ Σίμωνος κατέκειτο πυρέσσουσα, καὶ",λέγουσιν αὐτῷ περὶ αὐτῆς.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:42,καὶ,"ἀπῆλθεν ἀπʼ αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη."
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 1:43,καὶ ἐμβριμησάμενος αὐτῷ,ἐξέβαλεν αὐτὸν
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 2:8,καὶ,ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ ὅτι οὕτως  διαλογίζονται ἐν ἑαυτοῖς λέγει αὐτοῖς
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 2:12,καὶ ἠγέρθη καὶ,"ἄρας τὸν κράβαττον ἐξῆλθεν ἔμπροσθεν πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν"
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 3:6,Καὶ ἐξελθόντες οἱ Φαρισαῖοι,μετὰ τῶν Ἡρῳδιανῶν συμβούλιον ἐδίδουν κατʼ αὐτοῦ ὅπως αὐτὸν ἀπολέσωσιν.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 4:5,"καὶ ἄλλο ἔπεσεν ἐπὶ τὸ πετρῶδες ὅπου οὐκ εἶχεν γῆν πολλήν, καὶ",ἐξανέτειλεν διὰ τὸ μὴ ἔχειν βάθος γῆς·
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 4:15,"οὗτοι δέ εἰσιν οἱ παρὰ τὴν ὁδόν· ὅπου σπείρεται ὁ λόγος καὶ ὅταν ἀκούσωσιν,",ἔρχεται ὁ σατανᾶς καὶ αἴρει τὸν λόγον τὸν ἐσπαρμένον εἰς αὐτούς.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 4:16,"καὶ οὗτοί εἰσιν οἱ ἐπὶ τὰ πετρώδη σπειρόμενοι, οἳ ὅταν ἀκούσωσιν τὸν λόγον","μετὰ χαρᾶς λαμβάνουσιν αὐτόν,"
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 4:17,"καὶ οὐκ ἔχουσιν ῥίζαν ἐν ἑαυτοῖς ἀλλὰ πρόσκαιροί εἰσιν, εἶτα γενομένης θλίψεως ἢ διωγμοῦ διὰ τὸν λόγον",σκανδαλίζονται.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 4:29,"ὅταν δὲ παραδοῖ ὁ καρπός,","ἀποστέλλει τὸ δρέπανον, ὅτι παρέστηκεν ὁ θερισμός."
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 5:2,καὶ ἐξελθόντος αὐτοῦ ἐκ τοῦ πλοίου,"ὑπήντησεν αὐτῷ ἐκ τῶν μνημείων ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ,"
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 5:29,καὶ,ἐξηράνθη ἡ πηγὴ τοῦ αἵματος αὐτῆς καὶ ἔγνω τῷ σώματι ὅτι ἴαται ἀπὸ τῆς μάστιγος.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 5:30,καὶ,ὁ Ἰησοῦς ἐπιγνοὺς ἐν ἑαυτῷ τὴν ἐξ αὐτοῦ δύναμιν ἐξελθοῦσαν ἐπιστραφεὶς ἐν τῷ
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 5:42,καὶ,ἀνέστη τὸ κοράσιον καὶ περιεπάτει· ἦν γὰρ ἐτῶν δώδεκα. καὶ ἐξέστησαν [εὐθὺς] ἐκστάσει μεγάλῃ.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 5:42,καὶ εὐθὺς ἀνέστη τὸ κοράσιον καὶ περιεπάτει· ἦν γὰρ ἐτῶν δώδεκα. καὶ ἐξέστησαν [,] ἐκστάσει μεγάλῃ.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 6:25,καὶ εἰσελθοῦσα,μετὰ σπουδῆς πρὸς τὸν βασιλέα ᾐτήσατο λέγουσα· θέλω ἵνα ἐξαυτῆς δῷς μοι ἐπὶ
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 6:27,καὶ,ἀποστείλας ὁ βασιλεὺς σπεκουλάτορα ἐπέταξεν ἐνέγκαι τὴν κεφαλὴν αὐτοῦ. καὶ ἀπελθὼν ἀπεκεφάλισεν αὐτὸν ἐν τῇ φυλακῇ
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 6:45,Καὶ,ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον καὶ προάγειν εἰς τὸ πέραν
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 6:50,πάντες γὰρ αὐτὸν εἶδον καὶ ἐταράχθησαν. ὁ δὲ,"ἐλάλησεν μετʼ αὐτῶν, καὶ λέγει αὐτοῖς· θαρσεῖτε, ἐγώ εἰμι· μὴ φοβεῖσθε."
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 6:54,Καὶ ἐξελθόντων αὐτῶν ἐκ τοῦ πλοίου,ἐπιγνόντες αὐτὸν
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 7:25,ἀλλʼ,"ἀκούσασα γυνὴ περὶ αὐτοῦ, ἧς εἶχεν τὸ θυγάτριον αὐτῆς πνεῦμα ἀκάθαρτον, ἐλθοῦσα προσέπεσεν πρὸς τοὺς πόδας αὐτοῦ·"
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 8:10,Καὶ,ἐμβὰς  εἰς τὸ πλοῖον μετὰ τῶν μαθητῶν αὐτοῦ ἦλθεν εἰς τὰ μέρη Δαλμανουθά.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 9:15,καὶ,πᾶς ὁ ὄχλος ἰδόντες αὐτὸν ἐξεθαμβήθησαν καὶ προστρέχοντες ἠσπάζοντο αὐτόν.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 9:20,καὶ ἤνεγκαν αὐτὸν πρὸς αὐτόν. καὶ ἰδὼν αὐτὸν τὸ πνεῦμα,"συνεσπάραξεν αὐτόν, καὶ πεσὼν ἐπὶ τῆς γῆς ἐκυλίετο ἀφρίζων."
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 9:24,—,κράξας ὁ πατὴρ τοῦ παιδίου  ἔλεγεν· πιστεύω· βοήθει μου τῇ ἀπιστίᾳ.
εὐθὺς,εὐθύς,—,—,—,—,—,—,—,"adverb, adjective",Mark 10:52,"καὶ ὁ Ἰησοῦς εἶπεν αὐτῷ· ὕπαγε, ἡ πίστις σου σέσωκέν σε. καὶ",ἀνέβλεψεν καὶ ἠκολούθει αὐτῷ ἐν τῇ ὁδῷ.
