Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Θέλεις,θέλω,present,active,indicative,second person,—,—,singular,verb,James 2:20,—,"δὲ γνῶναι, ὦ ἄνθρωπε κενέ, ὅτι ἡ πίστις χωρὶς τῶν ἔργων ἀργή ἐστιν;"
Θέλω,θέλω,present,active,indicative,first person,—,—,singular,verb,1 Corinthians 7:32,—,"δὲ ὑμᾶς ἀμερίμνους εἶναι. ὁ ἄγαμος μεριμνᾷ τὰ τοῦ κυρίου, πῶς ἀρέσῃ τῷ κυρίῳ·"
Θέλω,θέλω,present,active,indicative,first person,—,—,singular,verb,1 Corinthians 11:3,—,"δὲ ὑμᾶς εἰδέναι ὅτι παντὸς ἀνδρὸς ἡ κεφαλὴ ὁ Χριστός ἐστιν, κεφαλὴ δὲ"
Θέλω,θέλω,present,active,indicative,first person,—,—,singular,verb,Colossians 2:1,—,γὰρ ὑμᾶς εἰδέναι ἡλίκον ἀγῶνα ἔχω ὑπὲρ ὑμῶν καὶ τῶν ἐν Λαοδικείᾳ  καὶ
θέλει,θέλω,present,active,indicative,third person,—,—,singular,verb,Matthew 16:24,Τότε ὁ Ἰησοῦς εἶπεν τοῖς μαθηταῖς αὐτοῦ· εἴ τις,"ὀπίσω μου ἐλθεῖν, ἀπαρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ καὶ ἀκολουθείτω μοι."
θέλει,θέλω,present,active,indicative,third person,—,—,singular,verb,Matthew 27:43,"πέποιθεν ἐπὶ τὸν θεόν, ῥυσάσθω νῦν εἰ",αὐτόν· εἶπεν γὰρ ὅτι θεοῦ εἰμι υἱός.
θέλει,θέλω,present,active,indicative,third person,—,—,singular,verb,Mark 8:34,Καὶ προσκαλεσάμενος τὸν ὄχλον σὺν τοῖς μαθηταῖς αὐτοῦ εἶπεν αὐτοῖς· εἴ τις,"ὀπίσω μου ἀκολουθεῖν, ἀπαρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ καὶ ἀκολουθείτω μοι."
θέλει,θέλω,present,active,indicative,third person,—,—,singular,verb,Mark 9:35,καὶ καθίσας ἐφώνησεν τοὺς δώδεκα καὶ λέγει αὐτοῖς· εἴ τις,"πρῶτος εἶναι, ἔσται πάντων ἔσχατος καὶ πάντων διάκονος."
θέλει,θέλω,present,active,indicative,third person,—,—,singular,verb,Luke 5:39,[καὶ] οὐδεὶς πιὼν παλαιὸν,νέον· λέγει γάρ· ὁ παλαιὸς χρηστός ἐστιν.
θέλει,θέλω,present,active,indicative,third person,—,—,singular,verb,Luke 9:23,Ἔλεγεν δὲ πρὸς πάντας· εἴ τις,"ὀπίσω μου ἔρχεσθαι, ἀρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ καθʼ ἡμέραν καὶ ἀκολουθείτω μοι."
