Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
θεός,θεός,—,—,—,—,masculine,nominative,singular,Matthew 1:23,"καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ,  ὅ ἐστιν μεθερμηνευόμενον μεθʼ ἡμῶν ὁ",.
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 3:9,καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν ὅτι δύναται ὁ,ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 3:16,"ὕδατος· καὶ ἰδοὺ ἠνεῴχθησαν [αὐτῷ] οἱ οὐρανοί, καὶ εἶδεν [τὸ] πνεῦμα [τοῦ]",καταβαῖνον ὡσεὶ περιστερὰν [καὶ] ἐρχόμενον ἐπʼ αὐτόν·
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 4:3,καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ·  εἰ υἱὸς εἶ τοῦ,", εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 4:4,"ἄρτῳ μόνῳ ζήσεται ὁ ἄνθρωπος, ἀλλʼ ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος",.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 4:6,καὶ λέγει αὐτῷ· εἰ υἱὸς εἶ τοῦ,", βάλε σεαυτὸν  κάτω· γέγραπται γὰρ ὅτι        τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ        καὶ"
θεόν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 4:7,ἔφη αὐτῷ ὁ Ἰησοῦς· πάλιν γέγραπται· οὐκ ἐκπειράσεις κύριον τὸν,σου.
θεόν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 4:10,"τότε λέγει αὐτῷ ὁ Ἰησοῦς· ὕπαγε , σατανᾶ· γέγραπται γάρ· κύριον τὸν",σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις.
θεὸν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 5:8,"μακάριοι οἱ καθαροὶ τῇ καρδίᾳ,        ὅτι αὐτοὶ τὸν",ὄψονται.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 5:9,"μακάριοι οἱ εἰρηνοποιοί,        ὅτι αὐτοὶ υἱοὶ",κληθήσονται.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 5:34,"ἐγὼ δὲ λέγω ὑμῖν μὴ ὀμόσαι ὅλως· μήτε ἐν τῷ οὐρανῷ, ὅτι θρόνος ἐστὶν τοῦ",","
θεῷ,θεός,—,—,—,—,masculine,dative,singular,Matthew 6:24,"τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε",δουλεύειν καὶ μαμωνᾷ.
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 6:30,εἰ δὲ τὸν χόρτον τοῦ ἀγροῦ σήμερον ὄντα καὶ αὔριον εἰς κλίβανον βαλλόμενον ὁ,"οὕτως ἀμφιέννυσιν, οὐ πολλῷ μᾶλλον ὑμᾶς, ὀλιγόπιστοι;"
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 6:33,ζητεῖτε δὲ πρῶτον τὴν βασιλείαν [τοῦ,"] καὶ τὴν δικαιοσύνην αὐτοῦ, καὶ ταῦτα πάντα προστεθήσεται ὑμῖν."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 8:29,"καὶ ἰδοὺ ἔκραξαν λέγοντες· τί ἡμῖν καὶ σοί,  υἱὲ τοῦ",; ἦλθες ὧδε πρὸ καιροῦ βασανίσαι ἡμᾶς;
θεὸν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 9:8,ἰδόντες δὲ οἱ ὄχλοι ἐφοβήθησαν καὶ ἐδόξασαν τὸν,τὸν δόντα ἐξουσίαν τοιαύτην τοῖς ἀνθρώποις.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 12:4,πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ,"καὶ τοὺς ἄρτους τῆς προθέσεως ἔφαγον, ὃ οὐκ ἐξὸν ἦν αὐτῷ φαγεῖν οὐδὲ"
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 12:28,εἰ δὲ ἐν πνεύματι,"ἐγὼ ἐκβάλλω τὰ δαιμόνια, ἄρα ἔφθασεν ἐφʼ ὑμᾶς ἡ βασιλεία τοῦ θεοῦ."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 12:28,"εἰ δὲ ἐν πνεύματι θεοῦ ἐγὼ ἐκβάλλω τὰ δαιμόνια, ἄρα ἔφθασεν ἐφʼ ὑμᾶς ἡ βασιλεία τοῦ",.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 14:33,οἱ δὲ ἐν τῷ πλοίῳ  προσεκύνησαν αὐτῷ λέγοντες· ἀληθῶς,υἱὸς εἶ.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 15:3,ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· διὰ τί καὶ ὑμεῖς παραβαίνετε τὴν ἐντολὴν τοῦ,διὰ τὴν παράδοσιν ὑμῶν;
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 15:4,ὁ γὰρ,"εἶπεν· τίμα τὸν πατέρα  καὶ τὴν μητέρα , καί· ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 15:6,οὐ μὴ τιμήσει τὸν πατέρα αὐτοῦ · καὶ ἠκυρώσατε τὸν λόγον τοῦ,διὰ τὴν παράδοσιν ὑμῶν.
θεὸν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 15:31,"ὥστε τὸν ὄχλον θαυμάσαι βλέποντας κωφοὺς λαλοῦντας, κυλλοὺς ὑγιεῖς καὶ χωλοὺς περιπατοῦντας καὶ τυφλοὺς βλέποντας· καὶ ἐδόξασαν τὸν",Ἰσραήλ.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 16:16,ἀποκριθεὶς δὲ Σίμων Πέτρος εἶπεν· σὺ εἶ ὁ χριστὸς ὁ υἱὸς τοῦ,τοῦ ζῶντος.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 16:23,"ὁ δὲ στραφεὶς εἶπεν τῷ Πέτρῳ· ὕπαγε ὀπίσω μου, σατανᾶ· σκάνδαλον εἶ ἐμοῦ, ὅτι οὐ φρονεῖς τὰ τοῦ",ἀλλὰ τὰ τῶν ἀνθρώπων.
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 19:6,ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ οὖν ὁ,συνέζευξεν  ἄνθρωπος μὴ χωριζέτω.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 19:24,"πάλιν δὲ λέγω ὑμῖν,  εὐκοπώτερόν ἐστιν κάμηλον διὰ τρυπήματος ῥαφίδος διελθεῖν ἢ πλούσιον εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ",.
θεῷ,θεός,—,—,—,—,masculine,dative,singular,Matthew 19:26,"ἐμβλέψας δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· παρὰ ἀνθρώποις τοῦτο ἀδύνατόν ἐστιν, παρὰ δὲ",πάντα δυνατά.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 21:31,ὅτι οἱ τελῶναι καὶ αἱ πόρναι προάγουσιν ὑμᾶς εἰς τὴν βασιλείαν τοῦ,.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 21:43,διὰ τοῦτο λέγω ὑμῖν ὅτι ἀρθήσεται ἀφʼ ὑμῶν ἡ βασιλεία τοῦ,καὶ δοθήσεται ἔθνει ποιοῦντι τοὺς καρποὺς αὐτῆς.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 22:16,"τῶν Ἡρῳδιανῶν λέγοντες· διδάσκαλε, οἴδαμεν ὅτι ἀληθὴς εἶ καὶ τὴν ὁδὸν τοῦ","ἐν ἀληθείᾳ διδάσκεις καὶ οὐ μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων,"
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 22:21,λέγουσιν αὐτῷ· Καίσαρος. τότε λέγει αὐτοῖς· ἀπόδοτε οὖν τὰ Καίσαρος  Καίσαρι καὶ τὰ τοῦ,τῷ θεῷ.
θεῷ,θεός,—,—,—,—,masculine,dative,singular,Matthew 22:21,λέγουσιν αὐτῷ· Καίσαρος. τότε λέγει αὐτοῖς· ἀπόδοτε οὖν τὰ Καίσαρος  Καίσαρι καὶ τὰ τοῦ θεοῦ τῷ,.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 22:29,Ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· πλανᾶσθε μὴ εἰδότες τὰς γραφὰς μηδὲ τὴν δύναμιν τοῦ,·
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 22:31,περὶ δὲ τῆς ἀναστάσεως τῶν νεκρῶν οὐκ ἀνέγνωτε τὸ ῥηθὲν ὑμῖν ὑπὸ τοῦ,λέγοντος·
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 22:32,ἐγώ εἰμι ὁ,Ἀβραὰμ καὶ ὁ θεὸς Ἰσαὰκ καὶ ὁ θεὸς Ἰακώβ; οὐκ ἔστιν [ὁ] θεὸς νεκρῶν ἀλλὰ ζώντων.
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 22:32,ἐγώ εἰμι ὁ θεὸς Ἀβραὰμ καὶ ὁ,Ἰσαὰκ καὶ ὁ θεὸς Ἰακώβ; οὐκ ἔστιν [ὁ] θεὸς νεκρῶν ἀλλὰ ζώντων.
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 22:32,ἐγώ εἰμι ὁ θεὸς Ἀβραὰμ καὶ ὁ θεὸς Ἰσαὰκ καὶ ὁ,Ἰακώβ; οὐκ ἔστιν [ὁ] θεὸς νεκρῶν ἀλλὰ ζώντων.
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Matthew 22:32,ἐγώ εἰμι ὁ θεὸς Ἀβραὰμ καὶ ὁ θεὸς Ἰσαὰκ καὶ ὁ θεὸς Ἰακώβ; οὐκ ἔστιν [ὁ],νεκρῶν ἀλλὰ ζώντων.
θεόν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 22:37,ὁ δὲ ἔφη αὐτῷ· ἀγαπήσεις κύριον τὸν,σου ἐν ὅλῃ τῇ καρδίᾳ σου καὶ ἐν ὅλῃ τῇ ψυχῇ σου καὶ
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 23:22,καὶ ὁ ὀμόσας ἐν τῷ οὐρανῷ ὀμνύει ἐν τῷ θρόνῳ τοῦ,καὶ ἐν τῷ καθημένῳ ἐπάνω αὐτοῦ.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 26:61,εἶπαν· οὗτος ἔφη· δύναμαι καταλῦσαι τὸν ναὸν τοῦ,καὶ διὰ τριῶν ἡμερῶν οἰκοδομῆσαι.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 26:63,ὁ δὲ Ἰησοῦς ἐσιώπα. καὶ  ὁ ἀρχιερεὺς εἶπεν αὐτῷ· ἐξορκίζω σε κατὰ τοῦ,τοῦ ζῶντος ἵνα ἡμῖν εἴπῃς εἰ σὺ εἶ ὁ χριστὸς ὁ υἱὸς τοῦ θεοῦ .
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 26:63,ζῶντος ἵνα ἡμῖν εἴπῃς εἰ σὺ εἶ ὁ χριστὸς ὁ υἱὸς τοῦ,.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 27:40,"καὶ λέγοντες· ὁ καταλύων τὸν ναὸν καὶ ἐν τρισὶν ἡμέραις οἰκοδομῶν, σῶσον σεαυτόν, εἰ υἱὸς εἶ τοῦ",", [καὶ] κατάβηθι ἀπὸ τοῦ σταυροῦ."
θεόν,θεός,—,—,—,—,masculine,accusative,singular,Matthew 27:43,πέποιθεν ἐπὶ τὸν,", ῥυσάσθω νῦν εἰ θέλει αὐτόν· εἶπεν γὰρ ὅτι θεοῦ εἰμι υἱός."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 27:43,"πέποιθεν ἐπὶ τὸν θεόν, ῥυσάσθω νῦν εἰ θέλει αὐτόν· εἶπεν γὰρ ὅτι",εἰμι υἱός.
θεέ,θεός,—,—,—,—,masculine,vocative,singular,Matthew 27:46,περὶ δὲ τὴν ἐνάτην ὥραν ἀνεβόησεν ὁ Ἰησοῦς φωνῇ μεγάλῃ λέγων·      ηλι ηλι λεμα σαβαχθανι;  τοῦτʼ ἔστιν·,"μου θεέ μου, ἱνατί με ἐγκατέλιπες;"
θεέ,θεός,—,—,—,—,masculine,vocative,singular,Matthew 27:46,Ἰησοῦς φωνῇ μεγάλῃ λέγων·      ηλι ηλι λεμα σαβαχθανι;  τοῦτʼ ἔστιν· θεέ μου,"μου, ἱνατί με ἐγκατέλιπες;"
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Matthew 27:54,"τὸν Ἰησοῦν ἰδόντες τὸν σεισμὸν καὶ τὰ γενόμενα ἐφοβήθησαν σφόδρα, λέγοντες· ἀληθῶς",υἱὸς ἦν οὗτος.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 1:1,Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ Χριστοῦ [υἱοῦ,].
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 1:14,Μετὰ δὲ τὸ παραδοθῆναι τὸν Ἰωάννην ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν κηρύσσων τὸ εὐαγγέλιον  τοῦ,""
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 1:15,καὶ λέγων ὅτι πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ,· μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 1:24,"λέγων·  τί ἡμῖν καὶ σοί, Ἰησοῦ Ναζαρηνέ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδά σε τίς εἶ, ὁ ἅγιος τοῦ",.
θεός,θεός,—,—,—,—,masculine,nominative,singular,Mark 2:7,τί οὗτος οὕτως λαλεῖ; βλασφημεῖ· τίς δύναται ἀφιέναι ἁμαρτίας εἰ μὴ εἷς ὁ,;
θεὸν,θεός,—,—,—,—,masculine,accusative,singular,Mark 2:12,"καὶ ἠγέρθη καὶ εὐθὺς ἄρας τὸν κράβαττον ἐξῆλθεν ἔμπροσθεν πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν",λέγοντας ὅτι οὕτως οὐδέποτε εἴδομεν.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 2:26,πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ,"ἐπὶ Ἀβιαθὰρ ἀρχιερέως καὶ τοὺς ἄρτους τῆς προθέσεως ἔφαγεν, οὓς οὐκ ἔξεστιν φαγεῖν"
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 3:11,"ἐθεώρουν, προσέπιπτον αὐτῷ  καὶ ἔκραζον λέγοντες ὅτι σὺ εἶ ὁ υἱὸς τοῦ",.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 3:35,ὃς [γὰρ] ἂν ποιήσῃ τὸ θέλημα τοῦ,", οὗτος ἀδελφός μου καὶ ἀδελφὴ  καὶ μήτηρ ἐστίν."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 4:11,καὶ ἔλεγεν αὐτοῖς· ὑμῖν τὸ μυστήριον δέδοται τῆς βασιλείας τοῦ,"· ἐκείνοις δὲ τοῖς ἔξω ἐν παραβολαῖς τὰ πάντα γίνεται,"
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 4:26,Καὶ ἔλεγεν· οὕτως ἐστὶν ἡ βασιλεία τοῦ,ὡς ἄνθρωπος βάλῃ τὸν σπόρον ἐπὶ τῆς γῆς
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 4:30,Καὶ ἔλεγεν· πῶς ὁμοιώσωμεν τὴν βασιλείαν τοῦ,ἢ ἐν τίνι αὐτὴν παραβολῇ θῶμεν;
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 5:7,"καὶ κράξας φωνῇ μεγάλῃ λέγει· τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ τοῦ","τοῦ ὑψίστου; ὁρκίζω σε τὸν θεόν, μή με βασανίσῃς."
θεόν,θεός,—,—,—,—,masculine,accusative,singular,Mark 5:7,"καὶ κράξας φωνῇ μεγάλῃ λέγει· τί ἐμοὶ καὶ σοί, Ἰησοῦ υἱὲ τοῦ θεοῦ τοῦ ὑψίστου; ὁρκίζω σε τὸν",", μή με βασανίσῃς."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 7:8,ἀφέντες  τὴν ἐντολὴν τοῦ,κρατεῖτε τὴν παράδοσιν τῶν ἀνθρώπων.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 7:9,καὶ ἔλεγεν αὐτοῖς· καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ,", ἵνα τὴν παράδοσιν ὑμῶν στήσητε."
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 7:13,ἀκυροῦντες τὸν λόγον τοῦ,τῇ παραδόσει ὑμῶν  ᾗ παρεδώκατε· καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 8:33,"Πέτρῳ καὶ λέγει· ὕπαγε ὀπίσω μου, σατανᾶ, ὅτι οὐ φρονεῖς τὰ τοῦ",ἀλλὰ τὰ τῶν ἀνθρώπων.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 9:1,ἑστηκότων οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν τὴν βασιλείαν τοῦ,ἐληλυθυῖαν ἐν δυνάμει.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 9:47,"Καὶ ἐὰν ὁ ὀφθαλμός σου σκανδαλίζῃ σε, ἔκβαλε αὐτόν· καλόν σέ ἐστιν μονόφθαλμον εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ","ἢ δύο ὀφθαλμοὺς ἔχοντα βληθῆναι εἰς τὴν γέενναν ,"
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Mark 10:9,ὃ οὖν ὁ,συνέζευξεν ἄνθρωπος μὴ χωριζέτω.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 10:14,"πρός με, μὴ κωλύετε αὐτά, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ",.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 10:15,"ἀμὴν λέγω ὑμῖν, ὃς ἂν μὴ δέξηται τὴν βασιλείαν τοῦ","ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν."
θεός,θεός,—,—,—,—,masculine,nominative,singular,Mark 10:18,ὁ δὲ Ἰησοῦς εἶπεν αὐτῷ· τί με λέγεις ἀγαθόν; οὐδεὶς ἀγαθὸς εἰ μὴ εἷς ὁ,.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 10:23,Καὶ περιβλεψάμενος ὁ Ἰησοῦς λέγει τοῖς μαθηταῖς αὐτοῦ· πῶς δυσκόλως οἱ τὰ χρήματα ἔχοντες εἰς τὴν βασιλείαν τοῦ,εἰσελεύσονται.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 10:24,"πάλιν ἀποκριθεὶς λέγει αὐτοῖς· τέκνα, πῶς δύσκολόν ἐστιν  εἰς τὴν βασιλείαν τοῦ",εἰσελθεῖν·
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 10:25,εὐκοπώτερόν ἐστιν κάμηλον διὰ [τῆς] τρυμαλιᾶς [τῆς] ῥαφίδος διελθεῖν ἢ πλούσιον εἰς τὴν βασιλείαν τοῦ,εἰσελθεῖν.
θεῷ,θεός,—,—,—,—,masculine,dative,singular,Mark 10:27,"ἐμβλέψας αὐτοῖς ὁ Ἰησοῦς λέγει· παρὰ ἀνθρώποις ἀδύνατον, ἀλλʼ οὐ παρὰ",· πάντα γὰρ δυνατὰ παρὰ τῷ θεῷ.
θεῷ,θεός,—,—,—,—,masculine,dative,singular,Mark 10:27,"ἐμβλέψας αὐτοῖς ὁ Ἰησοῦς λέγει· παρὰ ἀνθρώποις ἀδύνατον, ἀλλʼ οὐ παρὰ θεῷ· πάντα γὰρ δυνατὰ παρὰ τῷ",.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 11:22,καὶ ἀποκριθεὶς ὁ Ἰησοῦς λέγει αὐτοῖς·  ἔχετε πίστιν,.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 12:14,"οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων, ἀλλʼ ἐπʼ ἀληθείας τὴν ὁδὸν τοῦ",διδάσκεις· ἔξεστιν δοῦναι κῆνσον Καίσαρι ἢ οὔ; δῶμεν ἢ μὴ δῶμεν;
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 12:17,ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· τὰ Καίσαρος ἀπόδοτε Καίσαρι καὶ τὰ τοῦ,τῷ θεῷ. καὶ ἐξεθαύμαζον ἐπʼ αὐτῷ.
θεῷ,θεός,—,—,—,—,masculine,dative,singular,Mark 12:17,ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· τὰ Καίσαρος ἀπόδοτε Καίσαρι καὶ τὰ τοῦ θεοῦ τῷ,. καὶ ἐξεθαύμαζον ἐπʼ αὐτῷ.
θεοῦ,θεός,—,—,—,—,masculine,genitive,singular,Mark 12:24,Ἔφη αὐτοῖς ὁ Ἰησοῦς· οὐ διὰ τοῦτο πλανᾶσθε μὴ εἰδότες τὰς γραφὰς μηδὲ τὴν δύναμιν τοῦ,;
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Mark 12:26,ἀνέγνωτε ἐν τῇ βίβλῳ Μωϋσέως ἐπὶ τοῦ βάτου πῶς εἶπεν αὐτῷ ὁ,λέγων· ἐγὼ ὁ θεὸς Ἀβραὰμ καὶ [ὁ] θεὸς Ἰσαὰκ καὶ [ὁ] θεὸς Ἰακώβ;
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Mark 12:26,Μωϋσέως ἐπὶ τοῦ βάτου πῶς εἶπεν αὐτῷ ὁ θεὸς λέγων· ἐγὼ ὁ,Ἀβραὰμ καὶ [ὁ] θεὸς Ἰσαὰκ καὶ [ὁ] θεὸς Ἰακώβ;
θεὸς,θεός,—,—,—,—,masculine,nominative,singular,Mark 12:26,πῶς εἶπεν αὐτῷ ὁ θεὸς λέγων· ἐγὼ ὁ θεὸς Ἀβραὰμ καὶ [ὁ],Ἰσαὰκ καὶ [ὁ] θεὸς Ἰακώβ;
