Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Καθημένου,κάθημαι,present,either middle or passive,participle,—,masculine,genitive,singular,verb,Matthew 24:3,—,δὲ αὐτοῦ ἐπὶ τοῦ ὄρους τῶν ἐλαιῶν προσῆλθον αὐτῷ οἱ μαθηταὶ κατʼ ἰδίαν
Καθημένου,κάθημαι,present,either middle or passive,participle,—,masculine,genitive,singular,verb,Matthew 27:19,—,δὲ αὐτοῦ ἐπὶ τοῦ βήματος ἀπέστειλεν πρὸς αὐτὸν ἡ γυνὴ αὐτοῦ λέγουσα· μηδὲν
κάθημαι,κάθημαι,present,either middle or passive,indicative,first person,—,—,singular,verb,Revelation 18:7,"ὅσα ἐδόξασεν αὐτὴν καὶ ἐστρηνίασεν, τοσοῦτον δότε αὐτῇ βασανισμὸν καὶ πένθος. ὅτι ἐν τῇ καρδίᾳ αὐτῆς λέγει ὅτι",βασίλισσα καὶ χήρα οὐκ εἰμὶ καὶ πένθος οὐ μὴ ἴδω.
κάθηται,κάθημαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Revelation 17:9,"ὧδε ὁ νοῦς ὁ ἔχων σοφίαν. Αἱ ἑπτὰ κεφαλαὶ ἑπτὰ ὄρη εἰσίν, ὅπου ἡ γυνὴ",ἐπʼ αὐτῶν. καὶ βασιλεῖς ἑπτά εἰσιν·
κάθηται,κάθημαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Revelation 17:15,Καὶ λέγει μοι· τὰ ὕδατα ἃ εἶδες οὗ ἡ πόρνη,",  λαοὶ καὶ ὄχλοι εἰσὶν καὶ ἔθνη καὶ γλῶσσαι."
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,Matthew 22:44,εἶπεν  κύριος τῷ κυρίῳ μου·,"ἐκ δεξιῶν μου,        ἕως ἂν θῶ τοὺς ἐχθρούς σου           ὑποκάτω τῶν ποδῶν σου;"
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,Mark 12:36,αὐτὸς Δαυὶδ εἶπεν ἐν τῷ πνεύματι τῷ ἁγίῳ·      εἶπεν  κύριος τῷ κυρίῳ μου·,"ἐκ δεξιῶν μου,      ἕως ἂν θῶ τοὺς ἐχθρούς σου        ὑποκάτω τῶν ποδῶν σου."
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,Luke 20:42,αὐτὸς γὰρ Δαυὶδ λέγει ἐν βίβλῳ ψαλμῶν·        εἶπεν  κύριος τῷ κυρίῳ μου·,"ἐκ δεξιῶν μου,"
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,Acts 2:34,"οὐ γὰρ Δαυὶδ ἀνέβη εἰς τοὺς οὐρανούς, λέγει δὲ αὐτός·      εἶπεν [ὁ] κύριος τῷ κυρίῳ μου","ἐκ δεξιῶν μου,"
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,Hebrews 1:13,πρὸς τίνα δὲ τῶν ἀγγέλων εἴρηκέν ποτε·,"ἐκ δεξιῶν μου,      ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου;"
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,James 2:3,ἐπιβλέψητε δὲ ἐπὶ τὸν φοροῦντα τὴν ἐσθῆτα τὴν λαμπρὰν καὶ εἴπητε· σὺ,"ὧδε καλῶς, καὶ τῷ πτωχῷ εἴπητε· σὺ στῆθι ἢ κάθου ἐκεῖ ὑπὸ τὸ ὑποπόδιόν μου,"
κάθου,κάθημαι,present,either middle or passive,imperative,second person,—,—,singular,verb,James 2:3,"εἴπητε· σὺ κάθου ὧδε καλῶς, καὶ τῷ πτωχῷ εἴπητε· σὺ στῆθι ἢ","ἐκεῖ ὑπὸ τὸ ὑποπόδιόν μου,"
κάθῃ,κάθημαι,present,either middle or passive,indicative,second person,—,—,singular,verb,Acts 23:3,"τότε ὁ Παῦλος πρὸς αὐτὸν εἶπεν· τύπτειν σε μέλλει ὁ θεός, τοῖχε κεκονιαμένε· καὶ σὺ",κρίνων με κατὰ τὸν νόμον καὶ παρανομῶν κελεύεις με τύπτεσθαι;
καθήμεναι,κάθημαι,present,either middle or passive,participle,—,feminine,nominative,plural,verb,Matthew 27:61,Ἦν δὲ ἐκεῖ Μαριὰμ ἡ Μαγδαληνὴ καὶ ἡ ἄλλη Μαρία,ἀπέναντι τοῦ τάφου.
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Matthew 20:30,καὶ ἰδοὺ δύο τυφλοὶ,"παρὰ τὴν ὁδὸν ἀκούσαντες ὅτι Ἰησοῦς παράγει, ἔκραξαν λέγοντες· ἐλέησον ἡμᾶς, [κύριε] υἱὸς Δαυίδ."
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Matthew 27:36,καὶ,ἐτήρουν αὐτὸν ἐκεῖ.
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Mark 2:6,Ἦσαν δέ τινες τῶν γραμματέων ἐκεῖ,καὶ διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν·
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Luke 5:17,"Καὶ ἐγένετο ἐν μιᾷ τῶν ἡμερῶν καὶ αὐτὸς ἦν διδάσκων, καὶ ἦσαν",Φαρισαῖοι καὶ νομοδιδάσκαλοι οἳ ἦσαν ἐληλυθότες ἐκ πάσης κώμης τῆς Γαλιλαίας καὶ Ἰουδαίας
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Luke 10:13,"αἱ δυνάμεις αἱ γενόμεναι ἐν ὑμῖν, πάλαι ἂν ἐν σάκκῳ καὶ σποδῷ",μετενόησαν.
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Acts 2:2,καὶ  ἐγένετο ἄφνω ἐκ τοῦ οὐρανοῦ ἦχος ὥσπερ φερομένης πνοῆς βιαίας καὶ ἐπλήρωσεν ὅλον τὸν οἶκον οὗ ἦσαν,""
καθήμενοι,κάθημαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Revelation 11:16,Καὶ οἱ εἴκοσι τέσσαρες πρεσβύτεροι [οἱ] ἐνώπιον τοῦ θεοῦ,ἐπὶ τοὺς θρόνους αὐτῶν ἔπεσαν ἐπὶ τὰ πρόσωπα αὐτῶν καὶ προσεκύνησαν τῷ θεῷ λέγοντες·
καθήμενον,κάθημαι,present,either middle or passive,participle,—,masculine,accusative,singular,verb,Matthew 9:9,Καὶ παράγων ὁ Ἰησοῦς ἐκεῖθεν εἶδεν ἄνθρωπον,"ἐπὶ τὸ τελώνιον, Μαθθαῖον λεγόμενον, καὶ λέγει αὐτῷ· ἀκολούθει μοι. καὶ ἀναστὰς ἠκολούθησεν αὐτῷ."
καθήμενον,κάθημαι,present,either middle or passive,participle,—,masculine,accusative,singular,verb,Matthew 26:64,λέγει αὐτῷ ὁ Ἰησοῦς· σὺ εἶπας.  πλὴν λέγω ὑμῖν· ἀπʼ ἄρτι ὄψεσθε τὸν υἱὸν τοῦ ἀνθρώπου,ἐκ δεξιῶν τῆς δυνάμεως καὶ ἐρχόμενον ἐπὶ τῶν νεφελῶν τοῦ οὐρανοῦ.
