Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
κακά,κακός,—,—,—,—,neuter,accusative,plural,adjective,Luke 16:25,"εἶπεν δὲ Ἀβραάμ· τέκνον, μνήσθητι ὅτι ἀπέλαβες τὰ ἀγαθά σου ἐν τῇ ζωῇ σου, καὶ Λάζαρος ὁμοίως τὰ","· νῦν δὲ ὧδε παρακαλεῖται, σὺ δὲ ὀδυνᾶσαι."
κακά,κακός,—,—,—,—,neuter,accusative,plural,adjective,Romans 3:8,καὶ μὴ καθὼς βλασφημούμεθα καὶ καθώς φασίν τινες ἡμᾶς λέγειν ὅτι ποιήσωμεν τὰ,", ἵνα ἔλθῃ  τὰ ἀγαθά; ὧν τὸ κρίμα ἔνδικόν ἐστιν."
κακά,κακός,—,—,—,—,neuter,accusative,plural,adjective,1 Peter 3:12,"ὅτι ὀφθαλμοὶ κυρίου ἐπὶ δικαίους        καὶ ὦτα αὐτοῦ εἰς δέησιν αὐτῶν,      πρόσωπον δὲ κυρίου ἐπὶ ποιοῦντας",.
κακήν,κακός,—,—,—,—,feminine,accusative,singular,adjective,Colossians 3:5,"Νεκρώσατε οὖν τὰ μέλη  τὰ ἐπὶ τῆς γῆς, πορνείαν ἀκαθαρσίαν πάθος ἐπιθυμίαν",", καὶ τὴν πλεονεξίαν, ἥτις ἐστὶν εἰδωλολατρία,"
κακαί,κακός,—,—,—,—,feminine,nominative,plural,adjective,1 Corinthians 15:33,μὴ πλανᾶσθε·        φθείρουσιν ἤθη χρηστὰ ὁμιλίαι,.
κακούς,κακός,—,—,—,—,masculine,accusative,plural,adjective,Revelation 2:2,οἶδα τὰ ἔργα σου καὶ τὸν κόπον  καὶ τὴν ὑπομονήν σου καὶ ὅτι οὐ δύνῃ βαστάσαι,", καὶ ἐπείρασας τοὺς λέγοντας ἑαυτοὺς ἀποστόλους  καὶ οὐκ εἰσὶν καὶ εὗρες αὐτοὺς ψευδεῖς,"
κακοὶ,κακός,—,—,—,—,masculine,nominative,plural,adjective,Mark 7:21,ἔσωθεν γὰρ ἐκ τῆς καρδίας τῶν ἀνθρώπων οἱ διαλογισμοὶ οἱ,"ἐκπορεύονται, πορνεῖαι, κλοπαί, φόνοι,"
κακοὺς,κακός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 21:41,λέγουσιν αὐτῷ·,"κακῶς ἀπολέσει αὐτοὺς καὶ τὸν ἀμπελῶνα ἐκδώσεται ἄλλοις γεωργοῖς, οἵτινες ἀποδώσουσιν αὐτῷ τοὺς"
κακοὺς,κακός,—,—,—,—,masculine,accusative,plural,adjective,Philippians 3:2,"Βλέπετε τοὺς κύνας, βλέπετε τοὺς","ἐργάτας, βλέπετε τὴν κατατομήν."
κακοῦ,κακός,—,—,—,—,neuter,genitive,singular,adjective,John 18:23,"ἀπεκρίθη αὐτῷ Ἰησοῦς· εἰ κακῶς ἐλάλησα, μαρτύρησον περὶ τοῦ","· εἰ δὲ καλῶς, τί με δέρεις;"
κακοῦ,κακός,—,—,—,—,neuter,genitive,singular,adjective,Romans 12:17,μηδενὶ κακὸν ἀντὶ,"ἀποδιδόντες, προνοούμενοι καλὰ  ἐνώπιον πάντων ἀνθρώπων·"
κακοῦ,κακός,—,—,—,—,neuter,genitive,singular,adjective,Romans 12:21,μὴ νικῶ ὑπὸ τοῦ,ἀλλὰ νίκα ἐν τῷ ἀγαθῷ τὸ κακόν.
κακοῦ,κακός,—,—,—,—,neuter,genitive,singular,adjective,1 Thessalonians 5:15,ὁρᾶτε μή τις κακὸν ἀντὶ,"τινι ἀποδῷ, ἀλλὰ πάντοτε τὸ ἀγαθὸν διώκετε [καὶ] εἰς ἀλλήλους καὶ εἰς πάντας."
κακοῦ,κακός,—,—,—,—,neuter,genitive,singular,adjective,Hebrews 5:14,διὰ τὴν ἕξιν τὰ αἰσθητήρια γεγυμνασμένα ἐχόντων πρὸς διάκρισιν καλοῦ τε καὶ,.
κακοῦ,κακός,—,—,—,—,neuter,genitive,singular,adjective,1 Peter 3:9,μὴ ἀποδιδόντες κακὸν ἀντὶ,"ἢ λοιδορίαν ἀντὶ λοιδορίας, τοὐναντίον δὲ εὐλογοῦντες,  ὅτι εἰς τοῦτο ἐκλήθητε, ἵνα εὐλογίαν κληρονομήσητε."
