Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
καλέσεις,καλέω,future,active,indicative,second person,—,—,singular,verb,Matthew 1:21,"τέξεται δὲ υἱόν, καὶ",τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.
καλέσουσιν,καλέω,future,active,indicative,third person,—,—,plural,verb,Matthew 1:23,"ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν,        καὶ","τὸ ὄνομα αὐτοῦ Ἐμμανουήλ,  ὅ ἐστιν μεθερμηνευόμενον μεθʼ ἡμῶν ὁ θεός."
ἐκάλεσεν,καλέω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 1:25,καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν υἱόν· καὶ,τὸ ὄνομα αὐτοῦ Ἰησοῦν.
καλέσας,καλέω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 2:7,Τότε Ἡρῴδης λάθρᾳ,"τοὺς μάγους ἠκρίβωσεν παρʼ αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος,"
ἐκάλεσα,καλέω,aorist,active,indicative,first person,—,—,singular,verb,Matthew 2:15,ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος·        ἐξ Αἰγύπτου,τὸν υἱόν μου.
κληθήσεται,καλέω,future,passive,indicative,third person,—,—,singular,verb,Matthew 2:23,καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ· ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος,.
ἐκάλεσεν,καλέω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 4:21,"τῷ πλοίῳ μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν, καὶ",αὐτούς.
κληθήσονται,καλέω,future,passive,indicative,third person,—,—,plural,verb,Matthew 5:9,"μακάριοι οἱ εἰρηνοποιοί,        ὅτι αὐτοὶ υἱοὶ θεοῦ",.
κληθήσεται,καλέω,future,passive,indicative,third person,—,—,singular,verb,Matthew 5:19,"ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος","ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ ἂν ποιήσῃ καὶ διδάξῃ, οὗτος μέγας"
κληθήσεται,καλέω,future,passive,indicative,third person,—,—,singular,verb,Matthew 5:19,"τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ ἂν ποιήσῃ καὶ διδάξῃ, οὗτος μέγας",ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.
καλέσαι,καλέω,aorist,active,infinitive,—,—,—,—,verb,Matthew 9:13,πορευθέντες δὲ μάθετε τί ἐστιν· ἔλεος θέλω καὶ οὐ θυσίαν· οὐ γὰρ ἦλθον,δικαίους ἀλλʼ ἁμαρτωλούς.
κάλεσον,καλέω,aorist,active,imperative,second person,—,—,singular,verb,Matthew 20:8,Ὀψίας δὲ γενομένης λέγει ὁ κύριος τοῦ ἀμπελῶνος τῷ ἐπιτρόπῳ αὐτοῦ·,τοὺς ἐργάτας καὶ ἀπόδος αὐτοῖς τὸν μισθὸν ἀρξάμενος ἀπὸ τῶν ἐσχάτων ἕως τῶν πρώτων.
κληθήσεται,καλέω,future,passive,indicative,third person,—,—,singular,verb,Matthew 21:13,καὶ λέγει αὐτοῖς· γέγραπται·        ὁ οἶκός μου οἶκος προσευχῆς,",           ὑμεῖς δὲ αὐτὸν ποιεῖτε σπήλαιον λῃστῶν."
καλέσαι,καλέω,aorist,active,infinitive,—,—,—,—,verb,Matthew 22:3,καὶ ἀπέστειλεν τοὺς δούλους αὐτοῦ,"τοὺς κεκλημένους εἰς τοὺς γάμους, καὶ οὐκ ἤθελον ἐλθεῖν."
κεκλημένους,καλέω,perfect,passive,participle,—,masculine,accusative,plural,verb,Matthew 22:3,καὶ ἀπέστειλεν τοὺς δούλους αὐτοῦ καλέσαι τοὺς,"εἰς τοὺς γάμους, καὶ οὐκ ἤθελον ἐλθεῖν."
