Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Κατʼ,κατά,—,—,—,—,—,—,—,preposition,Acts 12:1,—,ἐκεῖνον δὲ τὸν καιρὸν ἐπέβαλεν Ἡρῴδης ὁ βασιλεὺς τὰς χεῖρας κακῶσαί τινας τῶν ἀπὸ τῆς ἐκκλησίας.
Κατὰ,κατά,—,—,—,—,—,—,—,preposition,Matthew 27:15,—,δὲ ἑορτὴν εἰώθει ὁ ἡγεμὼν ἀπολύειν ἕνα τῷ ὄχλῳ δέσμιον ὃν ἤθελον.
Κατὰ,κατά,—,—,—,—,—,—,—,preposition,Mark 15:6,—,δὲ ἑορτὴν ἀπέλυεν αὐτοῖς ἕνα δέσμιον ὃν παρῃτοῦντο.
Κατὰ,κατά,—,—,—,—,—,—,—,preposition,Acts 16:25,—,"δὲ τὸ μεσονύκτιον Παῦλος καὶ Σιλᾶς προσευχόμενοι ὕμνουν τὸν θεόν, ἐπηκροῶντο δὲ αὐτῶν οἱ δέσμιοι."
Κατὰ,κατά,—,—,—,—,—,—,—,preposition,1 Corinthians 3:10,—,"τὴν χάριν τοῦ θεοῦ τὴν δοθεῖσάν μοι ὡς σοφὸς ἀρχιτέκτων θεμέλιον ἔθηκα, ἄλλος"
Κατὰ,κατά,—,—,—,—,—,—,—,preposition,Hebrews 11:13,—,"πίστιν ἀπέθανον οὗτοι πάντες, μὴ λαβόντες τὰς ἐπαγγελίας ἀλλὰ πόρρωθεν αὐτὰς ἰδόντες καὶ"
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Matthew 5:11,μακάριοί ἐστε        ὅταν ὀνειδίσωσιν ὑμᾶς καὶ διώξωσιν καὶ εἴπωσιν πᾶν πονηρὸν,ὑμῶν [ψευδόμενοι] ἕνεκεν ἐμοῦ.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Matthew 12:25,Εἰδὼς δὲ τὰς ἐνθυμήσεις αὐτῶν εἶπεν αὐτοῖς· πᾶσα βασιλεία μερισθεῖσα,ἑαυτῆς ἐρημοῦται καὶ πᾶσα πόλις ἢ οἰκία μερισθεῖσα καθʼ ἑαυτῆς οὐ σταθήσεται.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Matthew 12:25,πᾶσα βασιλεία μερισθεῖσα καθʼ ἑαυτῆς ἐρημοῦται καὶ πᾶσα πόλις ἢ οἰκία μερισθεῖσα,ἑαυτῆς οὐ σταθήσεται.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Matthew 26:55,τοῖς ὄχλοις· ὡς ἐπὶ λῃστὴν ἐξήλθατε μετὰ μαχαιρῶν καὶ ξύλων συλλαβεῖν με;,ἡμέραν ἐν τῷ ἱερῷ ἐκαθεζόμην διδάσκων καὶ οὐκ ἐκρατήσατέ με.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Mark 9:40,ὃς γὰρ οὐκ ἔστιν,"ἡμῶν, ὑπὲρ ἡμῶν ἐστιν."
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Mark 14:49,—,ἡμέραν ἤμην πρὸς ὑμᾶς ἐν τῷ ἱερῷ διδάσκων καὶ οὐκ ἐκρατήσατέ με· ἀλλʼ ἵνα πληρωθῶσιν αἱ γραφαί.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 4:14,Καὶ ὑπέστρεψεν ὁ Ἰησοῦς ἐν τῇ δυνάμει τοῦ πνεύματος εἰς τὴν Γαλιλαίαν. καὶ φήμη ἐξῆλθεν,ὅλης τῆς περιχώρου περὶ αὐτοῦ.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 8:39,ὑπόστρεφε εἰς τὸν οἶκόν σου καὶ διηγοῦ ὅσα σοι ἐποίησεν ὁ θεός. καὶ ἀπῆλθεν,ὅλην τὴν πόλιν κηρύσσων ὅσα ἐποίησεν αὐτῷ ὁ Ἰησοῦς.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 9:23,"Ἔλεγεν δὲ πρὸς πάντας· εἴ τις θέλει ὀπίσω μου ἔρχεσθαι, ἀρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ",ἡμέραν καὶ ἀκολουθείτω μοι.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 9:50,εἶπεν δὲ πρὸς αὐτὸν ὁ Ἰησοῦς· μὴ κωλύετε· ὃς γὰρ οὐκ ἔστιν,"ὑμῶν, ὑπὲρ ὑμῶν ἐστιν."
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 11:3,τὸν ἄρτον ἡμῶν τὸν ἐπιούσιον δίδου ἡμῖν τὸ,ἡμέραν·
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 16:19,"Ἄνθρωπος δέ τις ἦν πλούσιος , καὶ ἐνεδιδύσκετο πορφύραν καὶ βύσσον εὐφραινόμενος",ἡμέραν λαμπρῶς.
καθʼ,κατά,—,—,—,—,—,—,—,preposition,Luke 19:47,Καὶ ἦν διδάσκων τὸ,ἡμέραν ἐν τῷ ἱερῷ. οἱ δὲ ἀρχιερεῖς καὶ οἱ γραμματεῖς ἐζήτουν αὐτὸν ἀπολέσαι
