Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
λίθοι,λίθος,—,—,—,—,masculine,nominative,plural,noun,Matthew 4:3,"καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ·  εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ",οὗτοι ἄρτοι γένωνται.
λίθοι,λίθος,—,—,—,—,masculine,nominative,plural,noun,Mark 13:1,"Καὶ ἐκπορευομένου αὐτοῦ ἐκ τοῦ ἱεροῦ λέγει αὐτῷ εἷς  τῶν μαθητῶν αὐτοῦ· διδάσκαλε, ἴδε ποταποὶ",καὶ ποταπαὶ οἰκοδομαί.
λίθοι,λίθος,—,—,—,—,masculine,nominative,plural,noun,Luke 19:40,"καὶ ἀποκριθεὶς εἶπεν· λέγω ὑμῖν,  ἐὰν οὗτοι σιωπήσουσιν, οἱ",κράξουσιν.
λίθοι,λίθος,—,—,—,—,masculine,nominative,plural,noun,1 Peter 2:5,καὶ αὐτοὶ ὡς,ζῶντες οἰκοδομεῖσθε οἶκος πνευματικὸς εἰς ἱεράτευμα ἅγιον ἀνενέγκαι πνευματικὰς θυσίας εὐπροσδέκτους  θεῷ διὰ Ἰησοῦ Χριστοῦ.
λίθοις,λίθος,—,—,—,—,masculine,dative,plural,noun,Mark 5:5,καὶ διὰ παντὸς νυκτὸς καὶ ἡμέρας ἐν τοῖς μνήμασιν καὶ ἐν τοῖς ὄρεσιν ἦν κράζων καὶ κατακόπτων ἑαυτὸν,.
λίθοις,λίθος,—,—,—,—,masculine,dative,plural,noun,Luke 21:5,Καί τινων λεγόντων περὶ τοῦ ἱεροῦ ὅτι,καλοῖς καὶ ἀναθήμασιν κεκόσμηται εἶπεν·
λίθοις,λίθος,—,—,—,—,masculine,dative,plural,noun,2 Corinthians 3:7,Εἰ δὲ ἡ διακονία τοῦ θανάτου ἐν γράμμασιν ἐντετυπωμένη,"ἐγενήθη ἐν δόξῃ, ὥστε μὴ δύνασθαι ἀτενίσαι τοὺς υἱοὺς Ἰσραὴλ εἰς τὸ πρόσωπον"
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 4:6,"αὐτοῦ ἐντελεῖται περὶ σοῦ        καὶ ἐπὶ χειρῶν ἀροῦσίν σε,        μήποτε προσκόψῃς πρὸς",τὸν πόδα σου.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 7:9,"ἢ τίς ἐστιν ἐξ ὑμῶν ἄνθρωπος, ὃν αἰτήσει ὁ υἱὸς αὐτοῦ ἄρτον, μὴ",ἐπιδώσει αὐτῷ;
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 21:42,Λέγει αὐτοῖς ὁ Ἰησοῦς· οὐδέποτε ἀνέγνωτε ἐν ταῖς γραφαῖς·,"ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες,           οὗτος ἐγενήθη εἰς κεφαλὴν γωνίας        παρὰ κυρίου ἐγένετο αὕτη"
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 21:44,καὶ ὁ πεσὼν ἐπὶ τὸν,τοῦτον συνθλασθήσεται· ἐφʼ ὃν δʼ ἂν πέσῃ λικμήσει αὐτόν]
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 24:2,"ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· οὐ βλέπετε ταῦτα πάντα; ἀμὴν λέγω ὑμῖν, οὐ μὴ ἀφεθῇ ὧδε λίθος ἐπὶ",ὃς οὐ καταλυθήσεται.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 27:60,καὶ ἔθηκεν αὐτὸ ἐν τῷ καινῷ αὐτοῦ μνημείῳ ὃ ἐλατόμησεν ἐν τῇ πέτρᾳ καὶ προσκυλίσας,μέγαν τῇ θύρᾳ τοῦ μνημείου ἀπῆλθεν.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 27:66,οἱ δὲ πορευθέντες ἠσφαλίσαντο τὸν τάφον σφραγίσαντες τὸν,μετὰ τῆς κουστωδίας.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Matthew 28:2,καὶ ἰδοὺ σεισμὸς ἐγένετο μέγας· ἄγγελος γὰρ κυρίου καταβὰς ἐξ οὐρανοῦ καὶ προσελθὼν ἀπεκύλισεν τὸν,καὶ ἐκάθητο ἐπάνω αὐτοῦ.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Mark 12:10,Οὐδὲ τὴν γραφὴν ταύτην ἀνέγνωτε·,"ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες,        οὗτος ἐγενήθη εἰς κεφαλὴν γωνίας·"
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Mark 13:2,καὶ ὁ Ἰησοῦς εἶπεν αὐτῷ· βλέπεις ταύτας τὰς μεγάλας οἰκοδομάς; οὐ μὴ ἀφεθῇ ὧδε λίθος ἐπὶ,ὃς οὐ μὴ καταλυθῇ.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Mark 15:46,καὶ ἔθηκεν αὐτὸν ἐν μνημείῳ ὃ ἦν λελατομημένον ἐκ πέτρας καὶ προσεκύλισεν,ἐπὶ τὴν θύραν τοῦ μνημείου.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Mark 16:3,καὶ ἔλεγον πρὸς ἑαυτάς· τίς ἀποκυλίσει ἡμῖν τὸν,ἐκ τῆς θύρας τοῦ μνημείου;
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Luke 4:11,"καὶ ὅτι        ἐπὶ χειρῶν ἀροῦσίν σε,           μήποτε προσκόψῃς πρὸς",τὸν πόδα σου.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Luke 19:44,"καὶ ἐδαφιοῦσίν σε καὶ τὰ τέκνα σου ἐν σοί,  καὶ οὐκ ἀφήσουσιν","ἐπὶ λίθον ἐν σοί, ἀνθʼ ὧν οὐκ ἔγνως τὸν καιρὸν τῆς ἐπισκοπῆς σου."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Luke 19:44,"καὶ ἐδαφιοῦσίν σε καὶ τὰ τέκνα σου ἐν σοί,  καὶ οὐκ ἀφήσουσιν λίθον ἐπὶ","ἐν σοί, ἀνθʼ ὧν οὐκ ἔγνως τὸν καιρὸν τῆς ἐπισκοπῆς σου."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Luke 20:17,ὁ δὲ ἐμβλέψας αὐτοῖς εἶπεν· τί οὖν ἐστιν τὸ γεγραμμένον τοῦτο·,"ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες,           οὗτος ἐγενήθη εἰς κεφαλὴν γωνίας;"
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Luke 20:18,πᾶς ὁ πεσὼν ἐπʼ ἐκεῖνον τὸν,"συνθλασθήσεται· ἐφʼ ὃν δʼ ἂν πέσῃ, λικμήσει αὐτόν."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Luke 24:2,εὗρον δὲ τὸν,"ἀποκεκυλισμένον ἀπὸ τοῦ μνημείου,"
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,John 8:7,"ὡς δὲ ἐπέμενον ἐρωτῶντες αὐτόν, ἀνέκυψεν καὶ εἶπεν αὐτοῖς· ὁ ἀναμάρτητος ὑμῶν πρῶτος ἐπʼ αὐτὴν βαλέτω",.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,John 11:39,λέγει ὁ Ἰησοῦς· ἄρατε τὸν,". λέγει αὐτῷ ἡ ἀδελφὴ τοῦ τετελευτηκότος Μάρθα· κύριε, ἤδη ὄζει, τεταρταῖος γάρ ἐστιν."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,John 11:41,ἦραν οὖν τὸν,". ὁ δὲ Ἰησοῦς ἦρεν τοὺς ὀφθαλμοὺς  ἄνω καὶ εἶπεν· πάτερ, εὐχαριστῶ σοι ὅτι ἤκουσάς μου."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,John 20:1,Μαγδαληνὴ ἔρχεται πρωῒ σκοτίας ἔτι οὔσης εἰς τὸ μνημεῖον καὶ βλέπει τὸν,ἠρμένον  ἐκ τοῦ μνημείου.
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Romans 9:33,καθὼς γέγραπται·      ἰδοὺ τίθημι ἐν Σιὼν,"προσκόμματος καὶ πέτραν σκανδάλου,        καὶ  ὁ πιστεύων ἐπʼ αὐτῷ οὐ καταισχυνθήσεται."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,1 Peter 2:4,πρὸς ὃν προσερχόμενοι,"ζῶντα ὑπὸ ἀνθρώπων μὲν ἀποδεδοκιμασμένον, παρὰ δὲ θεῷ ἐκλεκτὸν ἔντιμον,"
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,1 Peter 2:6,διότι περιέχει ἐν γραφῇ·        ἰδοὺ τίθημι ἐν Σιὼν,"ἀκρογωνιαῖον ἐκλεκτὸν ἔντιμον,        καὶ ὁ πιστεύων ἐπʼ αὐτῷ οὐ μὴ καταισχυνθῇ."
λίθον,λίθος,—,—,—,—,masculine,accusative,singular,noun,Revelation 18:21,Καὶ ἦρεν εἷς ἄγγελος ἰσχυρὸς,ὡς μύλινον μέγαν καὶ ἔβαλεν εἰς τὴν θάλασσαν λέγων·      οὕτως ὁρμήματι βληθήσεται Βαβυλὼν
