Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
εἰληφὼς,λαμβάνω,perfect,active,participle,—,masculine,nominative,singular,verb,Matthew 25:24,Προσελθὼν δὲ καὶ ὁ τὸ ἓν τάλαντον,"εἶπεν· κύριε, ἔγνων σε ὅτι σκληρὸς εἶ ἄνθρωπος, θερίζων ὅπου οὐκ ἔσπειρας καὶ συνάγων ὅθεν οὐ διεσκόρπισας,"
εἴληφα,λαμβάνω,perfect,active,indicative,first person,—,—,singular,verb,Revelation 2:28,ὡς κἀγὼ,"παρὰ τοῦ πατρός μου, καὶ δώσω αὐτῷ τὸν ἀστέρα τὸν πρωϊνόν."
εἴληφας,λαμβάνω,perfect,active,indicative,second person,—,—,singular,verb,Revelation 3:3,μνημόνευε οὖν πῶς,"καὶ ἤκουσας καὶ τήρει καὶ μετανόησον. ἐὰν οὖν μὴ γρηγορήσῃς, ἥξω  ὡς κλέπτης"
εἴληφας,λαμβάνω,perfect,active,indicative,second person,—,—,singular,verb,Revelation 11:17,"λέγοντες·      εὐχαριστοῦμέν σοι, κύριε ὁ θεὸς  ὁ παντοκράτωρ,        ὁ ὢν καὶ ὁ ἦν,       ὅτι",τὴν δύναμίν σου τὴν μεγάλην        καὶ ἐβασίλευσας.
εἴληφεν,λαμβάνω,perfect,active,indicative,third person,—,—,singular,verb,1 Corinthians 10:13,πειρασμὸς ὑμᾶς οὐκ,"εἰ μὴ ἀνθρώπινος· πιστὸς δὲ ὁ θεός, ὃς οὐκ ἐάσει ὑμᾶς πειρασθῆναι ὑπὲρ"
εἴληφεν,λαμβάνω,perfect,active,indicative,third person,—,—,singular,verb,Revelation 5:7,καὶ ἦλθεν καὶ,ἐκ τῆς δεξιᾶς τοῦ καθημένου ἐπὶ τοῦ θρόνου.
εἴληφεν,λαμβάνω,perfect,active,indicative,third person,—,—,singular,verb,Revelation 8:5,καὶ,ὁ ἄγγελος τὸν λιβανωτὸν καὶ ἐγέμισεν αὐτὸν ἐκ τοῦ πυρὸς τοῦ θυσιαστηρίου καὶ
λάβε,λαμβάνω,aorist,active,imperative,second person,—,—,singular,verb,Revelation 10:8,Καὶ ἡ φωνὴ ἣν ἤκουσα ἐκ τοῦ οὐρανοῦ πάλιν λαλοῦσαν μετʼ ἐμοῦ καὶ λέγουσαν· ὕπαγε,τὸ βιβλίον τὸ ἠνεῳγμένον ἐν τῇ χειρὶ τοῦ ἀγγέλου τοῦ ἑστῶτος ἐπὶ τῆς
λάβε,λαμβάνω,aorist,active,imperative,second person,—,—,singular,verb,Revelation 10:9,καὶ ἀπῆλθα πρὸς τὸν ἄγγελον λέγων αὐτῷ δοῦναί μοι τὸ βιβλαρίδιον. καὶ λέγει μοι·,"καὶ κατάφαγε αὐτό, καὶ πικρανεῖ σου τὴν κοιλίαν, ἀλλʼ ἐν τῷ στόματί σου"
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 26:26,Ἐσθιόντων δὲ αὐτῶν λαβὼν ὁ Ἰησοῦς  ἄρτον καὶ εὐλογήσας ἔκλασεν καὶ δοὺς τοῖς μαθηταῖς εἶπεν·,"φάγετε, τοῦτό ἐστιν τὸ σῶμά μου."
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,Mark 14:22,Καὶ ἐσθιόντων αὐτῶν λαβὼν  ἄρτον εὐλογήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς  καὶ εἶπεν·,", τοῦτό ἐστιν τὸ σῶμά μου."
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,Luke 22:17,καὶ δεξάμενος  ποτήριον εὐχαριστήσας εἶπεν·,τοῦτο καὶ διαμερίσατε εἰς ἑαυτούς·
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,John 18:31,εἶπεν οὖν αὐτοῖς ὁ Πιλᾶτος·,αὐτὸν ὑμεῖς καὶ κατὰ τὸν νόμον ὑμῶν κρίνατε αὐτόν. εἶπον  αὐτῷ οἱ Ἰουδαῖοι
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,John 19:6,Ὅτε οὖν εἶδον αὐτὸν οἱ ἀρχιερεῖς καὶ οἱ ὑπηρέται ἐκραύγασαν λέγοντες· σταύρωσον σταύρωσον.  λέγει αὐτοῖς ὁ Πιλᾶτος·,αὐτὸν ὑμεῖς καὶ σταυρώσατε·  ἐγὼ γὰρ οὐχ εὑρίσκω ἐν αὐτῷ αἰτίαν.
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,John 20:22,καὶ τοῦτο εἰπὼν ἐνεφύσησεν καὶ λέγει αὐτοῖς·,πνεῦμα ἅγιον·
λάβετε,λαμβάνω,aorist,active,imperative,second person,—,—,plural,verb,James 5:10,ὑπόδειγμα,", ἀδελφοί, τῆς κακοπαθείας καὶ τῆς μακροθυμίας  τοὺς προφήτας οἳ ἐλάλησαν ἐν τῷ ὀνόματι κυρίου."
λάβητε,λαμβάνω,aorist,active,subjunctive,second person,—,—,plural,verb,Revelation 18:4,"μὴ συγκοινωνήσητε ταῖς ἁμαρτίαις αὐτῆς, καὶ ἐκ τῶν πληγῶν αὐτῆς ἵνα μὴ",","
λάβοι,λαμβάνω,aorist,active,optative,third person,—,—,singular,verb,Acts 25:16,πρὶν ἢ ὁ κατηγορούμενος κατὰ πρόσωπον ἔχοι τοὺς κατηγόρους τόπον τε ἀπολογίας,περὶ τοῦ ἐγκλήματος.
λάβω,λαμβάνω,aorist,active,subjunctive,first person,—,—,singular,verb,John 10:17,"Διὰ τοῦτό με ὁ πατὴρ ἀγαπᾷ ὅτι ἐγὼ τίθημι τὴν ψυχήν μου, ἵνα πάλιν",αὐτήν.
λάβωμεν,λαμβάνω,aorist,active,subjunctive,first person,—,—,plural,verb,Galatians 3:14,"ἵνα εἰς τὰ ἔθνη ἡ εὐλογία τοῦ Ἀβραὰμ γένηται ἐν Χριστῷ Ἰησοῦ, ἵνα τὴν ἐπαγγελίαν τοῦ πνεύματος",διὰ τῆς πίστεως.
λάβωμεν,λαμβάνω,aorist,active,subjunctive,first person,—,—,plural,verb,Hebrews 4:16,"προσερχώμεθα οὖν μετὰ παρρησίας τῷ θρόνῳ τῆς χάριτος, ἵνα",ἔλεος καὶ χάριν εὕρωμεν εἰς εὔκαιρον βοήθειαν.
λάβωσιν,λαμβάνω,aorist,active,subjunctive,third person,—,—,plural,verb,Acts 8:15,οἵτινες καταβάντες προσηύξαντο περὶ αὐτῶν ὅπως,πνεῦμα ἅγιον·
λάβωσιν,λαμβάνω,aorist,active,subjunctive,third person,—,—,plural,verb,1 Corinthians 9:25,"πᾶς δὲ ὁ ἀγωνιζόμενος πάντα ἐγκρατεύεται, ἐκεῖνοι μὲν οὖν ἵνα φθαρτὸν στέφανον",", ἡμεῖς δὲ ἄφθαρτον."
