Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
λαοί,λαός,—,—,—,—,masculine,nominative,plural,noun,Romans 15:11,"καὶ πάλιν·        αἰνεῖτε, πάντα τὰ ἔθνη, τὸν κύριον           καὶ ἐπαινεσάτωσαν αὐτὸν πάντες οἱ",.
λαοὶ,λαός,—,—,—,—,masculine,nominative,plural,noun,Acts 4:25,ὁ τοῦ πατρὸς ἡμῶν διὰ πνεύματος ἁγίου στόματος Δαυὶδ παιδός σου εἰπών·         ἱνατί ἐφρύαξαν ἔθνη           καὶ,ἐμελέτησαν κενά;
λαοὶ,λαός,—,—,—,—,masculine,nominative,plural,noun,Revelation 17:15,"Καὶ λέγει μοι· τὰ ὕδατα ἃ εἶδες οὗ ἡ πόρνη κάθηται,",καὶ ὄχλοι εἰσὶν καὶ ἔθνη καὶ γλῶσσαι.
λαοὶ,λαός,—,—,—,—,masculine,nominative,plural,noun,Revelation 21:3,"σκηνὴ τοῦ θεοῦ μετὰ τῶν ἀνθρώπων, καὶ σκηνώσει μετʼ αὐτῶν, καὶ αὐτοὶ","αὐτοῦ ἔσονται, καὶ αὐτὸς ὁ θεὸς μετʼ αὐτῶν ἔσται [αὐτῶν θεός],"
λαοῖς,λαός,—,—,—,—,masculine,dative,plural,noun,Acts 4:27,"σου Ἰησοῦν ὃν ἔχρισας, Ἡρῴδης τε καὶ Πόντιος Πιλᾶτος σὺν ἔθνεσιν καὶ","Ἰσραήλ,"
λαοῖς,λαός,—,—,—,—,masculine,dative,plural,noun,Revelation 10:11,καὶ λέγουσίν μοι· δεῖ σε πάλιν προφητεῦσαι ἐπὶ,καὶ  ἔθνεσιν καὶ γλώσσαις καὶ βασιλεῦσιν πολλοῖς.
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Matthew 2:4,καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ,ἐπυνθάνετο παρʼ αὐτῶν ποῦ ὁ χριστὸς γεννᾶται.
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Matthew 13:15,ἐπαχύνθη γὰρ ἡ καρδία τοῦ,"τούτου,           καὶ τοῖς ὠσὶν  βαρέως ἤκουσαν           καὶ τοὺς ὀφθαλμοὺς αὐτῶν ἐκάμμυσαν,        μήποτε ἴδωσιν"
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Matthew 21:23,Καὶ ἐλθόντος αὐτοῦ εἰς τὸ ἱερὸν προσῆλθον αὐτῷ διδάσκοντι οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι τοῦ,λέγοντες· ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιεῖς; καὶ τίς σοι ἔδωκεν τὴν ἐξουσίαν ταύτην;
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Matthew 26:3,Τότε συνήχθησαν οἱ ἀρχιερεῖς  καὶ οἱ πρεσβύτεροι τοῦ,εἰς τὴν αὐλὴν τοῦ ἀρχιερέως τοῦ λεγομένου Καϊάφα
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Matthew 26:47,ὄχλος πολὺς μετὰ μαχαιρῶν καὶ ξύλων ἀπὸ τῶν ἀρχιερέων καὶ πρεσβυτέρων τοῦ,.
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Matthew 27:1,Πρωΐας δὲ γενομένης συμβούλιον ἔλαβον πάντες οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι τοῦ,κατὰ τοῦ Ἰησοῦ ὥστε θανατῶσαι αὐτόν·
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Mark 14:2,"ἔλεγον γάρ· μὴ ἐν τῇ ἑορτῇ, μήποτε ἔσται θόρυβος τοῦ",.
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Luke 1:10,καὶ πᾶν τὸ πλῆθος ἦν τοῦ,προσευχόμενον ἔξω τῇ ὥρᾳ τοῦ θυμιάματος.
λαοῦ,λαός,—,—,—,—,masculine,genitive,singular,noun,Luke 2:32,φῶς εἰς ἀποκάλυψιν ἐθνῶν           καὶ δόξαν,σου Ἰσραήλ.
