Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Λοιπόν,λοιπός,—,—,—,—,neuter,accusative,singular,adjective,2 Corinthians 13:11,—,", ἀδελφοί, χαίρετε, καταρτίζεσθε, παρακαλεῖσθε, τὸ αὐτὸ φρονεῖτε, εἰρηνεύετε, καὶ ὁ θεὸς τῆς ἀγάπης"
Λοιπὸν,λοιπός,—,—,—,—,neuter,"accusative, nominative",singular,adjective,1 Thessalonians 4:1,—,"οὖν, ἀδελφοί, ἐρωτῶμεν ὑμᾶς καὶ παρακαλοῦμεν ἐν κυρίῳ Ἰησοῦ, ἵνα καθὼς παρελάβετε παρʼ"
λοιπαὶ,λοιπός,—,—,—,—,feminine,nominative,plural,adjective,Matthew 25:11,ὕστερον δὲ ἔρχονται καὶ αἱ,"παρθένοι λέγουσαι· κύριε κύριε, ἄνοιξον ἡμῖν."
λοιπαὶ,λοιπός,—,—,—,—,feminine,nominative,plural,adjective,Luke 24:10,ἦσαν δὲ ἡ Μαγδαληνὴ Μαρία καὶ Ἰωάννα καὶ Μαρία ἡ Ἰακώβου καὶ αἱ,"σὺν αὐταῖς. ἔλεγον πρὸς τοὺς ἀποστόλους ταῦτα,"
λοιποί,λοιπός,—,—,—,—,masculine,nominative,plural,adjective,Ephesians 2:3,"σαρκὸς καὶ τῶν διανοιῶν, καὶ ἤμεθα τέκνα φύσει ὀργῆς ὡς καὶ οἱ",·
λοιποὶ,λοιπός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 22:6,οἱ δὲ,κρατήσαντες τοὺς δούλους αὐτοῦ ὕβρισαν καὶ ἀπέκτειναν.
λοιποὶ,λοιπός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 27:49,οἱ δὲ,ἔλεγον· ἄφες ἴδωμεν εἰ ἔρχεται Ἠλίας σώσων αὐτόν.
λοιποὶ,λοιπός,—,—,—,—,masculine,nominative,plural,adjective,Luke 18:11,"ὁ Φαρισαῖος σταθεὶς πρὸς ἑαυτὸν ταῦτα προσηύχετο· ὁ θεός, εὐχαριστῶ σοι ὅτι οὐκ εἰμὶ ὥσπερ οἱ","τῶν ἀνθρώπων, ἅρπαγες, ἄδικοι, μοιχοί, ἢ καὶ ὡς οὗτος ὁ τελώνης·"
λοιποὶ,λοιπός,—,—,—,—,masculine,nominative,plural,adjective,Acts 28:9,τούτου δὲ γενομένου καὶ οἱ,"οἱ ἐν τῇ νήσῳ ἔχοντες ἀσθενείας προσήρχοντο καὶ ἐθεραπεύοντο,"
λοιποὶ,λοιπός,—,—,—,—,masculine,nominative,plural,adjective,Romans 11:7,"Τί οὖν; ὃ ἐπιζητεῖ Ἰσραήλ, τοῦτο οὐκ ἐπέτυχεν, ἡ δὲ ἐκλογὴ ἐπέτυχεν· οἱ δὲ","ἐπωρώθησαν,"
