Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
λόγου,λόγος,—,—,—,—,masculine,genitive,singular,Matthew 5:32,ἐγὼ δὲ λέγω ὑμῖν ὅτι πᾶς ὁ ἀπολύων τὴν γυναῖκα αὐτοῦ παρεκτὸς,"πορνείας ποιεῖ αὐτὴν μοιχευθῆναι, καὶ ὃς ἐὰν ἀπολελυμένην γαμήσῃ, μοιχᾶται."
λόγος,λόγος,—,—,—,—,masculine,nominative,singular,Matthew 5:37,ἔστω δὲ ὁ,"ὑμῶν ναὶ ναί, οὒ οὔ· τὸ δὲ περισσὸν τούτων ἐκ τοῦ πονηροῦ ἐστιν."
λόγους,λόγος,—,—,—,—,masculine,accusative,plural,Matthew 7:24,Πᾶς οὖν ὅστις ἀκούει μου τοὺς,"τούτους καὶ ποιεῖ αὐτούς, ὁμοιωθήσεται ἀνδρὶ φρονίμῳ, ὅστις ᾠκοδόμησεν αὐτοῦ τὴν οἰκίαν ἐπὶ τὴν πέτραν·"
λόγους,λόγος,—,—,—,—,masculine,accusative,plural,Matthew 7:26,Καὶ πᾶς ὁ ἀκούων μου τοὺς,τούτους καὶ μὴ ποιῶν αὐτοὺς ὁμοιωθήσεται ἀνδρὶ μωρῷ ὅστις ᾠκοδόμησεν αὐτοῦ τὴν οἰκίαν ἐπὶ τὴν ἄμμον·
λόγους,λόγος,—,—,—,—,masculine,accusative,plural,Matthew 7:28,Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς τοὺς,"τούτους, ἐξεπλήσσοντο οἱ ὄχλοι ἐπὶ τῇ διδαχῇ αὐτοῦ·"
λόγῳ,λόγος,—,—,—,—,masculine,dative,singular,Matthew 8:8,"καὶ ἀποκριθεὶς ὁ ἑκατόνταρχος ἔφη· κύριε, οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς, ἀλλὰ μόνον εἰπὲ",", καὶ ἰαθήσεται ὁ παῖς μου."
λόγῳ,λόγος,—,—,—,—,masculine,dative,singular,Matthew 8:16,Ὀψίας δὲ γενομένης προσήνεγκαν αὐτῷ δαιμονιζομένους πολλούς· καὶ ἐξέβαλεν τὰ πνεύματα,"καὶ πάντας τοὺς κακῶς ἔχοντας ἐθεράπευσεν,"
λόγους,λόγος,—,—,—,—,masculine,accusative,plural,Matthew 10:14,καὶ ὃς ἂν μὴ δέξηται ὑμᾶς μηδὲ ἀκούσῃ τοὺς,"ὑμῶν, ἐξερχόμενοι ἔξω τῆς οἰκίας ἢ τῆς πόλεως  ἐκείνης ἐκτινάξατε τὸν κονιορτὸν  τῶν ποδῶν ὑμῶν."
λόγον,λόγος,—,—,—,—,masculine,accusative,singular,Matthew 12:32,καὶ ὃς ἐὰν εἴπῃ,"κατὰ τοῦ υἱοῦ τοῦ ἀνθρώπου,  ἀφεθήσεται αὐτῷ· ὃς δʼ ἂν εἴπῃ κατὰ τοῦ"
λόγον,λόγος,—,—,—,—,masculine,accusative,singular,Matthew 12:36,λέγω δὲ ὑμῖν ὅτι πᾶν ῥῆμα ἀργὸν ὃ λαλήσουσιν οἱ ἄνθρωποι ἀποδώσουσιν περὶ αὐτοῦ,ἐν ἡμέρᾳ κρίσεως·
