Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
μείνατε,μένω,aorist,active,imperative,second person,—,—,plural,Matthew 10:11,"Εἰς ἣν δʼ ἂν πόλιν ἢ κώμην εἰσέλθητε, ἐξετάσατε τίς ἐν αὐτῇ ἄξιός ἐστιν· κἀκεῖ",ἕως ἂν ἐξέλθητε.
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,Matthew 11:23,"καταβήσῃ·  ὅτι εἰ ἐν Σοδόμοις ἐγενήθησαν αἱ δυνάμεις αἱ γενόμεναι ἐν σοί,",ἂν μέχρι τῆς σήμερον.
μείνατε,μένω,aorist,active,imperative,second person,—,—,plural,Matthew 26:38,τότε λέγει αὐτοῖς· περίλυπός ἐστιν ἡ ψυχή μου ἕως θανάτου·,ὧδε καὶ γρηγορεῖτε μετʼ ἐμοῦ.
μένετε,μένω,present,active,imperative,second person,—,—,plural,Mark 6:10,"καὶ ἔλεγεν αὐτοῖς· ὅπου ἐὰν εἰσέλθητε εἰς οἰκίαν, ἐκεῖ",ἕως ἂν ἐξέλθητε ἐκεῖθεν.
μείνατε,μένω,aorist,active,imperative,second person,—,—,plural,Mark 14:34,καὶ λέγει αὐτοῖς· περίλυπός ἐστιν ἡ ψυχή μου ἕως θανάτου·,ὧδε καὶ γρηγορεῖτε.
Ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,Luke 1:56,—,"δὲ Μαριὰμ σὺν αὐτῇ ὡς μῆνας τρεῖς, καὶ ὑπέστρεψεν εἰς τὸν οἶκον αὐτῆς."
ἔμενεν,μένω,imperfect,active,indicative,third person,—,—,singular,Luke 8:27,ἔχων δαιμόνια καὶ χρόνῳ ἱκανῷ οὐκ ἐνεδύσατο ἱμάτιον καὶ ἐν οἰκίᾳ οὐκ,ἀλλʼ ἐν τοῖς μνήμασιν.
μένετε,μένω,present,active,imperative,second person,—,—,plural,Luke 9:4,"καὶ εἰς ἣν ἂν οἰκίαν εἰσέλθητε, ἐκεῖ",καὶ ἐκεῖθεν ἐξέρχεσθε.
μένετε,μένω,present,active,imperative,second person,—,—,plural,Luke 10:7,ἐν αὐτῇ δὲ τῇ οἰκίᾳ,ἐσθίοντες καὶ πίνοντες τὰ παρʼ αὐτῶν· ἄξιος γὰρ ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ
μεῖναι,μένω,aorist,active,infinitive,—,—,—,—,Luke 19:5,"αὐτόν· Ζακχαῖε, σπεύσας κατάβηθι, σήμερον γὰρ ἐν τῷ οἴκῳ σου δεῖ με",.
