Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:46,Ἔτι αὐτοῦ λαλοῦντος τοῖς ὄχλοις ἰδοὺ ἡ,καὶ οἱ ἀδελφοὶ αὐτοῦ εἱστήκεισαν ἔξω ζητοῦντες αὐτῷ λαλῆσαι.
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:47,εἶπεν δέ τις αὐτῷ· ἰδοὺ ἡ,σου καὶ οἱ ἀδελφοί σου ἔξω ἑστήκασιν ζητοῦντές σοι λαλῆσαι.]
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:48,ὁ δὲ ἀποκριθεὶς εἶπεν τῷ λέγοντι αὐτῷ· τίς ἐστιν ἡ,μου καὶ τίνες εἰσὶν οἱ ἀδελφοί μου;
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:49,καὶ ἐκτείνας τὴν χεῖρα αὐτοῦ ἐπὶ τοὺς μαθητὰς αὐτοῦ εἶπεν· ἰδοὺ ἡ,μου καὶ οἱ ἀδελφοί μου.
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:50,ὅστις γὰρ ἂν ποιήσῃ τὸ θέλημα τοῦ πατρός μου τοῦ ἐν οὐρανοῖς αὐτός μου  ἀδελφὸς καὶ ἀδελφὴ καὶ,ἐστίν.
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 13:55,οὐχ οὗτός ἐστιν ὁ τοῦ τέκτονος υἱός; οὐχ ἡ,αὐτοῦ λέγεται Μαριὰμ καὶ οἱ ἀδελφοὶ αὐτοῦ Ἰάκωβος καὶ Ἰωσὴφ καὶ Σίμων καὶ Ἰούδας;
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 20:20,Τότε προσῆλθεν αὐτῷ ἡ,τῶν υἱῶν Ζεβεδαίου μετὰ τῶν υἱῶν αὐτῆς προσκυνοῦσα καὶ αἰτοῦσά τι ἀπʼ αὐτοῦ.
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 27:56,ἐν αἷς ἦν Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ἡ τοῦ Ἰακώβου καὶ Ἰωσὴφ,καὶ ἡ μήτηρ τῶν υἱῶν Ζεβεδαίου.
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Matthew 27:56,ἐν αἷς ἦν Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ἡ τοῦ Ἰακώβου καὶ Ἰωσὴφ μήτηρ καὶ ἡ,τῶν υἱῶν Ζεβεδαίου.
μήτηρ,μήτηρ,—,—,—,—,feminine,nominative,singular,noun,Mark 3:31,Καὶ ἔρχεται ἡ,αὐτοῦ καὶ οἱ ἀδελφοὶ αὐτοῦ καὶ ἔξω στήκοντες ἀπέστειλαν πρὸς αὐτὸν καλοῦντες αὐτόν.
