Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
μαθητάς,μαθητής,—,—,—,—,masculine,accusative,plural,noun,Luke 16:1,Ἔλεγεν δὲ καὶ πρὸς τοὺς,"· ἄνθρωπός τις ἦν πλούσιος ὃς εἶχεν οἰκονόμον, καὶ οὗτος διεβλήθη αὐτῷ ὡς διασκορπίζων τὰ ὑπάρχοντα αὐτοῦ."
μαθητάς,μαθητής,—,—,—,—,masculine,accusative,plural,noun,Luke 17:22,Εἶπεν δὲ πρὸς τοὺς,· ἐλεύσονται ἡμέραι ὅτε ἐπιθυμήσετε μίαν τῶν ἡμερῶν  τοῦ υἱοῦ τοῦ ἀνθρώπου ἰδεῖν καὶ οὐκ ὄψεσθε.
μαθητάς,μαθητής,—,—,—,—,masculine,accusative,plural,noun,Acts 18:23,"Καὶ ποιήσας χρόνον τινὰ ἐξῆλθεν διερχόμενος καθεξῆς τὴν Γαλατικὴν χώραν καὶ Φρυγίαν, ἐπιστηρίζων πάντας τοὺς",.
μαθητής,μαθητής,—,—,—,—,masculine,nominative,singular,noun,Luke 14:26,"τὰς ἀδελφὰς ἔτι τε καὶ τὴν ψυχὴν ἑαυτοῦ, οὐ δύναται εἶναί μου",.
μαθητής,μαθητής,—,—,—,—,masculine,nominative,singular,noun,Luke 14:27,"ὅστις οὐ βαστάζει τὸν σταυρὸν ἑαυτοῦ καὶ ἔρχεται ὀπίσω μου, οὐ δύναται εἶναί μου",.
μαθητής,μαθητής,—,—,—,—,masculine,nominative,singular,noun,Luke 14:33,οὕτως οὖν πᾶς ἐξ ὑμῶν ὃς οὐκ ἀποτάσσεται πᾶσιν τοῖς ἑαυτοῦ ὑπάρχουσιν οὐ δύναται εἶναί μου,.
μαθητής,μαθητής,—,—,—,—,masculine,nominative,singular,noun,John 18:15,Ἠκολούθει δὲ τῷ Ἰησοῦ Σίμων Πέτρος καὶ  ἄλλος,". ὁ δὲ μαθητὴς ἐκεῖνος ἦν γνωστὸς τῷ ἀρχιερεῖ καὶ συνεισῆλθεν τῷ Ἰησοῦ εἰς τὴν αὐλὴν τοῦ ἀρχιερέως,"
μαθητής,μαθητής,—,—,—,—,masculine,nominative,singular,noun,Acts 9:26,"Παραγενόμενος δὲ εἰς Ἰερουσαλὴμ ἐπείραζεν κολλᾶσθαι τοῖς μαθηταῖς, καὶ πάντες ἐφοβοῦντο αὐτὸν μὴ πιστεύοντες ὅτι ἐστὶν",.
μαθητής,μαθητής,—,—,—,—,masculine,nominative,singular,noun,Acts 16:1,Κατήντησεν δὲ [καὶ] εἰς Δέρβην καὶ εἰς Λύστραν. καὶ ἰδοὺ,"τις ἦν ἐκεῖ ὀνόματι Τιμόθεος, υἱὸς γυναικὸς Ἰουδαίας πιστῆς, πατρὸς δὲ Ἕλληνος,"
μαθηταί,μαθητής,—,—,—,—,masculine,nominative,plural,noun,Matthew 9:14,"Τότε προσέρχονται αὐτῷ οἱ μαθηταὶ Ἰωάννου λέγοντες· διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν [πολλά], οἱ δὲ",σου οὐ νηστεύουσιν;
