Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Μηδείς,μηδείς,—,—,—,—,masculine,nominative,singular,adjective,1 Timothy 4:12,—,"σου τῆς νεότητος καταφρονείτω, ἀλλὰ τύπος γίνου τῶν πιστῶν ἐν λόγῳ, ἐν ἀναστροφῇ"
Μηδεμίαν,μηδείς,—,—,—,—,feminine,accusative,singular,adjective,2 Corinthians 6:3,—,"ἐν μηδενὶ διδόντες προσκοπήν, ἵνα μὴ μωμηθῇ ἡ διακονία,"
Μηδενὶ,μηδείς,—,—,—,—,masculine,dative,singular,adjective,Romans 13:8,—,μηδὲν ὀφείλετε εἰ μὴ τὸ ἀλλήλους ἀγαπᾶν· ὁ γὰρ ἀγαπῶν τὸν ἕτερον νόμον πεπλήρωκεν.
Μηδεὶς,μηδείς,—,—,—,—,masculine,nominative,singular,adjective,1 Corinthians 3:18,—,ἑαυτὸν ἐξαπατάτω·  εἴ τις δοκεῖ σοφὸς εἶναι ἐν ὑμῖν ἐν τῷ αἰῶνι τούτῳ
Μηδεὶς,μηδείς,—,—,—,—,masculine,nominative,singular,adjective,Ephesians 5:6,—,ὑμᾶς ἀπατάτω κενοῖς λόγοις· διὰ ταῦτα γὰρ ἔρχεται ἡ ὀργὴ τοῦ θεοῦ ἐπὶ τοὺς υἱοὺς τῆς ἀπειθείας.
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,Luke 3:14,ἐπηρώτων δὲ αὐτὸν καὶ στρατευόμενοι λέγοντες· τί ποιήσωμεν καὶ ἡμεῖς; καὶ εἶπεν αὐτοῖς·,διασείσητε μηδὲ συκοφαντήσητε καὶ ἀρκεῖσθε τοῖς ὀψωνίοις ὑμῶν.
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,Luke 10:4,"μὴ βαστάζετε βαλλάντιον, μὴ πήραν, μὴ ὑποδήματα, καὶ",κατὰ τὴν ὁδὸν ἀσπάσησθε.
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,Acts 9:7,"οἱ δὲ ἄνδρες οἱ συνοδεύοντες αὐτῷ εἱστήκεισαν ἐνεοί, ἀκούοντες μὲν τῆς φωνῆς",δὲ θεωροῦντες.
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,Acts 10:28,ἀθέμιτόν ἐστιν ἀνδρὶ Ἰουδαίῳ κολλᾶσθαι ἢ προσέρχεσθαι  ἀλλοφύλῳ· κἀμοὶ ὁ θεὸς ἔδειξεν,κοινὸν ἢ ἀκάθαρτον λέγειν ἄνθρωπον·
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,Acts 24:23,διαταξάμενος τῷ ἑκατοντάρχῃ τηρεῖσθαι αὐτὸν ἔχειν τε ἄνεσιν καὶ,κωλύειν τῶν ἰδίων αὐτοῦ ὑπηρετεῖν  αὐτῷ.
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,1 Thessalonians 3:3,τὸ,σαίνεσθαι ἐν ταῖς θλίψεσιν ταύταις. αὐτοὶ γὰρ οἴδατε ὅτι εἰς τοῦτο κείμεθα·
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,2 Thessalonians 2:3,Μή τις ὑμᾶς ἐξαπατήσῃ κατὰ,τρόπον. ὅτι ἐὰν μὴ ἔλθῃ ἡ ἀποστασία πρῶτον καὶ ἀποκαλυφθῇ ὁ ἄνθρωπος τῆς
μηδένα,μηδείς,—,—,—,—,masculine,accusative,singular,adjective,Titus 3:2,—,"βλασφημεῖν, ἀμάχους εἶναι, ἐπιεικεῖς, πᾶσαν ἐνδεικνυμένους πραΰτητα πρὸς πάντας ἀνθρώπους."
μηδέν,μηδείς,—,—,—,—,neuter,accusative,singular,adjective,2 Corinthians 13:7,εὐχόμεθα δὲ πρὸς τὸν θεὸν μὴ ποιῆσαι ὑμᾶς κακὸν,", οὐχ ἵνα ἡμεῖς δόκιμοι φανῶμεν, ἀλλʼ ἵνα ὑμεῖς τὸ καλὸν ποιῆτε, ἡμεῖς δὲ ὡς ἀδόκιμοι ὦμεν."
μηδείς,μηδείς,—,—,—,—,masculine,nominative,singular,adjective,Titus 2:15,Ταῦτα λάλει καὶ παρακάλει καὶ ἔλεγχε μετὰ πάσης ἐπιταγῆς·,σου περιφρονείτω.
μηδεμίαν,μηδείς,—,—,—,—,feminine,accusative,singular,adjective,Acts 13:28,καὶ,αἰτίαν θανάτου εὑρόντες  ᾐτήσαντο Πιλᾶτον ἀναιρεθῆναι αὐτόν.
μηδεμίαν,μηδείς,—,—,—,—,feminine,accusative,singular,adjective,Acts 25:17,συνελθόντων οὖν [αὐτῶν] ἐνθάδε ἀναβολὴν,ποιησάμενος τῇ ἑξῆς καθίσας ἐπὶ τοῦ βήματος ἐκέλευσα ἀχθῆναι τὸν ἄνδρα·
