Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Romans 3:21,—,"δὲ χωρὶς νόμου δικαιοσύνη θεοῦ πεφανέρωται μαρτυρουμένη ὑπὸ τοῦ νόμου καὶ τῶν προφητῶν,"
Νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Romans 15:25,—,δὲ πορεύομαι εἰς Ἰερουσαλὴμ διακονῶν τοῖς ἁγίοις.
Νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,1 Corinthians 13:13,—,"δὲ μένει πίστις, ἐλπίς, ἀγάπη, τὰ τρία ταῦτα· μείζων δὲ τούτων ἡ ἀγάπη."
Νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,1 Corinthians 15:20,—,δὲ Χριστὸς ἐγήγερται ἐκ νεκρῶν ἀπαρχὴ τῶν κεκοιμημένων.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Acts 22:1,"Ἄνδρες ἀδελφοὶ καὶ πατέρες, ἀκούσατέ μου τῆς πρὸς ὑμᾶς",ἀπολογίας.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Acts 24:13,οὐδὲ παραστῆσαι δύνανταί σοι περὶ ὧν,κατηγοροῦσίν μου.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Romans 6:22,—,δὲ ἐλευθερωθέντες ἀπὸ τῆς ἁμαρτίας δουλωθέντες δὲ τῷ θεῷ ἔχετε τὸν καρπὸν ὑμῶν
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Romans 7:6,—,"δὲ κατηργήθημεν ἀπὸ τοῦ νόμου ἀποθανόντες ἐν ᾧ κατειχόμεθα, ὥστε δουλεύειν ἡμᾶς ἐν"
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Romans 7:17,—,δὲ οὐκέτι ἐγὼ κατεργάζομαι αὐτὸ ἀλλʼ ἡ οἰκοῦσα ἐν ἐμοὶ ἁμαρτία.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Romans 15:23,—,"δὲ μηκέτι τόπον ἔχων ἐν τοῖς κλίμασιν τούτοις, ἐπιποθίαν δὲ ἔχων τοῦ ἐλθεῖν"
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,1 Corinthians 12:18,—,"δὲ ὁ θεὸς ἔθετο τὰ μέλη, ἓν ἕκαστον αὐτῶν ἐν τῷ σώματι καθὼς ἠθέλησεν."
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,2 Corinthians 8:11,—,"δὲ καὶ τὸ ποιῆσαι ἐπιτελέσατε, ὅπως καθάπερ ἡ προθυμία τοῦ θέλειν, οὕτως καὶ"
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,2 Corinthians 8:22,"συνεπέμψαμεν δὲ αὐτοῖς τὸν ἀδελφὸν ἡμῶν ὃν ἐδοκιμάσαμεν ἐν πολλοῖς πολλάκις σπουδαῖον ὄντα,",δὲ πολὺ σπουδαιότερον πεποιθήσει  πολλῇ τῇ εἰς ὑμᾶς.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Ephesians 2:13,—,δὲ ἐν Χριστῷ Ἰησοῦ ὑμεῖς οἵ ποτε ὄντες μακρὰν ἐγενήθητε ἐγγὺς ἐν τῷ αἵματι τοῦ Χριστοῦ.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Colossians 3:8,—,"δὲ ἀπόθεσθε καὶ ὑμεῖς τὰ πάντα, ὀργήν, θυμόν, κακίαν, βλασφημίαν, αἰσχρολογίαν ἐκ τοῦ στόματος ὑμῶν·"
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Philemon 9,"διὰ τὴν ἀγάπην μᾶλλον παρακαλῶ, τοιοῦτος ὢν ὡς Παῦλος πρεσβύτης",δὲ καὶ δέσμιος Χριστοῦ Ἰησοῦ·
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Philemon 11,τόν ποτέ σοι ἄχρηστον,"δὲ [καὶ] σοὶ καὶ ἐμοὶ εὔχρηστον,"
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Hebrews 8:6,—,"] δὲ διαφορωτέρας τέτυχεν λειτουργίας, ὅσῳ καὶ κρείττονός ἐστιν διαθήκης μεσίτης, ἥτις ἐπὶ κρείττοσιν ἐπαγγελίαις νενομοθέτηται."
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Hebrews 9:26,ἐπεὶ ἔδει αὐτὸν πολλάκις παθεῖν ἀπὸ καταβολῆς κόσμου·,δὲ ἅπαξ ἐπὶ συντελείᾳ τῶν αἰώνων εἰς ἀθέτησιν [τῆς] ἁμαρτίας διὰ τῆς θυσίας αὐτοῦ πεφανέρωται.
νυνὶ,νυνί,—,—,—,—,—,—,—,adverb,Colossians 1:22,—,δὲ ἀποκατήλλαξεν ἐν τῷ σώματι τῆς σαρκὸς αὐτοῦ διὰ τοῦ θανάτου  παραστῆσαι ὑμᾶς
