Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Νῦν,νῦν,—,—,—,—,—,—,—,adverb,John 12:27,—,"ἡ ψυχή μου τετάρακται, καὶ τί εἴπω; πάτερ, σῶσόν με ἐκ τῆς ὥρας"
Νῦν,νῦν,—,—,—,—,—,—,—,adverb,1 Corinthians 14:6,—,"δέ, ἀδελφοί, ἐὰν ἔλθω πρὸς ὑμᾶς γλώσσαις λαλῶν, τί ὑμᾶς ὠφελήσω ἐὰν μὴ"
Νῦν,νῦν,—,—,—,—,—,—,—,adverb,Colossians 1:24,—,χαίρω ἐν τοῖς παθήμασιν  ὑπὲρ ὑμῶν καὶ ἀνταναπληρῶ τὰ ὑστερήματα τῶν θλίψεων τοῦ
Νῦν,νῦν,—,—,—,—,—,—,—,adverb,Hebrews 2:8,πάντα ὑπέταξας ὑποκάτω τῶν ποδῶν αὐτοῦ.  ἐν τῷ γὰρ ὑποτάξαι [αὐτῷ] τὰ πάντα οὐδὲν ἀφῆκεν αὐτῷ ἀνυπότακτον.,δὲ οὔπω ὁρῶμεν αὐτῷ τὰ πάντα ὑποτεταγμένα·
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Matthew 24:21,ἔσται γὰρ τότε θλῖψις μεγάλη οἵα οὐ γέγονεν ἀπʼ ἀρχῆς κόσμου ἕως τοῦ,οὐδʼ οὐ μὴ γένηται.
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Matthew 26:65,Τότε ὁ ἀρχιερεὺς διέρρηξεν τὰ ἱμάτια αὐτοῦ λέγων ἐβλασφήμησεν·  τί ἔτι χρείαν ἔχομεν μαρτύρων; ἴδε,ἠκούσατε τὴν βλασφημίαν ·
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Matthew 27:42,"ἄλλους ἔσωσεν, ἑαυτὸν οὐ δύναται σῶσαι*· βασιλεὺς Ἰσραήλ ἐστιν, καταβάτω",ἀπὸ τοῦ σταυροῦ καὶ πιστεύσομεν ἐπʼ αὐτόν.
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Matthew 27:43,"πέποιθεν ἐπὶ τὸν θεόν, ῥυσάσθω",εἰ θέλει αὐτόν· εἶπεν γὰρ ὅτι θεοῦ εἰμι υἱός.
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Mark 10:30,ἐὰν μὴ λάβῃ ἑκατονταπλασίονα,ἐν τῷ καιρῷ τούτῳ οἰκίας καὶ ἀδελφοὺς καὶ ἀδελφὰς καὶ μητέρας καὶ τέκνα
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Mark 13:19,οὐ γέγονεν τοιαύτη ἀπʼ ἀρχῆς κτίσεως ἣν ἔκτισεν ὁ θεὸς ἕως τοῦ,καὶ οὐ μὴ γένηται.
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Mark 15:32,ὁ χριστὸς ὁ βασιλεὺς Ἰσραὴλ καταβάτω,"ἀπὸ τοῦ σταυροῦ, ἵνα ἴδωμεν καὶ πιστεύσωμεν. καὶ οἱ συνεσταυρωμένοι σὺν αὐτῷ ὠνείδιζον αὐτόν."
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Luke 1:48,ὅτι ἐπέβλεψεν  ἐπὶ τὴν ταπείνωσιν τῆς δούλης αὐτοῦ.        ἰδοὺ γὰρ ἀπὸ τοῦ,"μακαριοῦσίν με πᾶσαι αἱ γενεαί,"
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Luke 2:29,—,"ἀπολύεις τὸν δοῦλόν σου, δέσποτα,           κατὰ τὸ ῥῆμά σου ἐν εἰρήνῃ·"
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Luke 5:10,Σίμωνι. καὶ εἶπεν πρὸς τὸν Σίμωνα ὁ Ἰησοῦς· μὴ φοβοῦ· ἀπὸ τοῦ,ἀνθρώπους ἔσῃ ζωγρῶν.
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Luke 6:21,μακάριοι οἱ πεινῶντες,",           ὅτι χορτασθήσεσθε.        μακάριοι οἱ κλαίοντες νῦν,           ὅτι γελάσετε."
νῦν,νῦν,—,—,—,—,—,—,—,adverb,Luke 6:21,"μακάριοι οἱ πεινῶντες νῦν,           ὅτι χορτασθήσεσθε.        μακάριοι οἱ κλαίοντες",",           ὅτι γελάσετε."
