Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,2 Corinthians 5:11,—,"οὖν τὸν φόβον τοῦ κυρίου ἀνθρώπους πείθομεν, θεῷ δὲ πεφανερώμεθα· ἐλπίζω δὲ καὶ"
Εἰδὼς,οἶδα,perfect,active,participle,—,masculine,nominative,singular,verb,Matthew 12:25,—,δὲ τὰς ἐνθυμήσεις αὐτῶν εἶπεν αὐτοῖς· πᾶσα βασιλεία μερισθεῖσα καθʼ ἑαυτῆς ἐρημοῦται καὶ
Οἴδαμεν,οἶδα,perfect,active,indicative,first person,—,—,plural,verb,Romans 7:14,—,"γὰρ ὅτι ὁ νόμος πνευματικός ἐστιν, ἐγὼ δὲ σάρκινός εἰμι πεπραμένος ὑπὸ τὴν ἁμαρτίαν."
Οἴδαμεν,οἶδα,perfect,active,indicative,first person,—,—,plural,verb,Romans 8:28,—,"δὲ ὅτι τοῖς ἀγαπῶσιν τὸν θεὸν πάντα συνεργεῖ  εἰς  ἀγαθόν, τοῖς κατὰ πρόθεσιν κλητοῖς οὖσιν."
Οἴδαμεν,οἶδα,perfect,active,indicative,first person,—,—,plural,verb,2 Corinthians 5:1,—,"γὰρ ὅτι ἐὰν ἡ ἐπίγειος ἡμῶν οἰκία τοῦ σκήνους καταλυθῇ, οἰκοδομὴν ἐκ θεοῦ"
Οἴδαμεν,οἶδα,perfect,active,indicative,first person,—,—,plural,verb,1 Timothy 1:8,—,"δὲ ὅτι καλὸς ὁ νόμος, ἐάν τις αὐτῷ νομίμως χρῆται,"
Οἴδαμεν,οἶδα,perfect,active,indicative,first person,—,—,plural,verb,1 John 5:18,—,"ὅτι πᾶς ὁ γεγεννημένος ἐκ τοῦ θεοῦ οὐχ ἁμαρτάνει, ἀλλʼ ὁ γεννηθεὶς ἐκ"
Οἴδατε,οἶδα,perfect,active,indicative,second person,—,—,plural,verb,1 Corinthians 12:2,—,ὅτι ὅτε ἔθνη ἦτε πρὸς τὰ εἴδωλα τὰ ἄφωνα ὡς ἂν ἤγεσθε ἀπαγόμενοι.
Οἶδα,οἶδα,perfect,active,indicative,first person,—,—,singular,verb,John 8:37,—,"ὅτι σπέρμα Ἀβραάμ ἐστε· ἀλλὰ ζητεῖτέ με ἀποκτεῖναι, ὅτι ὁ λόγος ὁ ἐμὸς οὐ χωρεῖ ἐν ὑμῖν."
Οἶδα,οἶδα,perfect,active,indicative,first person,—,—,singular,verb,Romans 7:18,—,"γὰρ ὅτι οὐκ οἰκεῖ ἐν ἐμοί, τοῦτʼ ἔστιν ἐν τῇ σαρκί μου,  ἀγαθόν"
Οἶδας,οἶδα,perfect,active,indicative,second person,—,—,singular,verb,2 Timothy 1:15,—,"τοῦτο, ὅτι ἀπεστράφησάν με πάντες οἱ ἐν τῇ Ἀσίᾳ, ὧν ἐστιν Φύγελος καὶ Ἑρμογένης."
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,Luke 20:7,καὶ ἀπεκρίθησαν μὴ,πόθεν.
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,Luke 22:34,"ὁ δὲ εἶπεν· λέγω σοι, Πέτρε, οὐ φωνήσει σήμερον ἀλέκτωρ ἕως τρίς με ἀπαρνήσῃ",.
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,John 14:5,"Λέγει αὐτῷ Θωμᾶς·  κύριε, οὐκ οἴδαμεν ποῦ ὑπάγεις·  πῶς δυνάμεθα τὴν ὁδὸν",;
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,1 Corinthians 2:2,οὐ γὰρ ἔκρινά τι,ἐν ὑμῖν εἰ μὴ Ἰησοῦν Χριστὸν καὶ τοῦτον ἐσταυρωμένον.
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,1 Corinthians 11:3,Θέλω δὲ ὑμᾶς,"ὅτι παντὸς ἀνδρὸς ἡ κεφαλὴ ὁ Χριστός ἐστιν, κεφαλὴ δὲ γυναικὸς ὁ ἀνήρ"
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,Ephesians 1:18,πεφωτισμένους τοὺς ὀφθαλμοὺς τῆς καρδίας [ὑμῶν] εἰς τὸ,"ὑμᾶς τίς ἐστιν ἡ ἐλπὶς τῆς κλήσεως αὐτοῦ,  τίς ὁ πλοῦτος τῆς δόξης"
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,Colossians 2:1,Θέλω γὰρ ὑμᾶς,ἡλίκον ἀγῶνα ἔχω ὑπὲρ ὑμῶν καὶ τῶν ἐν Λαοδικείᾳ  καὶ ὅσοι οὐχ ἑόρακαν
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,Colossians 4:6,"ὁ λόγος ὑμῶν πάντοτε ἐν χάριτι, ἅλατι ἠρτυμένος,",πῶς δεῖ ὑμᾶς ἑνὶ ἑκάστῳ ἀποκρίνεσθαι.
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,1 Thessalonians 4:4,—,"ἕκαστον ὑμῶν τὸ ἑαυτοῦ σκεῦος κτᾶσθαι ἐν ἁγιασμῷ καὶ τιμῇ,"
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,1 Thessalonians 5:12,"Ἐρωτῶμεν δὲ ὑμᾶς, ἀδελφοί,",τοὺς κοπιῶντας ἐν ὑμῖν καὶ προϊσταμένους ὑμῶν ἐν κυρίῳ καὶ νουθετοῦντας ὑμᾶς
εἰδέναι,οἶδα,perfect,active,infinitive,—,—,—,—,verb,Titus 1:16,θεὸν ὁμολογοῦσιν,", τοῖς δὲ ἔργοις ἀρνοῦνται, βδελυκτοὶ ὄντες καὶ ἀπειθεῖς καὶ πρὸς πᾶν ἔργον ἀγαθὸν ἀδόκιμοι."
εἰδήσουσίν,οἶδα,future,active,indicative,third person,—,—,plural,verb,Hebrews 8:11,"αὐτοῦ        καὶ ἕκαστος τὸν ἀδελφὸν αὐτοῦ λέγων· γνῶθι τὸν κύριον,      ὅτι πάντες","με        ἀπὸ μικροῦ  ἕως μεγάλου αὐτῶν,"
εἰδυῖα,οἶδα,perfect,active,participle,—,feminine,nominative,singular,verb,Mark 5:33,"ἡ δὲ γυνὴ φοβηθεῖσα καὶ τρέμουσα ,","ὃ γέγονεν αὐτῇ, ἦλθεν καὶ προσέπεσεν αὐτῷ καὶ εἶπεν αὐτῷ πᾶσαν τὴν ἀλήθειαν."
εἰδυῖα,οἶδα,perfect,active,participle,—,feminine,nominative,singular,verb,Acts 5:7,Ἐγένετο δὲ ὡς ὡρῶν τριῶν διάστημα καὶ ἡ γυνὴ αὐτοῦ μὴ,τὸ γεγονὸς εἰσῆλθεν.
εἰδόσιν,οἶδα,perfect,active,participle,—,masculine,dative,plural,verb,2 Thessalonians 1:8,"ἐν πυρὶ φλογός, διδόντος ἐκδίκησιν τοῖς μὴ","θεὸν καὶ τοῖς μὴ ὑπακούουσιν τῷ εὐαγγελίῳ τοῦ κυρίου ἡμῶν Ἰησοῦ,"
εἰδότα,οἶδα,perfect,active,participle,—,neuter,nominative,plural,verb,1 Thessalonians 4:5,μὴ ἐν πάθει ἐπιθυμίας καθάπερ καὶ τὰ ἔθνη τὰ μὴ,"τὸν θεόν,"
εἰδότας,οἶδα,perfect,active,participle,—,masculine,accusative,plural,verb,2 Peter 1:12,Διὸ μελλήσω ἀεὶ ὑμᾶς ὑπομιμνῄσκειν περὶ τούτων καίπερ,καὶ ἐστηριγμένους ἐν τῇ παρούσῃ ἀληθείᾳ.
εἰδότας,οἶδα,perfect,active,participle,—,masculine,accusative,plural,verb,Jude 5,"Ὑπομνῆσαι δὲ ὑμᾶς βούλομαι,","ὑμᾶς ἅπαξ πάντα ὅτι Ἰησοῦς λαὸν ἐκ γῆς Αἰγύπτου σώσας τὸ δεύτερον τοὺς μὴ πιστεύσαντας ἀπώλεσεν,"
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Matthew 22:29,Ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· πλανᾶσθε μὴ,τὰς γραφὰς μηδὲ τὴν δύναμιν τοῦ θεοῦ·
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Mark 12:24,Ἔφη αὐτοῖς ὁ Ἰησοῦς· οὐ διὰ τοῦτο πλανᾶσθε μὴ,τὰς γραφὰς μηδὲ τὴν δύναμιν τοῦ θεοῦ;
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Luke 8:53,καὶ κατεγέλων αὐτοῦ,ὅτι ἀπέθανεν.
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,John 21:12,Λέγει αὐτοῖς ὁ Ἰησοῦς· δεῦτε ἀριστήσατε. οὐδεὶς δὲ ἐτόλμα τῶν μαθητῶν ἐξετάσαι αὐτόν· σὺ τίς εἶ;,ὅτι ὁ κύριός ἐστιν.
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Romans 5:3,"οὐ μόνον δέ, ἀλλὰ καὶ καυχώμεθα ἐν ταῖς θλίψεσιν,","ὅτι ἡ θλῖψις ὑπομονὴν κατεργάζεται,"
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Romans 6:9,—,"ὅτι Χριστὸς ἐγερθεὶς ἐκ νεκρῶν οὐκέτι ἀποθνῄσκει, θάνατος αὐτοῦ οὐκέτι κυριεύει."
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Romans 13:11,Καὶ τοῦτο,"τὸν καιρόν, ὅτι ὥρα ἤδη ὑμᾶς ἐξ ὕπνου ἐγερθῆναι, νῦν γὰρ ἐγγύτερον ἡμῶν"
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,1 Corinthians 15:58,"Ὥστε, ἀδελφοί μου ἀγαπητοί, ἑδραῖοι γίνεσθε, ἀμετακίνητοι, περισσεύοντες ἐν τῷ ἔργῳ τοῦ κυρίου πάντοτε,",ὅτι ὁ κόπος ὑμῶν οὐκ ἔστιν κενὸς ἐν κυρίῳ.
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,2 Corinthians 1:7,καὶ ἡ ἐλπὶς ἡμῶν βεβαία ὑπὲρ ὑμῶν,"ὅτι ὡς κοινωνοί ἐστε τῶν παθημάτων, οὕτως καὶ τῆς παρακλήσεως."
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,2 Corinthians 4:14,—,ὅτι ὁ ἐγείρας τὸν κύριον Ἰησοῦν καὶ ἡμᾶς σὺν Ἰησοῦ ἐγερεῖ καὶ παραστήσει σὺν ὑμῖν.
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,2 Corinthians 5:6,Θαρροῦντες οὖν πάντοτε καὶ,ὅτι ἐνδημοῦντες ἐν τῷ σώματι ἐκδημοῦμεν ἀπὸ τοῦ κυρίου·
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Galatians 2:16,—,[δὲ] ὅτι οὐ δικαιοῦται ἄνθρωπος ἐξ ἔργων νόμου ἐὰν μὴ διὰ πίστεως Ἰησοῦ
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Galatians 4:8,Ἀλλὰ τότε μὲν οὐκ,θεὸν ἐδουλεύσατε τοῖς φύσει μὴ οὖσιν θεοῖς·
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Ephesians 6:8,—,"ὅτι ἕκαστος ἐάν τι ποιήσῃ ἀγαθόν, τοῦτο κομίσεται παρὰ κυρίου εἴτε δοῦλος εἴτε ἐλεύθερος."
εἰδότες,οἶδα,perfect,active,participle,—,masculine,nominative,plural,verb,Ephesians 6:9,"Καὶ οἱ κύριοι, τὰ αὐτὰ ποιεῖτε πρὸς αὐτούς, ἀνιέντες τὴν ἀπειλήν,",ὅτι καὶ αὐτῶν καὶ ὑμῶν ὁ κύριός ἐστιν ἐν οὐρανοῖς καὶ προσωπολημψία οὐκ ἔστιν παρʼ αὐτῷ.
