Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
οἴκοις,οἶκος,—,—,—,—,masculine,dative,plural,noun,Matthew 11:8,ἀλλὰ τί ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς  ἠμφιεσμένον; ἰδοὺ οἱ τὰ μαλακὰ φοροῦντες ἐν τοῖς,τῶν βασιλέων εἰσίν.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Matthew 10:6,πορεύεσθε δὲ μᾶλλον πρὸς τὰ πρόβατα τὰ ἀπολωλότα,Ἰσραήλ.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Matthew 15:24,ὁ δὲ ἀποκριθεὶς εἶπεν οὐκ ἀπεστάλην εἰ μὴ εἰς τὰ πρόβατα  τὰ ἀπολωλότα,Ἰσραήλ.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Luke 1:27,πρὸς παρθένον ἐμνηστευμένην ἀνδρὶ ᾧ ὄνομα Ἰωσὴφ ἐξ,Δαυὶδ καὶ τὸ ὄνομα τῆς παρθένου Μαριάμ.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Luke 2:4,"Ἰουδαίαν εἰς πόλιν Δαυὶδ ἥτις καλεῖται Βηθλέεμ, διὰ τὸ εἶναι αὐτὸν ἐξ","καὶ πατριᾶς Δαυίδ,"
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Luke 11:51,ἀπὸ  αἵματος Ἅβελ  ἕως  αἵματος Ζαχαρίου τοῦ ἀπολομένου μεταξὺ τοῦ θυσιαστηρίου καὶ τοῦ,"· ναὶ λέγω ὑμῖν, ἐκζητηθήσεται ἀπὸ τῆς γενεᾶς ταύτης."
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,John 2:17,ἐμνήσθησαν οἱ μαθηταὶ αὐτοῦ ὅτι γεγραμμένον ἐστίν·  ὁ ζῆλος τοῦ,σου καταφάγεταί με.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Acts 19:16,κατακυριεύσας ἀμφοτέρων ἴσχυσεν κατʼ αὐτῶν ὥστε γυμνοὺς καὶ τετραυματισμένους ἐκφυγεῖν ἐκ τοῦ,ἐκείνου.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,1 Timothy 3:4,τοῦ ἰδίου,"καλῶς προϊστάμενον, τέκνα ἔχοντα ἐν ὑποταγῇ, μετὰ πάσης σεμνότητος"
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,1 Timothy 3:5,(εἰ δέ τις τοῦ ἰδίου,"προστῆναι οὐκ οἶδεν, πῶς ἐκκλησίας θεοῦ ἐπιμελήσεται;),"
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Hebrews 3:3,"πλείονος γὰρ οὗτος δόξης παρὰ Μωϋσῆν ἠξίωται, καθʼ ὅσον πλείονα τιμὴν ἔχει τοῦ",ὁ κατασκευάσας αὐτόν·
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,Hebrews 11:7,"Πίστει χρηματισθεὶς Νῶε περὶ τῶν μηδέπω βλεπομένων, εὐλαβηθεὶς κατεσκεύασεν κιβωτὸν εἰς σωτηρίαν τοῦ","αὐτοῦ διʼ ἧς κατέκρινεν τὸν κόσμον, καὶ τῆς κατὰ πίστιν δικαιοσύνης ἐγένετο κληρονόμος."
οἴκους,οἶκος,—,—,—,—,masculine,accusative,plural,noun,Luke 16:4,"ἔγνων τί ποιήσω, ἵνα ὅταν μετασταθῶ ἐκ τῆς οἰκονομίας δέξωνταί με εἰς τοὺς",αὐτῶν.
οἴκους,οἶκος,—,—,—,—,masculine,accusative,plural,noun,Acts 8:3,Σαῦλος δὲ ἐλυμαίνετο τὴν ἐκκλησίαν κατὰ τοὺς,"εἰσπορευόμενος, σύρων τε ἄνδρας καὶ γυναῖκας παρεδίδου εἰς φυλακήν."
οἴκους,οἶκος,—,—,—,—,masculine,accusative,plural,noun,Acts 20:20,ὡς οὐδὲν ὑπεστειλάμην τῶν συμφερόντων τοῦ μὴ ἀναγγεῖλαι ὑμῖν καὶ διδάξαι ὑμᾶς δημοσίᾳ καὶ κατʼ,","
οἴκους,οἶκος,—,—,—,—,masculine,accusative,plural,noun,Titus 1:11,"οὓς δεῖ ἐπιστομίζειν, οἵτινες ὅλους",ἀνατρέπουσιν διδάσκοντες ἃ μὴ δεῖ αἰσχροῦ κέρδους χάριν.
οἴκου,οἶκος,—,—,—,—,masculine,genitive,singular,noun,1 Peter 4:17,ὅτι ὁ καιρὸς τοῦ ἄρξασθαι τὸ κρίμα ἀπὸ τοῦ,"τοῦ θεοῦ· εἰ δὲ πρῶτον ἀφʼ ἡμῶν, τί τὸ τέλος τῶν ἀπειθούντων τῷ τοῦ θεοῦ εὐαγγελίῳ;"
οἴκων,οἶκος,—,—,—,—,masculine,genitive,plural,noun,1 Timothy 3:12,"διάκονοι ἔστωσαν μιᾶς γυναικὸς ἄνδρες, τέκνων καλῶς προϊστάμενοι καὶ τῶν ἰδίων",.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Mark 2:1,Καὶ εἰσελθὼν πάλιν εἰς Καφαρναοὺμ διʼ ἡμερῶν ἠκούσθη ὅτι ἐν,ἐστίν.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Luke 1:69,καὶ ἤγειρεν κέρας σωτηρίας ἡμῖν           ἐν,"Δαυὶδ  παιδὸς αὐτοῦ,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Luke 10:5,"εἰς ἣν δʼ ἂν εἰσέλθητε οἰκίαν, πρῶτον λέγετε· εἰρήνη τῷ",τούτῳ.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Luke 12:52,ἔσονται γὰρ ἀπὸ τοῦ νῦν πέντε ἐν ἑνὶ,"διαμεμερισμένοι, τρεῖς ἐπὶ δυσὶν καὶ δύο ἐπὶ τρισίν,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Luke 19:5,"ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· Ζακχαῖε, σπεύσας κατάβηθι, σήμερον γὰρ ἐν τῷ",σου δεῖ με μεῖναι.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Luke 19:9,εἶπεν δὲ πρὸς αὐτὸν ὁ Ἰησοῦς ὅτι σήμερον σωτηρία  τῷ,"τούτῳ ἐγένετο, καθότι καὶ αὐτὸς υἱὸς Ἀβραάμ ἐστιν·"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,John 11:20,Ἡ οὖν Μάρθα ὡς ἤκουσεν ὅτι Ἰησοῦς ἔρχεται ὑπήντησεν αὐτῷ· Μαριὰμ δὲ ἐν τῷ,ἐκαθέζετο.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Acts 7:20,Ἐν ᾧ καιρῷ ἐγεννήθη Μωϋσῆς καὶ ἦν ἀστεῖος τῷ θεῷ· ὃς ἀνετράφη μῆνας τρεῖς ἐν τῷ,"τοῦ πατρός,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Acts 7:46,ὃς εὗρεν χάριν ἐνώπιον τοῦ θεοῦ καὶ ᾐτήσατο εὑρεῖν σκήνωμα τῷ,Ἰακώβ.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Acts 10:2,εὐσεβὴς καὶ φοβούμενος τὸν θεὸν σὺν παντὶ τῷ,"αὐτοῦ, ποιῶν ἐλεημοσύνας πολλὰς τῷ λαῷ καὶ δεόμενος τοῦ θεοῦ διὰ παντός,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Acts 10:30,καὶ ὁ Κορνήλιος ἔφη· ἀπὸ τετάρτης ἡμέρας μέχρι ταύτης τῆς ὥρας ἤμην τὴν ἐνάτην προσευχόμενος ἐν τῷ,"μου, καὶ ἰδοὺ ἀνὴρ ἔστη ἐνώπιόν μου ἐν ἐσθῆτι λαμπρᾷ"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Acts 11:13,ἀπήγγειλεν δὲ ἡμῖν πῶς εἶδεν [τὸν] ἄγγελον ἐν τῷ,"αὐτοῦ σταθέντα καὶ εἰπόντα· ἀπόστειλον εἰς Ἰόππην καὶ μετάπεμψαι Σίμωνα τὸν ἐπικαλούμενον Πέτρον,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Acts 18:8,Κρίσπος δὲ ὁ ἀρχισυνάγωγος ἐπίστευσεν τῷ κυρίῳ σὺν ὅλῳ τῷ,"αὐτοῦ, καὶ πολλοὶ τῶν Κορινθίων ἀκούοντες ἐπίστευον  καὶ ἐβαπτίζοντο."
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,1 Corinthians 11:34,"εἴ  τις πεινᾷ, ἐν","ἐσθιέτω, ἵνα μὴ εἰς κρίμα συνέρχησθε. τὰ δὲ λοιπὰ ὡς ἂν ἔλθω διατάξομαι."
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,1 Corinthians 14:35,"εἰ δέ τι μαθεῖν θέλουσιν, ἐν",τοὺς ἰδίους ἄνδρας ἐπερωτάτωσαν· αἰσχρὸν γάρ ἐστιν γυναικὶ λαλεῖν ἐν ἐκκλησίᾳ.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,2 Timothy 1:16,δῴη ἔλεος ὁ κύριος τῷ Ὀνησιφόρου,", ὅτι πολλάκις με ἀνέψυξεν καὶ τὴν ἅλυσίν μου οὐκ ἐπαισχύνθη,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Hebrews 3:2,πιστὸν ὄντα τῷ ποιήσαντι αὐτὸν ὡς καὶ Μωϋσῆς ἐν [ὅλῳ] τῷ,αὐτοῦ.
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Hebrews 3:5,καὶ Μωϋσῆς μὲν πιστὸς ἐν ὅλῳ τῷ,"αὐτοῦ ὡς θεράπων εἰς μαρτύριον τῶν λαληθησομένων,"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,Hebrews 8:10,"ὅτι αὕτη ἡ διαθήκη , ἣν διαθήσομαι τῷ","Ἰσραὴλ        μετὰ τὰς ἡμέρας ἐκείνας, λέγει κύριος·      διδοὺς νόμους μου εἰς τὴν διάνοιαν"
οἴκῳ,οἶκος,—,—,—,—,masculine,dative,singular,noun,1 Timothy 3:15,"ἐὰν δὲ βραδύνω, ἵνα εἰδῇς πῶς δεῖ ἐν","θεοῦ ἀναστρέφεσθαι, ἥτις ἐστὶν ἐκκλησία θεοῦ ζῶντος, στῦλος καὶ ἑδραίωμα τῆς ἀληθείας."
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Matthew 9:7,καὶ ἐγερθεὶς ἀπῆλθεν εἰς τὸν,αὐτοῦ.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 3:20,Καὶ ἔρχεται εἰς,"· καὶ συνέρχεται πάλιν [ὁ] ὄχλος, ὥστε μὴ δύνασθαι αὐτοὺς μηδὲ ἄρτον φαγεῖν."
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 5:38,καὶ ἔρχονται εἰς τὸν,"τοῦ ἀρχισυναγώγου, καὶ θεωρεῖ θόρυβον καὶ κλαίοντας καὶ ἀλαλάζοντας πολλά,"
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 7:17,Καὶ ὅτε εἰσῆλθεν εἰς,"ἀπὸ τοῦ ὄχλου, ἐπηρώτων αὐτὸν οἱ μαθηταὶ αὐτοῦ τὴν παραβολήν."
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 7:30,καὶ ἀπελθοῦσα εἰς τὸν,αὐτῆς εὗρεν τὸ παιδίον βεβλημένον ἐπὶ τὴν κλίνην καὶ τὸ δαιμόνιον ἐξεληλυθός.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 8:3,καὶ ἐὰν ἀπολύσω αὐτοὺς νήστεις εἰς,"αὐτῶν, ἐκλυθήσονται ἐν τῇ ὁδῷ· καί τινες αὐτῶν ἀπὸ μακρόθεν ἥκασιν."
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 8:26,καὶ ἀπέστειλεν αὐτὸν εἰς,αὐτοῦ λέγων· μηδὲ εἰς τὴν κώμην εἰσέλθῃς.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Mark 9:28,Καὶ εἰσελθόντος αὐτοῦ εἰς,οἱ μαθηταὶ αὐτοῦ κατʼ ἰδίαν ἐπηρώτων αὐτόν· ὅτι ἡμεῖς οὐκ ἠδυνήθημεν ἐκβαλεῖν αὐτό;
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 1:23,"καὶ ἐγένετο ὡς ἐπλήσθησαν αἱ ἡμέραι τῆς λειτουργίας αὐτοῦ, ἀπῆλθεν εἰς τὸν",αὐτοῦ.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 1:33,καὶ βασιλεύσει ἐπὶ τὸν,Ἰακὼβ εἰς τοὺς αἰῶνας      καὶ τῆς βασιλείας αὐτοῦ οὐκ ἔσται τέλος.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 1:40,καὶ εἰσῆλθεν εἰς τὸν,Ζαχαρίου καὶ ἠσπάσατο τὴν Ἐλισάβετ.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 1:56,"Ἔμεινεν δὲ Μαριὰμ σὺν αὐτῇ ὡς μῆνας τρεῖς, καὶ ὑπέστρεψεν εἰς τὸν",αὐτῆς.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 5:25,"καὶ παραχρῆμα ἀναστὰς ἐνώπιον αὐτῶν, ἄρας ἐφʼ ὃ κατέκειτο, ἀπῆλθεν εἰς τὸν",αὐτοῦ δοξάζων τὸν θεόν.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 7:10,Καὶ ὑποστρέψαντες εἰς τὸν,οἱ πεμφθέντες  εὗρον τὸν δοῦλον ὑγιαίνοντα.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 7:36,"Ἠρώτα δέ τις αὐτὸν τῶν Φαρισαίων ἵνα φάγῃ μετʼ αὐτοῦ, καὶ εἰσελθὼν εἰς τὸν",τοῦ Φαρισαίου κατεκλίθη.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 8:41,καὶ πεσὼν παρὰ τοὺς πόδας [τοῦ] Ἰησοῦ παρεκάλει αὐτὸν εἰσελθεῖν εἰς τὸν,"αὐτοῦ,"
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 11:17,αὐτὸς δὲ εἰδὼς αὐτῶν τὰ διανοήματα εἶπεν αὐτοῖς· πᾶσα βασιλεία ἐφʼ ἑαυτὴν διαμερισθεῖσα ἐρημοῦται καὶ οἶκος ἐπὶ,πίπτει.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 12:39,"τοῦτο δὲ γινώσκετε ὅτι εἰ ᾔδει ὁ οἰκοδεσπότης ποίᾳ ὥρᾳ ὁ κλέπτης ἔρχεται, οὐκ ἂν ἀφῆκεν διορυχθῆναι τὸν",αὐτοῦ.
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 15:6,καὶ ἐλθὼν εἰς τὸν,"συγκαλεῖ τοὺς φίλους καὶ τοὺς γείτονας λέγων αὐτοῖς· συγχάρητέ μοι, ὅτι εὗρον τὸ πρόβατόν μου τὸ ἀπολωλός."
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 16:27,"εἶπεν δέ· ἐρωτῶ σε οὖν, πάτερ , ἵνα πέμψῃς αὐτὸν εἰς τὸν","τοῦ πατρός μου,"
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,Luke 18:14,"λέγω ὑμῖν, κατέβη οὗτος δεδικαιωμένος εἰς τὸν","αὐτοῦ παρʼ ἐκεῖνον· ὅτι πᾶς ὁ ὑψῶν ἑαυτὸν ταπεινωθήσεται, ὁ δὲ ταπεινῶν ἑαυτὸν ὑψωθήσεται."
οἶκον,οἶκος,—,—,—,—,masculine,accusative,singular,noun,John 2:16,"καὶ τοῖς τὰς περιστερὰς πωλοῦσιν εἶπεν· ἄρατε ταῦτα ἐντεῦθεν,  μὴ ποιεῖτε τὸν",τοῦ πατρός μου οἶκον ἐμπορίου.
