Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 5:15,—,οὐδὲ,"καίουσιν λύχνον καὶ τιθέασιν αὐτὸν ὑπὸ τὸν μόδιον ἀλλʼ ἐπὶ τὴν λυχνίαν, καὶ",οὐδέ,Louw Nida 69.7,"δε, ου
","conjunction, particle, adverb",negative
NA28,Matthew 6:15,"ἐὰν δὲ μὴ ἀφῆτε τοῖς ἀνθρώποις ,",οὐδὲ,ὁ πατὴρ ὑμῶν ἀφήσει τὰ παραπτώματα ὑμῶν.,οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction, adverb",negative
NA28,Matthew 6:20,θησαυρίζετε δὲ ὑμῖν θησαυροὺς ἐν οὐρανῷ ὅπου οὔτε σὴς οὔτε βρῶσις ἀφανίζει καὶ ὅπου κλέπται οὐ διορύσσουσιν,οὐδὲ,κλέπτουσιν·,οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
NA28,Matthew 6:26,ἐμβλέψατε εἰς τὰ πετεινὰ τοῦ οὐρανοῦ ὅτι οὐ σπείρουσιν,οὐδὲ,"θερίζουσιν οὐδὲ συνάγουσιν εἰς  ἀποθήκας, καὶ ὁ πατὴρ ὑμῶν ὁ οὐράνιος τρέφει αὐτά",οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
NA28,Matthew 6:26,ἐμβλέψατε εἰς τὰ πετεινὰ τοῦ οὐρανοῦ ὅτι οὐ σπείρουσιν οὐδὲ θερίζουσιν,οὐδὲ,"συνάγουσιν εἰς  ἀποθήκας, καὶ ὁ πατὴρ ὑμῶν ὁ οὐράνιος τρέφει αὐτά· οὐχ ὑμεῖς μᾶλλον διαφέρετε αὐτῶν;",οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
NA28,Matthew 6:28,Καὶ περὶ ἐνδύματος τί μεριμνᾶτε; καταμάθετε τὰ κρίνα τοῦ ἀγροῦ πῶς αὐξάνουσιν· οὐ κοπιῶσιν,οὐδὲ,νήθουσιν·,οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
NA28,Matthew 6:29,λέγω δὲ ὑμῖν ὅτι,οὐδὲ,Σολομὼν ἐν πάσῃ τῇ δόξῃ αὐτοῦ περιεβάλετο ὡς ἓν τούτων.,οὐδέ,Louw Nida 69.8,"δε, ου
",adverb,negative
NA28,Matthew 7:18,οὐ δύναται δένδρον ἀγαθὸν καρποὺς πονηροὺς ποιεῖν,οὐδὲ,δένδρον σαπρὸν καρποὺς καλοὺς ποιεῖν.,οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
NA28,Matthew 9:17,—,οὐδὲ,"βάλλουσιν οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή γε, ῥήγνυνται οἱ ἀσκοὶ",οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
NA28,Matthew 10:24,Οὐκ ἔστιν μαθητὴς ὑπὲρ τὸν διδάσκαλον,οὐδὲ,δοῦλος ὑπὲρ τὸν κύριον αὐτοῦ.,οὐδέ,Louw Nida 69.7,"δε, ου
","particle, conjunction",negative
