Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Οὐδεὶς,οὐδείς,—,—,—,—,masculine,nominative,singular,adjective,Matthew 6:24,—,δύναται δυσὶ κυρίοις δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει
Οὐδεὶς,οὐδείς,—,—,—,—,masculine,nominative,singular,adjective,Mark 2:21,—,"ἐπίβλημα ῥάκους ἀγνάφου ἐπιράπτει ἐπὶ ἱμάτιον παλαιόν· εἰ δὲ μή, αἴρει τὸ πλήρωμα"
Οὐδεὶς,οὐδείς,—,—,—,—,masculine,nominative,singular,adjective,Luke 8:16,—,"δὲ λύχνον ἅψας καλύπτει αὐτὸν σκεύει ἢ ὑποκάτω κλίνης τίθησιν, ἀλλʼ ἐπὶ λυχνίας"
Οὐδεὶς,οὐδείς,—,—,—,—,masculine,nominative,singular,adjective,Luke 11:33,—,λύχνον ἅψας εἰς κρύπτην τίθησιν [οὐδὲ ὑπὸ τὸν μόδιον] ἀλλʼ ἐπὶ τὴν λυχνίαν
Οὐδεὶς,οὐδείς,—,—,—,—,masculine,nominative,singular,adjective,Luke 16:13,—,οἰκέτης δύναται δυσὶν κυρίοις δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον
Οὐδεὶς,οὐδείς,—,—,—,—,masculine,nominative,singular,adjective,Ephesians 5:29,—,"γάρ ποτε τὴν ἑαυτοῦ σάρκα ἐμίσησεν ἀλλʼ ἐκτρέφει καὶ θάλπει αὐτήν, καθὼς καὶ ὁ Χριστὸς τὴν ἐκκλησίαν,"
Οὐδὲν,οὐδείς,—,—,—,—,neuter,nominative,singular,adjective,Luke 12:2,—,δὲ συγκεκαλυμμένον ἐστὶν ὃ οὐκ ἀποκαλυφθήσεται καὶ κρυπτὸν ὃ οὐ γνωσθήσεται.
Οὐδὲν,οὐδείς,—,—,—,—,neuter,nominative,singular,adjective,Romans 8:1,—,ἄρα νῦν κατάκριμα τοῖς ἐν Χριστῷ Ἰησοῦ.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,Matthew 17:8,ἐπάραντες δὲ τοὺς ὀφθαλμοὺς αὐτῶν,εἶδον εἰ μὴ αὐτὸν Ἰησοῦν μόνον.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,Mark 5:37,καὶ οὐκ ἀφῆκεν,μετʼ αὐτοῦ συνακολουθῆσαι εἰ μὴ τὸν Πέτρον καὶ Ἰάκωβον καὶ Ἰωάννην τὸν ἀδελφὸν Ἰακώβου.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,Mark 7:24,Ἐκεῖθεν δὲ ἀναστὰς ἀπῆλθεν εἰς τὰ ὅρια Τύρου . Καὶ εἰσελθὼν εἰς οἰκίαν,"ἤθελεν γνῶναι, καὶ οὐκ ἠδυνήθη λαθεῖν·"
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,Mark 9:8,καὶ ἐξάπινα περιβλεψάμενοι οὐκέτι,εἶδον ἀλλὰ τὸν Ἰησοῦν μόνον μεθʼ ἑαυτῶν.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,John 5:22,οὐδὲ γὰρ ὁ πατὴρ κρίνει,", ἀλλὰ τὴν κρίσιν πᾶσαν δέδωκεν τῷ υἱῷ,"
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,John 8:15,"ὑμεῖς κατὰ τὴν σάρκα κρίνετε, ἐγὼ  οὐ κρίνω",.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,John 18:9,ἵνα πληρωθῇ ὁ λόγος ὃν εἶπεν ὅτι οὓς δέδωκάς μοι οὐκ ἀπώλεσα ἐξ αὐτῶν,.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,John 18:31,νόμον ὑμῶν κρίνατε αὐτόν. εἶπον  αὐτῷ οἱ Ἰουδαῖοι· ἡμῖν οὐκ ἔξεστιν ἀποκτεῖναι,·
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,Acts 5:23,"πάσῃ ἀσφαλείᾳ καὶ τοὺς φύλακας ἑστῶτας ἐπὶ τῶν θυρῶν, ἀνοίξαντες δὲ ἔσω",εὕρομεν.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,1 Corinthians 1:14,εὐχαριστῶ [τῷ θεῷ] ὅτι,"ὑμῶν ἐβάπτισα εἰ μὴ Κρίσπον καὶ Γάϊον,"
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,2 Corinthians 5:16,Ὥστε ἡμεῖς ἀπὸ τοῦ νῦν,"οἴδαμεν κατὰ σάρκα· εἰ καὶ ἐγνώκαμεν κατὰ σάρκα Χριστόν, ἀλλὰ νῦν οὐκέτι γινώσκομεν."
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,2 Corinthians 7:2,Χωρήσατε ἡμᾶς·,"ἠδικήσαμεν, οὐδένα ἐφθείραμεν, οὐδένα ἐπλεονεκτήσαμεν."
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,2 Corinthians 7:2,"Χωρήσατε ἡμᾶς· οὐδένα ἠδικήσαμεν,","ἐφθείραμεν, οὐδένα ἐπλεονεκτήσαμεν."
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,2 Corinthians 7:2,"Χωρήσατε ἡμᾶς· οὐδένα ἠδικήσαμεν, οὐδένα ἐφθείραμεν,",ἐπλεονεκτήσαμεν.
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,Philippians 2:20,—,"γὰρ ἔχω ἰσόψυχον, ὅστις γνησίως τὰ περὶ ὑμῶν μεριμνήσει·"
οὐδένα,οὐδείς,—,—,—,—,masculine,accusative,singular,adjective,James 1:13,"μηδεὶς πειραζόμενος λεγέτω ὅτι ἀπὸ θεοῦ πειράζομαι· ὁ γὰρ θεὸς ἀπείραστός ἐστιν κακῶν, πειράζει δὲ αὐτὸς",.
οὐδέν,οὐδείς,—,—,—,—,neuter,nominative,singular,adjective,Matthew 23:16,"Οὐαὶ ὑμῖν, ὁδηγοὶ τυφλοὶ οἱ λέγοντες· ὃς ἂν ὀμόσῃ ἐν τῷ ναῷ,","ἐστιν· ὃς δʼ ἂν ὀμόσῃ ἐν τῷ χρυσῷ τοῦ ναοῦ, ὀφείλει."
οὐδέν,οὐδείς,—,—,—,—,neuter,nominative,singular,adjective,Matthew 23:18,"καί· ὃς ἂν ὀμόσῃ ἐν τῷ θυσιαστηρίῳ,","ἐστιν· ὃς δʼ ἂν ὀμόσῃ ἐν τῷ δώρῳ τῷ ἐπάνω αὐτοῦ, ὀφείλει."
οὐδέν,οὐδείς,—,—,—,—,neuter,nominative,singular,adjective,Mark 7:15,—,"ἐστιν ἔξωθεν τοῦ ἀνθρώπου εἰσπορευόμενον εἰς αὐτὸν ὃ δύναται κοινῶσαι αὐτόν, ἀλλὰ τὰ"
οὐδέν,οὐδείς,—,—,—,—,neuter,accusative,singular,adjective,Mark 14:61,ὁ δὲ ἐσιώπα καὶ οὐκ ἀπεκρίνατο,. πάλιν ὁ ἀρχιερεὺς ἐπηρώτα αὐτὸν καὶ λέγει αὐτῷ· σὺ εἶ ὁ χριστὸς ὁ υἱὸς τοῦ εὐλογητοῦ;
οὐδέν,οὐδείς,—,—,—,—,neuter,accusative,singular,adjective,Mark 15:4,ὁ δὲ Πιλᾶτος πάλιν ἐπηρώτα αὐτὸν λέγων· οὐκ ἀποκρίνῃ,; ἴδε πόσα σου κατηγοροῦσιν.
