Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 5:46,"ἐὰν γὰρ ἀγαπήσητε τοὺς ἀγαπῶντας ὑμᾶς, τίνα μισθὸν ἔχετε;",οὐχὶ,καὶ οἱ τελῶναι τὸ αὐτὸ ποιοῦσιν;,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Matthew 5:47,"καὶ ἐὰν ἀσπάσησθε τοὺς ἀδελφοὺς ὑμῶν μόνον, τί περισσὸν ποιεῖτε;",οὐχὶ,καὶ οἱ ἐθνικοὶ τὸ αὐτὸ ποιοῦσιν;,οὐχί,Louw Nida 69.12,ου,particle,negative
NA28,Matthew 6:25,"ὑμῶν τί φάγητε [ἢ τί πίητε], μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε.",οὐχὶ,ἡ ψυχὴ πλεῖόν ἐστιν τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος;,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Matthew 10:29,—,οὐχὶ,δύο στρουθία ἀσσαρίου πωλεῖται; καὶ ἓν ἐξ αὐτῶν οὐ πεσεῖται ἐπὶ τὴν γῆν ἄνευ τοῦ πατρὸς ὑμῶν.,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Matthew 12:11,"ὃς ἕξει πρόβατον ἓν καὶ ἐὰν ἐμπέσῃ τοῦτο τοῖς σάββασιν εἰς βόθυνον,",οὐχὶ,κρατήσει αὐτὸ καὶ ἐγερεῖ;,οὐχί,Louw Nida 69.4,ου,particle,"interrogative, negative"
NA28,Matthew 13:27,"προσελθόντες δὲ οἱ δοῦλοι τοῦ οἰκοδεσπότου εἶπον αὐτῷ· κύριε,",οὐχὶ,καλὸν σπέρμα ἔσπειρας ἐν τῷ σῷ ἀγρῷ; πόθεν οὖν ἔχει  ζιζάνια;,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Matthew 13:56,καὶ αἱ ἀδελφαὶ αὐτοῦ,οὐχὶ,πᾶσαι πρὸς ἡμᾶς εἰσιν; πόθεν οὖν τούτῳ ταῦτα πάντα;,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Matthew 18:12,"Τί ὑμῖν δοκεῖ; ἐὰν γένηταί τινι ἀνθρώπῳ ἑκατὸν πρόβατα καὶ πλανηθῇ ἓν ἐξ αὐτῶν,",οὐχὶ,ἀφήσει τὰ ἐνενήκοντα ἐννέα  ἐπὶ τὰ ὄρη καὶ πορευθεὶς ζητεῖ τὸ πλανώμενον;,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Matthew 20:13,"ὁ δὲ ἀποκριθεὶς ἑνὶ αὐτῶν εἶπεν·  ἑταῖρε, οὐκ ἀδικῶ σε·",οὐχὶ,δηναρίου συνεφώνησάς μοι;,οὐχί,Louw Nida 69.12,ου,particle,"interrogative, negative"
NA28,Luke 1:60,καὶ ἀποκριθεῖσα ἡ μήτηρ αὐτοῦ εἶπεν·,οὐχί,", ἀλλὰ κληθήσεται  Ἰωάννης.",οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
