Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 6:20,θησαυρίζετε δὲ ὑμῖν θησαυροὺς ἐν οὐρανῷ ὅπου,οὔτε,σὴς οὔτε βρῶσις ἀφανίζει καὶ ὅπου κλέπται οὐ διορύσσουσιν οὐδὲ κλέπτουσιν·,οὔτε,Louw Nida 69.9,"ου, τε
",conjunction,—
NA28,Matthew 6:20,θησαυρίζετε δὲ ὑμῖν θησαυροὺς ἐν οὐρανῷ ὅπου οὔτε σὴς,οὔτε,βρῶσις ἀφανίζει καὶ ὅπου κλέπται οὐ διορύσσουσιν οὐδὲ κλέπτουσιν·,οὔτε,Louw Nida 69.9,"ου, τε
",conjunction,—
NA28,Matthew 12:32,"ὃς δʼ ἂν εἴπῃ κατὰ τοῦ πνεύματος τοῦ ἁγίου, οὐκ ἀφεθήσεται αὐτῷ",οὔτε,ἐν τούτῳ τῷ αἰῶνι οὔτε ἐν τῷ μέλλοντι.,οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Matthew 12:32,"τοῦ πνεύματος τοῦ ἁγίου, οὐκ ἀφεθήσεται αὐτῷ οὔτε ἐν τούτῳ τῷ αἰῶνι",οὔτε,ἐν τῷ μέλλοντι.,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Matthew 22:30,ἐν γὰρ τῇ ἀναστάσει,οὔτε,"γαμοῦσιν οὔτε γαμίζονται, ἀλλʼ ὡς ἄγγελοι ἐν τῷ οὐρανῷ εἰσιν.",οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Matthew 22:30,ἐν γὰρ τῇ ἀναστάσει οὔτε γαμοῦσιν,οὔτε,"γαμίζονται, ἀλλʼ ὡς ἄγγελοι ἐν τῷ οὐρανῷ εἰσιν.",οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Mark 12:25,ὅταν γὰρ ἐκ νεκρῶν ἀναστῶσιν,οὔτε,"γαμοῦσιν οὔτε γαμίζονται, ἀλλʼ εἰσὶν ὡς ἄγγελοι ἐν τοῖς οὐρανοῖς.",οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Mark 12:25,ὅταν γὰρ ἐκ νεκρῶν ἀναστῶσιν οὔτε γαμοῦσιν,οὔτε,"γαμίζονται, ἀλλʼ εἰσὶν ὡς ἄγγελοι ἐν τοῖς οὐρανοῖς.",οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Mark 14:68,ὁ δὲ ἠρνήσατο λέγων·,οὔτε,οἶδα οὔτε ἐπίσταμαι σὺ τί λέγεις. καὶ ἐξῆλθεν ἔξω εἰς τὸ προαύλιον [καὶ ἀλέκτωρ ἐφώνησεν].,οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Mark 14:68,ὁ δὲ ἠρνήσατο λέγων· οὔτε οἶδα,οὔτε,ἐπίσταμαι σὺ τί λέγεις. καὶ ἐξῆλθεν ἔξω εἰς τὸ προαύλιον [καὶ ἀλέκτωρ ἐφώνησεν].,οὔτε,Louw Nida 69.9,"ου, τε
","particle, conjunction",negative
NA28,Luke 14:35,—,οὔτε,"εἰς  γῆν οὔτε εἰς κοπρίαν εὔθετόν ἐστιν, ἔξω βάλλουσιν αὐτό. ὁ ἔχων ὦτα ἀκούειν ἀκουέτω.",οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Luke 14:35,οὔτε εἰς  γῆν,οὔτε,"εἰς κοπρίαν εὔθετόν ἐστιν, ἔξω βάλλουσιν αὐτό. ὁ ἔχων ὦτα ἀκούειν ἀκουέτω.",οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Luke 20:35,οἱ δὲ καταξιωθέντες τοῦ αἰῶνος ἐκείνου τυχεῖν καὶ τῆς ἀναστάσεως τῆς ἐκ νεκρῶν,οὔτε,γαμοῦσιν οὔτε γαμίζονται·,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Luke 20:35,οἱ δὲ καταξιωθέντες τοῦ αἰῶνος ἐκείνου τυχεῖν καὶ τῆς ἀναστάσεως τῆς ἐκ νεκρῶν οὔτε γαμοῦσιν,οὔτε,γαμίζονται·,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
