Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 6:9,—,οὖν προσεύχεσθε ὑμεῖς·        Πάτερ ἡμῶν ὁ ἐν τοῖς οὐρανοῖς·        ἁγιασθήτω τὸ ὄνομά σου·
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 7:17,—,"πᾶν δένδρον ἀγαθὸν καρποὺς καλοὺς ποιεῖ, τὸ δὲ σαπρὸν δένδρον καρποὺς πονηροὺς ποιεῖ."
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Acts 19:20,—,κατὰ κράτος τοῦ κυρίου ὁ λόγος ηὔξανεν καὶ ἴσχυεν.
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,1 Corinthians 4:1,—,ἡμᾶς λογιζέσθω ἄνθρωπος ὡς ὑπηρέτας Χριστοῦ καὶ οἰκονόμους μυστηρίων θεοῦ.
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,1 Corinthians 15:42,—,"καὶ ἡ ἀνάστασις τῶν νεκρῶν. σπείρεται ἐν φθορᾷ, ἐγείρεται ἐν ἀφθαρσίᾳ·"
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Hebrews 5:5,—,καὶ ὁ Χριστὸς οὐχ ἑαυτὸν ἐδόξασεν γενηθῆναι ἀρχιερέα ἀλλʼ ὁ λαλήσας πρὸς αὐτόν
Οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,James 2:12,—,λαλεῖτε καὶ οὕτως ποιεῖτε ὡς διὰ νόμου ἐλευθερίας μέλλοντες κρίνεσθαι.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 1:18,Τοῦ δὲ Ἰησοῦ Χριστοῦ ἡ γένεσις,"ἦν. μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 2:5,οἱ δὲ εἶπαν αὐτῷ· ἐν Βηθλέεμ τῆς Ἰουδαίας·,γὰρ γέγραπται διὰ τοῦ προφήτου·
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 3:15,"ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· ἄφες ἄρτι,",γὰρ πρέπον ἐστὶν ἡμῖν πληρῶσαι πᾶσαν δικαιοσύνην. τότε ἀφίησιν αὐτόν.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 5:12,"χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς·",γὰρ ἐδίωξαν τοὺς προφήτας τοὺς πρὸ ὑμῶν.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 5:16,—,"λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, ὅπως ἴδωσιν ὑμῶν τὰ καλὰ ἔργα"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 5:19,ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ,"τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ ἂν ποιήσῃ"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 6:30,εἰ δὲ τὸν χόρτον τοῦ ἀγροῦ σήμερον ὄντα καὶ αὔριον εἰς κλίβανον βαλλόμενον ὁ θεὸς,"ἀμφιέννυσιν, οὐ πολλῷ μᾶλλον ὑμᾶς, ὀλιγόπιστοι;"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 7:12,"Πάντα οὖν ὅσα ἐὰν θέλητε ἵνα ποιῶσιν ὑμῖν οἱ ἄνθρωποι,",καὶ ὑμεῖς ποιεῖτε αὐτοῖς· οὗτος γάρ ἐστιν ὁ νόμος καὶ οἱ προφῆται.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 9:33,καὶ ἐκβληθέντος τοῦ δαιμονίου ἐλάλησεν ὁ κωφός. καὶ ἐθαύμασαν οἱ ὄχλοι λέγοντες· οὐδέποτε ἐφάνη,ἐν τῷ Ἰσραήλ.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 11:26,"ναὶ ὁ πατήρ, ὅτι",εὐδοκία ἐγένετο ἔμπροσθέν σου. Πάντα
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 12:40,"ὥσπερ γὰρ ἦν Ἰωνᾶς ἐν τῇ κοιλίᾳ τοῦ κήτους τρεῖς ἡμέρας καὶ τρεῖς νύκτας,",ἔσται  ὁ υἱὸς τοῦ ἀνθρώπου ἐν τῇ καρδίᾳ τῆς γῆς τρεῖς ἡμέρας καὶ τρεῖς νύκτας.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 12:45,κατοικεῖ ἐκεῖ· καὶ γίνεται τὰ ἔσχατα τοῦ ἀνθρώπου ἐκείνου χείρονα τῶν πρώτων.,ἔσται καὶ τῇ γενεᾷ ταύτῃ τῇ πονηρᾷ.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 13:40,"ὥσπερ οὖν συλλέγεται τὰ ζιζάνια καὶ πυρὶ κατακαίεται,",ἔσται ἐν τῇ συντελείᾳ τοῦ αἰῶνος·
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 13:49,—,ἔσται ἐν τῇ συντελείᾳ τοῦ αἰῶνος· ἐξελεύσονται οἱ ἄγγελοι καὶ ἀφοριοῦσιν τοὺς πονηροὺς ἐκ μέσου τῶν δικαίων
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 17:12,"λέγω δὲ ὑμῖν ὅτι Ἠλίας ἤδη ἦλθεν, καὶ οὐκ ἐπέγνωσαν αὐτὸν ἀλλʼ ἐποίησαν ἐν αὐτῷ ὅσα ἠθέλησαν·",καὶ ὁ υἱὸς τοῦ ἀνθρώπου μέλλει πάσχειν ὑπʼ αὐτῶν.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 18:14,—,οὐκ ἔστιν θέλημα ἔμπροσθεν τοῦ πατρὸς ὑμῶν τοῦ ἐν οὐρανοῖς ἵνα ἀπόληται ἓν τῶν μικρῶν τούτων.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 18:35,—,"καὶ ὁ πατήρ μου ὁ οὐράνιος ποιήσει ὑμῖν, ἐὰν μὴ ἀφῆτε ἕκαστος τῷ"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 19:8,"ὑμῶν ἐπέτρεψεν ὑμῖν ἀπολῦσαι τὰς γυναῖκας ὑμῶν, ἀπʼ ἀρχῆς δὲ οὐ γέγονεν",.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 19:10,Λέγουσιν αὐτῷ οἱ μαθηταὶ [αὐτοῦ]· εἰ,"ἐστὶν ἡ αἰτία τοῦ ἀνθρώπου μετὰ τῆς γυναικός, οὐ συμφέρει γαμῆσαι."
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 19:12,εἰσὶν γὰρ εὐνοῦχοι οἵτινες ἐκ κοιλίας μητρὸς ἐγεννήθησαν,", καὶ εἰσὶν εὐνοῦχοι οἵτινες εὐνουχίσθησαν ὑπὸ τῶν ἀνθρώπων, καὶ εἰσὶν εὐνοῦχοι οἵτινες εὐνούχισαν"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 20:16,—,ἔσονται οἱ ἔσχατοι πρῶτοι καὶ οἱ πρῶτοι ἔσχατοι.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 20:26,οὐχ,"ἔσται ἐν ὑμῖν, ἀλλʼ ὃς ἐὰν θέλῃ ἐν ὑμῖν μέγας γενέσθαι ἔσται ὑμῶν διάκονος,"
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 23:28,—,"καὶ ὑμεῖς ἔξωθεν μὲν φαίνεσθε τοῖς ἀνθρώποις δίκαιοι, ἔσωθεν δέ ἐστε μεστοὶ ὑποκρίσεως καὶ ἀνομίας."
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 24:27,"ὥσπερ γὰρ ἡ ἀστραπὴ ἐξέρχεται ἀπὸ ἀνατολῶν καὶ φαίνεται ἕως δυσμῶν,",ἔσται ἡ παρουσία τοῦ υἱοῦ τοῦ ἀνθρώπου·
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 24:33,—,"καὶ ὑμεῖς, ὅταν ἴδητε πάντα ταῦτα, γινώσκετε ὅτι ἐγγύς ἐστιν ἐπὶ θύραις."
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 24:37,"Ὥσπερ γὰρ αἱ ἡμέραι τοῦ Νῶε,",ἔσται  ἡ παρουσία τοῦ υἱοῦ τοῦ ἀνθρώπου.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 24:39,"καὶ οὐκ ἔγνωσαν ἕως ἦλθεν ὁ κατακλυσμὸς καὶ ἦρεν ἅπαντας,",ἔσται [καὶ] ἡ παρουσία τοῦ υἱοῦ τοῦ ἀνθρώπου.
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 24:46,μακάριος ὁ δοῦλος ἐκεῖνος ὃν ἐλθὼν ὁ κύριος αὐτοῦ εὑρήσει,ποιοῦντα·
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 26:40,"καὶ ἔρχεται πρὸς τοὺς μαθητὰς καὶ εὑρίσκει αὐτοὺς καθεύδοντας, καὶ λέγει τῷ Πέτρῳ·",οὐκ ἰσχύσατε μίαν ὥραν γρηγορῆσαι μετʼ ἐμοῦ;
οὕτως,οὕτως,—,—,—,—,—,—,—,adverb,Matthew 26:54,πῶς οὖν πληρωθῶσιν αἱ γραφαὶ ὅτι,δεῖ γενέσθαι;
