Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 1:17,Πᾶσαι,οὖν,"αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυὶδ ἕως τῆς",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 3:8,ποιήσατε,οὖν,καρπὸν ἄξιον τῆς μετανοίας,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 3:10,ἤδη δὲ  ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν,οὖν,δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 5:19,ὃς ἐὰν,οὖν,"λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος",οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 5:23,Ἐὰν,οὖν,"προσφέρῃς τὸ δῶρόν σου ἐπὶ τὸ θυσιαστήριον κἀκεῖ μνησθῇς ὅτι ὁ ἀδελφός σου ἔχει τι κατὰ σοῦ,",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 5:48,ἔσεσθε,οὖν,ὑμεῖς τέλειοι ὡς ὁ πατὴρ ὑμῶν ὁ οὐράνιος τέλειός ἐστιν.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 6:2,Ὅταν,οὖν,"ποιῇς ἐλεημοσύνην, μὴ σαλπίσῃς ἔμπροσθέν σου, ὥσπερ οἱ ὑποκριταὶ ποιοῦσιν ἐν ταῖς συναγωγαῖς",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 6:8,μὴ,οὖν,ὁμοιωθῆτε αὐτοῖς· οἶδεν γὰρ ὁ πατὴρ ὑμῶν ὧν χρείαν ἔχετε πρὸ τοῦ ὑμᾶς αἰτῆσαι αὐτόν.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 6:9,Οὕτως,οὖν,προσεύχεσθε ὑμεῖς·        Πάτερ ἡμῶν ὁ ἐν τοῖς οὐρανοῖς·        ἁγιασθήτω τὸ ὄνομά σου·,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 6:22,Ὁ λύχνος τοῦ σώματός ἐστιν ὁ ὀφθαλμός. ἐὰν,οὖν,"ᾖ ὁ ὀφθαλμός σου ἁπλοῦς, ὅλον τὸ σῶμά σου φωτεινὸν ἔσται·",οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 6:23,"ἐὰν δὲ ὁ ὀφθαλμός σου πονηρὸς ᾖ, ὅλον τὸ σῶμά σου σκοτεινὸν ἔσται. εἰ",οὖν,"τὸ φῶς τὸ ἐν σοὶ σκότος ἐστίν, τὸ σκότος πόσον.",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 6:31,Μὴ,οὖν,μεριμνήσητε λέγοντες· τί φάγωμεν; ἤ· τί πίωμεν; ἤ· τί περιβαλώμεθα;,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 6:34,Μὴ,οὖν,"μεριμνήσητε εἰς τὴν αὔριον, ἡ γὰρ αὔριον μεριμνήσει ἑαυτῆς· ἀρκετὸν τῇ ἡμέρᾳ ἡ κακία αὐτῆς.",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 7:11,εἰ,οὖν,"ὑμεῖς πονηροὶ ὄντες οἴδατε δόματα ἀγαθὰ διδόναι τοῖς τέκνοις ὑμῶν, πόσῳ μᾶλλον ὁ",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 7:12,Πάντα,οὖν,"ὅσα ἐὰν θέλητε ἵνα ποιῶσιν ὑμῖν οἱ ἄνθρωποι, οὕτως καὶ ὑμεῖς ποιεῖτε αὐτοῖς",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 7:24,Πᾶς,οὖν,"ὅστις ἀκούει μου τοὺς λόγους τούτους καὶ ποιεῖ αὐτούς, ὁμοιωθήσεται ἀνδρὶ φρονίμῳ, ὅστις",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 9:38,δεήθητε,οὖν,τοῦ κυρίου τοῦ θερισμοῦ ὅπως ἐκβάλῃ ἐργάτας εἰς τὸν θερισμὸν αὐτοῦ.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 10:16,Ἰδοὺ ἐγὼ ἀποστέλλω ὑμᾶς ὡς πρόβατα ἐν μέσῳ λύκων· γίνεσθε,οὖν,φρόνιμοι ὡς οἱ ὄφεις καὶ ἀκέραιοι ὡς αἱ περιστεραί.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 10:26,Μὴ,οὖν,φοβηθῆτε αὐτούς·  οὐδὲν γάρ ἐστιν κεκαλυμμένον ὃ οὐκ ἀποκαλυφθήσεται καὶ κρυπτὸν ὃ οὐ γνωσθήσεται.,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 10:31,μὴ,οὖν,φοβεῖσθε· πολλῶν στρουθίων διαφέρετε ὑμεῖς.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 10:32,Πᾶς,οὖν,"ὅστις ὁμολογήσει ἐν ἐμοὶ ἔμπροσθεν τῶν ἀνθρώπων, ὁμολογήσω κἀγὼ ἐν αὐτῷ ἔμπροσθεν τοῦ",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 12:12,πόσῳ,οὖν,διαφέρει ἄνθρωπος προβάτου. ὥστε ἔξεστιν τοῖς σάββασιν καλῶς ποιεῖν.,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 12:26,"καὶ εἰ ὁ σατανᾶς τὸν σατανᾶν ἐκβάλλει, ἐφʼ ἑαυτὸν ἐμερίσθη· πῶς",οὖν,σταθήσεται ἡ βασιλεία αὐτοῦ;,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 13:18,Ὑμεῖς,οὖν,ἀκούσατε τὴν παραβολὴν τοῦ σπείραντος.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 13:27,"προσελθόντες δὲ οἱ δοῦλοι τοῦ οἰκοδεσπότου εἶπον αὐτῷ· κύριε, οὐχὶ καλὸν σπέρμα ἔσπειρας ἐν τῷ σῷ ἀγρῷ; πόθεν",οὖν,ἔχει  ζιζάνια;,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 13:28,ὁ δὲ ἔφη αὐτοῖς· ἐχθρὸς ἄνθρωπος τοῦτο ἐποίησεν. οἱ δὲ δοῦλοι λέγουσιν αὐτῷ· θέλεις,οὖν,ἀπελθόντες συλλέξωμεν αὐτά;,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 13:40,ὥσπερ,οὖν,"συλλέγεται τὰ ζιζάνια καὶ πυρὶ κατακαίεται, οὕτως ἔσται ἐν τῇ συντελείᾳ τοῦ αἰῶνος·",οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 13:56,καὶ αἱ ἀδελφαὶ αὐτοῦ οὐχὶ πᾶσαι πρὸς ἡμᾶς εἰσιν; πόθεν,οὖν,τούτῳ ταῦτα πάντα;,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 17:10,Καὶ ἐπηρώτησαν αὐτὸν οἱ μαθηταὶ  λέγοντες· τί,οὖν,οἱ γραμματεῖς λέγουσιν ὅτι Ἠλίαν δεῖ ἐλθεῖν πρῶτον;,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 18:4,ὅστις,οὖν,"ταπεινώσει ἑαυτὸν ὡς τὸ παιδίον τοῦτο, οὗτός ἐστιν ὁ μείζων ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 18:26,πεσὼν,οὖν,"ὁ δοῦλος  προσεκύνει αὐτῷ λέγων·  μακροθύμησον ἐπʼ ἐμοί, καὶ πάντα ἀποδώσω σοι.",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 18:29,πεσὼν,οὖν,"ὁ σύνδουλος αὐτοῦ  παρεκάλει αὐτὸν λέγων· μακροθύμησον ἐπʼ ἐμοί, καὶ ἀποδώσω σοι.",οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 18:31,ἰδόντες,οὖν,οἱ σύνδουλοι αὐτοῦ τὰ γενόμενα ἐλυπήθησαν σφόδρα καὶ ἐλθόντες διεσάφησαν τῷ κυρίῳ ἑαυτῶν πάντα τὰ γενόμενα.,οὖν,Louw Nida 91.7,ουν,conjunction,—
NA28,Matthew 19:6,ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ,οὖν,ὁ θεὸς συνέζευξεν  ἄνθρωπος μὴ χωριζέτω.,οὖν,Louw Nida 89.50,ουν,conjunction,—
NA28,Matthew 19:7,Λέγουσιν αὐτῷ· τί,οὖν,Μωϋσῆς ἐνετείλατο δοῦναι βιβλίον ἀποστασίου καὶ ἀπολῦσαι [αὐτήν];,οὖν,Louw Nida 89.50,ουν,conjunction,—
