Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 1:20,—,ταῦτα,δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 1:22,—,τοῦτο,δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ  κυρίου διὰ  τοῦ προφήτου λέγοντος·,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 3:3,—,οὗτος,γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·        φωνὴ βοῶντος ἐν τῇ,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 3:9,τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων,τούτων,ἐγεῖραι τέκνα τῷ Ἀβραάμ.,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 3:17,καὶ ἰδοὺ φωνὴ ἐκ τῶν οὐρανῶν λέγουσα·,οὗτός,"ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα.",οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 4:3,"καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ·  εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι",οὗτοι,ἄρτοι γένωνται.,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 4:9,καὶ εἶπεν αὐτῷ·,ταῦτά,"σοι πάντα δώσω, ἐὰν πεσὼν προσκυνήσῃς μοι.",οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 5:19,ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν,τούτων,"τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν",οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 5:19,"κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ ἂν ποιήσῃ καὶ διδάξῃ,",οὗτος,μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
NA28,Matthew 5:37,"ἔστω δὲ ὁ λόγος ὑμῶν ναὶ ναί, οὒ οὔ· τὸ δὲ περισσὸν",τούτων,ἐκ τοῦ πονηροῦ ἐστιν.,οὗτος,Louw Nida 92.29,ουτος,pronoun,—
