Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
παιδίου,παιδίον,—,—,—,—,neuter,genitive,singular,Matthew 2:8,καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν· πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ,"· ἐπὰν δὲ εὕρητε, ἀπαγγείλατέ μοι, ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ."
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Matthew 2:9,"ἐν τῇ ἀνατολῇ, προῆγεν αὐτούς, ἕως ἐλθὼν ἐστάθη ἐπάνω οὗ ἦν τὸ",.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 2:11,καὶ ἐλθόντες εἰς τὴν οἰκίαν εἶδον τὸ,"μετὰ Μαρίας τῆς μητρὸς αὐτοῦ, καὶ πεσόντες προσεκύνησαν αὐτῷ καὶ ἀνοίξαντες τοὺς θησαυροὺς"
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 2:13,Ἀναχωρησάντων δὲ αὐτῶν  ἰδοὺ ἄγγελος κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ λέγων· ἐγερθεὶς παράλαβε τὸ,καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 2:13,καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ,τοῦ ἀπολέσαι αὐτό.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 2:14,ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ,"καὶ τὴν μητέρα αὐτοῦ νυκτὸς καὶ ἀνεχώρησεν εἰς Αἴγυπτον,"
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 2:20,λέγων· ἐγερθεὶς παράλαβε τὸ,καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ· τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου.
παιδίου,παιδίον,—,—,—,—,neuter,genitive,singular,Matthew 2:20,καὶ πορεύου εἰς γῆν Ἰσραήλ· τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ,.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 2:21,ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ,καὶ τὴν μητέρα αὐτοῦ καὶ εἰσῆλθεν εἰς γῆν Ἰσραήλ.
παιδίοις,παιδίον,—,—,—,—,neuter,dative,plural,Matthew 11:16,Τίνι δὲ ὁμοιώσω τὴν γενεὰν ταύτην; ὁμοία ἐστὶν,καθημένοις ἐν ταῖς ἀγοραῖς ἃ προσφωνοῦντα τοῖς ἑτέροις
παιδίων,παιδίον,—,—,—,—,neuter,genitive,plural,Matthew 14:21,οἱ δὲ ἐσθίοντες ἦσαν ἄνδρες ὡσεὶ πεντακισχίλιοι χωρὶς γυναικῶν καὶ,.
παιδίων,παιδίον,—,—,—,—,neuter,genitive,plural,Matthew 15:38,οἱ δὲ ἐσθίοντες ἦσαν  τετρακισχίλιοι ἄνδρες χωρὶς γυναικῶν καὶ,.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 18:2,καὶ προσκαλεσάμενος,ἔστησεν αὐτὸ ἐν μέσῳ αὐτῶν
παιδία,παιδίον,—,—,—,—,neuter,"nominative, accusative",plural,Matthew 18:3,"καὶ εἶπεν· ἀμὴν λέγω ὑμῖν, ἐὰν μὴ στραφῆτε καὶ γένησθε ὡς τὰ",", οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν."
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Matthew 18:4,ὅστις οὖν ταπεινώσει ἑαυτὸν ὡς τὸ,"τοῦτο, οὗτός ἐστιν ὁ μείζων ἐν τῇ βασιλείᾳ τῶν οὐρανῶν."
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Matthew 18:5,καὶ ὃς ἐὰν δέξηται ἓν,"τοιοῦτο ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται."
παιδία,παιδίον,—,—,—,—,neuter,nominative,plural,Matthew 19:13,Τότε προσηνέχθησαν αὐτῷ,ἵνα τὰς χεῖρας ἐπιθῇ αὐτοῖς καὶ προσεύξηται· οἱ δὲ μαθηταὶ ἐπετίμησαν αὐτοῖς.
παιδία,παιδίον,—,—,—,—,neuter,accusative,plural,Matthew 19:14,ὁ δὲ Ἰησοῦς εἶπεν·  ἄφετε τὰ,"καὶ μὴ κωλύετε αὐτὰ ἐλθεῖν πρός με, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τῶν οὐρανῶν."
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Mark 5:39,καὶ εἰσελθὼν λέγει αὐτοῖς· τί θορυβεῖσθε καὶ  κλαίετε; τὸ,οὐκ ἀπέθανεν ἀλλὰ καθεύδει.
παιδίου,παιδίον,—,—,—,—,neuter,genitive,singular,Mark 5:40,καὶ κατεγέλων αὐτοῦ. αὐτὸς δὲ ἐκβαλὼν πάντας παραλαμβάνει τὸν πατέρα τοῦ,καὶ τὴν μητέρα καὶ τοὺς μετʼ αὐτοῦ καὶ εἰσπορεύεται ὅπου ἦν τὸ παιδίον.
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Mark 5:40,καὶ τὴν μητέρα καὶ τοὺς μετʼ αὐτοῦ καὶ εἰσπορεύεται ὅπου ἦν τὸ,.
παιδίου,παιδίον,—,—,—,—,neuter,genitive,singular,Mark 5:41,καὶ κρατήσας τῆς χειρὸς τοῦ,"λέγει αὐτῇ· ταλιθα κουμ, ὅ ἐστιν μεθερμηνευόμενον· τὸ κοράσιον, σοὶ λέγω, ἔγειρε."
παιδίων,παιδίον,—,—,—,—,neuter,genitive,plural,Mark 7:28,ἡ δὲ ἀπεκρίθη καὶ λέγει αὐτῷ· κύριε· καὶ τὰ κυνάρια  ὑποκάτω τῆς τραπέζης ἐσθίουσιν ἀπὸ τῶν ψιχίων τῶν,.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Mark 7:30,καὶ ἀπελθοῦσα εἰς τὸν οἶκον αὐτῆς εὗρεν τὸ,βεβλημένον ἐπὶ τὴν κλίνην καὶ τὸ δαιμόνιον ἐξεληλυθός.
παιδίου,παιδίον,—,—,—,—,neuter,genitive,singular,Mark 9:24,εὐθὺς κράξας ὁ πατὴρ τοῦ,ἔλεγεν· πιστεύω· βοήθει μου τῇ ἀπιστίᾳ.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Mark 9:36,καὶ λαβὼν,ἔστησεν αὐτὸ ἐν μέσῳ αὐτῶν καὶ ἐναγκαλισάμενος αὐτὸ εἶπεν αὐτοῖς·
παιδίων,παιδίον,—,—,—,—,neuter,genitive,plural,Mark 9:37,ὃς ἂν ἓν τῶν τοιούτων,"δέξηται ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέχηται, οὐκ"
παιδία,παιδίον,—,—,—,—,neuter,accusative,plural,Mark 10:13,Καὶ προσέφερον αὐτῷ,ἵνα αὐτῶν ἅψηται· οἱ δὲ μαθηταὶ ἐπετίμησαν αὐτοῖς.
