Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Matthew 2:4,καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ λαοῦ ἐπυνθάνετο,αὐτῶν ποῦ ὁ χριστὸς γεννᾶται.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Matthew 2:7,Τότε Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν,"αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος,"
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Matthew 8:10,"ἀκούσας δὲ ὁ Ἰησοῦς ἐθαύμασεν καὶ εἶπεν τοῖς ἀκολουθοῦσιν· ἀμὴν λέγω ὑμῖν,",οὐδενὶ τοσαύτην πίστιν ἐν τῷ Ἰσραὴλ εὗρον.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Matthew 22:25,ἦσαν δὲ,"ἡμῖν ἑπτὰ ἀδελφοί· καὶ ὁ πρῶτος γήμας ἐτελεύτησεν, καὶ μὴ ἔχων σπέρμα ἀφῆκεν"
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Mark 3:21,καὶ ἀκούσαντες οἱ,αὐτοῦ ἐξῆλθον κρατῆσαι αὐτόν· ἔλεγον γὰρ ὅτι ἐξέστη.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Mark 5:26,καὶ πολλὰ παθοῦσα ὑπὸ πολλῶν ἰατρῶν καὶ δαπανήσασα τὰ,"αὐτῆς πάντα καὶ μηδὲν ὠφεληθεῖσα ἀλλὰ μᾶλλον εἰς τὸ χεῖρον ἐλθοῦσα,"
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Mark 8:11,"Καὶ ἐξῆλθον οἱ Φαρισαῖοι καὶ ἤρξαντο συζητεῖν αὐτῷ, ζητοῦντες","αὐτοῦ σημεῖον ἀπὸ τοῦ οὐρανοῦ, πειράζοντες αὐτόν."
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Mark 16:9,"Ἀναστὰς δὲ πρωῒ πρώτῃ σαββάτου ἐφάνη πρῶτον Μαρίᾳ τῇ Μαγδαληνῇ,",ἧς ἐκβεβλήκει ἑπτὰ δαιμόνια.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 6:19,"καὶ πᾶς ὁ ὄχλος ἐζήτουν ἅπτεσθαι αὐτοῦ, ὅτι δύναμις",αὐτοῦ ἐξήρχετο καὶ ἰᾶτο πάντας.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 6:34,καὶ ἐὰν δανίσητε,"ὧν ἐλπίζετε λαβεῖν, ποία ὑμῖν χάρις [ἐστίν]; καὶ  ἁμαρτωλοὶ ἁμαρτωλοῖς δανίζουσιν ἵνα ἀπολάβωσιν τὰ ἴσα."
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 9:47,ὁ δὲ Ἰησοῦς εἰδὼς τὸν διαλογισμὸν τῆς καρδίας αὐτῶν ἐπιλαβόμενος παιδίον ἔστησεν αὐτὸ,ἑαυτῷ
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 10:7,ἐν αὐτῇ δὲ τῇ οἰκίᾳ μένετε ἐσθίοντες καὶ πίνοντες τὰ,αὐτῶν· ἄξιος γὰρ ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ. μὴ μεταβαίνετε ἐξ οἰκίας εἰς οἰκίαν.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 11:16,ἕτεροι δὲ πειράζοντες σημεῖον ἐξ οὐρανοῦ ἐζήτουν,αὐτοῦ.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 11:37,Ἐν δὲ τῷ λαλῆσαι ἐρωτᾷ αὐτὸν Φαρισαῖος  ὅπως ἀριστήσῃ,αὐτῷ· εἰσελθὼν δὲ ἀνέπεσεν.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 12:48,"ὁ δὲ μὴ γνούς, ποιήσας δὲ ἄξια πληγῶν δαρήσεται ὀλίγας. παντὶ δὲ ᾧ ἐδόθη πολύ, πολὺ ζητηθήσεται","αὐτοῦ, καὶ ᾧ παρέθεντο πολύ, περισσότερον αἰτήσουσιν αὐτόν."
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Luke 18:14,"λέγω ὑμῖν, κατέβη οὗτος δεδικαιωμένος εἰς τὸν οἶκον αὐτοῦ","ἐκεῖνον· ὅτι πᾶς ὁ ὑψῶν ἑαυτὸν ταπεινωθήσεται, ὁ δὲ ταπεινῶν ἑαυτὸν ὑψωθήσεται."
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 1:39,λέγει αὐτοῖς· ἔρχεσθε καὶ ὄψεσθε. ἦλθαν οὖν καὶ εἶδαν ποῦ μένει καὶ,αὐτῷ ἔμειναν τὴν ἡμέραν ἐκείνην· ὥρα ἦν ὡς δεκάτη.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 4:9,λέγει οὖν αὐτῷ ἡ γυνὴ ἡ Σαμαρῖτις· πῶς σὺ Ἰουδαῖος ὢν,ἐμοῦ πεῖν αἰτεῖς γυναικὸς Σαμαρίτιδος οὔσης; οὐ γὰρ συγχρῶνται Ἰουδαῖοι Σαμαρίταις.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 4:40,"ὡς οὖν ἦλθον πρὸς αὐτὸν οἱ Σαμαρῖται, ἠρώτων αὐτὸν μεῖναι",αὐτοῖς· καὶ ἔμεινεν ἐκεῖ δύο ἡμέρας.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 4:52,ἐπύθετο οὖν τὴν ὥραν,αὐτῶν ἐν ᾗ κομψότερον ἔσχεν· εἶπαν οὖν αὐτῷ ὅτι ἐχθὲς ὥραν ἑβδόμην ἀφῆκεν αὐτὸν ὁ πυρετός.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 7:29,"ἐγὼ  οἶδα αὐτόν, ὅτι",αὐτοῦ εἰμι κἀκεῖνός με ἀπέστειλεν.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 7:51,μὴ ὁ νόμος ἡμῶν κρίνει τὸν ἄνθρωπον ἐὰν μὴ ἀκούσῃ πρῶτον,αὐτοῦ καὶ γνῷ τί ποιεῖ;
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 8:26,"πολλὰ ἔχω περὶ ὑμῶν λαλεῖν καὶ κρίνειν, ἀλλʼ ὁ πέμψας με ἀληθής ἐστιν, κἀγὼ ἃ ἤκουσα",αὐτοῦ ταῦτα λαλῶ εἰς τὸν κόσμον.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 14:17,"δύναται λαβεῖν, ὅτι οὐ θεωρεῖ αὐτὸ οὐδὲ γινώσκει· ὑμεῖς  γινώσκετε αὐτό, ὅτι",ὑμῖν μένει καὶ ἐν ὑμῖν ἔσται.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 14:23,καὶ ὁ πατήρ μου ἀγαπήσει αὐτὸν καὶ πρὸς αὐτὸν ἐλευσόμεθα καὶ μονὴν,αὐτῷ ποιησόμεθα.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,John 14:25,Ταῦτα λελάληκα ὑμῖν,ὑμῖν μένων·
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Acts 3:5,ὁ δὲ ἐπεῖχεν αὐτοῖς προσδοκῶν τι,αὐτῶν λαβεῖν.
παρʼ,παρά,—,—,—,—,—,—,—,preposition,Acts 9:2,ᾐτήσατο,"αὐτοῦ ἐπιστολὰς εἰς Δαμασκὸν πρὸς τὰς συναγωγάς, ὅπως ἐάν τινας εὕρῃ τῆς ὁδοῦ"
