Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Παραδώσει,παραδίδωμι,future,active,indicative,third person,—,—,singular,verb,Matthew 10:21,—,"δὲ ἀδελφὸς ἀδελφὸν εἰς θάνατον καὶ πατὴρ τέκνον, καὶ ἐπαναστήσονται τέκνα ἐπὶ γονεῖς καὶ θανατώσουσιν αὐτούς."
παρέδοσαν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,Luke 1:2,καθὼς,"ἡμῖν οἱ ἀπʼ ἀρχῆς αὐτόπται καὶ ὑπηρέται γενόμενοι τοῦ λόγου,"
παρέδωκάν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,John 18:35,ἀπεκρίθη ὁ Πιλᾶτος· μήτι ἐγὼ Ἰουδαῖός εἰμι; τὸ ἔθνος τὸ σὸν καὶ οἱ ἀρχιερεῖς,σε ἐμοί· τί ἐποίησας;
παρέδωκα,παραδίδωμι,aorist,active,indicative,first person,—,—,singular,verb,1 Corinthians 11:2,"Ἐπαινῶ δὲ ὑμᾶς  ὅτι πάντα μου μέμνησθε καί, καθὼς","ὑμῖν, τὰς παραδόσεις κατέχετε."
παρέδωκα,παραδίδωμι,aorist,active,indicative,first person,—,—,singular,verb,1 Corinthians 11:23,"Ἐγὼ γὰρ παρέλαβον ἀπὸ τοῦ κυρίου, ὃ καὶ","ὑμῖν, ὅτι ὁ κύριος Ἰησοῦς ἐν τῇ νυκτὶ ᾗ παρεδίδετο ἔλαβεν  ἄρτον"
παρέδωκα,παραδίδωμι,aorist,active,indicative,first person,—,—,singular,verb,1 Corinthians 15:3,—,"γὰρ ὑμῖν ἐν πρώτοις, ὃ καὶ παρέλαβον, ὅτι Χριστὸς ἀπέθανεν ὑπὲρ τῶν ἁμαρτιῶν ἡμῶν κατὰ τὰς γραφὰς"
παρέδωκα,παραδίδωμι,aorist,active,indicative,first person,—,—,singular,verb,1 Timothy 1:20,"ὧν ἐστιν Ὑμέναιος καὶ Ἀλέξανδρος, οὓς","τῷ σατανᾷ, ἵνα παιδευθῶσιν μὴ βλασφημεῖν."
παρέδωκαν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,Matthew 27:2,καὶ δήσαντες αὐτὸν ἀπήγαγον καὶ,Πιλάτῳ τῷ ἡγεμόνι.
παρέδωκαν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,Matthew 27:18,ᾔδει γὰρ ὅτι διὰ φθόνον,αὐτόν.
παρέδωκαν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,Mark 15:1,"πρεσβυτέρων καὶ  γραμματέων καὶ ὅλον τὸ συνέδριον,  δήσαντες τὸν Ἰησοῦν ἀπήνεγκαν καὶ",Πιλάτῳ.
παρέδωκαν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,Luke 24:20,ὅπως τε,αὐτὸν οἱ ἀρχιερεῖς καὶ οἱ ἄρχοντες ἡμῶν εἰς κρίμα θανάτου καὶ ἐσταύρωσαν αὐτόν.
παρέδωκαν,παραδίδωμι,aorist,active,indicative,third person,—,—,plural,verb,Ephesians 4:19,οἵτινες ἀπηλγηκότες ἑαυτοὺς,τῇ ἀσελγείᾳ εἰς ἐργασίαν ἀκαθαρσίας πάσης ἐν πλεονεξίᾳ.
παρέδωκας,παραδίδωμι,aorist,active,indicative,second person,—,—,singular,verb,Matthew 25:20,"καὶ προσελθὼν ὁ τὰ πέντε τάλαντα λαβὼν προσήνεγκεν ἄλλα πέντε τάλαντα λέγων· κύριε, πέντε τάλαντά μοι",· ἴδε ἄλλα πέντε τάλαντα ἐκέρδησα.
παρέδωκας,παραδίδωμι,aorist,active,indicative,second person,—,—,singular,verb,Matthew 25:22,"Προσελθὼν [δὲ] καὶ ὁ τὰ δύο τάλαντα  εἶπεν· κύριε, δύο τάλαντά μοι",· ἴδε ἄλλα δύο τάλαντα ἐκέρδησα.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Matthew 18:34,καὶ ὀργισθεὶς ὁ κύριος αὐτοῦ,αὐτὸν τοῖς βασανισταῖς ἕως οὗ ἀποδῷ πᾶν τὸ ὀφειλόμενον.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Matthew 25:14,Ὥσπερ γὰρ ἄνθρωπος ἀποδημῶν ἐκάλεσεν τοὺς ἰδίους δούλους καὶ,"αὐτοῖς τὰ ὑπάρχοντα αὐτοῦ,"
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Matthew 27:26,"τότε ἀπέλυσεν αὐτοῖς τὸν Βαραββᾶν, τὸν δὲ Ἰησοῦν φραγελλώσας",ἵνα σταυρωθῇ.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Mark 3:19,"καὶ Ἰούδαν Ἰσκαριώθ, ὃς καὶ",αὐτόν.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Mark 15:15,"Ὁ δὲ Πιλᾶτος βουλόμενος τῷ ὄχλῳ τὸ ἱκανὸν ποιῆσαι ἀπέλυσεν αὐτοῖς τὸν Βαραββᾶν, καὶ",τὸν Ἰησοῦν φραγελλώσας ἵνα σταυρωθῇ.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Luke 23:25,"ἀπέλυσεν δὲ τὸν διὰ στάσιν καὶ φόνον βεβλημένον εἰς φυλακὴν ὃν ᾐτοῦντο, τὸν δὲ Ἰησοῦν",τῷ θελήματι αὐτῶν.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,John 19:16,Τότε οὖν,"αὐτὸν αὐτοῖς ἵνα σταυρωθῇ.  Παρέλαβον οὖν τὸν Ἰησοῦν,"
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,John 19:30,"ὅτε οὖν ἔλαβεν τὸ ὄξος [ὁ] Ἰησοῦς εἶπεν· τετέλεσται, καὶ κλίνας τὴν κεφαλὴν",τὸ πνεῦμα.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Acts 6:14,ἀκηκόαμεν γὰρ αὐτοῦ λέγοντος ὅτι Ἰησοῦς ὁ Ναζωραῖος οὗτος καταλύσει τὸν τόπον τοῦτον καὶ ἀλλάξει τὰ ἔθη ἃ,ἡμῖν Μωϋσῆς.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Acts 7:42,ἔστρεψεν δὲ ὁ θεὸς καὶ,αὐτοὺς λατρεύειν τῇ στρατιᾷ τοῦ οὐρανοῦ καθὼς γέγραπται ἐν βίβλῳ τῶν προφητῶν·      μὴ
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Romans 1:24,Διὸ,αὐτοὺς ὁ θεὸς ἐν ταῖς ἐπιθυμίαις τῶν καρδιῶν αὐτῶν εἰς ἀκαθαρσίαν τοῦ ἀτιμάζεσθαι
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Romans 1:26,Διὰ τοῦτο,"αὐτοὺς ὁ θεὸς εἰς πάθη ἀτιμίας, αἵ τε γὰρ θήλειαι αὐτῶν μετήλλαξαν τὴν"
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Romans 1:28,"Καὶ καθὼς οὐκ ἐδοκίμασαν τὸν θεὸν ἔχειν ἐν ἐπιγνώσει,","αὐτοὺς ὁ θεὸς εἰς ἀδόκιμον νοῦν, ποιεῖν τὰ μὴ καθήκοντα,"
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Romans 8:32,ὅς γε τοῦ ἰδίου υἱοῦ οὐκ ἐφείσατο ἀλλʼ ὑπὲρ ἡμῶν πάντων,"αὐτόν, πῶς οὐχὶ καὶ σὺν αὐτῷ τὰ πάντα ἡμῖν χαρίσεται;"
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Ephesians 5:2,"καὶ περιπατεῖτε ἐν ἀγάπῃ, καθὼς καὶ ὁ Χριστὸς ἠγάπησεν ἡμᾶς καὶ",ἑαυτὸν ὑπὲρ ἡμῶν προσφορὰν καὶ θυσίαν τῷ θεῷ εἰς ὀσμὴν εὐωδίας.
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,Ephesians 5:25,"Οἱ ἄνδρες, ἀγαπᾶτε τὰς γυναῖκας, καθὼς καὶ ὁ Χριστὸς ἠγάπησεν τὴν ἐκκλησίαν καὶ ἑαυτὸν","ὑπὲρ αὐτῆς,"
παρέδωκεν,παραδίδωμι,aorist,active,indicative,third person,—,—,singular,verb,2 Peter 2:4,Εἰ γὰρ ὁ θεὸς ἀγγέλων ἁμαρτησάντων οὐκ ἐφείσατο ἀλλὰ σειραῖς ζόφου ταρταρώσας,εἰς κρίσιν τηρουμένους
παραδέδοται,παραδίδωμι,perfect,passive,indicative,third person,—,—,singular,verb,Luke 4:6,"καὶ εἶπεν αὐτῷ ὁ διάβολος· σοὶ δώσω τὴν ἐξουσίαν ταύτην ἅπασαν καὶ τὴν δόξαν αὐτῶν, ὅτι ἐμοὶ",καὶ ᾧ ἐὰν θέλω δίδωμι αὐτήν·
παραδίδοσθαι,παραδίδωμι,present,passive,infinitive,—,—,—,—,verb,Matthew 17:22,Συστρεφομένων δὲ αὐτῶν ἐν τῇ Γαλιλαίᾳ εἶπεν αὐτοῖς ὁ Ἰησοῦς· μέλλει ὁ υἱὸς τοῦ ἀνθρώπου,"εἰς χεῖρας ἀνθρώπων,"
