Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πέπεισμαι,πείθω,perfect,passive,indicative,first person,—,—,singular,verb,Romans 15:14,—,"δέ, ἀδελφοί μου, καὶ αὐτὸς ἐγὼ περὶ ὑμῶν ὅτι καὶ αὐτοὶ μεστοί ἐστε"
Πείθεσθε,πείθω,present,middle,imperative,second person,—,—,plural,verb,Hebrews 13:17,—,"τοῖς ἡγουμένοις ὑμῶν καὶ ὑπείκετε, αὐτοὶ γὰρ ἀγρυπνοῦσιν ὑπὲρ τῶν ψυχῶν ὑμῶν ὡς"
Πεπείσμεθα,πείθω,perfect,passive,indicative,first person,—,—,plural,verb,Hebrews 6:9,—,"δὲ περὶ ὑμῶν, ἀγαπητοί, τὰ κρείσσονα καὶ ἐχόμενα σωτηρίας, εἰ καὶ οὕτως λαλοῦμεν."
Πεποιθὼς,πείθω,perfect,active,participle,—,masculine,nominative,singular,verb,Philemon 21,—,"τῇ ὑπακοῇ σου ἔγραψά σοι, εἰδὼς ὅτι καὶ ὑπὲρ ἃ λέγω ποιήσεις."
πέπεισμαι,πείθω,perfect,passive,indicative,first person,—,—,singular,verb,Romans 8:38,—,γὰρ ὅτι οὔτε θάνατος οὔτε ζωὴ οὔτε ἄγγελοι οὔτε ἀρχαὶ οὔτε ἐνεστῶτα οὔτε μέλλοντα οὔτε δυνάμεις
πέπεισμαι,πείθω,perfect,passive,indicative,first person,—,—,singular,verb,Romans 14:14,οἶδα καὶ,"ἐν κυρίῳ Ἰησοῦ ὅτι οὐδὲν κοινὸν διʼ ἑαυτοῦ, εἰ μὴ τῷ λογιζομένῳ τι κοινὸν εἶναι, ἐκείνῳ κοινόν."
πέπεισμαι,πείθω,perfect,passive,indicative,first person,—,—,singular,verb,2 Timothy 1:5,"ἐνῴκησεν πρῶτον ἐν τῇ μάμμῃ σου Λωΐδι καὶ τῇ μητρί σου Εὐνίκῃ,",δὲ ὅτι καὶ ἐν σοί.
πέπεισμαι,πείθω,perfect,passive,indicative,first person,—,—,singular,verb,2 Timothy 1:12,"διʼ ἣν αἰτίαν καὶ ταῦτα πάσχω· ἀλλʼ οὐκ ἐπαισχύνομαι, οἶδα γὰρ ᾧ πεπίστευκα καὶ",ὅτι δυνατός ἐστιν τὴν παραθήκην μου φυλάξαι εἰς ἐκείνην τὴν ἡμέραν.
πέποιθάς,πείθω,perfect,active,indicative,second person,—,—,singular,verb,Romans 2:19,—,"τε σεαυτὸν ὁδηγὸν εἶναι τυφλῶν, φῶς τῶν ἐν σκότει,"
πέποιθα,πείθω,perfect,active,indicative,first person,—,—,singular,verb,Galatians 5:10,ἐγὼ,εἰς ὑμᾶς ἐν κυρίῳ ὅτι οὐδὲν ἄλλο φρονήσετε· ὁ δὲ ταράσσων ὑμᾶς βαστάσει
πέποιθα,πείθω,perfect,active,indicative,first person,—,—,singular,verb,Philippians 2:24,—,δὲ ἐν κυρίῳ ὅτι καὶ αὐτὸς ταχέως ἐλεύσομαι.
πέποιθεν,πείθω,perfect,active,indicative,third person,—,—,singular,verb,Matthew 27:43,—,"ἐπὶ τὸν θεόν, ῥυσάσθω νῦν εἰ θέλει αὐτόν· εἶπεν γὰρ ὅτι θεοῦ εἰμι υἱός."
