Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Περιπατῶν,περιπατέω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 4:18,—,"δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον"
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,Mark 5:42,καὶ εὐθὺς ἀνέστη τὸ κοράσιον καὶ,· ἦν γὰρ ἐτῶν δώδεκα. καὶ ἐξέστησαν [εὐθὺς] ἐκστάσει μεγάλῃ.
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,John 5:9,καὶ εὐθέως ἐγένετο ὑγιὴς ὁ ἄνθρωπος καὶ ἦρεν τὸν κράβαττον αὐτοῦ καὶ,.  Ἦν δὲ σάββατον ἐν ἐκείνῃ τῇ ἡμέρᾳ.
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,John 7:1,Καὶ μετὰ ταῦτα,"ὁ Ἰησοῦς ἐν τῇ Γαλιλαίᾳ· οὐ γὰρ ἤθελεν ἐν τῇ Ἰουδαίᾳ περιπατεῖν, ὅτι"
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,John 10:23,καὶ,ὁ Ἰησοῦς ἐν τῷ ἱερῷ ἐν τῇ στοᾷ τοῦ Σολομῶνος.
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,John 11:54,Ὁ οὖν Ἰησοῦς οὐκέτι παρρησίᾳ,"ἐν τοῖς Ἰουδαίοις, ἀλλʼ ἀπῆλθεν ἐκεῖθεν εἰς τὴν χώραν  ἐγγὺς τῆς ἐρήμου, εἰς"
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,Acts 3:8,καὶ ἐξαλλόμενος ἔστη καὶ,καὶ εἰσῆλθεν σὺν αὐτοῖς εἰς τὸ ἱερὸν περιπατῶν καὶ ἁλλόμενος καὶ αἰνῶν τὸν θεόν.
περιεπάτει,περιπατέω,imperfect,active,indicative,third person,—,—,singular,verb,Acts 14:10,εἶπεν μεγάλῃ  φωνῇ·  ἀνάστηθι ἐπὶ τοὺς πόδας σου ὀρθός . καὶ ἥλατο καὶ,.
περιεπάτεις,περιπατέω,imperfect,active,indicative,second person,—,—,singular,verb,John 21:18,"Ἀμὴν ἀμὴν λέγω σοι, ὅτε ἦς νεώτερος, ἐζώννυες σεαυτὸν καὶ","ὅπου ἤθελες· ὅταν δὲ γηράσῃς, ἐκτενεῖς τὰς χεῖράς σου, καὶ ἄλλος σε ζώσει"
περιεπάτησεν,περιπατέω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 14:29,ὁ δὲ εἶπεν· ἐλθέ. καὶ καταβὰς ἀπὸ τοῦ πλοίου [ὁ] Πέτρος,ἐπὶ τὰ ὕδατα καὶ ἦλθεν πρὸς τὸν Ἰησοῦν.
περιεπάτησεν,περιπατέω,aorist,active,indicative,third person,—,—,singular,verb,Acts 14:8,"Καί τις ἀνὴρ ἀδύνατος ἐν Λύστροις τοῖς ποσὶν ἐκάθητο, χωλὸς ἐκ κοιλίας μητρὸς αὐτοῦ ὃς οὐδέποτε",.
περιεπάτησεν,περιπατέω,aorist,active,indicative,third person,—,—,singular,verb,1 John 2:6,"ὁ λέγων ἐν αὐτῷ μένειν ὀφείλει, καθὼς ἐκεῖνος",", καὶ αὐτὸς οὕτως περιπατεῖν.  Ἀγαπητοί,"
περιεπάτουν,περιπατέω,imperfect,active,indicative,third person,—,—,plural,verb,John 6:66,Ἐκ τούτου  πολλοὶ [ἐκ] τῶν μαθητῶν αὐτοῦ ἀπῆλθον εἰς τὰ ὀπίσω καὶ οὐκέτι μετʼ αὐτοῦ,.
περιεπατήσαμεν,περιπατέω,aorist,active,indicative,first person,—,—,plural,verb,2 Corinthians 12:18,παρεκάλεσα Τίτον καὶ συναπέστειλα τὸν ἀδελφόν· μήτι ἐπλεονέκτησεν ὑμᾶς Τίτος; οὐ τῷ αὐτῷ πνεύματι,; οὐ τοῖς αὐτοῖς ἴχνεσιν;
περιεπατήσατέ,περιπατέω,aorist,active,indicative,second person,—,—,plural,verb,Colossians 3:7,ἐν οἷς καὶ ὑμεῖς,"ποτε, ὅτε ἐζῆτε ἐν τούτοις·"
περιεπατήσατε,περιπατέω,aorist,active,indicative,second person,—,—,plural,verb,Ephesians 2:2,ἐν αἷς ποτε,"κατὰ τὸν αἰῶνα τοῦ κόσμου τούτου, κατὰ τὸν ἄρχοντα τῆς ἐξουσίας τοῦ ἀέρος"
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,Matthew 9:5,"τί γάρ ἐστιν εὐκοπώτερον, εἰπεῖν· ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ἔγειρε καὶ",;
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,Mark 2:9,"σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ἔγειρε καὶ ἆρον τὸν κράβαττόν σου καὶ",;
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,Luke 5:23,"τί ἐστιν εὐκοπώτερον, εἰπεῖν· ἀφέωνταί σοι αἱ ἁμαρτίαι σου, ἢ εἰπεῖν· ἔγειρε καὶ",;
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,John 5:8,λέγει αὐτῷ ὁ Ἰησοῦς· ἔγειρε ἆρον τὸν κράβαττόν σου καὶ,.
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,John 5:11,ὁ δὲ ἀπεκρίθη αὐτοῖς· ὁ ποιήσας με ὑγιῆ ἐκεῖνός μοι εἶπεν· ἆρον τὸν κράβαττόν σου καὶ,.
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,John 5:12,ἠρώτησαν αὐτόν· τίς ἐστιν ὁ ἄνθρωπος ὁ εἰπών σοι· ἆρον  καὶ,;
περιπάτει,περιπατέω,present,active,imperative,second person,—,—,singular,verb,Acts 3:6,τοῦτό σοι δίδωμι· ἐν τῷ ὀνόματι Ἰησοῦ Χριστοῦ τοῦ Ναζωραίου [ἔγειρε καὶ],.
περιπατήσουσιν,περιπατέω,future,active,indicative,third person,—,—,plural,verb,Revelation 3:4,"ἀλλʼ ἔχεις ὀλίγα ὀνόματα ἐν Σάρδεσιν ἃ οὐκ ἐμόλυναν τὰ ἱμάτια αὐτῶν, καὶ","μετʼ ἐμοῦ ἐν λευκοῖς, ὅτι ἄξιοί εἰσιν."
περιπατήσουσιν,περιπατέω,future,active,indicative,third person,—,—,plural,verb,Revelation 21:24,καὶ,"τὰ ἔθνη διὰ τοῦ φωτὸς αὐτῆς, καὶ οἱ βασιλεῖς τῆς γῆς φέρουσιν τὴν δόξαν αὐτῶν εἰς αὐτήν,"
περιπατήσωμεν,περιπατέω,aorist,active,subjunctive,first person,—,—,plural,verb,Romans 6:4,"νεκρῶν διὰ τῆς δόξης τοῦ πατρός, οὕτως καὶ ἡμεῖς ἐν καινότητι ζωῆς",.
περιπατήσωμεν,περιπατέω,aorist,active,subjunctive,first person,—,—,plural,verb,Romans 13:13,ὡς ἐν ἡμέρᾳ εὐσχημόνως,", μὴ κώμοις καὶ μέθαις, μὴ κοίταις καὶ ἀσελγείαις, μὴ ἔριδι καὶ ζήλῳ,"
περιπατήσωμεν,περιπατέω,aorist,active,subjunctive,first person,—,—,plural,verb,Ephesians 2:10,"αὐτοῦ γάρ ἐσμεν ποίημα, κτισθέντες ἐν Χριστῷ Ἰησοῦ ἐπὶ ἔργοις ἀγαθοῖς οἷς προητοίμασεν ὁ θεός, ἵνα ἐν αὐτοῖς",.
περιπατήσῃ,περιπατέω,aorist,active,subjunctive,third person,—,—,singular,verb,John 8:12,Πάλιν οὖν αὐτοῖς ἐλάλησεν ὁ Ἰησοῦς λέγων· ἐγώ εἰμι τὸ φῶς τοῦ κόσμου· ὁ ἀκολουθῶν ἐμοὶ οὐ μὴ,"ἐν τῇ σκοτίᾳ, ἀλλʼ ἕξει τὸ φῶς τῆς ζωῆς."
περιπατείτω,περιπατέω,present,active,imperative,third person,—,—,singular,verb,1 Corinthians 7:17,"Εἰ μὴ ἑκάστῳ ὡς ἐμέρισεν ὁ κύριος, ἕκαστον ὡς κέκληκεν ὁ θεός, οὕτως",. καὶ οὕτως ἐν ταῖς ἐκκλησίαις πάσαις διατάσσομαι.
περιπατεῖ,περιπατέω,present,active,indicative,third person,—,—,singular,verb,Ephesians 4:17,"Τοῦτο οὖν λέγω καὶ μαρτύρομαι ἐν κυρίῳ, μηκέτι ὑμᾶς περιπατεῖν, καθὼς καὶ τὰ  ἔθνη","ἐν ματαιότητι τοῦ νοὸς αὐτῶν,"
περιπατεῖ,περιπατέω,present,active,indicative,third person,—,—,singular,verb,1 Peter 5:8,"νήψατε, γρηγορήσατε.  ὁ ἀντίδικος ὑμῶν  διάβολος ὡς λέων ὠρυόμενος",ζητῶν τινα καταπιεῖν·
περιπατεῖ,περιπατέω,present,active,indicative,third person,—,—,singular,verb,1 John 2:11,ὁ δὲ μισῶν τὸν ἀδελφὸν αὐτοῦ ἐν τῇ σκοτίᾳ ἐστὶν καὶ ἐν τῇ σκοτίᾳ,"καὶ οὐκ οἶδεν ποῦ ὑπάγει, ὅτι ἡ σκοτία ἐτύφλωσεν τοὺς ὀφθαλμοὺς αὐτοῦ."
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,Mark 12:38,Καὶ ἐν τῇ διδαχῇ αὐτοῦ ἔλεγεν· βλέπετε ἀπὸ τῶν γραμματέων τῶν θελόντων ἐν στολαῖς,καὶ ἀσπασμοὺς ἐν ταῖς ἀγοραῖς
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,Luke 20:46,προσέχετε ἀπὸ τῶν γραμματέων τῶν θελόντων,ἐν στολαῖς καὶ φιλούντων ἀσπασμοὺς ἐν ταῖς ἀγοραῖς καὶ πρωτοκαθεδρίας ἐν ταῖς συναγωγαῖς
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,John 7:1,Καὶ μετὰ ταῦτα περιεπάτει ὁ Ἰησοῦς ἐν τῇ Γαλιλαίᾳ· οὐ γὰρ ἤθελεν ἐν τῇ Ἰουδαίᾳ,", ὅτι ἐζήτουν αὐτὸν οἱ Ἰουδαῖοι ἀποκτεῖναι."
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,Acts 3:12,τούτῳ ἢ ἡμῖν τί ἀτενίζετε ὡς  ἰδίᾳ δυνάμει ἢ εὐσεβείᾳ πεποιηκόσιν τοῦ,αὐτόν;
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,Acts 21:21,ἔθνη πάντας Ἰουδαίους λέγων μὴ περιτέμνειν αὐτοὺς τὰ τέκνα μηδὲ τοῖς ἔθεσιν,.
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,Ephesians 4:17,"Τοῦτο οὖν λέγω καὶ μαρτύρομαι ἐν κυρίῳ, μηκέτι ὑμᾶς",", καθὼς καὶ τὰ  ἔθνη περιπατεῖ ἐν ματαιότητι τοῦ νοὸς αὐτῶν,"
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,1 Thessalonians 2:12,παρακαλοῦντες ὑμᾶς καὶ παραμυθούμενοι καὶ μαρτυρόμενοι εἰς τὸ,ὑμᾶς ἀξίως τοῦ θεοῦ τοῦ καλοῦντος ὑμᾶς εἰς τὴν ἑαυτοῦ βασιλείαν καὶ δόξαν.
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,1 Thessalonians 4:1,"ἐν κυρίῳ Ἰησοῦ, ἵνα καθὼς παρελάβετε παρʼ ἡμῶν τὸ πῶς δεῖ ὑμᾶς","καὶ ἀρέσκειν θεῷ, καθὼς καὶ περιπατεῖτε, ἵνα περισσεύητε μᾶλλον."
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,1 John 2:6,"ὁ λέγων ἐν αὐτῷ μένειν ὀφείλει, καθὼς ἐκεῖνος περιεπάτησεν, καὶ αὐτὸς οὕτως",".  Ἀγαπητοί,"
περιπατεῖν,περιπατέω,present,active,infinitive,—,—,—,—,verb,Revelation 9:20,"τὰ λίθινα καὶ τὰ ξύλινα, ἃ οὔτε βλέπειν δύνανται οὔτε ἀκούειν οὔτε",","
περιπατεῖς,περιπατέω,present,active,indicative,second person,—,—,singular,verb,Romans 14:15,"εἰ γὰρ διὰ βρῶμα ὁ ἀδελφός σου λυπεῖται, οὐκέτι κατὰ ἀγάπην",· μὴ τῷ βρώματί σου ἐκεῖνον ἀπόλλυε ὑπὲρ οὗ Χριστὸς ἀπέθανεν.
περιπατεῖς,περιπατέω,present,active,indicative,second person,—,—,singular,verb,3 John 3,"ἐχάρην γὰρ λίαν ἐρχομένων ἀδελφῶν καὶ μαρτυρούντων σου τῇ ἀληθείᾳ, καθὼς σὺ ἐν ἀληθείᾳ",""
περιπατεῖτε,περιπατέω,present,active,indicative,second person,—,—,plural,verb,1 Corinthians 3:3,"ἔτι γὰρ σαρκικοί ἐστε. ὅπου γὰρ ἐν ὑμῖν ζῆλος καὶ ἔρις, οὐχὶ σαρκικοί ἐστε καὶ κατὰ ἄνθρωπον",;
