Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Matthew 14:29,ὁ δὲ εἶπεν· ἐλθέ. καὶ καταβὰς ἀπὸ τοῦ,[ὁ] Πέτρος περιεπάτησεν ἐπὶ τὰ ὕδατα καὶ ἦλθεν πρὸς τὸν Ἰησοῦν.
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Mark 5:2,καὶ ἐξελθόντος αὐτοῦ ἐκ τοῦ,"εὐθὺς ὑπήντησεν αὐτῷ ἐκ τῶν μνημείων ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ,"
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Mark 6:54,Καὶ ἐξελθόντων αὐτῶν ἐκ τοῦ,εὐθὺς ἐπιγνόντες αὐτὸν
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Luke 5:3,"Σίμωνος, ἠρώτησεν αὐτὸν ἀπὸ τῆς γῆς ἐπαναγαγεῖν ὀλίγον· καθίσας δὲ ἐκ τοῦ",ἐδίδασκεν τοὺς ὄχλους.
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,John 6:19,ἐληλακότες οὖν ὡς σταδίους εἴκοσι πέντε ἢ τριάκοντα θεωροῦσιν τὸν Ἰησοῦν περιπατοῦντα ἐπὶ τῆς θαλάσσης καὶ ἐγγὺς τοῦ,"γινόμενον, καὶ ἐφοβήθησαν."
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,John 21:6,ὁ δὲ εἶπεν αὐτοῖς· βάλετε εἰς τὰ δεξιὰ μέρη τοῦ,"τὸ δίκτυον, καὶ εὑρήσετε.  ἔβαλον οὖν, καὶ οὐκέτι αὐτὸ ἑλκύσαι ἴσχυον ἀπὸ τοῦ πλήθους τῶν ἰχθύων."
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Acts 27:10,"λέγων αὐτοῖς· ἄνδρες, θεωρῶ ὅτι μετὰ ὕβρεως καὶ πολλῆς ζημίας οὐ μόνον τοῦ φορτίου καὶ τοῦ",ἀλλὰ καὶ τῶν ψυχῶν ἡμῶν μέλλειν ἔσεσθαι τὸν πλοῦν.
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Acts 27:15,συναρπασθέντος δὲ τοῦ,καὶ μὴ δυναμένου ἀντοφθαλμεῖν τῷ ἀνέμῳ ἐπιδόντες  ἐφερόμεθα.
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Acts 27:19,καὶ τῇ τρίτῃ αὐτόχειρες τὴν σκευὴν τοῦ,ἔρριψαν.
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Acts 27:22,καὶ τὰ νῦν παραινῶ ὑμᾶς εὐθυμεῖν· ἀποβολὴ γὰρ ψυχῆς οὐδεμία ἔσται ἐξ ὑμῶν πλὴν τοῦ,.
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Acts 27:30,Τῶν δὲ ναυτῶν ζητούντων φυγεῖν ἐκ τοῦ,"καὶ χαλασάντων τὴν σκάφην εἰς τὴν θάλασσαν προφάσει ὡς ἐκ πρῴρης ἀγκύρας μελλόντων ἐκτείνειν,"
πλοίου,πλοῖον,—,—,—,—,neuter,genitive,singular,noun,Acts 27:44,"καὶ τοὺς λοιποὺς οὓς μὲν ἐπὶ σανίσιν, οὓς δὲ ἐπί τινων τῶν ἀπὸ τοῦ",. καὶ οὕτως ἐγένετο πάντας διασωθῆναι ἐπὶ τὴν γῆν.
πλοίων,πλοῖον,—,—,—,—,neuter,genitive,plural,noun,Luke 5:3,ἐμβὰς δὲ εἰς ἓν τῶν,", ὃ ἦν  Σίμωνος, ἠρώτησεν αὐτὸν ἀπὸ τῆς γῆς ἐπαναγαγεῖν ὀλίγον· καθίσας δὲ ἐκ"
πλοίων,πλοῖον,—,—,—,—,neuter,genitive,plural,noun,Revelation 8:9,καὶ ἀπέθανεν τὸ τρίτον  τῶν κτισμάτων τῶν ἐν τῇ θαλάσσῃ τὰ ἔχοντα ψυχὰς καὶ τὸ τρίτον τῶν,διεφθάρησαν.  Καὶ
πλοίῳ,πλοῖον,—,—,—,—,neuter,dative,singular,noun,Matthew 4:21,"καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, ἐν τῷ","μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν, καὶ ἐκάλεσεν αὐτούς."
πλοίῳ,πλοῖον,—,—,—,—,neuter,dative,singular,noun,Matthew 14:13,Ἀκούσας δὲ ὁ Ἰησοῦς ἀνεχώρησεν ἐκεῖθεν ἐν,εἰς ἔρημον τόπον κατʼ ἰδίαν· καὶ ἀκούσαντες οἱ ὄχλοι ἠκολούθησαν αὐτῷ πεζῇ ἀπὸ τῶν πόλεων.
πλοίῳ,πλοῖον,—,—,—,—,neuter,dative,singular,noun,Matthew 14:33,οἱ δὲ ἐν τῷ,προσεκύνησαν αὐτῷ λέγοντες· ἀληθῶς θεοῦ υἱὸς εἶ.
πλοίῳ,πλοῖον,—,—,—,—,neuter,dative,singular,noun,Mark 1:19,Καὶ προβὰς ὀλίγον εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ καὶ αὐτοὺς ἐν τῷ,"καταρτίζοντας τὰ δίκτυα,"
πλοίῳ,πλοῖον,—,—,—,—,neuter,dative,singular,noun,Mark 1:20,καὶ εὐθὺς ἐκάλεσεν αὐτούς. καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ,μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.
πλοίῳ,πλοῖον,—,—,—,—,neuter,dative,singular,noun,Mark 4:36,καὶ ἀφέντες τὸν ὄχλον παραλαμβάνουσιν αὐτὸν ὡς ἦν ἐν τῷ,", καὶ ἄλλα πλοῖα ἦν μετʼ αὐτοῦ."
