Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,1 Corinthians 14:12,"οὕτως καὶ ὑμεῖς, ἐπεὶ ζηλωταί ἐστε",", πρὸς τὴν οἰκοδομὴν τῆς ἐκκλησίας ζητεῖτε ἵνα περισσεύητε."
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Hebrews 12:9,εἴχομεν παιδευτὰς καὶ ἐνετρεπόμεθα· οὐ πολὺ [δὲ] μᾶλλον ὑποταγησόμεθα τῷ πατρὶ τῶν,καὶ ζήσομεν;
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Revelation 1:4,ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος καὶ ἀπὸ τῶν ἑπτὰ,ἃ ἐνώπιον τοῦ θρόνου αὐτοῦ
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Revelation 22:6,"Καὶ εἶπέν μοι· οὗτοι οἱ λόγοι πιστοὶ καὶ ἀληθινοί, καὶ ὁ κύριος ὁ θεὸς τῶν",τῶν προφητῶν ἀπέστειλεν  τὸν ἄγγελον αὐτοῦ δεῖξαι τοῖς δούλοις αὐτοῦ ἃ δεῖ γενέσθαι ἐν τάχει.
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Matthew 10:1,Καὶ προσκαλεσάμενος τοὺς δώδεκα μαθητὰς αὐτοῦ ἔδωκεν αὐτοῖς ἐξουσίαν,ἀκαθάρτων ὥστε ἐκβάλλειν αὐτὰ καὶ θεραπεύειν πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Mark 6:7,Καὶ προσκαλεῖται τοὺς δώδεκα καὶ ἤρξατο αὐτοὺς ἀποστέλλειν δύο δύο καὶ ἐδίδου αὐτοῖς ἐξουσίαν τῶν,"τῶν ἀκαθάρτων,"
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Luke 6:18,οἳ ἦλθον ἀκοῦσαι αὐτοῦ καὶ ἰαθῆναι ἀπὸ τῶν νόσων αὐτῶν· καὶ οἱ ἐνοχλούμενοι ἀπὸ,"ἀκαθάρτων ἐθεραπεύοντο,"
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Luke 7:21,ἐν ἐκείνῃ τῇ ὥρᾳ ἐθεράπευσεν πολλοὺς ἀπὸ νόσων καὶ μαστίγων καὶ,πονηρῶν καὶ τυφλοῖς πολλοῖς ἐχαρίσατο βλέπειν.
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Luke 8:2,καὶ γυναῖκές τινες αἳ ἦσαν τεθεραπευμέναι ἀπὸ,"πονηρῶν καὶ ἀσθενειῶν, Μαρία ἡ καλουμένη Μαγδαληνή, ἀφʼ ἧς δαιμόνια ἑπτὰ ἐξεληλύθει,"
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,Acts 5:16,συνήρχετο δὲ καὶ τὸ πλῆθος τῶν πέριξ πόλεων  Ἰερουσαλὴμ φέροντες ἀσθενεῖς καὶ ὀχλουμένους ὑπὸ,"ἀκαθάρτων, οἵτινες ἐθεραπεύοντο ἅπαντες."
πνευμάτων,πνεῦμα,—,—,—,—,neuter,genitive,plural,noun,1 Corinthians 12:10,"ἄλλῳ δὲ ἐνεργήματα δυνάμεων, ἄλλῳ [δὲ] προφητεία, ἄλλῳ [δὲ] διακρίσεις",", ἑτέρῳ  γένη γλωσσῶν, ἄλλῳ δὲ ἑρμηνεία γλωσσῶν·"
πνεύμασιν,πνεῦμα,—,—,—,—,neuter,dative,plural,noun,1 Timothy 4:1,Τὸ δὲ πνεῦμα ῥητῶς λέγει ὅτι ἐν ὑστέροις καιροῖς ἀποστήσονταί τινες τῆς πίστεως προσέχοντες,"πλάνοις καὶ διδασκαλίαις δαιμονίων,"
πνεύμασιν,πνεῦμα,—,—,—,—,neuter,dative,plural,noun,Hebrews 12:23,καὶ ἐκκλησίᾳ πρωτοτόκων ἀπογεγραμμένων ἐν οὐρανοῖς καὶ κριτῇ θεῷ πάντων καὶ,δικαίων τετελειωμένων
πνεύμασιν,πνεῦμα,—,—,—,—,neuter,dative,plural,noun,1 Peter 3:19,ἐν ᾧ καὶ τοῖς ἐν φυλακῇ,πορευθεὶς ἐκήρυξεν
πνεύμασιν,πνεῦμα,—,—,—,—,neuter,dative,plural,noun,Mark 1:27,καὶ ἐθαμβήθησαν ἅπαντες ὥστε συζητεῖν πρὸς ἑαυτοὺς λέγοντας· τί ἐστιν τοῦτο; διδαχὴ καινὴ κατʼ ἐξουσίαν· καὶ τοῖς,"τοῖς ἀκαθάρτοις ἐπιτάσσει, καὶ ὑπακούουσιν αὐτῷ."
πνεύμασιν,πνεῦμα,—,—,—,—,neuter,dative,plural,noun,Luke 4:36,τίς ὁ λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις,καὶ ἐξέρχονται;
πνεύματί,πνεῦμα,—,—,—,—,neuter,dative,singular,noun,Romans 1:9,"μάρτυς γάρ μού ἐστιν ὁ θεός, ᾧ λατρεύω ἐν τῷ","μου ἐν τῷ εὐαγγελίῳ τοῦ υἱοῦ αὐτοῦ, ὡς ἀδιαλείπτως μνείαν ὑμῶν ποιοῦμαι"
πνεύματί,πνεῦμα,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 4:21,τί θέλετε; ἐν ῥάβδῳ ἔλθω πρὸς ὑμᾶς ἢ ἐν ἀγάπῃ,τε πραΰτητος;
πνεύματί,πνεῦμα,—,—,—,—,neuter,dative,singular,noun,2 Corinthians 2:13,οὐκ ἔσχηκα ἄνεσιν τῷ,"μου τῷ μὴ εὑρεῖν με Τίτον τὸν ἀδελφόν μου, ἀλλʼ ἀποταξάμενος αὐτοῖς ἐξῆλθον εἰς Μακεδονίαν."
πνεύματα,πνεῦμα,—,—,—,—,neuter,accusative,plural,noun,Matthew 8:16,Ὀψίας δὲ γενομένης προσήνεγκαν αὐτῷ δαιμονιζομένους πολλούς· καὶ ἐξέβαλεν τὰ,"λόγῳ καὶ πάντας τοὺς κακῶς ἔχοντας ἐθεράπευσεν,"
πνεύματα,πνεῦμα,—,—,—,—,neuter,accusative,plural,noun,Matthew 12:45,τότε πορεύεται καὶ παραλαμβάνει μεθʼ ἑαυτοῦ ἑπτὰ ἕτερα,πονηρότερα ἑαυτοῦ καὶ εἰσελθόντα κατοικεῖ ἐκεῖ· καὶ γίνεται τὰ ἔσχατα τοῦ ἀνθρώπου ἐκείνου
πνεύματα,πνεῦμα,—,—,—,—,neuter,nominative,plural,noun,Luke 10:20,πλὴν ἐν τούτῳ μὴ χαίρετε ὅτι τὰ,"ὑμῖν ὑποτάσσεται, χαίρετε δὲ ὅτι τὰ ὀνόματα ὑμῶν ἐγγέγραπται ἐν τοῖς οὐρανοῖς."
πνεύματα,πνεῦμα,—,—,—,—,neuter,accusative,plural,noun,Luke 11:26,τότε πορεύεται καὶ παραλαμβάνει ἕτερα,πονηρότερα ἑαυτοῦ ἑπτὰ καὶ εἰσελθόντα κατοικεῖ ἐκεῖ· καὶ γίνεται τὰ ἔσχατα τοῦ ἀνθρώπου ἐκείνου χείρονα τῶν πρώτων.
πνεύματα,πνεῦμα,—,—,—,—,neuter,nominative,plural,noun,1 Corinthians 14:32,καὶ,"προφητῶν προφήταις ὑποτάσσεται,"
πνεύματα,πνεῦμα,—,—,—,—,neuter,accusative,plural,noun,Hebrews 1:7,καὶ πρὸς μὲν τοὺς ἀγγέλους  λέγει·      ὁ ποιῶν τοὺς ἀγγέλους αὐτοῦ,"καὶ τοὺς λειτουργοὺς αὐτοῦ πυρὸς φλόγα,"
πνεύματα,πνεῦμα,—,—,—,—,neuter,nominative,plural,noun,Hebrews 1:14,οὐχὶ πάντες εἰσὶν λειτουργικὰ,εἰς διακονίαν ἀποστελλόμενα διὰ τοὺς μέλλοντας κληρονομεῖν σωτηρίαν;
πνεύματα,πνεῦμα,—,—,—,—,neuter,accusative,plural,noun,1 John 4:1,"Ἀγαπητοί, μὴ παντὶ πνεύματι πιστεύετε ἀλλὰ δοκιμάζετε τὰ","εἰ ἐκ τοῦ θεοῦ ἐστιν, ὅτι πολλοὶ ψευδοπροφῆται ἐξεληλύθασιν εἰς τὸν κόσμον."
πνεύματα,πνεῦμα,—,—,—,—,neuter,accusative,plural,noun,Revelation 3:1,Καὶ τῷ ἀγγέλῳ τῆς ἐν Σάρδεσιν ἐκκλησίας γράψον·  Τάδε λέγει ὁ ἔχων τὰ ἑπτὰ,τοῦ θεοῦ καὶ τοὺς ἑπτὰ ἀστέρας· οἶδά σου τὰ ἔργα ὅτι ὄνομα ἔχεις
