Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πολλοί,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Acts 19:18,—,τε τῶν πεπιστευκότων ἤρχοντο ἐξομολογούμενοι καὶ ἀναγγέλλοντες τὰς πράξεις αὐτῶν.
Πολλοὶ,πολύς,—,—,—,—,masculine,nominative,plural,adjective,John 6:60,—,οὖν ἀκούσαντες ἐκ τῶν μαθητῶν αὐτοῦ εἶπαν· σκληρός ἐστιν ὁ λόγος οὗτος·  τίς δύναται αὐτοῦ ἀκούειν;
Πολλοὶ,πολύς,—,—,—,—,masculine,nominative,plural,adjective,John 11:45,—,οὖν ἐκ τῶν Ἰουδαίων οἱ ἐλθόντες πρὸς τὴν Μαριὰμ καὶ θεασάμενοι ἃ ἐποίησεν ἐπίστευσαν εἰς αὐτόν·
Πολλὰ,πολύς,—,—,—,—,neuter,accusative,plural,adjective,Luke 3:18,—,μὲν οὖν καὶ ἕτερα παρακαλῶν εὐηγγελίζετο τὸν λαόν.
Πολλὰ,πολύς,—,—,—,—,neuter,accusative,plural,adjective,John 20:30,—,"μὲν οὖν καὶ ἄλλα σημεῖα ἐποίησεν ὁ Ἰησοῦς ἐνώπιον τῶν μαθητῶν [αὐτοῦ], ἃ"
Πολλὰ,πολύς,—,—,—,—,neuter,accusative,plural,adjective,2 John 12,—,"ἔχων ὑμῖν γράφειν οὐκ ἐβουλήθην διὰ χάρτου καὶ μέλανος, ἀλλʼ ἐλπίζω γενέσθαι πρὸς"
Πολλὰ,πολύς,—,—,—,—,neuter,accusative,plural,adjective,3 John 13,—,εἶχον γράψαι σοι ἀλλʼ οὐ θέλω διὰ μέλανος καὶ καλάμου σοι γράφειν·
Πολλῆς,πολύς,—,—,—,—,feminine,genitive,singular,adjective,Acts 15:7,—,"δὲ ζητήσεως γενομένης  ἀναστὰς Πέτρος εἶπεν πρὸς αὐτούς· ἄνδρες ἀδελφοί, ὑμεῖς ἐπίστασθε ὅτι"
Πολλῆς,πολύς,—,—,—,—,feminine,genitive,singular,adjective,Acts 23:10,—,δὲ γινομένης στάσεως φοβηθεὶς ὁ χιλίαρχος μὴ διασπασθῇ ὁ Παῦλος ὑπʼ αὐτῶν ἐκέλευσεν
Πολλῆς,πολύς,—,—,—,—,feminine,genitive,singular,adjective,Acts 27:21,—,τε ἀσιτίας ὑπαρχούσης τότε σταθεὶς ὁ Παῦλος ἐν μέσῳ αὐτῶν εἶπεν· ἔδει μέν
πλέον,πολύς,—,—,—,—,neuter,accusative,singular,adjective,Luke 3:13,ὁ δὲ εἶπεν πρὸς αὐτούς· μηδὲν,παρὰ τὸ διατεταγμένον ὑμῖν πράσσετε.
πλέον,πολύς,—,—,—,—,neuter,accusative,singular,adjective,John 21:15,"Ὅτε οὖν ἠρίστησαν λέγει τῷ Σίμωνι Πέτρῳ ὁ Ἰησοῦς· Σίμων Ἰωάννου, ἀγαπᾷς με","τούτων; λέγει αὐτῷ· ναὶ κύριε, σὺ οἶδας ὅτι φιλῶ σε.  λέγει αὐτῷ· βόσκε τὰ ἀρνία μου."
πλέον,πολύς,—,—,—,—,neuter,accusative,singular,adjective,Acts 15:28,ἔδοξεν γὰρ τῷ πνεύματι τῷ ἁγίῳ καὶ ἡμῖν μηδὲν,"ἐπιτίθεσθαι ὑμῖν βάρος πλὴν τούτων τῶν ἐπάναγκες,"
πλείονές,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Hebrews 7:23,Καὶ οἱ μὲν,εἰσιν γεγονότες ἱερεῖς διὰ τὸ θανάτῳ κωλύεσθαι παραμένειν·
πλείονα,πολύς,—,—,—,—,neuter,accusative,plural,adjective,John 7:31,Ἐκ τοῦ ὄχλου δὲ πολλοὶ ἐπίστευσαν εἰς αὐτὸν καὶ ἔλεγον· ὁ χριστὸς ὅταν ἔλθῃ μὴ,σημεῖα ποιήσει ὧν οὗτος ἐποίησεν;
πλείονα,πολύς,—,—,—,—,masculine,accusative,singular,adjective,John 15:2,"πᾶν κλῆμα ἐν ἐμοὶ μὴ φέρον καρπὸν αἴρει αὐτό, καὶ πᾶν τὸ καρπὸν φέρον καθαίρει αὐτὸ ἵνα καρπὸν",φέρῃ.
πλείονα,πολύς,—,—,—,—,masculine,accusative,singular,adjective,Acts 18:20,ἐρωτώντων δὲ αὐτῶν ἐπὶ,"χρόνον μεῖναι  οὐκ ἐπένευσεν,"
πλείονα,πολύς,—,—,—,—,feminine,accusative,singular,adjective,Hebrews 3:3,"πλείονος γὰρ οὗτος δόξης παρὰ Μωϋσῆν ἠξίωται, καθʼ ὅσον",τιμὴν ἔχει τοῦ οἴκου ὁ κατασκευάσας αὐτόν·
πλείονα,πολύς,—,—,—,—,feminine,accusative,singular,adjective,Hebrews 11:4,Πίστει,"θυσίαν Ἅβελ παρὰ Κάϊν προσήνεγκεν τῷ θεῷ, διʼ ἧς ἐμαρτυρήθη εἶναι δίκαιος, μαρτυροῦντος"
πλείονα,πολύς,—,—,—,—,neuter,accusative,plural,adjective,Revelation 2:19,"τὴν διακονίαν καὶ τὴν ὑπομονήν σου, καὶ τὰ ἔργα σου τὰ ἔσχατα",τῶν πρώτων.
πλείονας,πολύς,—,—,—,—,masculine,accusative,plural,adjective,Matthew 21:36,πάλιν ἀπέστειλεν ἄλλους δούλους,"τῶν πρώτων, καὶ ἐποίησαν αὐτοῖς ὡσαύτως."
πλείονας,πολύς,—,—,—,—,masculine,accusative,plural,adjective,John 4:1,Ὡς οὖν ἔγνω ὁ Ἰησοῦς ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι Ἰησοῦς,μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης
πλείονας,πολύς,—,—,—,—,masculine,accusative,plural,adjective,1 Corinthians 9:19,"Ἐλεύθερος γὰρ ὢν ἐκ πάντων πᾶσιν ἐμαυτὸν ἐδούλωσα, ἵνα τοὺς",κερδήσω·
πλείονας,πολύς,—,—,—,—,masculine,accusative,plural,adjective,2 Corinthians 9:2,"Μακεδόσιν, ὅτι Ἀχαΐα παρεσκεύασται ἀπὸ πέρυσι, καὶ τὸ  ὑμῶν ζῆλος ἠρέθισεν τοὺς",.
πλείονας,πολύς,—,—,—,—,masculine,accusative,plural,adjective,Philippians 1:14,καὶ τοὺς,τῶν ἀδελφῶν ἐν κυρίῳ πεποιθότας τοῖς δεσμοῖς μου περισσοτέρως τολμᾶν ἀφόβως τὸν λόγον  λαλεῖν.
πλείονας,πολύς,—,—,—,—,"feminine, masculine",accusative,plural,adjective,Acts 27:20,μήτε δὲ ἡλίου μήτε ἄστρων ἐπιφαινόντων ἐπὶ,"ἡμέρας, χειμῶνός τε οὐκ ὀλίγου ἐπικειμένου, λοιπὸν περιῃρεῖτο ἐλπὶς πᾶσα τοῦ σῴζεσθαι ἡμᾶς."
πλείονες,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Acts 27:12,ἀνευθέτου δὲ τοῦ λιμένος ὑπάρχοντος πρὸς παραχειμασίαν οἱ,"ἔθεντο βουλὴν ἀναχθῆναι ἐκεῖθεν, εἴ πως δύναιντο καταντήσαντες εἰς Φοίνικα παραχειμάσαι λιμένα τῆς"
πλείονες,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Acts 28:23,Ταξάμενοι δὲ αὐτῷ ἡμέραν ἦλθον πρὸς αὐτὸν εἰς τὴν ξενίαν,"οἷς ἐξετίθετο διαμαρτυρόμενος τὴν βασιλείαν τοῦ θεοῦ, πείθων τε αὐτοὺς περὶ τοῦ Ἰησοῦ"
πλείονες,πολύς,—,—,—,—,masculine,nominative,plural,adjective,1 Corinthians 15:6,"ἔπειτα ὤφθη ἐπάνω πεντακοσίοις ἀδελφοῖς ἐφάπαξ, ἐξ ὧν οἱ","μένουσιν ἕως ἄρτι, τινὲς δὲ  ἐκοιμήθησαν·"
πλείονος,πολύς,—,—,—,—,feminine,genitive,singular,adjective,Hebrews 3:3,—,"γὰρ οὗτος δόξης παρὰ Μωϋσῆν ἠξίωται, καθʼ ὅσον πλείονα τιμὴν ἔχει τοῦ οἴκου ὁ κατασκευάσας αὐτόν·"
πλείοσιν,πολύς,—,—,—,—,masculine,dative,plural,adjective,Acts 2:40,ἑτέροις τε λόγοις,διεμαρτύρατο καὶ παρεκάλει αὐτοὺς λέγων· σώθητε ἀπὸ τῆς γενεᾶς τῆς σκολιᾶς ταύτης.
πλείοσιν,πολύς,—,—,—,—,masculine,dative,plural,adjective,1 Corinthians 10:5,Ἀλλʼ οὐκ ἐν τοῖς,"αὐτῶν εὐδόκησεν ὁ θεός, κατεστρώθησαν γὰρ ἐν τῇ ἐρήμῳ."
πλείους,πολύς,—,—,—,—,masculine,nominative,plural,adjective,John 4:41,καὶ πολλῷ,"ἐπίστευσαν διὰ τὸν λόγον αὐτοῦ,"
πλείους,πολύς,—,—,—,—,feminine,accusative,plural,adjective,Acts 13:31,ὃς ὤφθη ἐπὶ ἡμέρας,"τοῖς συναναβᾶσιν αὐτῷ ἀπὸ τῆς Γαλιλαίας εἰς Ἰερουσαλήμ, οἵτινες [νῦν] εἰσιν μάρτυρες αὐτοῦ πρὸς τὸν λαόν."
πλείους,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Acts 19:32,ἄλλοι μὲν οὖν ἄλλο τι ἔκραζον· ἦν γὰρ ἡ ἐκκλησία συγκεχυμένη καὶ οἱ,οὐκ ᾔδεισαν τίνος ἕνεκα συνεληλύθεισαν.
πλείους,πολύς,—,—,—,—,feminine,accusative,plural,adjective,Acts 21:10,Ἐπιμενόντων δὲ  ἡμέρας,"κατῆλθέν τις ἀπὸ τῆς Ἰουδαίας προφήτης ὀνόματι Ἅγαβος,"
πλείους,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Acts 23:13,ἦσαν δὲ,"τεσσεράκοντα οἱ ταύτην τὴν συνωμοσίαν ποιησάμενοι,"
πλείους,πολύς,—,—,—,—,masculine,nominative,plural,adjective,Acts 23:21,σὺ οὖν μὴ πεισθῇς αὐτοῖς· ἐνεδρεύουσιν γὰρ αὐτὸν ἐξ αὐτῶν ἄνδρες,"τεσσεράκοντα, οἵτινες ἀνεθεμάτισαν ἑαυτοὺς μήτε φαγεῖν μήτε πιεῖν ἕως οὗ ἀνέλωσιν αὐτόν, καὶ"
πλείους,πολύς,—,—,—,—,feminine,nominative,plural,adjective,Acts 24:11,δυναμένου σου ἐπιγνῶναι ὅτι οὐ,εἰσίν μοι ἡμέραι δώδεκα ἀφʼ ἧς ἀνέβην προσκυνήσων εἰς Ἰερουσαλήμ.
πλείους,πολύς,—,—,—,—,feminine,accusative,plural,adjective,Acts 25:6,Διατρίψας δὲ ἐν αὐτοῖς ἡμέρας οὐ,"ὀκτὼ ἢ δέκα, καταβὰς εἰς Καισάρειαν, τῇ ἐπαύριον καθίσας ἐπὶ τοῦ βήματος ἐκέλευσεν τὸν Παῦλον ἀχθῆναι."
πλείους,πολύς,—,—,—,—,feminine,accusative,plural,adjective,Acts 25:14,ὡς δὲ,"ἡμέρας διέτριβον ἐκεῖ, ὁ Φῆστος τῷ βασιλεῖ ἀνέθετο τὰ κατὰ τὸν Παῦλον λέγων"
πλείω,πολύς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 26:53,"ἢ δοκεῖς ὅτι οὐ δύναμαι παρακαλέσαι τὸν πατέρα μου, καὶ παραστήσει μοι  ἄρτι",δώδεκα λεγιῶνας ἀγγέλων;
πλειόνων,πολύς,—,—,—,—,neuter,genitive,plural,adjective,Luke 11:53,Κἀκεῖθεν ἐξελθόντος αὐτοῦ ἤρξαντο οἱ γραμματεῖς καὶ οἱ Φαρισαῖοι δεινῶς ἐνέχειν καὶ ἀποστοματίζειν αὐτὸν περὶ,","
πλειόνων,πολύς,—,—,—,—,neuter,genitive,plural,adjective,Acts 4:22,ἐτῶν γὰρ ἦν,τεσσεράκοντα ὁ ἄνθρωπος ἐφʼ ὃν γεγόνει τὸ σημεῖον τοῦτο τῆς ἰάσεως.
πλειόνων,πολύς,—,—,—,—,neuter,genitive,plural,adjective,Acts 24:17,διʼ ἐτῶν δὲ,"ἐλεημοσύνας ποιήσων εἰς τὸ ἔθνος μου παρεγενόμην καὶ προσφοράς,"
πλειόνων,πολύς,—,—,—,—,masculine,genitive,plural,adjective,2 Corinthians 2:6,ἱκανὸν τῷ τοιούτῳ ἡ ἐπιτιμία αὕτη ἡ ὑπὸ τῶν,","
