Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πονηρά,πονηρός,—,—,—,—,neuter,accusative,plural,adjective,Matthew 12:35,"ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ  ἐκβάλλει  ἀγαθά, καὶ ὁ πονηρὸς ἄνθρωπος ἐκ τοῦ πονηροῦ θησαυροῦ  ἐκβάλλει",.
πονηρά,πονηρός,—,—,—,—,feminine,nominative,singular,adjective,Luke 11:29,Τῶν δὲ ὄχλων ἐπαθροιζομένων ἤρξατο λέγειν· ἡ γενεὰ αὕτη γενεὰ,"ἐστιν· σημεῖον ζητεῖ, καὶ σημεῖον οὐ δοθήσεται αὐτῇ εἰ μὴ τὸ σημεῖον Ἰωνᾶ."
πονηρά,πονηρός,—,—,—,—,neuter,nominative,plural,adjective,John 7:7,"οὐ δύναται ὁ κόσμος μισεῖν ὑμᾶς, ἐμὲ δὲ μισεῖ, ὅτι ἐγὼ μαρτυρῶ περὶ αὐτοῦ ὅτι τὰ ἔργα αὐτοῦ",ἐστιν.
πονηρά,πονηρός,—,—,—,—,feminine,nominative,singular,adjective,James 4:16,νῦν δὲ καυχᾶσθε ἐν ταῖς ἀλαζονείαις ὑμῶν· πᾶσα καύχησις τοιαύτη,ἐστιν.
πονηρέ,πονηρός,—,—,—,—,masculine,vocative,singular,adjective,Matthew 18:32,Τότε προσκαλεσάμενος αὐτὸν ὁ κύριος αὐτοῦ λέγει αὐτῷ· δοῦλε,", πᾶσαν τὴν ὀφειλὴν ἐκείνην ἀφῆκά σοι, ἐπεὶ παρεκάλεσάς με·"
πονηραί,πονηρός,—,—,—,—,feminine,nominative,plural,adjective,Ephesians 5:16,"ἐξαγοραζόμενοι τὸν καιρόν, ὅτι αἱ ἡμέραι",εἰσιν.
πονηραί,πονηρός,—,—,—,—,feminine,nominative,plural,adjective,1 Timothy 6:4,"τετύφωται, μηδὲν ἐπιστάμενος, ἀλλὰ νοσῶν περὶ ζητήσεις καὶ λογομαχίας, ἐξ ὧν γίνεται φθόνος ἔρις βλασφημίαι, ὑπόνοιαι",","
πονηροί,πονηρός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 15:19,ἐκ γὰρ τῆς καρδίας ἐξέρχονται διαλογισμοὶ,", φόνοι, μοιχεῖαι, πορνεῖαι, κλοπαί, ψευδομαρτυρίαι, βλασφημίαι."
πονηρούς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 22:10,"καὶ ἐξελθόντες οἱ δοῦλοι ἐκεῖνοι εἰς τὰς ὁδοὺς συνήγαγον πάντας οὓς εὗρον,",τε καὶ ἀγαθούς· καὶ ἐπλήσθη ὁ γάμος  ἀνακειμένων.
πονηρούς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Luke 6:35,"καὶ ἔσεσθε υἱοὶ ὑψίστου, ὅτι αὐτὸς χρηστός ἐστιν ἐπὶ τοὺς ἀχαρίστους καὶ",.
πονηροὶ,πονηρός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 7:11,εἰ οὖν ὑμεῖς,"ὄντες οἴδατε δόματα ἀγαθὰ διδόναι τοῖς τέκνοις ὑμῶν, πόσῳ μᾶλλον ὁ πατὴρ ὑμῶν"
πονηροὶ,πονηρός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 12:34,"γεννήματα ἐχιδνῶν, πῶς δύνασθε ἀγαθὰ λαλεῖν",ὄντες; ἐκ γὰρ τοῦ περισσεύματος τῆς καρδίας τὸ στόμα λαλεῖ.
πονηροὶ,πονηρός,—,—,—,—,masculine,nominative,plural,adjective,Luke 11:13,εἰ οὖν ὑμεῖς,"ὑπάρχοντες οἴδατε δόματα ἀγαθὰ διδόναι τοῖς τέκνοις ὑμῶν, πόσῳ μᾶλλον ὁ πατὴρ [ὁ"
πονηροὶ,πονηρός,—,—,—,—,masculine,nominative,plural,adjective,2 Timothy 3:13,—,δὲ ἄνθρωποι καὶ γόητες προκόψουσιν ἐπὶ τὸ χεῖρον πλανῶντες καὶ πλανώμενοι.
πονηροὺς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 5:45,"ὅπως γένησθε υἱοὶ τοῦ πατρὸς ὑμῶν τοῦ ἐν οὐρανοῖς, ὅτι τὸν ἥλιον αὐτοῦ ἀνατέλλει ἐπὶ",καὶ ἀγαθοὺς καὶ βρέχει ἐπὶ δικαίους καὶ ἀδίκους.
πονηροὺς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 7:17,"Οὕτως πᾶν δένδρον ἀγαθὸν καρποὺς καλοὺς ποιεῖ, τὸ δὲ σαπρὸν δένδρον καρποὺς",ποιεῖ.
πονηροὺς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 7:18,οὐ δύναται δένδρον ἀγαθὸν καρποὺς,ποιεῖν οὐδὲ δένδρον σαπρὸν καρποὺς καλοὺς ποιεῖν.
πονηροὺς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 13:49,οὕτως ἔσται ἐν τῇ συντελείᾳ τοῦ αἰῶνος· ἐξελεύσονται οἱ ἄγγελοι καὶ ἀφοριοῦσιν τοὺς,ἐκ μέσου τῶν δικαίων
πονηροὺς,πονηρός,—,—,—,—,masculine,accusative,plural,adjective,Acts 17:5,Ζηλώσαντες δὲ οἱ Ἰουδαῖοι καὶ προσλαβόμενοι τῶν ἀγοραίων ἄνδρας τινὰς,καὶ ὀχλοποιήσαντες ἐθορύβουν τὴν πόλιν καὶ ἐπιστάντες τῇ οἰκίᾳ Ἰάσονος ἐζήτουν αὐτοὺς προαγαγεῖν εἰς τὸν δῆμον·
πονηροῖς,πονηρός,—,—,—,—,neuter,dative,plural,adjective,Colossians 1:21,Καὶ ὑμᾶς ποτε ὄντας ἀπηλλοτριωμένους καὶ ἐχθροὺς τῇ διανοίᾳ ἐν τοῖς ἔργοις τοῖς,","
πονηροῖς,πονηρός,—,—,—,—,neuter,dative,plural,adjective,2 John 11,ὁ λέγων γὰρ αὐτῷ χαίρειν κοινωνεῖ τοῖς ἔργοις αὐτοῦ τοῖς,.
πονηροῖς,πονηρός,—,—,—,—,masculine,dative,plural,adjective,3 John 10,"διὰ τοῦτο, ἐὰν ἔλθω, ὑπομνήσω αὐτοῦ τὰ ἔργα ἃ ποιεῖ λόγοις","φλυαρῶν  ἡμᾶς, καὶ μὴ ἀρκούμενος ἐπὶ τούτοις οὔτε αὐτὸς ἐπιδέχεται τοὺς ἀδελφοὺς καὶ"
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,Matthew 5:37,"ἔστω δὲ ὁ λόγος ὑμῶν ναὶ ναί, οὒ οὔ· τὸ δὲ περισσὸν τούτων ἐκ τοῦ",ἐστιν.
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,Matthew 6:13,"καὶ μὴ εἰσενέγκῃς ἡμᾶς εἰς πειρασμόν,        ἀλλὰ ῥῦσαι ἡμᾶς ἀπὸ τοῦ",.
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,Matthew 12:35,"ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ  ἐκβάλλει  ἀγαθά, καὶ ὁ πονηρὸς ἄνθρωπος ἐκ τοῦ",θησαυροῦ  ἐκβάλλει  πονηρά.
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,Matthew 13:38,εἰσιν οἱ υἱοὶ τῆς βασιλείας· τὰ δὲ ζιζάνιά εἰσιν οἱ υἱοὶ τοῦ,","
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,Luke 6:45,"ὁ ἀγαθὸς ἄνθρωπος ἐκ τοῦ ἀγαθοῦ θησαυροῦ τῆς καρδίας  προφέρει τὸ ἀγαθόν, καὶ ὁ πονηρὸς ἐκ τοῦ",προφέρει τὸ πονηρόν· ἐκ γὰρ περισσεύματος καρδίας λαλεῖ τὸ στόμα αὐτοῦ.
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,John 17:15,"οὐκ ἐρωτῶ ἵνα ἄρῃς αὐτοὺς ἐκ τοῦ κόσμου, ἀλλʼ ἵνα τηρήσῃς αὐτοὺς ἐκ τοῦ",.
πονηροῦ,πονηρός,—,—,—,—,neuter,genitive,singular,adjective,1 Thessalonians 5:22,ἀπὸ παντὸς εἴδους,ἀπέχεσθε.
πονηροῦ,πονηρός,—,—,—,—,masculine,genitive,singular,adjective,2 Thessalonians 3:3,"Πιστὸς δέ ἐστιν ὁ κύριος, ὃς στηρίξει ὑμᾶς καὶ φυλάξει ἀπὸ τοῦ",.
