Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πρεσβυτέρους,πρεσβύτερος,—,—,—,—,masculine,accusative,plural,adjective,1 Peter 5:1,—,"τοὺς ἐν ὑμῖν παρακαλῶ ὁ συμπρεσβύτερος καὶ μάρτυς τῶν τοῦ Χριστοῦ παθημάτων, ὁ"
Πρεσβυτέρῳ,πρεσβύτερος,—,—,—,—,masculine,dative,singular,adjective,1 Timothy 5:1,—,"μὴ ἐπιπλήξῃς ἀλλὰ παρακάλει ὡς πατέρα, νεωτέρους ὡς ἀδελφούς,"
πρεσβυτέρας,πρεσβύτερος,—,—,—,—,feminine,accusative,plural,adjective,1 Timothy 5:2,—,"ὡς μητέρας, νεωτέρας ὡς ἀδελφὰς ἐν πάσῃ ἁγνείᾳ."
πρεσβυτέροις,πρεσβύτερος,—,—,—,—,masculine,dative,plural,adjective,Matthew 27:3,"Τότε ἰδὼν Ἰούδας ὁ παραδιδοὺς αὐτὸν ὅτι κατεκρίθη, μεταμεληθεὶς ἔστρεψεν τὰ τριάκοντα ἀργύρια τοῖς ἀρχιερεῦσιν καὶ",*
πρεσβυτέροις,πρεσβύτερος,—,—,—,—,masculine,dative,plural,adjective,Luke 20:1,τῷ ἱερῷ καὶ εὐαγγελιζομένου ἐπέστησαν οἱ ἀρχιερεῖς καὶ οἱ γραμματεῖς σὺν τοῖς,""
πρεσβυτέροις,πρεσβύτερος,—,—,—,—,masculine,dative,plural,adjective,Acts 15:22,Τότε ἔδοξεν τοῖς ἀποστόλοις καὶ τοῖς,σὺν ὅλῃ τῇ ἐκκλησίᾳ ἐκλεξαμένους ἄνδρας ἐξ αὐτῶν πέμψαι εἰς Ἀντιόχειαν σὺν τῷ
πρεσβυτέροις,πρεσβύτερος,—,—,—,—,masculine,dative,plural,adjective,Acts 23:14,οἵτινες προσελθόντες τοῖς ἀρχιερεῦσιν καὶ τοῖς,εἶπαν· ἀναθέματι ἀνεθεματίσαμεν ἑαυτοὺς μηδενὸς γεύσασθαι  ἕως οὗ ἀποκτείνωμεν τὸν Παῦλον.
πρεσβυτέροις,πρεσβύτερος,—,—,—,—,masculine,dative,plural,adjective,1 Peter 5:5,"ὁμοίως, νεώτεροι, ὑποτάγητε","· πάντες δὲ ἀλλήλοις τὴν ταπεινοφροσύνην ἐγκομβώσασθε, ὅτι ὁ θεὸς ὑπερηφάνοις ἀντιτάσσεται, ταπεινοῖς δὲ δίδωσιν χάριν."
πρεσβυτέρου,πρεσβύτερος,—,—,—,—,masculine,genitive,singular,adjective,1 Timothy 5:19,κατὰ,"κατηγορίαν μὴ παραδέχου, ἐκτὸς εἰ μὴ ἐπὶ δύο ἢ τριῶν μαρτύρων."
πρεσβυτέρους,πρεσβύτερος,—,—,—,—,masculine,accusative,plural,adjective,Luke 7:3,ἀκούσας δὲ περὶ τοῦ Ἰησοῦ ἀπέστειλεν πρὸς αὐτὸν,τῶν Ἰουδαίων ἐρωτῶν αὐτὸν ὅπως ἐλθὼν διασώσῃ τὸν δοῦλον αὐτοῦ.
