Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Luke 20:27,—,"δέ τινες τῶν Σαδδουκαίων, οἱ [ἀντιλέγοντες ἀνάστασιν μὴ εἶναι, ἐπηρώτησαν αὐτὸν"
Προσελθὼν,προσέρχομαι,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 25:22,—,"[δὲ] καὶ ὁ τὰ δύο τάλαντα  εἶπεν· κύριε, δύο τάλαντά μοι παρέδωκας· ἴδε ἄλλα δύο τάλαντα ἐκέρδησα."
Προσελθὼν,προσέρχομαι,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 25:24,—,"δὲ καὶ ὁ τὸ ἓν τάλαντον εἰληφὼς εἶπεν· κύριε, ἔγνων σε ὅτι σκληρὸς"
προσέρχεσθαι,προσέρχομαι,present,either middle or passive,infinitive,—,—,—,—,verb,Acts 10:28,ἔφη τε πρὸς αὐτούς· ὑμεῖς  ἐπίστασθε ὡς ἀθέμιτόν ἐστιν ἀνδρὶ Ἰουδαίῳ κολλᾶσθαι ἢ,ἀλλοφύλῳ· κἀμοὶ ὁ θεὸς ἔδειξεν μηδένα κοινὸν ἢ ἀκάθαρτον λέγειν ἄνθρωπον·
προσέρχεται,προσέρχομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,1 Timothy 6:3,εἴ τις ἑτεροδιδασκαλεῖ καὶ μὴ,"ὑγιαίνουσιν λόγοις τοῖς τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ καὶ τῇ κατʼ εὐσέβειαν διδασκαλίᾳ,"
προσέρχονται,προσέρχομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,Matthew 9:14,Τότε,αὐτῷ οἱ μαθηταὶ Ἰωάννου λέγοντες· διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν [πολλά
προσέρχονται,προσέρχομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,Matthew 15:1,Τότε,τῷ Ἰησοῦ  ἀπὸ Ἱεροσολύμων Φαρισαῖοι καὶ γραμματεῖς λέγοντες·
προσήρχοντο,προσέρχομαι,imperfect,either middle or passive,indicative,third person,—,—,plural,verb,Acts 28:9,τούτου δὲ γενομένου καὶ οἱ λοιποὶ οἱ ἐν τῇ νήσῳ ἔχοντες ἀσθενείας,"καὶ ἐθεραπεύοντο,"
προσεληλύθατε,προσέρχομαι,perfect,active,indicative,second person,—,—,plural,verb,Hebrews 12:18,Οὐ γὰρ,ψηλαφωμένῳ  καὶ κεκαυμένῳ πυρὶ καὶ γνόφῳ καὶ ζόφῳ καὶ θυέλλῃ
προσεληλύθατε,προσέρχομαι,perfect,active,indicative,second person,—,—,plural,verb,Hebrews 12:22,ἀλλὰ,"Σιὼν ὄρει καὶ πόλει θεοῦ ζῶντος, Ἰερουσαλὴμ ἐπουρανίῳ, καὶ μυριάσιν ἀγγέλων, πανηγύρει"
προσελθοῦσα,προσέρχομαι,aorist,active,participle,—,feminine,nominative,singular,verb,Matthew 9:20,Καὶ ἰδοὺ γυνὴ αἱμορροοῦσα δώδεκα ἔτη,ὄπισθεν ἥψατο τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ·
προσελθοῦσα,προσέρχομαι,aorist,active,participle,—,feminine,nominative,singular,verb,Luke 8:44,—,ὄπισθεν ἥψατο τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ καὶ παραχρῆμα ἔστη ἡ ῥύσις τοῦ αἵματος αὐτῆς.
προσελθοῦσαι,προσέρχομαι,aorist,active,participle,—,feminine,nominative,plural,verb,Matthew 28:9,καὶ ἰδοὺ  Ἰησοῦς ὑπήντησεν αὐταῖς λέγων· χαίρετε. αἱ δὲ,ἐκράτησαν αὐτοῦ τοὺς πόδας καὶ προσεκύνησαν αὐτῷ.
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 8:25,καὶ,"ἤγειραν αὐτὸν λέγοντες· κύριε, σῶσον , ἀπολλύμεθα."
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 13:10,Καὶ,οἱ μαθηταὶ εἶπαν αὐτῷ· διὰ τί ἐν παραβολαῖς λαλεῖς αὐτοῖς;
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 13:27,—,"δὲ οἱ δοῦλοι τοῦ οἰκοδεσπότου εἶπον αὐτῷ· κύριε, οὐχὶ καλὸν σπέρμα ἔσπειρας ἐν"
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 14:12,καὶ,οἱ μαθηταὶ αὐτοῦ ἦραν τὸ πτῶμα  καὶ ἔθαψαν αὐτὸ[ν] καὶ ἐλθόντες ἀπήγγειλαν τῷ Ἰησοῦ.
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 15:12,Τότε,οἱ μαθηταὶ  λέγουσιν αὐτῷ· οἶδας ὅτι οἱ Φαρισαῖοι ἀκούσαντες τὸν λόγον ἐσκανδαλίσθησαν;
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 15:23,ὁ δὲ οὐκ ἀπεκρίθη αὐτῇ λόγον. καὶ,"οἱ μαθηταὶ αὐτοῦ ἠρώτουν αὐτὸν λέγοντες· ἀπόλυσον αὐτήν, ὅτι κράζει ὄπισθεν ἡμῶν."
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 16:1,Καὶ,οἱ Φαρισαῖοι καὶ Σαδδουκαῖοι πειράζοντες ἐπηρώτησαν αὐτὸν σημεῖον ἐκ τοῦ οὐρανοῦ ἐπιδεῖξαι αὐτοῖς.
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 17:19,Τότε,οἱ μαθηταὶ τῷ Ἰησοῦ κατʼ ἰδίαν εἶπον· διὰ τί ἡμεῖς οὐκ ἠδυνήθημεν ἐκβαλεῖν αὐτό;
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 26:50,"ὁ δὲ Ἰησοῦς εἶπεν αὐτῷ· ἑταῖρε, ἐφʼ ὃ πάρει. τότε",ἐπέβαλον τὰς χεῖρας ἐπὶ τὸν Ἰησοῦν καὶ ἐκράτησαν αὐτόν.
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 26:60,καὶ οὐχ εὗρον  πολλῶν προσελθόντων ψευδομαρτύρων.  ὕστερον δὲ,δύο
προσελθόντες,προσέρχομαι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 26:73,Μετὰ μικρὸν δὲ,"οἱ ἑστῶτες εἶπον τῷ Πέτρῳ· ἀληθῶς καὶ σὺ ἐξ αὐτῶν εἶ, καὶ γὰρ"
