Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Matthew 6:7,—,"δὲ μὴ βατταλογήσητε ὥσπερ οἱ ἐθνικοί, δοκοῦσιν γὰρ ὅτι ἐν τῇ πολυλογίᾳ αὐτῶν εἰσακουσθήσονται."
Προσεύχεσθε,προσεύχομαι,present,either middle or passive,imperative,second person,—,—,plural,verb,Hebrews 13:18,—,"περὶ ἡμῶν· πειθόμεθα γὰρ ὅτι καλὴν συνείδησιν ἔχομεν, ἐν πᾶσιν καλῶς θέλοντες ἀναστρέφεσθαι."
προσευξάμενοι,προσεύχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,Acts 1:24,καὶ,"εἶπαν· σὺ κύριε καρδιογνῶστα πάντων, ἀνάδειξον ὃν ἐξελέξω ἐκ τούτων τῶν δύο ἕνα"
προσευξάμενοι,προσεύχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,Acts 6:6,"οὓς ἔστησαν ἐνώπιον τῶν ἀποστόλων, καὶ",ἐπέθηκαν αὐτοῖς τὰς χεῖρας.
προσευξάμενοι,προσεύχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,Acts 13:3,τότε νηστεύσαντες καὶ,καὶ ἐπιθέντες τὰς χεῖρας αὐτοῖς ἀπέλυσαν.
προσευξάμενοι,προσεύχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,Acts 14:23,"χειροτονήσαντες δὲ αὐτοῖς κατʼ ἐκκλησίαν πρεσβυτέρους,",μετὰ νηστειῶν παρέθεντο αὐτοὺς τῷ κυρίῳ εἰς ὃν πεπιστεύκεισαν.
προσευξάμενοι,προσεύχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,Acts 21:5,"τέκνοις ἕως ἔξω τῆς πόλεως, καὶ θέντες τὰ γόνατα ἐπὶ τὸν αἰγιαλὸν",*
προσευξάμενος,προσεύχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Acts 28:8,"ἐγένετο δὲ τὸν πατέρα τοῦ Ποπλίου πυρετοῖς καὶ δυσεντερίῳ συνεχόμενον κατακεῖσθαι, πρὸς ὃν ὁ Παῦλος εἰσελθὼν καὶ",ἐπιθεὶς τὰς χεῖρας αὐτῷ ἰάσατο αὐτόν.
προσευξάσθωσαν,προσεύχομαι,aorist,middle,imperative,third person,—,—,plural,verb,James 5:14,"ἀσθενεῖ τις ἐν ὑμῖν, προσκαλεσάσθω τοὺς πρεσβυτέρους τῆς ἐκκλησίας καὶ",ἐπʼ αὐτὸν ἀλείψαντες αὐτὸν ἐλαίῳ ἐν τῷ ὀνόματι τοῦ κυρίου.
προσευξώμεθα,προσεύχομαι,aorist,middle,subjunctive,first person,—,—,plural,verb,Romans 8:26,Ὡσαύτως δὲ καὶ τὸ πνεῦμα συναντιλαμβάνεται τῇ ἀσθενείᾳ ἡμῶν· τὸ γὰρ τί,"καθὸ δεῖ οὐκ οἴδαμεν, ἀλλʼ αὐτὸ τὸ πνεῦμα ὑπερεντυγχάνει  στεναγμοῖς ἀλαλήτοις·"
προσευχέσθω,προσεύχομαι,present,either middle or passive,imperative,third person,—,—,singular,verb,1 Corinthians 14:13,Διὸ ὁ λαλῶν γλώσσῃ,ἵνα διερμηνεύῃ.
προσευχέσθω,προσεύχομαι,present,either middle or passive,imperative,third person,—,—,singular,verb,James 5:13,"Κακοπαθεῖ τις ἐν ὑμῖν,","· εὐθυμεῖ τις, ψαλλέτω·"
προσευχομένη,προσεύχομαι,present,either middle or passive,participle,—,feminine,nominative,singular,verb,1 Corinthians 11:5,πᾶσα δὲ γυνὴ,ἢ προφητεύουσα ἀκατακαλύπτῳ τῇ κεφαλῇ καταισχύνει τὴν κεφαλὴν αὐτῆς· ἓν γάρ ἐστιν καὶ τὸ αὐτὸ τῇ ἐξυρημένῃ.
προσευχομένου,προσεύχομαι,present,either middle or passive,participle,—,masculine,genitive,singular,verb,Luke 3:21,Ἐγένετο δὲ ἐν τῷ βαπτισθῆναι ἅπαντα τὸν λαὸν καὶ Ἰησοῦ βαπτισθέντος καὶ,ἀνεῳχθῆναι τὸν οὐρανὸν
προσευχομένου,προσεύχομαι,present,either middle or passive,participle,—,masculine,genitive,singular,verb,Acts 22:17,Ἐγένετο δέ μοι ὑποστρέψαντι εἰς Ἰερουσαλὴμ καὶ,μου ἐν τῷ ἱερῷ γενέσθαι με ἐν ἐκστάσει
προσευχόμεθα,προσεύχομαι,present,either middle or passive,indicative,first person,—,—,plural,verb,2 Thessalonians 1:11,Εἰς ὃ καὶ,"πάντοτε περὶ ὑμῶν, ἵνα ὑμᾶς ἀξιώσῃ τῆς κλήσεως ὁ θεὸς ἡμῶν καὶ πληρώσῃ"
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Mark 11:25,Καὶ ὅταν στήκετε,", ἀφίετε εἴ τι ἔχετε κατά τινος, ἵνα καὶ ὁ πατὴρ ὑμῶν ὁ ἐν"
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Mark 12:40,οἱ κατεσθίοντες τὰς οἰκίας τῶν χηρῶν  καὶ προφάσει μακρὰ,· οὗτοι λήμψονται περισσότερον κρίμα.
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Acts 12:12,"Μαρίας τῆς μητρὸς Ἰωάννου τοῦ ἐπικαλουμένου Μάρκου, οὗ ἦσαν ἱκανοὶ συνηθροισμένοι καὶ",.
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Acts 16:25,Κατὰ δὲ τὸ μεσονύκτιον Παῦλος καὶ Σιλᾶς,"ὕμνουν τὸν θεόν, ἐπηκροῶντο δὲ αὐτῶν οἱ δέσμιοι."
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Ephesians 6:18,Διὰ πάσης προσευχῆς καὶ δεήσεως,"ἐν παντὶ καιρῷ ἐν πνεύματι, καὶ εἰς αὐτὸ ἀγρυπνοῦντες ἐν πάσῃ προσκαρτερήσει καὶ"
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Colossians 1:3,Εὐχαριστοῦμεν τῷ θεῷ  πατρὶ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ πάντοτε περὶ ὑμῶν,","
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Colossians 1:9,"Διὰ τοῦτο καὶ ἡμεῖς, ἀφʼ ἧς ἡμέρας ἠκούσαμεν, οὐ παυόμεθα ὑπὲρ ὑμῶν","καὶ αἰτούμενοι, ἵνα πληρωθῆτε τὴν ἐπίγνωσιν τοῦ θελήματος αὐτοῦ ἐν πάσῃ σοφίᾳ καὶ συνέσει πνευματικῇ,"
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Colossians 4:3,—,"ἅμα καὶ περὶ ἡμῶν, ἵνα ὁ θεὸς ἀνοίξῃ ἡμῖν θύραν τοῦ λόγου  λαλῆσαι"
προσευχόμενοι,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,plural,verb,Jude 20,"Ὑμεῖς δέ, ἀγαπητοί, ἐποικοδομοῦντες ἑαυτοὺς τῇ ἁγιωτάτῃ ὑμῶν πίστει, ἐν πνεύματι ἁγίῳ",","
προσευχόμενον,προσεύχομαι,present,either middle or passive,participle,—,neuter,nominative,singular,verb,Luke 1:10,καὶ πᾶν τὸ πλῆθος ἦν τοῦ λαοῦ,ἔξω τῇ ὥρᾳ τοῦ θυμιάματος.
προσευχόμενον,προσεύχομαι,present,either middle or passive,participle,—,masculine,accusative,singular,verb,Luke 9:18,Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν,"κατὰ μόνας συνῆσαν αὐτῷ οἱ μαθηταί, καὶ ἐπηρώτησεν αὐτοὺς λέγων· τίνα με λέγουσιν οἱ ὄχλοι εἶναι;"
προσευχόμενον,προσεύχομαι,present,either middle or passive,participle,—,masculine,accusative,singular,verb,Luke 11:1,Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν ἐν τόπῳ τινὶ,", ὡς ἐπαύσατο, εἶπέν τις τῶν μαθητῶν αὐτοῦ πρὸς αὐτόν· κύριε, δίδαξον ἡμᾶς προσεύχεσθαι"
προσευχόμενος,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,singular,verb,Matthew 26:39,Καὶ προελθὼν μικρὸν ἔπεσεν ἐπὶ πρόσωπον αὐτοῦ,"καὶ λέγων· πάτερ μου, εἰ δυνατόν ἐστιν, παρελθάτω ἀπʼ ἐμοῦ τὸ ποτήριον τοῦτο"
προσευχόμενος,προσεύχομαι,present,either middle or passive,participle,—,masculine,nominative,singular,verb,Luke 5:16,αὐτὸς δὲ ἦν ὑποχωρῶν ἐν ταῖς ἐρήμοις καὶ,.
