Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
προσεκύνει,προσκυνέω,imperfect,active,indicative,third person,—,—,singular,verb,Matthew 8:2,καὶ ἰδοὺ λεπρὸς προσελθὼν,"αὐτῷ λέγων· κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι."
προσεκύνει,προσκυνέω,imperfect,active,indicative,third person,—,—,singular,verb,Matthew 9:18,"Ταῦτα αὐτοῦ λαλοῦντος αὐτοῖς, ἰδοὺ ἄρχων εἷς ἐλθὼν",αὐτῷ λέγων ὅτι ἡ θυγάτηρ μου ἄρτι ἐτελεύτησεν· ἀλλʼ ἐλθὼν ἐπίθες τὴν χεῖρά
προσεκύνει,προσκυνέω,imperfect,active,indicative,third person,—,—,singular,verb,Matthew 15:25,ἡ δὲ ἐλθοῦσα,"αὐτῷ λέγουσα· κύριε, βοήθει μοι."
προσεκύνει,προσκυνέω,imperfect,active,indicative,third person,—,—,singular,verb,Matthew 18:26,πεσὼν οὖν ὁ δοῦλος,"αὐτῷ λέγων·  μακροθύμησον ἐπʼ ἐμοί, καὶ πάντα ἀποδώσω σοι."
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 2:11,"καὶ ἐλθόντες εἰς τὴν οἰκίαν εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ, καὶ πεσόντες","αὐτῷ καὶ ἀνοίξαντες τοὺς θησαυροὺς αὐτῶν προσήνεγκαν αὐτῷ δῶρα, χρυσὸν καὶ λίβανον καὶ σμύρναν."
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 14:33,οἱ δὲ ἐν τῷ πλοίῳ,αὐτῷ λέγοντες· ἀληθῶς θεοῦ υἱὸς εἶ.
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 28:9,καὶ ἰδοὺ  Ἰησοῦς ὑπήντησεν αὐταῖς λέγων· χαίρετε. αἱ δὲ προσελθοῦσαι ἐκράτησαν αὐτοῦ τοὺς πόδας καὶ,αὐτῷ.
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Matthew 28:17,καὶ ἰδόντες αὐτὸν,", οἱ δὲ ἐδίστασαν."
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,John 4:20,οἱ πατέρες ἡμῶν ἐν τῷ ὄρει τούτῳ,· καὶ ὑμεῖς λέγετε ὅτι ἐν Ἱεροσολύμοις ἐστὶν ὁ τόπος ὅπου προσκυνεῖν δεῖ.
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 5:14,καὶ τὰ τέσσαρα ζῷα ἔλεγον· ἀμήν. καὶ οἱ πρεσβύτεροι ἔπεσαν καὶ,.
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 7:11,τεσσάρων ζῴων καὶ ἔπεσαν ἐνώπιον τοῦ θρόνου  ἐπὶ τὰ πρόσωπα αὐτῶν καὶ,τῷ θεῷ
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 11:16,θεοῦ καθήμενοι ἐπὶ τοὺς θρόνους αὐτῶν ἔπεσαν ἐπὶ τὰ πρόσωπα αὐτῶν καὶ,τῷ θεῷ λέγοντες·
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 13:4,καὶ,"τῷ δράκοντι, ὅτι ἔδωκεν τὴν ἐξουσίαν τῷ θηρίῳ, καὶ προσεκύνησαν τῷ θηρίῳ λέγοντες"
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 13:4,"καὶ προσεκύνησαν τῷ δράκοντι, ὅτι ἔδωκεν τὴν ἐξουσίαν τῷ θηρίῳ, καὶ",τῷ θηρίῳ λέγοντες· τίς ὅμοιος τῷ θηρίῳ καὶ τίς δύναται πολεμῆσαι μετʼ αὐτοῦ;
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 19:4,καὶ ἔπεσαν οἱ πρεσβύτεροι οἱ εἴκοσι τέσσαρες καὶ τὰ τέσσαρα ζῷα καὶ,τῷ θεῷ τῷ καθημένῳ ἐπὶ τῷ θρόνῳ λέγοντες·      ἀμὴν ἁλληλουϊά.
προσεκύνησαν,προσκυνέω,aorist,active,indicative,third person,—,—,plural,verb,Revelation 20:4,τὴν μαρτυρίαν Ἰησοῦ καὶ διὰ τὸν λόγον τοῦ θεοῦ καὶ οἵτινες οὐ,τὸ θηρίον οὐδὲ τὴν εἰκόνα αὐτοῦ καὶ οὐκ ἔλαβον τὸ χάραγμα ἐπὶ τὸ
προσεκύνησεν,προσκυνέω,aorist,active,indicative,third person,—,—,singular,verb,Mark 5:6,Καὶ ἰδὼν τὸν Ἰησοῦν ἀπὸ μακρόθεν ἔδραμεν καὶ,αὐτῷ
προσεκύνησεν,προσκυνέω,aorist,active,indicative,third person,—,—,singular,verb,John 9:38,"ὁ δὲ ἔφη· πιστεύω, κύριε· καὶ",αὐτῷ.
προσεκύνησεν,προσκυνέω,aorist,active,indicative,third person,—,—,singular,verb,Acts 10:25,"Ὡς δὲ ἐγένετο τοῦ εἰσελθεῖν τὸν Πέτρον, συναντήσας αὐτῷ ὁ Κορνήλιος πεσὼν ἐπὶ τοὺς πόδας",.
