Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 21:12,—,"δὲ τούτων πάντων ἐπιβαλοῦσιν ἐφʼ ὑμᾶς τὰς χεῖρας αὐτῶν καὶ διώξουσιν, παραδιδόντες εἰς"
Πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 13:1,—,δὲ τῆς ἑορτῆς τοῦ πάσχα εἰδὼς ὁ Ἰησοῦς ὅτι ἦλθεν αὐτοῦ ἡ ὥρα
Πρὸ,πρό,—,—,—,—,—,—,—,preposition,Galatians 3:23,—,"τοῦ δὲ ἐλθεῖν τὴν πίστιν ὑπὸ νόμον ἐφρουρούμεθα συγκλειόμενοι εἰς τὴν μέλλουσαν πίστιν ἀποκαλυφθῆναι,"
Πρὸ,πρό,—,—,—,—,—,—,—,preposition,James 5:12,—,"πάντων δέ, ἀδελφοί μου, μὴ ὀμνύετε μήτε τὸν οὐρανὸν μήτε τὴν γῆν μήτε"
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Matthew 5:12,"χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς· οὕτως γὰρ ἐδίωξαν τοὺς προφήτας τοὺς",ὑμῶν.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Matthew 6:8,μὴ οὖν ὁμοιωθῆτε αὐτοῖς· οἶδεν γὰρ ὁ πατὴρ ὑμῶν ὧν χρείαν ἔχετε,τοῦ ὑμᾶς αἰτῆσαι αὐτόν.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Matthew 8:29,"καὶ ἰδοὺ ἔκραξαν λέγοντες· τί ἡμῖν καὶ σοί,  υἱὲ τοῦ θεοῦ; ἦλθες ὧδε",καιροῦ βασανίσαι ἡμᾶς;
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Matthew 11:10,οὗτός  ἐστιν περὶ οὗ γέγραπται·      ἰδοὺ ἐγὼ ἀποστέλλω τὸν ἄγγελόν μου,"προσώπου σου,        ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου."
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Matthew 24:38,ὡς γὰρ ἦσαν ἐν ταῖς ἡμέραις [ἐκείναις] ταῖς,"τοῦ κατακλυσμοῦ τρώγοντες καὶ πίνοντες, γαμοῦντες καὶ γαμίζοντες, ἄχρι ἧς ἡμέρας εἰσῆλθεν Νῶε εἰς τὴν κιβωτόν,"
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Mark 1:2,Καθὼς γέγραπται ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ·      ἰδοὺ ἀποστέλλω τὸν ἄγγελόν μου,"προσώπου σου,        ὃς κατασκευάσει τὴν ὁδόν σου·"
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 2:21,"αὐτὸν καὶ ἐκλήθη τὸ ὄνομα αὐτοῦ Ἰησοῦς, τὸ κληθὲν ὑπὸ τοῦ ἀγγέλου",τοῦ συλλημφθῆναι αὐτὸν ἐν τῇ κοιλίᾳ.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 7:27,οὗτός  ἐστιν περὶ οὗ γέγραπται·        ἰδοὺ ἀποστέλλω τὸν ἄγγελόν μου,"προσώπου σου,        ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου."
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 9:52,Καὶ ἀπέστειλεν ἀγγέλους,προσώπου αὐτοῦ. καὶ πορευθέντες εἰσῆλθον εἰς κώμην Σαμαριτῶν ὡς ἑτοιμάσαι αὐτῷ·
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 10:1,Μετὰ δὲ ταῦτα ἀνέδειξεν ὁ κύριος  ἑτέρους ἑβδομήκοντα [δύο] καὶ ἀπέστειλεν αὐτοὺς ἀνὰ δύο [δύο],προσώπου αὐτοῦ εἰς πᾶσαν πόλιν καὶ τόπον οὗ ἤμελλεν αὐτὸς ἔρχεσθαι.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 11:38,ὁ δὲ Φαρισαῖος ἰδὼν ἐθαύμασεν ὅτι οὐ πρῶτον ἐβαπτίσθη,τοῦ ἀρίστου.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Luke 22:15,καὶ εἶπεν πρὸς αὐτούς· ἐπιθυμίᾳ ἐπεθύμησα τοῦτο τὸ πάσχα φαγεῖν μεθʼ ὑμῶν,τοῦ με παθεῖν·
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 1:48,λέγει αὐτῷ Ναθαναήλ· πόθεν με γινώσκεις; ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ·,τοῦ σε Φίλιππον φωνῆσαι ὄντα ὑπὸ τὴν συκῆν εἶδόν σε.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 5:7,"ὕδωρ βάλῃ με εἰς τὴν κολυμβήθραν· ἐν ᾧ δὲ ἔρχομαι ἐγώ, ἄλλος",ἐμοῦ καταβαίνει.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 10:8,πάντες ὅσοι ἦλθον [,"ἐμοῦ] κλέπται εἰσὶν καὶ λῃσταί, ἀλλʼ οὐκ ἤκουσαν αὐτῶν τὰ πρόβατα."
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 11:55,"Ἦν δὲ ἐγγὺς τὸ πάσχα τῶν Ἰουδαίων,  καὶ ἀνέβησαν πολλοὶ εἰς Ἱεροσόλυμα ἐκ τῆς χώρας",τοῦ πάσχα ἵνα ἁγνίσωσιν ἑαυτούς.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 12:1,Ὁ οὖν Ἰησοῦς,"ἓξ ἡμερῶν τοῦ πάσχα ἦλθεν εἰς Βηθανίαν, ὅπου ἦν Λάζαρος , ὃν ἤγειρεν ἐκ νεκρῶν Ἰησοῦς."
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 13:19,ἀπʼ ἄρτι λέγω ὑμῖν,"τοῦ γενέσθαι, ἵνα πιστεύσητε ὅταν γένηται ὅτι ἐγώ εἰμι."
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 17:5,"καὶ νῦν δόξασόν με σύ, πάτερ, παρὰ σεαυτῷ τῇ δόξῃ ᾗ εἶχον",τοῦ τὸν κόσμον εἶναι παρὰ σοί.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,John 17:24,"ἵνα θεωρῶσιν τὴν δόξαν τὴν ἐμήν, ἣν δέδωκάς μοι ὅτι ἠγάπησάς με",καταβολῆς κόσμου.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 5:36,—,"γὰρ τούτων τῶν ἡμερῶν ἀνέστη Θευδᾶς λέγων εἶναί τινα ἑαυτόν, ᾧ προσεκλίθη ἀνδρῶν"
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 12:6,ἦν ὁ Πέτρος κοιμώμενος μεταξὺ δύο στρατιωτῶν δεδεμένος ἁλύσεσιν δυσὶν φύλακές τε,τῆς θύρας ἐτήρουν τὴν φυλακήν.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 12:14,"τῆς χαρᾶς οὐκ ἤνοιξεν τὸν πυλῶνα, εἰσδραμοῦσα δὲ ἀπήγγειλεν ἑστάναι τὸν Πέτρον",τοῦ πυλῶνος.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 13:24,προκηρύξαντος Ἰωάννου,προσώπου τῆς εἰσόδου αὐτοῦ βάπτισμα μετανοίας παντὶ τῷ λαῷ Ἰσραήλ.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 14:13,ὅ τε ἱερεὺς τοῦ Διὸς τοῦ ὄντος,τῆς πόλεως ταύρους καὶ στέμματα ἐπὶ τοὺς πυλῶνας ἐνέγκας σὺν τοῖς ὄχλοις ἤθελεν θύειν.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 21:38,οὐκ ἄρα σὺ εἶ ὁ Αἰγύπτιος ὁ,τούτων τῶν ἡμερῶν ἀναστατώσας καὶ ἐξαγαγὼν εἰς τὴν ἔρημον τοὺς τετρακισχιλίους ἄνδρας τῶν σικαρίων;
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Acts 23:15,αὐτὸν εἰς ὑμᾶς ὡς μέλλοντας διαγινώσκειν ἀκριβέστερον τὰ περὶ αὐτοῦ· ἡμεῖς δὲ,τοῦ ἐγγίσαι  αὐτὸν ἕτοιμοί ἐσμεν τοῦ ἀνελεῖν αὐτόν .
πρὸ,πρό,—,—,—,—,—,—,—,preposition,Romans 16:7,"ἀσπάσασθε Ἀνδρόνικον καὶ Ἰουνίαν τοὺς συγγενεῖς μου καὶ  συναιχμαλώτους μου, οἵτινές εἰσιν ἐπίσημοι ἐν τοῖς ἀποστόλοις, οἳ καὶ",ἐμοῦ γέγοναν ἐν Χριστῷ.
πρὸ,πρό,—,—,—,—,—,—,—,preposition,1 Corinthians 2:7,"ἀλλὰ λαλοῦμεν θεοῦ σοφίαν ἐν μυστηρίῳ τὴν ἀποκεκρυμμένην, ἣν προώρισεν ὁ θεὸς","τῶν αἰώνων εἰς δόξαν ἡμῶν,"
