Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πρός,πρός,—,—,—,—,—,—,—,preposition,Matthew 3:14,"ὁ δὲ Ἰωάννης διεκώλυεν αὐτὸν λέγων· ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι, καὶ σὺ ἔρχῃ",με;
πρός,πρός,—,—,—,—,—,—,—,preposition,Matthew 11:28,Δεῦτε,"με πάντες οἱ κοπιῶντες καὶ πεφορτισμένοι, κἀγὼ ἀναπαύσω ὑμᾶς."
πρός,πρός,—,—,—,—,—,—,—,preposition,Matthew 14:28,"Ἀποκριθεὶς δὲ αὐτῷ ὁ Πέτρος εἶπεν· κύριε, εἰ σὺ εἶ, κέλευσόν με ἐλθεῖν",σε ἐπὶ τὰ ὕδατα.
πρός,πρός,—,—,—,—,—,—,—,preposition,Matthew 19:14,ὁ δὲ Ἰησοῦς εἶπεν·  ἄφετε τὰ παιδία καὶ μὴ κωλύετε αὐτὰ ἐλθεῖν,"με, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τῶν οὐρανῶν."
πρός,πρός,—,—,—,—,—,—,—,preposition,Matthew 25:36,"γυμνὸς καὶ περιεβάλετέ με, ἠσθένησα καὶ ἐπεσκέψασθέ με, ἐν φυλακῇ ἤμην καὶ ἤλθατε",με.
πρός,πρός,—,—,—,—,—,—,—,preposition,Matthew 25:39,πότε δέ σε εἴδομεν ἀσθενοῦντα ἢ ἐν φυλακῇ καὶ ἤλθομεν,σε;
πρός,πρός,—,—,—,—,—,—,—,preposition,Mark 9:19,"ἄπιστος, ἕως πότε πρὸς ὑμᾶς ἔσομαι; ἕως πότε ἀνέξομαι ὑμῶν; φέρετε αὐτὸν",με.
πρός,πρός,—,—,—,—,—,—,—,preposition,Mark 10:14,ἰδὼν δὲ ὁ Ἰησοῦς ἠγανάκτησεν καὶ  εἶπεν αὐτοῖς· ἄφετε τὰ παιδία ἔρχεσθαι,"με, μὴ κωλύετε αὐτά, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
πρός,πρός,—,—,—,—,—,—,—,preposition,Luke 6:47,Πᾶς ὁ ἐρχόμενος,"με καὶ ἀκούων μου τῶν λόγων καὶ ποιῶν αὐτούς, ὑποδείξω ὑμῖν τίνι ἐστὶν ὅμοιος·"
πρός,πρός,—,—,—,—,—,—,—,preposition,Luke 11:6,ἐπειδὴ φίλος μου παρεγένετο ἐξ ὁδοῦ,με καὶ οὐκ ἔχω ὃ παραθήσω αὐτῷ·
πρός,πρός,—,—,—,—,—,—,—,preposition,Luke 14:26,εἴ τις ἔρχεται,με καὶ οὐ μισεῖ τὸν πατέρα ἑαυτοῦ καὶ τὴν μητέρα καὶ τὴν γυναῖκα
πρός,πρός,—,—,—,—,—,—,—,preposition,Luke 18:9,Εἶπεν δὲ καὶ,τινας τοὺς πεποιθότας ἐφʼ ἑαυτοῖς ὅτι εἰσὶν δίκαιοι καὶ ἐξουθενοῦντας τοὺς λοιποὺς τὴν παραβολὴν ταύτην·
πρός,πρός,—,—,—,—,—,—,—,preposition,Luke 18:16,ὁ δὲ Ἰησοῦς προσεκαλέσατο αὐτὰ λέγων· ἄφετε τὰ παιδία ἔρχεσθαι,"με καὶ μὴ κωλύετε αὐτά, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
πρός,πρός,—,—,—,—,—,—,—,preposition,John 5:40,καὶ οὐ θέλετε ἐλθεῖν,με ἵνα ζωὴν  ἔχητε.
πρός,πρός,—,—,—,—,—,—,—,preposition,John 6:44,οὐδεὶς δύναται ἐλθεῖν,"με ἐὰν μὴ ὁ πατὴρ  ὁ πέμψας με ἑλκύσῃ αὐτόν, κἀγὼ ἀναστήσω αὐτὸν ἐν τῇ ἐσχάτῃ ἡμέρᾳ."
πρός,πρός,—,—,—,—,—,—,—,preposition,John 6:65,καὶ ἔλεγεν· διὰ τοῦτο εἴρηκα ὑμῖν ὅτι οὐδεὶς δύναται ἐλθεῖν,με ἐὰν μὴ ᾖ δεδομένον αὐτῷ ἐκ τοῦ πατρός.
πρός,πρός,—,—,—,—,—,—,—,preposition,John 7:37,τῆς ἑορτῆς εἱστήκει ὁ Ἰησοῦς καὶ ἔκραξεν λέγων· ἐάν τις διψᾷ ἐρχέσθω,με καὶ πινέτω.
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 11:11,"Καὶ ἰδοὺ ἐξαυτῆς τρεῖς ἄνδρες ἐπέστησαν ἐπὶ τὴν οἰκίαν ἐν ᾗ ἦμεν, ἀπεσταλμένοι ἀπὸ Καισαρείας",με.
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 19:38,εἰ μὲν οὖν Δημήτριος καὶ οἱ σὺν αὐτῷ τεχνῖται ἔχουσιν,"τινα λόγον, ἀγοραῖοι ἄγονται καὶ ἀνθύπατοί εἰσιν, ἐγκαλείτωσαν ἀλλήλοις."
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 22:8,"ἐγὼ δὲ ἀπεκρίθην· τίς εἶ, κύριε; εἶπέν τε","με· ἐγώ εἰμι Ἰησοῦς ὁ Ναζωραῖος, ὃν σὺ διώκεις."
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 22:10,"εἶπον δέ· τί ποιήσω, κύριε; ὁ δὲ κύριος εἶπεν",με· ἀναστὰς πορεύου εἰς Δαμασκὸν κἀκεῖ σοι λαληθήσεται περὶ πάντων ὧν τέτακταί σοι ποιῆσαι.
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 22:13,ἐλθὼν,"με καὶ ἐπιστὰς εἶπέν μοι· Σαοὺλ ἀδελφέ, ἀνάβλεψον. κἀγὼ αὐτῇ τῇ ὥρᾳ ἀνέβλεψα εἰς αὐτόν."
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 22:21,καὶ εἶπεν,"με· πορεύου, ὅτι ἐγὼ εἰς ἔθνη μακρὰν ἐξαποστελῶ σε."
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 23:22,ὁ μὲν οὖν χιλίαρχος ἀπέλυσεν τὸν νεανίσκον παραγγείλας μηδενὶ ἐκλαλῆσαι ὅτι ταῦτα ἐνεφάνισας,με.
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 24:12,καὶ οὔτε ἐν τῷ ἱερῷ εὗρόν με,"τινα διαλεγόμενον ἢ ἐπίστασιν ποιοῦντα ὄχλου οὔτε ἐν ταῖς συναγωγαῖς οὔτε κατὰ τὴν πόλιν,"
πρός,πρός,—,—,—,—,—,—,—,preposition,Acts 26:14,πάντων τε καταπεσόντων ἡμῶν εἰς τὴν γῆν  ἤκουσα φωνὴν λέγουσαν,"με τῇ Ἑβραΐδι διαλέκτῳ· Σαοὺλ Σαούλ, τί με διώκεις; σκληρόν σοι πρὸς κέντρα λακτίζειν."
πρός,πρός,—,—,—,—,—,—,—,preposition,1 Corinthians 16:11,"μή τις οὖν αὐτὸν ἐξουθενήσῃ. προπέμψατε δὲ αὐτὸν ἐν εἰρήνῃ, ἵνα ἔλθῃ",με· ἐκδέχομαι γὰρ αὐτὸν μετὰ τῶν ἀδελφῶν.
πρός,πρός,—,—,—,—,—,—,—,preposition,Philippians 2:30,"ὅτι διὰ τὸ ἔργον Χριστοῦ μέχρι θανάτου ἤγγισεν παραβολευσάμενος τῇ ψυχῇ, ἵνα ἀναπληρώσῃ τὸ ὑμῶν ὑστέρημα τῆς",με λειτουργίας.
πρός,πρός,—,—,—,—,—,—,—,preposition,2 Timothy 4:9,Σπούδασον ἐλθεῖν,με ταχέως·
πρός,πρός,—,—,—,—,—,—,—,preposition,Titus 3:12,"Ὅταν πέμψω Ἀρτεμᾶν πρὸς σὲ ἢ Τύχικον, σπούδασον ἐλθεῖν","με εἰς Νικόπολιν, ἐκεῖ γὰρ κέκρικα παραχειμάσαι."
πρός,πρός,—,—,—,—,—,—,—,preposition,Colossians 3:13,ἀνεχόμενοι ἀλλήλων καὶ χαριζόμενοι ἑαυτοῖς ἐάν τις,"τινα ἔχῃ μομφήν· καθὼς καὶ ὁ κύριος ἐχαρίσατο ὑμῖν, οὕτως καὶ ὑμεῖς·"
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 2:12,Καὶ χρηματισθέντες κατʼ ὄναρ μὴ ἀνακάμψαι,"Ἡρῴδην, διʼ ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν."
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 3:5,Τότε ἐξεπορεύετο,"αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου,"
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 3:10,ἤδη δὲ  ἡ ἀξίνη,τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 3:13,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην,τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 3:15,ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν,"αὐτόν· ἄφες ἄρτι, οὕτως γὰρ πρέπον ἐστὶν ἡμῖν πληρῶσαι πᾶσαν δικαιοσύνην. τότε ἀφίησιν αὐτόν."
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 4:6,"ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ        καὶ ἐπὶ χειρῶν ἀροῦσίν σε,        μήποτε προσκόψῃς",λίθον τὸν πόδα σου.
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 5:28,ἐγὼ δὲ λέγω ὑμῖν ὅτι πᾶς ὁ βλέπων γυναῖκα,τὸ ἐπιθυμῆσαι αὐτὴν ἤδη ἐμοίχευσεν αὐτὴν ἐν τῇ καρδίᾳ αὐτοῦ.
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 6:1,Προσέχετε [δὲ] τὴν δικαιοσύνην ὑμῶν μὴ ποιεῖν ἔμπροσθεν τῶν ἀνθρώπων,"τὸ θεαθῆναι αὐτοῖς· εἰ δὲ μή γε, μισθὸν οὐκ ἔχετε παρὰ τῷ πατρὶ"
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 7:15,"Προσέχετε  ἀπὸ τῶν ψευδοπροφητῶν, οἵτινες ἔρχονται","ὑμᾶς ἐν ἐνδύμασιν προβάτων, ἔσωθεν δέ εἰσιν λύκοι ἅρπαγες."
πρὸς,πρός,—,—,—,—,—,—,—,preposition,Matthew 10:6,πορεύεσθε δὲ μᾶλλον,τὰ πρόβατα τὰ ἀπολωλότα οἴκου Ἰσραήλ.
