Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Matthew 10:15,"ἀμὴν λέγω ὑμῖν, ἀνεκτότερον ἔσται γῇ Σοδόμων καὶ Γομόρρων ἐν ἡμέρᾳ κρίσεως ἢ τῇ",ἐκείνῃ.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Matthew 10:23,Ὅταν δὲ διώκωσιν ὑμᾶς ἐν τῇ,"ταύτῃ φεύγετε εἰς τὴν ἑτέραν·  ἀμὴν γὰρ λέγω ὑμῖν, οὐ μὴ τελέσητε τὰς"
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 2:11,ὅτι ἐτέχθη ὑμῖν σήμερον σωτὴρ ὅς ἐστιν χριστὸς κύριος ἐν,Δαυίδ.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 7:37,καὶ ἰδοὺ γυνὴ ἥτις ἦν ἐν τῇ,"ἁμαρτωλός, καὶ ἐπιγνοῦσα ὅτι κατάκειται ἐν τῇ οἰκίᾳ τοῦ Φαρισαίου, κομίσασα ἀλάβαστρον μύρου"
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 10:12,λέγω  ὑμῖν ὅτι Σοδόμοις ἐν τῇ ἡμέρᾳ ἐκείνῃ ἀνεκτότερον ἔσται ἢ τῇ,ἐκείνῃ.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 18:2,λέγων· κριτής τις ἦν ἔν τινι,τὸν θεὸν μὴ φοβούμενος καὶ ἄνθρωπον μὴ ἐντρεπόμενος.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 18:3,χήρα δὲ ἦν ἐν τῇ,ἐκείνῃ καὶ ἤρχετο πρὸς αὐτὸν λέγουσα· ἐκδίκησόν με ἀπὸ τοῦ ἀντιδίκου μου.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 23:19,ὅστις ἦν διὰ στάσιν τινὰ γενομένην ἐν τῇ,καὶ φόνον βληθεὶς ἐν τῇ φυλακῇ.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Luke 24:49,καὶ [ἰδοὺ] ἐγὼ ἀποστέλλω τὴν ἐπαγγελίαν τοῦ πατρός μου ἐφʼ ὑμᾶς· ὑμεῖς δὲ καθίσατε ἐν τῇ,ἕως οὗ ἐνδύσησθε ἐξ ὕψους δύναμιν.
πόλει,πόλις,—,—,—,—,feminine,dative,singular,noun,Acts 4:27,συνήχθησαν γὰρ ἐπʼ ἀληθείας ἐν τῇ,"ταύτῃ ἐπὶ τὸν ἅγιον παῖδά σου Ἰησοῦν ὃν ἔχρισας, Ἡρῴδης τε καὶ Πόντιος"
