Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 7:12,—,"οὖν ὅσα ἐὰν θέλητε ἵνα ποιῶσιν ὑμῖν οἱ ἄνθρωποι, οὕτως καὶ ὑμεῖς ποιεῖτε"
Πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,Matthew 11:27,—,"μοι παρεδόθη ὑπὸ τοῦ πατρός μου,  καὶ οὐδεὶς ἐπιγινώσκει τὸν υἱὸν εἰ μὴ"
Πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Mark 16:8,"Καὶ ἐξελθοῦσαι ἔφυγον ἀπὸ τοῦ μνημείου, εἶχεν γὰρ αὐτὰς τρόμος καὶ ἔκστασις· καὶ οὐδενὶ οὐδὲν εἶπαν· ἐφοβοῦντο γάρ.",δὲ τὰ παρηγγελμένα τοῖς περὶ τὸν Πέτρον συντόμως ἐξήγγειλαν. Μετὰ δὲ ταῦτα καὶ
Πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,1 Corinthians 6:12,—,μοι ἔξεστιν ἀλλʼ οὐ πάντα συμφέρει· πάντα μοι ἔξεστιν ἀλλʼ οὐκ ἐγὼ ἐξουσιασθήσομαι ὑπό τινος.
Πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,1 Corinthians 10:23,—,ἔξεστιν ἀλλʼ οὐ πάντα συμφέρει· πάντα  ἔξεστιν ἀλλʼ οὐ πάντα οἰκοδομεῖ.
Πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Philippians 2:14,—,"ποιεῖτε χωρὶς γογγυσμῶν καὶ διαλογισμῶν,"
Πάντες,πᾶς,—,—,—,—,masculine,nominative,plural,adjective,Galatians 3:26,—,γὰρ υἱοὶ θεοῦ ἐστε διὰ τῆς πίστεως ἐν Χριστῷ Ἰησοῦ·
Πάντων,πᾶς,—,—,—,—,masculine,genitive,plural,adjective,Luke 9:43,ἐξεπλήσσοντο δὲ πάντες ἐπὶ τῇ μεγαλειότητι τοῦ θεοῦ.,δὲ θαυμαζόντων ἐπὶ πᾶσιν οἷς ἐποίει εἶπεν πρὸς τοὺς μαθητὰς αὐτοῦ·
Πάντων,πᾶς,—,—,—,—,neuter,genitive,plural,adjective,1 Peter 4:7,—,δὲ τὸ τέλος ἤγγικεν. σωφρονήσατε οὖν καὶ νήψατε εἰς  προσευχὰς
Παντὶ,πᾶς,—,—,—,—,masculine,dative,singular,adjective,Luke 6:30,—,"αἰτοῦντί σε δίδου, καὶ ἀπὸ τοῦ αἴροντος τὰ σὰ μὴ ἀπαίτει."
Πᾶν,πᾶς,—,—,—,—,neuter,accusative,singular,adjective,1 Corinthians 10:25,—,τὸ ἐν μακέλλῳ πωλούμενον ἐσθίετε μηδὲν ἀνακρίνοντες διὰ τὴν συνείδησιν·
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Matthew 7:24,—,"οὖν ὅστις ἀκούει μου τοὺς λόγους τούτους καὶ ποιεῖ αὐτούς, ὁμοιωθήσεται ἀνδρὶ φρονίμῳ"
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Matthew 10:32,—,"οὖν ὅστις ὁμολογήσει ἐν ἐμοὶ ἔμπροσθεν τῶν ἀνθρώπων, ὁμολογήσω κἀγὼ ἐν αὐτῷ ἔμπροσθεν"
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Mark 9:49,—,γὰρ πυρὶ ἁλισθήσεται.
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Luke 6:47,—,"ὁ ἐρχόμενος πρός με καὶ ἀκούων μου τῶν λόγων καὶ ποιῶν αὐτούς, ὑποδείξω ὑμῖν τίνι ἐστὶν ὅμοιος·"
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Luke 16:18,—,"ὁ ἀπολύων τὴν γυναῖκα αὐτοῦ καὶ γαμῶν ἑτέραν μοιχεύει, καὶ  ὁ ἀπολελυμένην ἀπὸ ἀνδρὸς γαμῶν μοιχεύει."
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Hebrews 5:1,—,"γὰρ ἀρχιερεὺς ἐξ ἀνθρώπων λαμβανόμενος ὑπὲρ ἀνθρώπων καθίσταται τὰ πρὸς τὸν θεόν, ἵνα"
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,Hebrews 8:3,—,γὰρ ἀρχιερεὺς εἰς τὸ προσφέρειν δῶρά τε καὶ θυσίας καθίσταται· ὅθεν ἀναγκαῖον ἔχειν
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,1 John 3:4,—,"ὁ ποιῶν τὴν ἁμαρτίαν καὶ τὴν ἀνομίαν ποιεῖ, καὶ ἡ ἁμαρτία ἐστὶν ἡ ἀνομία."
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,1 John 3:9,—,"ὁ γεγεννημένος ἐκ τοῦ θεοῦ ἁμαρτίαν οὐ ποιεῖ, ὅτι σπέρμα αὐτοῦ ἐν αὐτῷ"
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,1 John 5:1,—,"ὁ πιστεύων ὅτι Ἰησοῦς ἐστιν ὁ Χριστὸς ἐκ τοῦ θεοῦ γεγέννηται, καὶ πᾶς"
Πᾶς,πᾶς,—,—,—,—,masculine,nominative,singular,adjective,2 John 9,—,ὁ προάγων καὶ μὴ μένων ἐν τῇ διδαχῇ τοῦ Χριστοῦ θεὸν οὐκ ἔχει
Πᾶσα,πᾶς,—,—,—,—,feminine,nominative,singular,adjective,Romans 13:1,—,"ψυχὴ ἐξουσίαις ὑπερεχούσαις ὑποτασσέσθω. οὐ γὰρ ἔστιν ἐξουσία εἰ μὴ ὑπὸ θεοῦ, αἱ"
Πᾶσαι,πᾶς,—,—,—,—,feminine,nominative,plural,adjective,Matthew 1:17,—,"οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυὶδ ἕως"
Πᾶσαν,πᾶς,—,—,—,—,feminine,accusative,singular,adjective,James 1:2,—,"χαρὰν ἡγήσασθε, ἀδελφοί μου, ὅταν πειρασμοῖς περιπέσητε ποικίλοις,"
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 4:9,καὶ εἶπεν αὐτῷ· ταῦτά σοι,"δώσω, ἐὰν πεσὼν προσκυνήσῃς μοι."
πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,Matthew 5:18,"ἓν ἢ μία κεραία οὐ μὴ παρέλθῃ ἀπὸ τοῦ νόμου , ἕως ἂν",γένηται.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 6:32,—,γὰρ ταῦτα τὰ ἔθνη ἐπιζητοῦσιν· οἶδεν γὰρ ὁ πατὴρ ὑμῶν ὁ οὐράνιος ὅτι χρῄζετε τούτων ἁπάντων.
πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,Matthew 6:33,"ζητεῖτε δὲ πρῶτον τὴν βασιλείαν [τοῦ θεοῦ] καὶ τὴν δικαιοσύνην αὐτοῦ, καὶ ταῦτα",προστεθήσεται ὑμῖν.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 8:33,"οἱ δὲ βόσκοντες ἔφυγον, καὶ ἀπελθόντες εἰς τὴν πόλιν ἀπήγγειλαν",καὶ τὰ τῶν δαιμονιζομένων.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 13:34,ταῦτα,"ἐλάλησεν ὁ Ἰησοῦς ἐν παραβολαῖς τοῖς ὄχλοις καὶ χωρὶς παραβολῆς οὐδὲν ἐλάλει αὐτοῖς,"
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 13:41,"ἀποστελεῖ ὁ υἱὸς τοῦ ἀνθρώπου τοὺς ἀγγέλους αὐτοῦ, καὶ συλλέξουσιν ἐκ τῆς βασιλείας αὐτοῦ",τὰ σκάνδαλα καὶ τοὺς ποιοῦντας τὴν ἀνομίαν
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 13:44,"ὃν εὑρὼν ἄνθρωπος ἔκρυψεν, καὶ ἀπὸ τῆς χαρᾶς αὐτοῦ ὑπάγει καὶ πωλεῖ",ὅσα ἔχει καὶ ἀγοράζει τὸν ἀγρὸν ἐκεῖνον.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 13:46,εὑρὼν δὲ ἕνα πολύτιμον μαργαρίτην ἀπελθὼν πέπρακεν,ὅσα εἶχεν καὶ ἠγόρασεν αὐτόν.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 13:51,Συνήκατε ταῦτα,; λέγουσιν αὐτῷ· ναί.
πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,Matthew 13:56,καὶ αἱ ἀδελφαὶ αὐτοῦ οὐχὶ πᾶσαι πρὸς ἡμᾶς εἰσιν; πόθεν οὖν τούτῳ ταῦτα,;
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 17:11,ὁ δὲ  ἀποκριθεὶς εἶπεν· Ἠλίας μὲν ἔρχεται  καὶ ἀποκαταστήσει,·
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 18:25,μὴ ἔχοντος δὲ αὐτοῦ ἀποδοῦναι ἐκέλευσεν αὐτὸν ὁ κύριος πραθῆναι καὶ τὴν γυναῖκα  καὶ τὰ τέκνα καὶ,"ὅσα ἔχει, καὶ ἀποδοθῆναι."
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 18:26,"πεσὼν οὖν ὁ δοῦλος  προσεκύνει αὐτῷ λέγων·  μακροθύμησον ἐπʼ ἐμοί, καὶ",ἀποδώσω σοι.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 18:31,ἰδόντες οὖν οἱ σύνδουλοι αὐτοῦ τὰ γενόμενα ἐλυπήθησαν σφόδρα καὶ ἐλθόντες διεσάφησαν τῷ κυρίῳ ἑαυτῶν,τὰ γενόμενα.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 19:20,λέγει αὐτῷ ὁ νεανίσκος·,ταῦτα ἐφύλαξα· τί ἔτι ὑστερῶ;
πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,Matthew 19:26,"ἐμβλέψας δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· παρὰ ἀνθρώποις τοῦτο ἀδύνατόν ἐστιν, παρὰ δὲ θεῷ",δυνατά.
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 19:27,Τότε ἀποκριθεὶς ὁ Πέτρος εἶπεν αὐτῷ· ἰδοὺ ἡμεῖς ἀφήκαμεν,καὶ ἠκολουθήσαμέν σοι· τί ἄρα ἔσται ἡμῖν;
πάντα,πᾶς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 21:22,καὶ,ὅσα ἂν αἰτήσητε ἐν τῇ προσευχῇ πιστεύοντες λήμψεσθε.
πάντα,πᾶς,—,—,—,—,neuter,nominative,plural,adjective,Matthew 22:4,"τὸ ἄριστόν μου ἡτοίμακα, οἱ ταῦροί μου καὶ τὰ σιτιστὰ τεθυμένα καὶ",ἕτοιμα· δεῦτε εἰς τοὺς γάμους.
