Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Matthew 19:5,"τὴν μητέρα καὶ κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς",μίαν.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Mark 10:8,καὶ ἔσονται οἱ δύο εἰς,μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,John 6:52,Ἐμάχοντο οὖν πρὸς ἀλλήλους οἱ Ἰουδαῖοι λέγοντες· πῶς δύναται οὗτος ἡμῖν δοῦναι τὴν,[αὐτοῦ] φαγεῖν;
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,John 6:53,"εἶπεν οὖν αὐτοῖς ὁ Ἰησοῦς· ἀμὴν ἀμὴν λέγω ὑμῖν, ἐὰν μὴ φάγητε τὴν","τοῦ υἱοῦ τοῦ ἀνθρώπου καὶ πίητε αὐτοῦ τὸ αἷμα, οὐκ ἔχετε ζωὴν ἐν ἑαυτοῖς."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,John 6:54,ὁ τρώγων μου τὴν,"καὶ πίνων μου τὸ αἷμα ἔχει ζωὴν αἰώνιον, κἀγὼ ἀναστήσω αὐτὸν  τῇ ἐσχάτῃ ἡμέρᾳ."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,John 6:56,ὁ τρώγων μου τὴν,καὶ πίνων μου τὸ αἷμα ἐν ἐμοὶ μένει κἀγὼ ἐν αὐτῷ.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,John 8:15,ὑμεῖς κατὰ τὴν,"κρίνετε, ἐγὼ  οὐ κρίνω οὐδένα."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Acts 2:17,"καὶ ἔσται ἐν ταῖς ἐσχάταις ἡμέραις, λέγει ὁ θεός,      ἐκχεῶ ἀπὸ τοῦ πνεύματός μου ἐπὶ πᾶσαν",",        καὶ προφητεύσουσιν οἱ υἱοὶ ὑμῶν καὶ αἱ θυγατέρες ὑμῶν      καὶ οἱ νεανίσκοι ὑμῶν"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 1:3,περὶ τοῦ υἱοῦ αὐτοῦ τοῦ γενομένου ἐκ σπέρματος Δαυὶδ κατὰ,","
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 4:1,Τί οὖν ἐροῦμεν εὑρηκέναι Ἀβραὰμ τὸν προπάτορα ἡμῶν κατὰ,;
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 8:4,ἵνα τὸ δικαίωμα τοῦ νόμου πληρωθῇ ἐν ἡμῖν τοῖς μὴ κατὰ,περιπατοῦσιν ἀλλὰ κατὰ πνεῦμα.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 8:5,οἱ γὰρ κατὰ,"ὄντες τὰ τῆς σαρκὸς φρονοῦσιν, οἱ δὲ κατὰ πνεῦμα τὰ τοῦ πνεύματος."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 8:12,"Ἄρα οὖν, ἀδελφοί, ὀφειλέται ἐσμὲν οὐ τῇ σαρκὶ τοῦ κατὰ","ζῆν,"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 8:13,εἰ γὰρ κατὰ,"ζῆτε, μέλλετε ἀποθνῄσκειν· εἰ δὲ πνεύματι τὰς πράξεις τοῦ σώματος θανατοῦτε, ζήσεσθε."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 9:3,ηὐχόμην γὰρ ἀνάθεμα εἶναι αὐτὸς ἐγὼ ἀπὸ τοῦ Χριστοῦ ὑπὲρ τῶν ἀδελφῶν μου τῶν συγγενῶν μου κατὰ,","
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 9:5,ὧν οἱ πατέρες καὶ ἐξ ὧν ὁ Χριστὸς τὸ κατὰ,", ὁ ὢν ἐπὶ πάντων θεὸς εὐλογητὸς εἰς τοὺς αἰῶνας, ἀμήν."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Romans 11:14,εἴ πως παραζηλώσω μου τὴν,καὶ σώσω τινὰς ἐξ αὐτῶν.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,1 Corinthians 1:26,"Βλέπετε γὰρ τὴν κλῆσιν ὑμῶν, ἀδελφοί, ὅτι οὐ πολλοὶ σοφοὶ κατὰ",", οὐ πολλοὶ δυνατοί, οὐ πολλοὶ εὐγενεῖς·"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,1 Corinthians 6:16,"[ἢ] οὐκ οἴδατε ὅτι ὁ κολλώμενος τῇ πόρνῃ ἓν σῶμά ἐστιν; ἔσονται γάρ, φησίν, οἱ δύο εἰς",μίαν.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,1 Corinthians 10:18,βλέπετε τὸν Ἰσραὴλ κατὰ,· οὐχ οἱ ἐσθίοντες τὰς θυσίας κοινωνοὶ τοῦ θυσιαστηρίου εἰσίν;
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,2 Corinthians 1:17,τοῦτο οὖν βουλόμενος μήτι ἄρα τῇ ἐλαφρίᾳ ἐχρησάμην; ἢ ἃ βουλεύομαι κατὰ,"βουλεύομαι, ἵνα ᾖ παρʼ ἐμοὶ τὸ ναὶ ναὶ καὶ τὸ οὒ οὔ;"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,2 Corinthians 10:2,δέομαι δὲ τὸ μὴ παρὼν θαρρῆσαι τῇ πεποιθήσει ᾗ λογίζομαι τολμῆσαι ἐπί τινας τοὺς λογιζομένους ἡμᾶς ὡς κατὰ,περιπατοῦντας.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,2 Corinthians 10:3,Ἐν σαρκὶ γὰρ περιπατοῦντες οὐ κατὰ,"στρατευόμεθα,"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,2 Corinthians 11:18,ἐπεὶ πολλοὶ καυχῶνται κατὰ,", κἀγὼ καυχήσομαι."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Galatians 4:23,ἀλλʼ ὁ μὲν ἐκ τῆς παιδίσκης κατὰ,"γεγέννηται, ὁ δὲ ἐκ τῆς ἐλευθέρας διʼ ἐπαγγελίας."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Galatians 4:29,ἀλλʼ ὥσπερ τότε ὁ κατὰ,"γεννηθεὶς ἐδίωκεν τὸν κατὰ πνεῦμα, οὕτως καὶ νῦν."
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Galatians 5:24,οἱ δὲ τοῦ Χριστοῦ [Ἰησοῦ] τὴν,ἐσταύρωσαν σὺν τοῖς παθήμασιν καὶ ταῖς ἐπιθυμίαις.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Galatians 6:8,ὅτι ὁ σπείρων εἰς τὴν,"ἑαυτοῦ ἐκ τῆς σαρκὸς θερίσει φθοράν, ὁ δὲ σπείρων εἰς τὸ πνεῦμα ἐκ"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Ephesians 5:29,Οὐδεὶς γάρ ποτε τὴν ἑαυτοῦ,"ἐμίσησεν ἀλλʼ ἐκτρέφει καὶ θάλπει αὐτήν, καθὼς καὶ ὁ Χριστὸς τὴν ἐκκλησίαν,"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Ephesians 5:31,"μητέρα καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς",μίαν.
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Ephesians 6:5,"Οἱ δοῦλοι, ὑπακούετε τοῖς κατὰ","κυρίοις μετὰ φόβου καὶ τρόμου ἐν ἁπλότητι τῆς καρδίας ὑμῶν ὡς τῷ Χριστῷ,"
σάρκα,σάρξ,—,—,—,—,feminine,accusative,singular,noun,Colossians 3:22,"Οἱ δοῦλοι, ὑπακούετε κατὰ πάντα τοῖς κατὰ","κυρίοις, μὴ ἐν ὀφθαλμοδουλίᾳ ὡς ἀνθρωπάρεσκοι, ἀλλʼ ἐν ἁπλότητι καρδίας φοβούμενοι τὸν κύριον."
