Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
σημείοις,σημεῖον,—,—,—,—,neuter,dative,plural,noun,Acts 2:22,"Ναζωραῖον, ἄνδρα ἀποδεδειγμένον ἀπὸ τοῦ θεοῦ εἰς ὑμᾶς δυνάμεσιν καὶ τέρασιν καὶ","οἷς ἐποίησεν διʼ αὐτοῦ ὁ θεὸς ἐν μέσῳ ὑμῶν καθὼς αὐτοὶ οἴδατε,"
σημείοις,σημεῖον,—,—,—,—,neuter,dative,plural,noun,2 Corinthians 12:12,"τὰ μὲν σημεῖα τοῦ ἀποστόλου κατειργάσθη ἐν ὑμῖν ἐν πάσῃ ὑπομονῇ,",τε καὶ τέρασιν καὶ δυνάμεσιν.
σημείοις,σημεῖον,—,—,—,—,neuter,dative,plural,noun,2 Thessalonians 2:9,οὗ ἐστιν ἡ παρουσία κατʼ ἐνέργειαν τοῦ σατανᾶ ἐν πάσῃ δυνάμει καὶ,καὶ τέρασιν ψεύδους
σημείοις,σημεῖον,—,—,—,—,neuter,dative,plural,noun,Hebrews 2:4,συνεπιμαρτυροῦντος τοῦ θεοῦ,τε καὶ τέρασιν καὶ ποικίλαις δυνάμεσιν καὶ πνεύματος ἁγίου μερισμοῖς κατὰ τὴν αὐτοῦ θέλησιν;
σημείων,σημεῖον,—,—,—,—,neuter,genitive,plural,noun,Mark 16:20,"ἐκεῖνοι δὲ ἐξελθόντες ἐκήρυξαν πανταχοῦ, τοῦ κυρίου συνεργοῦντος καὶ τὸν λόγον βεβαιοῦντος διὰ τῶν ἐπακολουθούντων",.
σημείων,σημεῖον,—,—,—,—,neuter,genitive,plural,noun,John 2:11,Ταύτην ἐποίησεν ἀρχὴν τῶν,"ὁ Ἰησοῦς ἐν Κανὰ τῆς Γαλιλαίας καὶ ἐφανέρωσεν τὴν δόξαν αὐτοῦ, καὶ ἐπίστευσαν"
σημείων,σημεῖον,—,—,—,—,neuter,genitive,plural,noun,Romans 15:19,ἐν δυνάμει,"καὶ τεράτων, ἐν δυνάμει πνεύματος [θεοῦ]· ὥστε με ἀπὸ Ἰερουσαλὴμ καὶ κύκλῳ μέχρι"
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,Matthew 16:3,"καὶ πρωΐ· σήμερον χειμών, πυρράζει γὰρ στυγνάζων ὁ οὐρανός. τὸ μὲν πρόσωπον τοῦ οὐρανοῦ γινώσκετε διακρίνειν, τὰ δὲ",τῶν καιρῶν οὐ δύνασθε]
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,Matthew 24:24,ἐγερθήσονται γὰρ ψευδόχριστοι καὶ ψευδοπροφῆται καὶ δώσουσιν,"μεγάλα καὶ τέρατα ὥστε πλανῆσαι, εἰ δυνατόν, καὶ τοὺς ἐκλεκτούς."
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,Mark 13:22,ἐγερθήσονται γὰρ ψευδόχριστοι καὶ ψευδοπροφῆται καὶ δώσουσιν,"καὶ τέρατα πρὸς τὸ ἀποπλανᾶν, εἰ δυνατόν, τοὺς ἐκλεκτούς."
σημεῖα,σημεῖον,—,—,—,—,neuter,nominative,plural,noun,Mark 16:17,—,"δὲ τοῖς πιστεύσασιν ταῦτα παρακολουθήσει·  ἐν τῷ ὀνόματί μου δαιμόνια ἐκβαλοῦσιν, γλώσσαις λαλήσουσιν καιναῖς,"
σημεῖα,σημεῖον,—,—,—,—,neuter,nominative,plural,noun,Luke 21:11,"σεισμοί τε μεγάλοι καὶ κατὰ τόπους λιμοὶ καὶ λοιμοὶ ἔσονται, φόβητρά τε καὶ ἀπʼ οὐρανοῦ",μεγάλα ἔσται.
σημεῖα,σημεῖον,—,—,—,—,neuter,nominative,plural,noun,Luke 21:25,Καὶ ἔσονται,"ἐν ἡλίῳ καὶ σελήνῃ καὶ ἄστροις, καὶ ἐπὶ τῆς γῆς συνοχὴ ἐθνῶν ἐν"
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,John 2:23,"ἐν τῇ ἑορτῇ, πολλοὶ ἐπίστευσαν εἰς τὸ ὄνομα αὐτοῦ θεωροῦντες αὐτοῦ τὰ",ἃ ἐποίει·
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,John 3:2,"ῥαββί, οἴδαμεν ὅτι ἀπὸ θεοῦ ἐλήλυθας διδάσκαλος· οὐδεὶς γὰρ δύναται ταῦτα τὰ","ποιεῖν ἃ σὺ ποιεῖς, ἐὰν μὴ ᾖ ὁ θεὸς μετʼ αὐτοῦ."
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,John 4:48,εἶπεν οὖν ὁ Ἰησοῦς πρὸς αὐτόν· ἐὰν μὴ,"καὶ τέρατα ἴδητε, οὐ μὴ πιστεύσητε."
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,John 6:2,"ἠκολούθει δὲ αὐτῷ ὄχλος πολύς, ὅτι ἐθεώρουν τὰ",ἃ ἐποίει ἐπὶ τῶν ἀσθενούντων.
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,John 6:26,"Ἀπεκρίθη αὐτοῖς ὁ Ἰησοῦς καὶ εἶπεν· ἀμὴν ἀμὴν λέγω ὑμῖν, ζητεῖτέ με οὐχ ὅτι εἴδετε",", ἀλλʼ ὅτι ἐφάγετε ἐκ τῶν ἄρτων καὶ ἐχορτάσθητε."
σημεῖα,σημεῖον,—,—,—,—,neuter,accusative,plural,noun,John 7:31,Ἐκ τοῦ ὄχλου δὲ πολλοὶ ἐπίστευσαν εἰς αὐτὸν καὶ ἔλεγον· ὁ χριστὸς ὅταν ἔλθῃ μὴ πλείονα,ποιήσει ὧν οὗτος ἐποίησεν;
