Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
σπαρέντες,σπείρω,aorist,passive,participle,—,masculine,nominative,plural,verb,Mark 4:20,καὶ ἐκεῖνοί εἰσιν οἱ ἐπὶ τὴν γῆν τὴν καλὴν,", οἵτινες ἀκούουσιν τὸν λόγον καὶ παραδέχονται καὶ καρποφοροῦσιν ἓν τριάκοντα καὶ ἓν ἑξήκοντα καὶ ἓν ἑκατόν."
σπαρείς,σπείρω,aorist,passive,participle,—,masculine,nominative,singular,verb,Matthew 13:19,"τὸ ἐσπαρμένον ἐν τῇ καρδίᾳ αὐτοῦ, οὗτός ἐστιν ὁ παρὰ τὴν ὁδὸν",.
σπαρείς,σπείρω,aorist,passive,participle,—,masculine,nominative,singular,verb,Matthew 13:20,ὁ δὲ ἐπὶ τὰ πετρώδη,", οὗτός ἐστιν ὁ τὸν λόγον ἀκούων καὶ εὐθὺς μετὰ χαρᾶς λαμβάνων αὐτόν,"
σπαρείς,σπείρω,aorist,passive,participle,—,masculine,nominative,singular,verb,Matthew 13:22,ὁ δὲ εἰς τὰς ἀκάνθας,", οὗτός ἐστιν ὁ τὸν λόγον ἀκούων, καὶ ἡ μέριμνα τοῦ αἰῶνος  καὶ ἡ"
σπαρείς,σπείρω,aorist,passive,participle,—,masculine,nominative,singular,verb,Matthew 13:23,ὁ δὲ ἐπὶ τὴν καλὴν γῆν,", οὗτός ἐστιν ὁ τὸν λόγον ἀκούων καὶ συνιείς, ὃς δὴ καρποφορεῖ καὶ ποιεῖ"
σπαρῇ,σπείρω,aorist,passive,subjunctive,third person,—,—,singular,verb,Mark 4:31,"ὡς κόκκῳ σινάπεως, ὃς ὅταν","ἐπὶ τῆς γῆς, μικρότερον ὂν πάντων τῶν σπερμάτων τῶν ἐπὶ τῆς γῆς,"
σπαρῇ,σπείρω,aorist,passive,subjunctive,third person,—,—,singular,verb,Mark 4:32,καὶ ὅταν,", ἀναβαίνει καὶ γίνεται μεῖζον πάντων τῶν λαχάνων καὶ ποιεῖ κλάδους μεγάλους, ὥστε δύνασθαι"
σπείραντι,σπείρω,aorist,active,participle,—,masculine,dative,singular,verb,Matthew 13:24,Ἄλλην παραβολὴν παρέθηκεν αὐτοῖς λέγων· ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ,καλὸν σπέρμα ἐν τῷ ἀγρῷ αὐτοῦ.
σπείραντος,σπείρω,aorist,active,participle,—,masculine,genitive,singular,verb,Matthew 13:18,Ὑμεῖς οὖν ἀκούσατε τὴν παραβολὴν τοῦ,.
σπείρας,σπείρω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 13:39,ὁ δὲ ἐχθρὸς ὁ,"αὐτά ἐστιν ὁ διάβολος, ὁ δὲ θερισμὸς συντέλεια  αἰῶνός ἐστιν, οἱ δὲ θερισταὶ ἄγγελοί εἰσιν."
σπείρει,σπείρω,present,active,indicative,third person,—,—,singular,verb,Mark 4:14,ὁ σπείρων τὸν λόγον,.
σπείρειν,σπείρω,present,active,infinitive,—,—,—,—,verb,Matthew 13:3,Καὶ ἐλάλησεν αὐτοῖς πολλὰ ἐν παραβολαῖς λέγων· ἰδοὺ ἐξῆλθεν ὁ σπείρων τοῦ,.
σπείρειν,σπείρω,present,active,infinitive,—,—,—,—,verb,Matthew 13:4,καὶ ἐν τῷ,"αὐτὸν ἃ μὲν ἔπεσεν παρὰ τὴν ὁδόν, καὶ ἐλθόντα τὰ πετεινὰ   κατέφαγεν αὐτά."
σπείρειν,σπείρω,present,active,infinitive,—,—,—,—,verb,Mark 4:4,καὶ ἐγένετο ἐν τῷ,"ὃ μὲν ἔπεσεν παρὰ τὴν ὁδόν, καὶ ἦλθεν τὰ πετεινὰ καὶ κατέφαγεν αὐτό."
σπείρειν,σπείρω,present,active,infinitive,—,—,—,—,verb,Luke 8:5,ἐξῆλθεν ὁ σπείρων τοῦ σπεῖραι τὸν σπόρον αὐτοῦ. καὶ ἐν τῷ,"αὐτὸν ὃ μὲν ἔπεσεν παρὰ τὴν ὁδὸν καὶ κατεπατήθη, καὶ τὰ πετεινὰ τοῦ οὐρανοῦ κατέφαγεν αὐτό."
σπείρεις,σπείρω,present,active,indicative,second person,—,—,singular,verb,1 Corinthians 15:36,"ἄφρων, σὺ ὃ",", οὐ ζῳοποιεῖται ἐὰν μὴ ἀποθάνῃ·"
