Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
συναγωγάς,συναγωγή,—,—,—,—,feminine,accusative,plural,noun,Acts 9:2,ᾐτήσατο παρʼ αὐτοῦ ἐπιστολὰς εἰς Δαμασκὸν πρὸς τὰς,", ὅπως ἐάν τινας εὕρῃ τῆς ὁδοῦ ὄντας, ἄνδρας τε καὶ γυναῖκας, δεδεμένους ἀγάγῃ εἰς Ἰερουσαλήμ."
συναγωγήν,συναγωγή,—,—,—,—,feminine,accusative,singular,noun,Mark 3:1,Καὶ εἰσῆλθεν πάλιν εἰς τὴν,. καὶ ἦν ἐκεῖ ἄνθρωπος ἐξηραμμένην ἔχων τὴν χεῖρα.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 4:23,Καὶ περιῆγεν ἐν ὅλῃ τῇ Γαλιλαίᾳ διδάσκων ἐν ταῖς,αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 6:2,"Ὅταν οὖν ποιῇς ἐλεημοσύνην, μὴ σαλπίσῃς ἔμπροσθέν σου, ὥσπερ οἱ ὑποκριταὶ ποιοῦσιν ἐν ταῖς","καὶ ἐν ταῖς ῥύμαις, ὅπως δοξασθῶσιν ὑπὸ τῶν ἀνθρώπων· ἀμὴν  λέγω ὑμῖν, ἀπέχουσιν τὸν μισθὸν αὐτῶν."
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 6:5,"Καὶ ὅταν προσεύχησθε, οὐκ ἔσεσθε ὡς οἱ ὑποκριταί, ὅτι φιλοῦσιν  ἐν ταῖς","καὶ ἐν ταῖς γωνίαις τῶν πλατειῶν ἑστῶτες προσεύχεσθαι, ὅπως  φανῶσιν τοῖς ἀνθρώποις· ἀμὴν"
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 9:35,Καὶ περιῆγεν ὁ Ἰησοῦς τὰς πόλεις πάσας καὶ τὰς κώμας διδάσκων ἐν ταῖς,αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 10:17,Προσέχετε δὲ ἀπὸ τῶν ἀνθρώπων· παραδώσουσιν γὰρ ὑμᾶς εἰς συνέδρια καὶ ἐν ταῖς,αὐτῶν μαστιγώσουσιν ὑμᾶς·
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 23:6,φιλοῦσιν δὲ τὴν πρωτοκλισίαν ἐν τοῖς δείπνοις καὶ τὰς πρωτοκαθεδρίας ἐν ταῖς,""
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Matthew 23:34,γραμματεῖς·  ἐξ αὐτῶν ἀποκτενεῖτε καὶ σταυρώσετε καὶ ἐξ αὐτῶν μαστιγώσετε ἐν ταῖς,ὑμῶν καὶ διώξετε ἀπὸ πόλεως εἰς πόλιν·
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Mark 12:39,καὶ πρωτοκαθεδρίας ἐν ταῖς,"καὶ πρωτοκλισίας ἐν τοῖς δείπνοις,"
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Luke 4:15,καὶ αὐτὸς ἐδίδασκεν ἐν ταῖς,αὐτῶν δοξαζόμενος ὑπὸ πάντων.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Luke 11:43,"Οὐαὶ ὑμῖν τοῖς Φαρισαίοις, ὅτι ἀγαπᾶτε τὴν πρωτοκαθεδρίαν ἐν ταῖς",καὶ τοὺς ἀσπασμοὺς ἐν ταῖς ἀγοραῖς.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Luke 20:46,ἐν στολαῖς καὶ φιλούντων ἀσπασμοὺς ἐν ταῖς ἀγοραῖς καὶ πρωτοκαθεδρίας ἐν ταῖς,"καὶ πρωτοκλισίας ἐν τοῖς δείπνοις,"
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Acts 9:20,καὶ εὐθέως ἐν ταῖς,ἐκήρυσσεν  τὸν Ἰησοῦν ὅτι οὗτός ἐστιν ὁ υἱὸς τοῦ θεοῦ.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Acts 13:5,καὶ γενόμενοι ἐν Σαλαμῖνι κατήγγελλον τὸν λόγον τοῦ θεοῦ ἐν ταῖς,τῶν Ἰουδαίων. εἶχον δὲ καὶ Ἰωάννην ὑπηρέτην.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Acts 15:21,Μωϋσῆς γὰρ ἐκ γενεῶν ἀρχαίων κατὰ πόλιν τοὺς κηρύσσοντας αὐτὸν ἔχει ἐν ταῖς,κατὰ πᾶν σάββατον ἀναγινωσκόμενος.
συναγωγαῖς,συναγωγή,—,—,—,—,feminine,dative,plural,noun,Acts 24:12,καὶ οὔτε ἐν τῷ ἱερῷ εὗρόν με πρός τινα διαλεγόμενον ἢ ἐπίστασιν ποιοῦντα ὄχλου οὔτε ἐν ταῖς,"οὔτε κατὰ τὴν πόλιν,"
συναγωγὰς,συναγωγή,—,—,—,—,feminine,accusative,plural,noun,Mark 1:39,Καὶ ἦλθεν κηρύσσων εἰς τὰς,αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια ἐκβάλλων.
