Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
σύν,σύν,—,—,—,—,—,—,—,preposition,Acts 25:23,Τῇ οὖν ἐπαύριον ἐλθόντος τοῦ Ἀγρίππα καὶ τῆς Βερνίκης μετὰ πολλῆς φαντασίας καὶ εἰσελθόντων εἰς τὸ ἀκροατήριον,τε χιλιάρχοις καὶ ἀνδράσιν τοῖς κατʼ ἐξοχὴν τῆς πόλεως καὶ κελεύσαντος τοῦ Φήστου ἤχθη ὁ Παῦλος.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Matthew 25:27,"ἔδει σε οὖν βαλεῖν τὰ ἀργύριά μου τοῖς τραπεζίταις, καὶ ἐλθὼν ἐγὼ ἐκομισάμην ἂν τὸ ἐμὸν",τόκῳ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Matthew 26:35,λέγει αὐτῷ ὁ Πέτρος· κἂν δέῃ με,"σοὶ ἀποθανεῖν, οὐ μή σε ἀπαρνήσομαι. ὁμοίως καὶ πάντες οἱ μαθηταὶ εἶπαν."
σὺν,σύν,—,—,—,—,—,—,—,preposition,Matthew 27:38,Τότε σταυροῦνται,"αὐτῷ δύο λῃσταί, εἷς ἐκ δεξιῶν  καὶ εἷς ἐξ εὐωνύμων ."
σὺν,σύν,—,—,—,—,—,—,—,preposition,Matthew 27:44,Τὸ δʼ αὐτὸ καὶ οἱ λῃσταὶ οἱ συσταυρωθέντες,αὐτῷ ὠνείδιζον αὐτόν.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Mark 2:26,"οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ τοὺς ἱερεῖς, καὶ ἔδωκεν καὶ τοῖς",αὐτῷ οὖσιν;
σὺν,σύν,—,—,—,—,—,—,—,preposition,Mark 4:10,"Καὶ ὅτε ἐγένετο κατὰ μόνας, ἠρώτων αὐτὸν οἱ περὶ αὐτὸν",τοῖς δώδεκα τὰς παραβολάς.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Mark 8:34,Καὶ προσκαλεσάμενος τὸν ὄχλον,"τοῖς μαθηταῖς αὐτοῦ εἶπεν αὐτοῖς· εἴ τις θέλει ὀπίσω μου ἀκολουθεῖν, ἀπαρνησάσθω ἑαυτὸν"
σὺν,σύν,—,—,—,—,—,—,—,preposition,Mark 9:4,καὶ ὤφθη αὐτοῖς Ἠλίας,Μωϋσεῖ καὶ ἦσαν συλλαλοῦντες τῷ Ἰησοῦ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Mark 15:27,Καὶ,"αὐτῷ σταυροῦσιν δύο λῃστάς, ἕνα ἐκ δεξιῶν  καὶ ἕνα ἐξ εὐωνύμων αὐτοῦ ."
σὺν,σύν,—,—,—,—,—,—,—,preposition,Mark 15:32,"ὁ χριστὸς ὁ βασιλεὺς Ἰσραὴλ καταβάτω νῦν ἀπὸ τοῦ σταυροῦ, ἵνα ἴδωμεν καὶ πιστεύσωμεν. καὶ οἱ συνεσταυρωμένοι",αὐτῷ ὠνείδιζον αὐτόν.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 1:56,Ἔμεινεν δὲ Μαριὰμ,"αὐτῇ ὡς μῆνας τρεῖς, καὶ ὑπέστρεψεν εἰς τὸν οἶκον αὐτῆς."
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 2:5,ἀπογράψασθαι,"Μαριὰμ τῇ ἐμνηστευμένῃ αὐτῷ, οὔσῃ ἐγκύῳ."
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 2:13,καὶ ἐξαίφνης ἐγένετο,τῷ ἀγγέλῳ πλῆθος στρατιᾶς οὐρανίου αἰνούντων τὸν θεὸν καὶ λεγόντων·
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 5:9,θάμβος γὰρ περιέσχεν αὐτὸν καὶ πάντας τοὺς,"αὐτῷ ἐπὶ τῇ ἄγρᾳ τῶν ἰχθύων ὧν συνέλαβον,"
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 5:19,"καὶ μὴ εὑρόντες ποίας εἰσενέγκωσιν αὐτὸν διὰ τὸν ὄχλον, ἀναβάντες ἐπὶ τὸ δῶμα διὰ τῶν κεράμων καθῆκαν αὐτὸν",τῷ κλινιδίῳ εἰς τὸ μέσον ἔμπροσθεν τοῦ Ἰησοῦ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 7:6,ὁ δὲ Ἰησοῦς ἐπορεύετο,αὐτοῖς. ἤδη δὲ αὐτοῦ οὐ μακρὰν ἀπέχοντος ἀπὸ τῆς οἰκίας ἔπεμψεν  φίλους ὁ
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 7:12,"μητρὶ αὐτοῦ καὶ αὐτὴ ἦν χήρα, καὶ ὄχλος τῆς πόλεως ἱκανὸς ἦν",αὐτῇ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 8:1,καὶ κώμην κηρύσσων καὶ εὐαγγελιζόμενος τὴν βασιλείαν τοῦ θεοῦ καὶ οἱ δώδεκα,"αὐτῷ,"
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 8:38,ἐδεῖτο δὲ αὐτοῦ ὁ ἀνὴρ ἀφʼ οὗ ἐξεληλύθει τὰ δαιμόνια εἶναι,αὐτῷ· ἀπέλυσεν δὲ αὐτὸν λέγων·
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 8:51,ἐλθὼν δὲ εἰς τὴν οἰκίαν οὐκ ἀφῆκεν εἰσελθεῖν τινα,αὐτῷ εἰ μὴ Πέτρον καὶ Ἰωάννην καὶ Ἰάκωβον καὶ τὸν πατέρα τῆς παιδὸς καὶ τὴν μητέρα.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 9:32,ὁ δὲ Πέτρος καὶ οἱ,αὐτῷ ἦσαν βεβαρημένοι ὕπνῳ· διαγρηγορήσαντες δὲ εἶδον τὴν δόξαν αὐτοῦ καὶ τοὺς δύο ἄνδρας τοὺς συνεστῶτας αὐτῷ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 19:23,καὶ διὰ τί οὐκ ἔδωκάς μου τὸ ἀργύριον ἐπὶ τράπεζαν; κἀγὼ ἐλθὼν,τόκῳ ἂν αὐτὸ ἔπραξα.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 20:1,λαὸν ἐν τῷ ἱερῷ καὶ εὐαγγελιζομένου ἐπέστησαν οἱ ἀρχιερεῖς καὶ οἱ γραμματεῖς,τοῖς πρεσβυτέροις
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 22:14,"Καὶ ὅτε ἐγένετο ἡ ὥρα, ἀνέπεσεν καὶ οἱ ἀπόστολοι",αὐτῷ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 22:56,ἰδοῦσα δὲ αὐτὸν παιδίσκη τις καθήμενον πρὸς τὸ φῶς καὶ ἀτενίσασα αὐτῷ εἶπεν· καὶ οὗτος,αὐτῷ ἦν.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 23:11,ἐξουθενήσας δὲ αὐτὸν [καὶ] ὁ Ἡρῴδης,τοῖς στρατεύμασιν αὐτοῦ καὶ ἐμπαίξας περιβαλὼν ἐσθῆτα λαμπρὰν ἀνέπεμψεν αὐτὸν τῷ Πιλάτῳ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 23:32,Ἤγοντο δὲ καὶ ἕτεροι κακοῦργοι δύο,αὐτῷ  ἀναιρεθῆναι.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 24:10,ἦσαν δὲ ἡ Μαγδαληνὴ Μαρία καὶ Ἰωάννα καὶ Μαρία ἡ Ἰακώβου καὶ αἱ λοιπαὶ,"αὐταῖς. ἔλεγον πρὸς τοὺς ἀποστόλους ταῦτα,"
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 24:21,ἡμεῖς δὲ ἠλπίζομεν ὅτι αὐτός ἐστιν ὁ μέλλων λυτροῦσθαι τὸν Ἰσραήλ· ἀλλά γε καὶ,πᾶσιν τούτοις τρίτην ταύτην ἡμέραν ἄγει  ἀφʼ οὗ ταῦτα ἐγένετο.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 24:24,καὶ ἀπῆλθόν τινες τῶν,"ἡμῖν ἐπὶ τὸ μνημεῖον καὶ εὗρον οὕτως καθὼς καὶ αἱ γυναῖκες εἶπον, αὐτὸν δὲ οὐκ εἶδον."
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 24:29,πρὸς ἑσπέραν ἐστὶν καὶ κέκλικεν ἤδη ἡ ἡμέρα. καὶ εἰσῆλθεν τοῦ μεῖναι,αὐτοῖς.
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 24:33,Καὶ ἀναστάντες  αὐτῇ τῇ ὥρᾳ ὑπέστρεψαν εἰς Ἰερουσαλὴμ καὶ εὗρον ἠθροισμένους τοὺς ἕνδεκα καὶ τοὺς,"αὐτοῖς,"
σὺν,σύν,—,—,—,—,—,—,—,preposition,Luke 24:44,Εἶπεν δὲ πρὸς αὐτούς· οὗτοι οἱ λόγοι μου οὓς ἐλάλησα πρὸς ὑμᾶς ἔτι ὢν,"ὑμῖν, ὅτι δεῖ πληρωθῆναι πάντα τὰ γεγραμμένα ἐν τῷ νόμῳ Μωϋσέως καὶ τοῖς"
σὺν,σύν,—,—,—,—,—,—,—,preposition,John 12:2,"ἐποίησαν οὖν αὐτῷ δεῖπνον ἐκεῖ, καὶ ἡ Μάρθα διηκόνει, ὁ δὲ Λάζαρος εἷς ἦν ἐκ τῶν ἀνακειμένων",αὐτῷ.
σὺν,σύν,—,—,—,—,—,—,—,preposition,John 18:1,Ταῦτα εἰπὼν  Ἰησοῦς ἐξῆλθεν,"τοῖς μαθηταῖς αὐτοῦ πέραν τοῦ χειμάρρου τοῦ Κεδρὼν ὅπου ἦν κῆπος, εἰς ὃν"
