Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Τριῶν,τρεῖς,—,—,—,—,feminine,genitive,plural,adjective,Acts 28:15,κἀκεῖθεν οἱ ἀδελφοὶ ἀκούσαντες τὰ περὶ ἡμῶν ἦλθαν εἰς ἀπάντησιν ἡμῖν ἄχρι Ἀππίου φόρου καὶ,"ταβερνῶν, οὓς ἰδὼν ὁ Παῦλος εὐχαριστήσας τῷ θεῷ ἔλαβεν θάρσος."
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Matthew 13:33,"Ἄλλην παραβολὴν ἐλάλησεν αὐτοῖς· ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν ζύμῃ, ἣν λαβοῦσα γυνὴ ἐνέκρυψεν εἰς ἀλεύρου σάτα",ἕως οὗ ἐζυμώθη ὅλον.
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Luke 4:25,"ταῖς ἡμέραις Ἠλίου ἐν τῷ Ἰσραήλ, ὅτε ἐκλείσθη ὁ οὐρανὸς ἐπὶ ἔτη","καὶ μῆνας ἕξ, ὡς ἐγένετο λιμὸς μέγας ἐπὶ πᾶσαν τὴν γῆν,"
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Luke 13:7,εἶπεν δὲ πρὸς τὸν ἀμπελουργόν· ἰδοὺ,ἔτη ἀφʼ οὗ ἔρχομαι ζητῶν καρπὸν ἐν τῇ συκῇ ταύτῃ καὶ οὐχ εὑρίσκω
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Luke 13:21,"ὁμοία ἐστὶν ζύμῃ, ἣν λαβοῦσα γυνὴ ἐνέκρυψεν εἰς ἀλεύρου σάτα",ἕως οὗ ἐζυμώθη ὅλον.
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Acts 17:2,κατὰ δὲ τὸ εἰωθὸς τῷ Παύλῳ εἰσῆλθεν πρὸς αὐτοὺς καὶ ἐπὶ σάββατα,"διελέξατο αὐτοῖς ἀπὸ τῶν γραφῶν,"
τρία,τρεῖς,—,—,—,—,neuter,nominative,plural,adjective,1 Corinthians 13:13,"Νυνὶ δὲ μένει πίστις, ἐλπίς, ἀγάπη, τὰ",ταῦτα· μείζων δὲ τούτων ἡ ἀγάπη.
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Galatians 1:18,Ἔπειτα μετὰ ἔτη,"ἀνῆλθον εἰς Ἱεροσόλυμα ἱστορῆσαι Κηφᾶν καὶ ἐπέμεινα πρὸς αὐτὸν ἡμέρας δεκαπέντε,"
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Revelation 16:13,ἐκ τοῦ στόματος τοῦ θηρίου καὶ ἐκ τοῦ στόματος τοῦ ψευδοπροφήτου πνεύματα,ἀκάθαρτα ὡς βάτραχοι·
τρία,τρεῖς,—,—,—,—,neuter,accusative,plural,adjective,Revelation 16:19,καὶ ἐγένετο ἡ πόλις ἡ μεγάλη εἰς,μέρη καὶ αἱ πόλεις  τῶν ἐθνῶν ἔπεσαν. καὶ Βαβυλὼν ἡ μεγάλη ἐμνήσθη ἐνώπιον
