Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
τυφλέ,τυφλός,—,—,—,—,masculine,vocative,singular,adjective,Matthew 23:26,Φαρισαῖε,", καθάρισον πρῶτον τὸ ἐντὸς τοῦ ποτηρίου , ἵνα γένηται καὶ τὸ ἐκτὸς αὐτοῦ καθαρόν."
τυφλοί,τυφλός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 9:28,ἐλθόντι δὲ εἰς τὴν οἰκίαν προσῆλθον αὐτῷ οἱ,", καὶ λέγει αὐτοῖς ὁ Ἰησοῦς· πιστεύετε ὅτι δύναμαι τοῦτο ποιῆσαι; λέγουσιν αὐτῷ· ναὶ κύριε."
τυφλοί,τυφλός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 15:14,ἄφετε αὐτούς·,"εἰσιν ὁδηγοὶ [τυφλῶν]· τυφλὸς δὲ τυφλὸν ἐὰν ὁδηγῇ, ἀμφότεροι εἰς βόθυνον πεσοῦνται."
τυφλοί,τυφλός,—,—,—,—,masculine,vocative,plural,adjective,Matthew 23:17,μωροὶ καὶ,", τίς γὰρ μείζων ἐστίν, ὁ χρυσὸς ἢ ὁ ναὸς ὁ ἁγιάσας τὸν χρυσόν;"
τυφλοί,τυφλός,—,—,—,—,masculine,vocative,plural,adjective,Matthew 23:19,—,", τί γὰρ μεῖζον, τὸ δῶρον ἢ τὸ θυσιαστήριον τὸ ἁγιάζον τὸ δῶρον;"
τυφλοί,τυφλός,—,—,—,—,masculine,vocative,plural,adjective,Matthew 23:24,ὁδηγοὶ,", οἱ διϋλίζοντες τὸν κώνωπα, τὴν δὲ κάμηλον καταπίνοντες."
τυφλοί,τυφλός,—,—,—,—,masculine,nominative,plural,adjective,John 9:40,ἤκουσαν ἐκ τῶν Φαρισαίων ταῦτα οἱ μετʼ αὐτοῦ ὄντες καὶ εἶπον αὐτῷ· μὴ καὶ ἡμεῖς,ἐσμεν;
τυφλούς,τυφλός,—,—,—,—,masculine,accusative,plural,adjective,Matthew 15:30,"καὶ προσῆλθον αὐτῷ ὄχλοι πολλοὶ ἔχοντες μεθʼ ἑαυτῶν χωλούς,",", κυλλούς, κωφούς, καὶ ἑτέρους πολλοὺς καὶ ἔρριψαν αὐτοὺς παρὰ τοὺς πόδας αὐτοῦ, καὶ ἐθεράπευσεν αὐτούς ·"
τυφλούς,τυφλός,—,—,—,—,masculine,accusative,plural,adjective,Luke 14:13,"ἀλλʼ ὅταν δοχὴν ποιῇς, κάλει πτωχούς, ἀναπείρους, χωλούς,",·
τυφλοὶ,τυφλός,—,—,—,—,masculine,nominative,plural,adjective,Matthew 9:27,Καὶ παράγοντι ἐκεῖθεν τῷ Ἰησοῦ ἠκολούθησαν [αὐτῷ] δύο,"κράζοντες καὶ λέγοντες· ἐλέησον ἡμᾶς, υἱὸς Δαυίδ."
